Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-04-20,4.73,4.73,4.73,,,4.73,11.0,0.0
2004-10-28,5.915,5.915,5.915,,,5.915,1.0,0.0
2004-11-30,5.747,5.747,5.747,,,5.747,6.0,0.0
2004-12-07,5.701,5.701,5.701,,,5.701,1.0,0.0
2004-12-08,5.65,5.65,5.65,,,5.65,4.0,0.0
2004-12-09,5.64,5.64,5.64,,,5.64,2.0,0.0
2004-12-10,5.67,5.67,5.67,,,5.67,4.0,0.0
2004-12-20,5.72,5.72,5.72,,,5.72,2.0,0.0
2004-12-30,5.501,5.501,5.501,,,5.501,10.0,0.0
2005-01-03,5.5,5.5,5.5,,,5.5,1.0,0.0
2005-06-22,7.092,7.092,7.092,,,7.092,5.0,0.0
2005-07-25,7.23,7.23,7.23,,,7.23,0.0,0.0
2005-09-20,8.8,9.045,8.8,,,9.045,4.0,0.0
2005-10-04,8.83,8.83,8.83,,,8.83,11.0,0.0
2005-10-06,8.6,8.6,8.6,,,8.6,255.0,0.0
2005-10-07,8.531,8.531,8.531,,,8.531,1.0,0.0
2005-10-14,8.574,8.574,8.574,,,8.574,1.0,0.0
2005-10-17,8.807,8.84,8.807,,,8.84,25.0,0.0
2005-10-24,8.69,8.69,8.69,,,8.69,3.0,0.0
2005-10-31,8.882,8.882,8.882,,,8.882,1.0,0.0
2005-11-01,8.831,8.831,8.69,,,8.69,20.0,0.0
2005-11-10,8.37,8.37,8.37,,,8.37,1.0,0.0
2005-11-15,8.805,8.805,8.805,,,8.805,5.0,0.0
2005-11-21,8.63,8.65,8.63,,,8.65,40.0,0.0
2005-11-22,8.719,8.719,8.719,,,8.719,1.0,0.0
2005-11-29,8.84,8.84,8.84,,,8.84,2.0,0.0
2005-12-05,9.38,9.38,9.38,,,9.38,10.0,0.0
2005-12-22,9.37,9.37,9.325,,,9.325,18.0,0.0
2005-12-23,9.32,9.32,9.28,,,9.28,14.0,0.0
2005-12-30,9.305,9.305,9.305,,,9.305,3.0,0.0
2006-01-06,9.05,9.05,9.05,,,9.05,3.0,0.0
2006-01-10,9.1,9.1,9.1,,,9.1,1.0,0.0
2006-01-13,8.939,8.939,8.939,,,8.939,2.0,0.0
2006-01-18,9.37,9.37,9.37,,,9.37,1.0,0.0
2006-01-20,9.45,9.45,9.45,,,9.45,1.0,0.0
2006-01-25,9.41,9.41,9.33,,,9.33,62.0,0.0
2006-01-27,9.21,9.21,9.21,,,9.21,1.0,0.0
2006-02-01,9.5,9.55,9.5,,,9.55,80.0,0.0
2006-02-02,9.317,9.317,9.01,,,9.01,55.0,0.0
2006-02-03,9.085,9.085,9.085,,,9.085,10.0,0.0
2006-02-06,9.02,9.02,9.02,,,9.02,1.0,0.0
2006-02-07,8.9,8.9,8.9,,,8.9,1.0,0.0
2006-02-09,8.725,8.725,8.67,,,8.7,20.0,0.0
2006-02-10,8.529,8.529,8.529,,,8.529,32.0,0.0
2006-02-15,8.325,8.36,8.325,,,8.36,53.0,0.0
2006-02-16,8.229,8.26,8.229,,,8.26,70.0,0.0
2006-02-17,8.259,8.274,8.259,,,8.274,12.0,0.0
2006-02-24,8.531,8.531,8.531,,,8.531,15.0,0.0
2006-02-28,8.35,8.35,8.27,,,8.27,6.0,0.0
2006-03-03,8.38,8.38,8.355,,,8.355,12.0,0.0
2006-03-08,8.43,8.43,8.43,,,8.43,3.0,0.0
2006-03-10,8.6,8.6,8.6,,,8.6,29.0,0.0
2006-03-15,8.675,8.675,8.675,,,8.675,10.0,0.0
2006-03-16,8.674,8.674,8.674,,,8.674,2.0,0.0
2006-03-17,8.75,8.75,8.75,,,8.75,5.0,0.0
2006-03-24,9.113,9.113,9.113,,,9.113,80.0,0.0
2006-03-31,8.952,8.952,8.952,,,8.952,54.0,0.0
2006-04-03,8.94,8.94,8.94,,,8.94,2.0,0.0
2006-04-05,8.96,8.96,8.96,,,8.96,3.0,0.0
2006-04-07,8.938,8.938,8.938,,,8.938,5.0,0.0
2006-04-12,8.98,8.98,8.98,,,8.98,2.0,0.0
