Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.174,8.174,8.174,,,8.174,0.0,0.0
2008-02-20,8.154,8.154,8.154,,,8.154,0.0,0.0
2008-02-21,8.18,8.18,8.18,,,8.18,0.0,0.0
2008-02-22,8.202,8.202,8.202,,,8.202,0.0,0.0
2008-02-25,8.245,8.245,8.245,,,8.245,0.0,0.0
2008-02-26,8.415,8.415,8.415,,,8.415,0.0,0.0
2008-02-27,8.458,8.458,8.458,,,8.458,0.0,0.0
2008-02-28,8.567,8.567,8.567,,,8.567,2.0,2.0
2008-02-29,8.672,8.672,8.672,,,8.672,0.0,2.0
2008-03-03,8.803,8.803,8.803,,,8.803,0.0,2.0
2008-03-05,8.881,8.881,8.881,,,8.881,0.0,2.0
2008-03-06,8.862,8.862,8.862,,,8.862,0.0,2.0
2008-03-07,8.849,8.849,8.849,,,8.849,0.0,2.0
2008-03-10,0.0,8.814,8.814,,,8.814,0.0,2.0
2008-03-11,8.91,8.91,8.91,,,8.91,0.0,2.0
2008-03-12,9.039,9.039,9.039,,,9.039,11.0,13.0
2008-03-13,0.0,9.431,9.431,,,9.431,0.0,13.0
2008-03-14,9.413,9.413,9.413,,,9.413,0.0,13.0
2008-03-17,9.111,9.111,9.111,,,9.111,0.0,13.0
2008-03-18,9.168,9.168,9.168,,,9.168,0.0,13.0
2008-03-19,8.904,8.904,8.904,,,8.904,0.0,13.0
2008-03-20,8.634,8.634,8.634,,,8.634,0.0,13.0
2008-03-24,8.787,8.787,8.787,,,8.787,0.0,13.0
2008-03-25,8.933,8.933,8.933,,,8.933,0.0,13.0
2008-03-26,8.981,8.981,8.981,,,8.981,0.0,13.0
2008-03-27,8.946,8.946,8.946,,,8.946,0.0,13.0
2008-03-28,8.702,8.702,8.702,,,8.702,0.0,13.0
2008-03-31,8.613,8.613,8.613,,,8.613,0.0,13.0
2008-04-01,8.499,8.499,8.499,,,8.499,0.0,13.0
2008-04-02,8.627,8.627,8.627,,,8.627,0.0,13.0
2008-04-03,8.529,8.529,8.529,,,8.529,0.0,13.0
2008-04-04,8.627,8.627,8.627,,,8.627,0.0,13.0
2008-04-07,8.794,8.794,8.794,,,8.794,0.0,13.0
2008-04-08,8.749,8.749,8.749,,,8.749,0.0,13.0
2008-04-09,8.735,8.735,8.735,,,8.735,0.0,13.0
2008-04-10,8.58,8.58,8.58,,,8.58,0.0,13.0
2008-04-11,8.515,8.515,8.515,,,8.515,0.0,13.0
2008-04-14,8.483,8.483,8.483,,,8.483,0.0,13.0
2008-04-15,8.45,8.45,8.45,,,8.45,0.0,13.0
2008-04-16,8.436,8.436,8.436,,,8.436,0.0,13.0
2008-04-17,8.481,8.481,8.481,,,8.481,0.0,13.0
2008-04-18,8.692,8.692,8.692,,,8.692,0.0,13.0
2008-04-21,8.855,8.855,8.855,,,8.855,3.0,13.0
2008-04-22,8.944,8.944,8.944,,,8.944,0.0,13.0
2008-04-23,9.016,9.016,9.016,,,9.016,0.0,13.0
2008-04-24,8.925,8.925,8.925,,,8.925,0.0,13.0
2008-04-25,8.914,8.914,8.914,,,8.914,1.0,13.0
2008-04-28,8.939,8.939,8.939,,,8.939,0.0,13.0
2008-04-29,8.83,8.83,8.83,,,8.83,0.0,13.0
2008-04-30,8.845,8.845,8.845,,,8.845,0.0,13.0
2008-05-02,8.899,8.899,8.899,,,8.899,0.0,13.0
2008-05-05,8.89,8.89,8.89,,,8.89,0.0,13.0
2008-05-06,8.876,8.876,8.876,,,8.876,0.0,13.0
2008-05-07,8.917,8.917,8.917,,,8.917,0.0,13.0
2008-05-08,8.884,8.884,8.884,,,8.884,0.0,13.0
2008-05-09,8.865,8.865,8.865,,,8.865,0.0,13.0
2008-05-12,8.804,8.804,8.804,,,8.804,0.0,13.0
2008-05-13,8.82,8.82,8.82,,,8.82,0.0,13.0
2008-05-14,0.0,8.86,8.86,,,8.86,0.0,13.0
2008-05-15,8.908,8.908,8.908,,,8.908,0.0,13.0
2008-05-16,8.989,8.989,8.989,,,8.989,0.0,13.0
2008-05-19,9.356,9.356,9.356,,,9.356,0.0,13.0
2008-05-20,9.907,9.907,9.907,,,9.907,0.0,13.0
2008-05-21,10.154,10.154,10.154,,,10.154,0.0,13.0
2008-05-22,10.115,10.115,10.115,,,10.115,3.0,13.0
2008-05-23,10.064,10.064,10.064,,,10.064,0.0,13.0
2008-05-27,10.041,10.041,10.041,,,10.041,0.0,13.0
2008-05-28,10.022,10.022,10.022,,,10.022,0.0,13.0
2008-05-29,9.998,9.998,9.998,,,9.998,0.0,13.0
2008-05-30,10.052,10.052,10.052,,,10.052,0.0,13.0
2008-06-02,10.159,10.159,10.159,,,10.159,0.0,13.0
2008-06-03,10.241,10.241,10.241,,,10.241,0.0,13.0
2008-06-04,10.157,10.157,10.157,,,10.157,2.0,11.0
2008-06-05,10.05,10.05,10.05,,,10.05,0.0,11.0
2008-06-06,10.167,10.167,10.167,,,10.167,0.0,11.0
2008-06-09,10.379,10.379,10.379,,,10.379,0.0,11.0
2008-06-10,10.447,10.447,10.447,,,10.447,0.0,11.0
2008-06-11,10.595,10.595,10.595,,,10.595,0.0,11.0
2008-06-12,10.667,10.667,10.667,,,10.667,0.0,11.0
2008-06-13,10.673,10.673,10.673,,,10.673,0.0,11.0
2008-06-17,10.77,10.77,10.77,,,10.77,0.0,11.0
2008-06-18,10.801,10.801,10.801,,,10.801,0.0,11.0
2008-06-19,10.694,10.694,10.694,,,10.694,0.0,11.0
2008-06-20,10.745,10.745,10.745,,,10.745,0.0,11.0
2008-06-23,10.835,10.835,10.835,,,10.835,0.0,11.0
2008-06-24,10.876,10.876,10.876,,,10.876,0.0,11.0
2008-06-25,10.85,10.85,10.85,,,10.85,0.0,11.0
2008-06-26,10.936,10.936,10.936,,,10.936,0.0,11.0
2008-06-27,10.928,10.928,10.928,,,10.928,0.0,11.0
2008-06-30,10.96,10.96,10.96,,,10.96,0.0,11.0
