Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2000-06-29,2.68,2.68,2.677,,,2.677,155.0,150.0
2000-06-30,2.693,2.693,2.693,,,2.693,50.0,150.0
2000-07-05,2.63,2.63,2.538,,,2.538,1.0,151.0
2000-07-06,2.55,2.571,2.55,,,2.571,50.0,201.0
2000-07-07,2.58,2.771,2.58,,,2.771,61.0,245.0
2000-07-10,2.825,2.825,2.825,,,2.825,0.0,245.0
2000-07-11,2.84,2.899,2.84,,,2.899,1.0,246.0
2000-07-12,2.779,2.779,2.779,,,2.779,5.0,241.0
2000-07-13,2.922,2.922,2.922,,,2.922,1.0,242.0
2000-07-14,3.12,3.12,3.045,,,3.045,1.0,241.0
2000-07-17,3.05,3.05,2.999,,,2.999,75.0,271.0
2000-07-18,3.032,3.032,3.032,,,3.032,10.0,281.0
2000-07-19,3.047,3.052,2.974,,,2.974,2735.0,2779.0
2000-07-20,3.02,3.02,3.02,,,3.02,5.0,2784.0
2000-07-21,3.05,3.075,3.02,,,3.075,5.0,2789.0
2000-07-24,3.045,3.045,3.045,,,3.045,0.0,2789.0
2000-07-25,3.062,3.062,3.062,,,3.062,20.0,2779.0
2000-07-26,3.119,3.119,3.119,,,3.119,0.0,2779.0
2000-07-27,3.191,3.191,3.191,,,3.191,0.0,2779.0
2000-07-28,3.204,3.204,3.204,,,3.204,0.0,2779.0
2000-07-31,3.205,3.205,3.182,,,3.182,4.0,2781.0
2000-08-01,3.187,3.187,3.187,,,3.187,0.0,2776.0
2000-08-02,3.219,3.219,3.219,,,3.219,0.0,2776.0
2000-08-03,3.231,3.231,3.231,,,3.231,0.0,2776.0
2000-08-04,3.206,3.206,3.206,,,3.206,0.0,2776.0
2000-08-07,3.094,3.094,3.094,,,3.094,0.0,2776.0
2000-08-08,3.074,3.074,3.017,,,3.017,10.0,2766.0
2000-08-09,2.76,3.015,2.76,,,2.947,2.0,2767.0
2000-08-10,2.99,2.99,2.99,,,2.99,5.0,2767.0
2000-08-11,2.997,2.997,2.997,,,2.997,0.0,2767.0
2000-08-14,2.972,2.972,2.972,,,2.972,0.0,2767.0
2000-08-15,2.951,2.951,2.951,,,2.951,0.0,2767.0
2000-08-16,3.011,3.011,3.011,,,3.011,157.0,2767.0
2000-08-17,3.026,3.026,3.026,,,3.026,0.0,2767.0
2000-08-18,3.041,3.041,3.041,,,3.041,0.0,2767.0
2000-08-21,3.111,3.111,3.111,,,3.111,3.0,2764.0
2000-08-22,3.022,3.022,3.022,,,3.022,10.0,2754.0
2000-08-23,3.032,3.032,2.979,,,2.979,60.0,2791.0
2000-08-24,2.978,2.978,2.978,,,2.978,0.0,2791.0
2000-08-25,2.997,2.997,2.997,,,2.997,0.0,2791.0
2000-08-28,3.037,3.037,3.037,,,3.037,3.0,2791.0
2000-08-29,3.052,3.052,3.052,,,3.052,0.0,2791.0
2000-08-30,3.08,3.118,3.08,,,3.118,100.0,2791.0
2000-08-31,3.15,3.15,3.139,,,3.139,3.0,2794.0
2000-09-01,3.137,3.137,3.137,,,3.137,5.0,2799.0
2000-09-05,3.174,3.174,3.174,,,3.174,0.0,2799.0
2000-09-06,3.224,3.224,3.224,,,3.224,20.0,2814.0
2000-09-07,3.24,3.24,3.24,,,3.24,2.0,2814.0
2000-09-08,3.22,3.262,3.22,,,3.262,10.0,2804.0
2000-09-11,3.332,3.332,3.332,,,3.332,2.0,2804.0
2000-09-12,3.335,3.335,3.294,,,3.294,27.0,2810.0
2000-09-13,3.304,3.31,3.273,,,3.273,10.0,2818.0
2000-09-14,3.282,3.282,3.282,,,3.282,0.0,2818.0
2000-09-15,3.272,3.272,3.272,,,3.272,0.0,2818.0
2000-09-18,3.288,3.288,3.288,,,3.288,50.0,2868.0
2000-09-19,3.342,3.342,3.342,,,3.342,3.0,2876.0
2000-09-20,3.38,3.38,3.352,,,3.352,68.0,2907.0
2000-09-21,3.392,3.422,3.352,,,3.402,3.0,2909.0
2000-09-22,3.52,3.52,3.484,,,3.484,41.0,2879.0
2000-09-25,3.495,3.567,3.495,,,3.567,1.0,2879.0
2000-09-26,3.573,3.573,3.573,,,3.573,0.0,2879.0
2000-09-27,3.596,3.596,3.596,,,3.596,0.0,2879.0
2000-09-28,3.516,3.516,3.516,,,3.516,0.0,2879.0
2000-09-29,3.538,3.538,3.538,,,3.538,0.0,2879.0
2000-10-02,3.636,3.636,3.636,,,3.636,0.0,2879.0
2000-10-03,3.65,3.65,3.65,,,3.65,15.0,2879.0
2000-10-04,3.667,3.667,3.667,,,3.667,0.0,2879.0
2000-10-05,3.7,3.7,3.7,,,3.7,0.0,2879.0
2000-10-06,3.67,3.67,3.67,,,3.67,17.0,2863.0
2000-10-09,3.711,3.711,3.711,,,3.711,0.0,2863.0
2000-10-10,3.703,3.703,3.703,,,3.703,0.0,2863.0
2000-10-11,3.858,3.858,3.858,,,3.858,10.0,2868.0
2000-10-12,3.922,3.922,3.922,,,3.922,0.0,2868.0
2000-10-13,3.93,3.93,3.897,,,3.897,1006.0,3348.0
2000-10-16,3.885,3.885,3.856,,,3.856,1.0,3348.0
2000-10-17,3.887,3.887,3.887,,,3.887,0.0,3348.0
2000-10-18,3.754,3.754,3.754,,,3.754,0.0,3348.0
2000-10-19,3.645,3.645,3.645,,,3.645,0.0,3348.0
2000-10-20,3.679,3.679,3.679,,,3.679,15.0,3348.0
2000-10-23,3.67,3.691,3.61,,,3.691,13.0,3359.0
2000-10-24,3.601,3.601,3.601,,,3.601,0.0,3359.0
2000-10-25,3.536,3.536,3.536,,,3.536,0.0,3375.0
2000-10-26,3.53,3.53,3.53,,,3.53,0.0,3375.0
2000-10-27,3.462,3.462,3.462,,,3.462,0.0,3375.0
2000-10-30,3.43,3.43,3.43,,,3.43,38.0,3375.0
2000-10-31,3.465,3.465,3.465,,,3.465,13.0,3375.0
2000-11-01,3.581,3.581,3.581,,,3.581,30.0,3375.0
2000-11-02,3.644,3.644,3.644,,,3.644,20.0,3375.0
2000-11-03,3.708,3.708,3.708,,,3.708,0.0,3375.0
2000-11-06,3.729,3.729,3.729,,,3.729,0.0,3375.0
2000-11-07,3.851,3.851,3.851,,,3.851,0.0,3375.0
2000-11-08,3.943,3.943,3.943,,,3.943,30.0,3356.0
2000-11-09,3.85,3.85,3.85,,,3.85,111.0,3423.0
2000-11-10,3.74,3.782,3.74,,,3.782,87.0,3421.0
2000-11-13,3.812,3.812,3.706,,,3.706,50.0,3471.0
2000-11-14,3.705,3.838,3.705,,,3.838,1.0,3470.0
2000-11-15,3.868,3.868,3.868,,,3.868,0.0,3470.0
2000-11-16,3.73,3.73,3.73,,,3.73,0.0,3470.0
2000-11-17,3.734,3.734,3.734,,,3.734,0.0,3470.0
2000-11-20,3.699,3.699,3.699,,,3.699,0.0,3470.0
2000-11-21,3.692,3.692,3.692,,,3.692,25.0,3470.0
2000-11-22,3.682,3.682,3.682,,,3.682,0.0,3470.0
2000-11-27,3.772,3.772,3.772,,,3.772,0.0,3470.0
2000-11-28,3.808,3.808,3.808,,,3.808,0.0,3470.0
2000-11-29,3.807,3.807,3.807,,,3.807,0.0,3470.0
2000-11-30,3.907,3.907,3.892,,,3.892,18.0,3475.0
2000-12-01,3.943,3.943,3.943,,,3.943,0.0,3475.0
2000-12-04,4.043,4.043,3.943,,,3.943,1.0,3475.0
2000-12-05,3.83,3.83,3.83,,,3.83,0.0,3475.0
2000-12-06,3.858,3.858,3.858,,,3.858,0.0,3475.0
2000-12-07,3.763,3.763,3.763,,,3.763,0.0,3475.0
2000-12-08,3.819,3.819,3.819,,,3.819,0.0,3475.0
2000-12-11,3.733,3.733,3.733,,,3.733,0.0,3475.0
2000-12-12,3.598,3.598,3.598,,,3.598,0.0,3475.0
2000-12-13,3.58,3.58,3.58,,,3.58,20.0,3455.0
2000-12-14,3.703,3.703,3.703,,,3.703,25.0,3431.0
2000-12-15,3.713,3.713,3.713,,,3.713,0.0,3431.0
2000-12-18,3.813,3.813,3.693,,,3.693,60.0,3431.0
2000-12-19,3.715,3.715,3.715,,,3.715,0.0,3431.0
2000-12-20,3.73,3.73,3.73,,,3.73,2.0,3431.0
2000-12-21,3.75,3.767,3.75,,,3.767,10.0,3432.0
2000-12-22,3.707,3.707,3.707,,,3.707,0.0,3432.0
2000-12-26,3.801,3.801,3.801,,,3.801,0.0,3432.0
2000-12-27,3.797,3.797,3.797,,,3.797,10.0,3442.0
2000-12-28,3.74,3.74,3.74,,,3.74,0.0,3442.0
2000-12-29,3.71,3.71,3.71,,,3.71,0.0,3442.0
2001-01-02,3.648,3.648,3.648,,,3.648,0.0,3433.0
2001-01-03,3.658,3.658,3.658,,,3.658,40.0,3473.0
2001-01-04,3.673,3.673,3.673,,,3.673,12.0,3473.0
2001-01-05,3.69,3.696,3.69,,,3.696,30.0,3473.0
2001-01-08,3.736,3.736,3.736,,,3.736,35.0,3485.0
2001-01-09,3.765,3.835,3.765,,,3.835,16.0,3500.0
2001-01-10,3.94,3.94,3.94,,,3.94,585.0,4071.0
2001-01-11,3.98,4.04,3.98,,,4.04,70.0,4086.0
2001-01-12,4.21,4.265,4.21,,,4.265,22.0,4106.0
2001-01-16,4.215,4.215,4.215,,,4.215,26.0,4103.0
2001-01-17,4.0,4.0,3.923,,,3.923,123.0,4133.0
2001-01-18,3.98,3.98,3.98,,,3.98,30.0,4136.0
2001-01-19,3.956,3.956,3.956,,,3.956,217.0,4348.0
2001-01-22,3.984,3.984,3.984,,,3.984,0.0,4348.0
2001-01-23,3.891,3.891,3.891,,,3.891,0.0,4348.0
2001-01-24,3.972,3.972,3.972,,,3.972,10.0,4358.0
2001-01-25,4.111,4.111,4.111,,,4.111,36.0,4392.0
2001-01-26,4.146,4.146,4.146,,,4.146,5.0,4392.0
2001-01-29,4.083,4.083,4.083,,,4.083,0.0,4392.0
2001-01-30,4.163,4.163,4.163,,,4.163,35.0,4362.0
2001-01-31,4.24,4.24,4.103,,,4.103,41.0,4387.0
2001-02-01,4.203,4.203,4.149,,,4.149,23.0,4398.0
