Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.264,8.264,8.264,,,8.264,0.0,0.0
2008-02-20,8.244,8.244,8.244,,,8.244,0.0,0.0
2008-02-21,8.275,8.275,8.275,,,8.275,0.0,0.0
2008-02-22,8.297,8.297,8.297,,,8.297,0.0,0.0
2008-02-25,8.34,8.34,8.34,,,8.34,0.0,0.0
2008-02-26,8.51,8.51,8.51,,,8.51,0.0,0.0
2008-02-27,8.578,8.578,8.578,,,8.578,0.0,0.0
2008-02-28,8.687,8.687,8.687,,,8.687,0.0,0.0
2008-02-29,8.797,8.797,8.797,,,8.797,0.0,0.0
2008-03-03,8.943,8.943,8.943,,,8.943,0.0,0.0
2008-03-05,9.051,9.051,9.051,,,9.051,0.0,0.0
2008-03-06,0.0,9.032,9.032,,,9.032,0.0,0.0
2008-03-07,9.044,9.044,9.044,,,9.044,0.0,0.0
2008-03-10,0.0,9.019,9.019,,,9.019,0.0,0.0
2008-03-11,9.125,9.125,9.125,,,9.125,0.0,0.0
2008-03-12,9.254,9.254,9.254,,,9.254,0.0,0.0
2008-03-13,0.0,9.646,9.646,,,9.646,0.0,0.0
2008-03-14,9.638,9.638,9.638,,,9.638,0.0,0.0
2008-03-17,9.366,9.366,9.366,,,9.366,0.0,0.0
2008-03-18,9.423,9.423,9.423,,,9.423,0.0,0.0
2008-03-19,9.189,9.189,9.189,,,9.189,0.0,0.0
2008-03-20,8.939,8.939,8.939,,,8.939,0.0,0.0
2008-03-24,9.082,9.082,9.082,,,9.082,0.0,0.0
2008-03-25,9.208,9.208,9.208,,,9.208,0.0,0.0
2008-03-26,9.256,9.256,9.256,,,9.256,0.0,0.0
2008-03-27,9.221,9.221,9.221,,,9.221,0.0,0.0
2008-03-28,8.977,8.977,8.977,,,8.977,0.0,0.0
2008-03-31,8.888,8.888,8.888,,,8.888,0.0,0.0
2008-04-01,8.774,8.774,8.774,,,8.774,0.0,0.0
2008-04-02,8.902,8.902,8.902,,,8.902,0.0,0.0
2008-04-03,8.804,8.804,8.804,,,8.804,0.0,0.0
