Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.365,8.365,8.365,,,8.365,0.0,0.0
2008-08-01,8.954,8.954,8.954,,,8.954,0.0,0.0
2008-08-04,8.95,8.95,8.95,,,8.95,0.0,0.0
2008-08-05,8.905,8.905,8.905,,,8.905,0.0,0.0
2008-08-06,8.87,8.87,8.87,,,8.87,0.0,0.0
2008-08-07,8.826,8.826,8.826,,,8.826,0.0,0.0
2008-08-08,8.725,8.725,8.725,,,8.725,0.0,0.0
2008-08-11,8.649,8.649,8.649,,,8.649,0.0,0.0
2008-08-12,8.485,8.485,8.485,,,8.485,0.0,0.0
2008-08-13,0.0,8.507,8.507,,,8.507,0.0,0.0
2008-08-14,0.0,8.571,8.571,,,8.571,0.0,0.0
2008-08-15,0.0,8.57,8.57,,,8.57,0.0,0.0
2008-08-18,0.0,8.496,8.496,,,8.496,0.0,0.0
2008-08-19,0.0,8.451,8.451,,,8.451,0.0,0.0
2008-08-20,0.0,8.583,8.583,,,8.583,0.0,0.0
2008-08-21,0.0,8.779,8.779,,,8.779,0.0,0.0
2008-08-22,0.0,8.782,8.782,,,8.782,0.0,0.0
2008-08-25,0.0,8.944,8.944,,,8.944,0.0,0.0
2008-08-26,8.898,8.898,8.898,,,8.898,0.0,0.0
2008-08-27,0.0,8.923,8.923,,,8.923,0.0,0.0
2008-08-28,0.0,8.842,8.842,,,8.842,0.0,0.0
2008-08-29,0.0,8.788,8.788,,,8.788,0.0,0.0
2008-09-02,0.0,8.751,8.751,,,8.751,0.0,0.0
2008-09-03,0.0,8.711,8.711,,,8.711,0.0,0.0
2008-09-04,0.0,8.711,8.711,,,8.711,0.0,0.0
2008-09-05,0.0,8.684,8.684,,,8.684,0.0,0.0
2008-09-08,0.0,8.537,8.537,,,8.537,0.0,0.0
2008-09-09,0.0,8.471,8.471,,,8.471,0.0,0.0
2008-09-10,0.0,8.417,8.417,,,8.417,0.0,0.0
2008-09-11,0.0,8.409,8.409,,,8.409,0.0,0.0
2008-09-12,0.0,8.412,8.412,,,8.412,0.0,0.0
2008-09-15,0.0,8.472,8.472,,,8.472,0.0,0.0
2008-09-16,0.0,8.434,8.434,,,8.434,0.0,0.0
2008-09-17,0.0,8.51,8.51,,,8.51,0.0,0.0
2008-09-18,0.0,8.532,8.532,,,8.532,0.0,0.0
2008-09-19,0.0,8.595,8.595,,,8.595,0.0,0.0
2008-09-22,0.0,8.714,8.714,,,8.714,0.0,0.0
2008-09-23,0.0,8.741,8.741,,,8.741,0.0,0.0
2008-09-24,0.0,8.715,8.715,,,8.715,0.0,0.0
2008-09-25,0.0,8.714,8.714,,,8.714,0.0,0.0
2008-09-26,0.0,8.664,8.664,,,8.664,0.0,0.0
2008-09-29,0.0,8.569,8.569,,,8.569,0.0,0.0
2008-09-30,0.0,8.601,8.601,,,8.601,0.0,0.0
2008-10-01,0.0,8.701,8.701,,,8.701,0.0,0.0
2008-10-02,0.0,8.668,8.668,,,8.668,0.0,0.0
2008-10-03,0.0,8.658,8.658,,,8.658,0.0,0.0
2008-10-06,0.0,8.585,8.585,,,8.585,0.0,0.0
2008-10-07,0.0,8.538,8.538,,,8.538,0.0,0.0
2008-10-08,0.0,8.463,8.463,,,8.463,0.0,0.0
2008-10-09,0.0,8.353,8.353,,,8.353,0.0,0.0
2008-10-10,0.0,8.079,8.079,,,8.079,0.0,0.0
2008-10-13,0.0,8.093,8.093,,,8.093,0.0,0.0
2008-10-14,0.0,8.019,8.019,,,8.019,0.0,0.0
2008-10-15,0.0,7.776,7.776,,,7.776,0.0,0.0
2008-10-16,0.0,7.695,7.695,,,7.695,0.0,0.0
2008-10-17,0.0,7.739,7.739,,,7.739,0.0,0.0
2008-10-20,0.0,7.744,7.744,,,7.744,0.0,0.0
2008-10-21,0.0,7.839,7.839,,,7.839,0.0,0.0
2008-10-22,0.0,7.742,7.742,,,7.742,0.0,0.0
2008-10-23,0.0,7.678,7.678,,,7.678,0.0,0.0
2008-10-24,7.692,7.692,7.692,,,7.692,0.0,0.0
2008-10-27,0.0,7.715,7.715,,,7.715,0.0,0.0
2008-10-28,7.838,7.838,7.838,,,7.838,0.0,0.0
2008-10-30,8.147,8.147,8.147,,,8.147,0.0,0.0
2008-10-31,8.288,8.288,8.288,,,8.288,0.0,0.0
2008-11-03,8.295,8.295,8.295,,,8.295,0.0,0.0
2008-11-04,8.456,8.456,8.456,,,8.456,0.0,0.0
2008-11-05,8.433,8.433,8.433,,,8.433,0.0,0.0
2008-11-06,8.413,8.413,8.413,,,8.413,0.0,0.0
2008-11-07,0.0,8.364,8.364,,,8.364,0.0,0.0
2008-11-10,8.477,8.477,8.477,,,8.477,0.0,0.0
2008-11-11,0.0,8.341,8.341,,,8.341,0.0,0.0
2008-11-12,0.0,8.251,8.251,,,8.251,0.0,0.0
2008-11-13,0.0,8.26,8.26,,,8.26,0.0,0.0
2008-11-14,8.376,8.376,8.376,,,8.376,0.0,0.0
2008-11-17,0.0,8.486,8.486,,,8.486,0.0,0.0
2008-11-18,0.0,8.42,8.42,,,8.42,0.0,0.0
2008-11-19,0.0,8.366,8.366,,,8.366,0.0,0.0
2008-11-20,0.0,8.167,8.167,,,8.167,0.0,0.0
2008-11-21,0.0,8.19,8.19,,,8.19,0.0,0.0
2008-11-24,0.0,8.31,8.31,,,8.31,0.0,0.0
2008-11-25,0.0,8.178,8.178,,,8.178,0.0,0.0
2008-11-26,0.0,8.382,8.382,,,8.382,0.0,0.0
2008-11-28,0.0,8.26,8.26,,,8.26,0.0,0.0
2008-12-01,0.0,8.264,8.264,,,8.264,0.0,0.0
2008-12-02,0.0,8.133,8.133,,,8.133,0.0,0.0
2008-12-03,0.0,8.12,8.12,,,8.12,0.0,0.0
2008-12-04,0.0,8.032,8.032,,,8.032,0.0,0.0
2008-12-05,0.0,7.872,7.872,,,7.872,0.0,0.0
2008-12-08,0.0,7.821,7.821,,,7.821,0.0,0.0
2008-12-09,0.0,7.891,7.891,,,7.891,0.0,0.0
2008-12-10,0.0,8.003,8.003,,,8.003,0.0,0.0
2008-12-11,0.0,7.972,7.972,,,7.972,0.0,0.0
2008-12-12,0.0,7.806,7.806,,,7.806,0.0,0.0
2008-12-15,0.0,7.826,7.826,,,7.826,0.0,0.0
2008-12-16,0.0,7.854,7.854,,,7.854,0.0,0.0
2008-12-17,0.0,7.813,7.813,,,7.813,0.0,0.0
2008-12-18,0.0,7.706,7.706,,,7.706,0.0,0.0
2008-12-19,0.0,7.547,7.547,,,7.547,0.0,0.0
2008-12-22,0.0,7.427,7.427,,,7.427,0.0,0.0
2008-12-23,0.0,7.39,7.39,,,7.39,0.0,0.0
2008-12-24,0.0,7.389,7.389,,,7.389,0.0,0.0
2008-12-26,0.0,7.34,7.34,,,7.34,0.0,0.0
2008-12-29,0.0,7.337,7.337,,,7.337,0.0,0.0
2008-12-30,0.0,7.233,7.233,,,7.233,0.0,0.0
