Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2006-01-06,7.688,7.688,7.688,,,7.688,4.0,0.0
2006-01-13,7.789,7.789,7.789,,,7.789,4.0,0.0
2006-01-20,8.308,8.308,8.308,,,8.308,2.0,0.0
2006-01-27,7.905,7.905,7.905,,,7.905,1.0,0.0
2006-02-03,7.774,7.774,7.774,,,7.774,0.0,0.0
2006-02-10,7.664,7.664,7.664,,,7.664,2.0,0.0
2006-02-17,7.122,7.122,7.122,,,7.122,3.0,0.0
2006-02-23,7.4,7.4,7.4,,,7.4,1.0,0.0
2006-02-24,7.056,7.056,7.056,,,7.056,1.0,0.0
2006-03-03,7.177,7.177,7.177,,,7.177,2.0,0.0
2006-03-10,7.35,7.35,7.35,,,7.35,7.0,0.0
2006-03-17,7.23,7.23,7.23,,,7.23,5.0,0.0
2006-03-24,7.334,7.334,7.334,,,7.334,3.0,0.0
2006-03-31,7.109,7.109,7.109,,,7.109,12.0,0.0
2006-04-07,7.247,7.247,7.247,,,7.247,3.0,0.0
2006-04-13,7.405,7.405,7.405,,,7.405,0.0,0.0
2006-04-14,7.405,7.405,7.405,,,7.405,6.0,0.0
2006-04-21,7.497,7.497,7.497,,,7.497,5.0,0.0
2006-04-28,7.551,7.551,7.551,,,7.551,0.0,0.0
2006-05-05,7.553,7.553,7.553,,,7.553,3.0,0.0
2006-05-12,7.44,7.44,7.44,,,7.44,2.0,0.0
2006-05-19,7.497,7.497,7.497,,,7.497,3.0,0.0
2006-05-26,7.169,7.169,7.169,,,7.169,2.0,0.0
2006-06-02,7.373,7.373,7.373,,,7.373,12.0,0.0
2006-06-09,7.227,7.227,7.227,,,7.227,3.0,0.0
2006-06-16,7.345,7.345,7.345,,,7.345,5.0,0.0
2006-06-23,7.115,7.115,7.115,,,7.115,1.0,0.0
2006-06-30,7.189,7.189,7.189,,,7.189,1.0,0.0
2006-07-07,7.23,7.23,7.23,,,7.23,2.0,0.0
2006-07-14,7.6,7.6,7.6,,,7.6,8.0,0.0
2006-07-21,7.47,7.47,7.47,,,7.47,0.0,0.0
2006-07-27,7.34,7.34,7.34,,,7.34,5.0,0.0
2006-07-28,7.319,7.319,7.319,,,7.319,2.0,0.0
2006-08-04,7.114,7.114,7.114,,,7.114,2.0,0.0
2006-08-08,7.187,7.187,7.187,,,7.187,0.0,0.0
2006-08-09,7.232,7.232,7.232,,,7.232,0.0,0.0
2006-08-10,7.181,7.181,7.181,,,7.181,0.0,0.0
2006-08-11,7.155,7.155,7.155,,,7.155,0.0,0.0
2006-08-14,7.081,7.081,7.081,,,7.081,0.0,0.0
2006-08-15,7.102,7.102,7.102,,,7.102,0.0,0.0
2006-08-16,7.037,7.037,7.037,,,7.037,0.0,0.0
2006-08-17,7.037,7.037,7.037,,,7.037,0.0,0.0
2006-08-18,6.966,6.966,6.966,,,6.966,2.0,0.0
2006-08-22,7.18,7.18,7.18,,,7.18,0.0,0.0
2006-09-27,6.9,6.9,6.9,,,6.9,1.0,0.0
2006-09-28,6.9,6.9,6.9,,,6.9,5.0,0.0
2006-12-27,6.895,6.895,6.895,,,6.895,0.0,0.0
2006-12-28,6.94,6.94,6.94,,,6.94,0.0,0.0
2006-12-29,6.988,6.988,6.988,,,6.988,0.0,0.0
2007-01-02,6.988,6.988,6.988,,,6.988,0.0,0.0
2007-01-12,7.167,7.167,7.167,,,7.167,0.0,0.0
