Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.5,8.5,8.5,,,8.5,0.0,0.0
2009-09-01,0.0,7.42,7.42,,,7.42,0.0,0.0
2009-09-02,0.0,7.427,7.427,,,7.427,0.0,0.0
2009-09-03,0.0,7.374,7.374,,,7.374,0.0,0.0
2009-09-04,0.0,7.345,7.345,,,7.345,0.0,0.0
2009-09-08,7.421,7.421,7.421,,,7.421,0.0,0.0
2009-09-09,0.0,7.404,7.404,,,7.404,0.0,0.0
2009-09-10,0.0,7.585,7.585,,,7.585,0.0,0.0
2009-09-11,0.0,7.505,7.505,,,7.505,0.0,0.0
2009-09-14,0.0,7.586,7.586,,,7.586,0.0,0.0
2009-09-15,0.0,7.538,7.538,,,7.538,0.0,0.0
2009-09-16,0.0,7.71,7.71,,,7.71,0.0,0.0
2009-09-17,0.0,7.553,7.553,,,7.553,0.0,0.0
2009-09-18,0.0,7.713,7.713,,,7.713,0.0,0.0
2009-09-21,0.0,7.647,7.647,,,7.647,0.0,0.0
2009-09-22,0.0,7.747,7.747,,,7.747,0.0,0.0
2009-09-23,0.0,7.748,7.748,,,7.748,0.0,0.0
2009-09-24,0.0,7.736,7.736,,,7.736,0.0,0.0
2009-09-25,0.0,7.744,7.744,,,7.744,0.0,0.0
2009-09-28,7.696,7.696,7.696,,,7.696,0.0,0.0
2009-09-29,0.0,7.649,7.649,,,7.649,0.0,0.0
2009-09-30,0.0,7.631,7.631,,,7.631,0.0,0.0
2009-10-01,0.0,7.655,7.655,,,7.655,0.0,0.0
2009-10-02,7.733,7.733,7.733,,,7.733,0.0,0.0
2009-10-05,0.0,7.687,7.687,,,7.687,0.0,0.0
2009-10-06,0.0,7.644,7.644,,,7.644,0.0,0.0
2009-10-07,0.0,7.702,7.702,,,7.702,0.0,0.0
2009-10-08,0.0,7.734,7.734,,,7.734,0.0,0.0
2009-10-09,0.0,7.684,7.684,,,7.684,0.0,0.0
2009-10-12,0.0,7.784,7.784,,,7.784,0.0,0.0
2009-10-13,0.0,7.708,7.708,,,7.708,0.0,0.0
2009-10-14,0.0,7.747,7.747,,,7.747,0.0,0.0
2009-10-15,7.812,7.812,7.812,,,7.812,0.0,0.0
2009-10-16,7.945,7.945,7.945,,,7.945,0.0,0.0
2009-10-19,0.0,7.977,7.977,,,7.977,0.0,0.0
2009-10-20,0.0,7.966,7.966,,,7.966,0.0,0.0
2009-10-21,0.0,7.912,7.912,,,7.912,0.0,0.0
2009-10-22,7.864,7.864,7.864,,,7.864,0.0,0.0
2009-10-26,0.0,7.751,7.751,,,7.751,0.0,0.0
2009-10-27,0.0,7.786,7.786,,,7.786,0.0,0.0
2009-10-28,0.0,7.982,7.982,,,7.982,0.0,0.0
2009-10-29,0.0,7.999,7.999,,,7.999,0.0,0.0
2009-10-30,0.0,8.038,8.038,,,8.038,0.0,0.0
2009-11-02,0.0,7.983,7.983,,,7.983,0.0,0.0
2009-11-03,0.0,8.028,8.028,,,8.028,0.0,0.0
2009-11-04,0.0,7.974,7.974,,,7.974,0.0,0.0
2009-11-05,0.0,8.02,8.02,,,8.02,0.0,0.0
2009-11-06,0.0,7.949,7.949,,,7.949,0.0,0.0
2009-11-09,0.0,7.984,7.984,,,7.984,0.0,0.0
2009-11-10,0.0,7.892,7.892,,,7.892,0.0,0.0
2009-11-11,0.0,7.858,7.858,,,7.858,0.0,0.0
2009-11-12,0.0,7.649,7.649,,,7.649,0.0,0.0
2009-11-13,0.0,7.541,7.541,,,7.541,0.0,0.0
2009-11-16,0.0,7.508,7.508,,,7.508,0.0,0.0
