Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2004-04-28,4.745,4.745,4.745,,,4.745,0.0,0.0
2005-02-02,5.45,5.45,5.45,,,5.45,1.0,0.0
2005-05-27,6.25,6.25,6.25,,,6.25,1.0,0.0
2005-07-18,7.0,7.0,7.0,,,7.0,5.0,0.0
2005-07-25,6.98,6.98,6.98,,,6.98,0.0,0.0
2005-09-30,8.15,8.15,8.15,,,8.15,4.0,0.0
2005-10-14,7.65,7.65,7.65,,,7.65,3.0,0.0
2005-10-27,7.7,7.7,7.7,,,7.7,5.0,0.0
2005-11-23,7.951,7.951,7.951,,,7.951,2.0,0.0
2006-01-06,8.612,8.612,8.612,,,8.612,1.0,0.0
2006-01-13,8.599,8.599,8.599,,,8.599,9.0,0.0
2006-01-20,9.177,9.177,9.177,,,9.177,4.0,0.0
2006-01-27,8.9,8.9,8.9,,,8.9,7.0,0.0
2006-02-03,8.861,8.861,8.861,,,8.861,2.0,0.0
2006-02-10,8.359,8.359,8.359,,,8.359,6.0,0.0
2006-02-17,7.98,7.98,7.98,,,7.98,3.0,0.0
2006-02-23,8.3,8.3,8.3,,,8.3,1.0,0.0
2006-02-24,8.156,8.156,8.156,,,8.156,2.0,0.0
2006-03-03,8.127,8.127,8.127,,,8.127,1.0,0.0
2006-03-10,8.34,8.34,8.34,,,8.34,2.0,0.0
2006-03-17,8.37,8.37,8.37,,,8.37,2.0,0.0
2006-03-24,8.656,8.656,8.656,,,8.656,1.0,0.0
2006-03-31,8.466,8.466,8.466,,,8.466,6.0,0.0
2006-04-07,8.54,8.54,8.54,,,8.54,2.0,0.0
2006-04-13,8.797,8.797,8.797,,,8.797,2.0,0.0
2006-04-21,9.144,9.144,9.144,,,9.144,2.0,0.0
2006-04-28,8.943,8.943,8.943,,,8.943,9.0,0.0
2006-05-05,8.858,8.858,8.858,,,8.858,6.0,0.0
2006-05-12,8.755,8.755,8.755,,,8.755,2.0,0.0
2006-05-19,8.802,8.802,8.802,,,8.802,3.0,0.0
2006-05-26,8.39,8.39,8.39,,,8.39,2.0,0.0
2006-06-02,8.143,8.143,8.143,,,8.143,24.0,0.0
2006-06-09,7.927,7.927,7.927,,,7.927,7.0,0.0
2006-06-16,8.32,8.32,8.32,,,8.32,1.0,0.0
2006-06-23,8.043,8.043,8.043,,,8.043,2.0,0.0
2006-06-30,8.119,8.119,8.119,,,8.119,5.0,0.0
2006-07-07,8.06,8.06,8.06,,,8.06,0.0,0.0
2006-07-11,8.1,8.1,8.1,,,8.1,1.0,0.0
2006-07-14,8.4,8.4,8.4,,,8.4,4.0,0.0
2006-07-21,8.238,8.238,8.238,,,8.238,5.0,0.0
2006-07-28,8.219,8.219,8.219,,,8.219,31.0,0.0
2006-08-02,8.1,8.1,8.1,,,8.1,0.0,0.0
2006-08-04,8.163,8.163,8.163,,,8.163,1.0,0.0
2006-08-08,8.172,8.172,8.172,,,8.172,2.0,0.0
2006-08-09,8.307,8.307,8.307,,,8.307,5.0,0.0
2006-08-10,8.251,8.251,8.251,,,8.251,8.0,0.0
2006-08-11,8.1,8.1,8.1,,,8.1,0.0,0.0
2006-08-14,8.177,8.177,8.177,,,8.177,18.0,0.0
2006-08-15,8.175,8.175,8.175,,,8.175,8.0,0.0
2006-08-16,8.09,8.09,8.09,,,8.09,0.0,0.0
2006-08-21,7.941,7.941,7.941,,,7.941,10.0,0.0
2006-08-22,8.1,8.1,8.1,,,8.1,0.0,0.0
2006-09-01,8.1,8.1,8.1,,,8.1,0.0,0.0
2006-09-14,7.519,7.519,7.5,,,7.5,0.0,0.0
2006-09-15,7.27,7.27,7.27,,,7.27,0.0,0.0
2006-09-21,7.55,7.55,7.55,,,7.55,2.0,0.0
2006-09-22,7.55,7.55,7.55,,,7.55,2.0,0.0
2006-09-26,7.348,7.348,7.348,,,7.348,23.0,0.0
2006-09-27,7.47,7.47,7.47,,,7.47,2.0,0.0
2006-10-03,7.616,7.616,7.616,,,7.616,2.0,0.0
2006-10-06,7.945,7.945,7.842,,,7.842,0.0,0.0
2006-10-11,8.0,8.0,8.0,,,8.0,1.0,0.0
2006-10-12,7.9,7.9,7.9,,,7.9,0.0,0.0
2006-11-15,7.9,7.9,7.9,,,7.9,0.0,0.0
