Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.299,8.299,8.299,,,8.299,0.0,0.0
2008-02-20,8.279,8.279,8.279,,,8.279,0.0,0.0
2008-02-21,8.305,8.305,8.305,,,8.305,0.0,0.0
2008-02-22,8.327,8.327,8.327,,,8.327,0.0,0.0
2008-02-25,8.37,8.37,8.37,,,8.37,0.0,0.0
2008-02-26,8.54,8.54,8.54,,,8.54,0.0,0.0
2008-02-27,8.583,8.583,8.583,,,8.583,0.0,0.0
2008-02-28,8.692,8.692,8.692,,,8.692,2.0,2.0
2008-02-29,8.797,8.797,8.797,,,8.797,0.0,2.0
2008-03-03,8.928,8.928,8.928,,,8.928,0.0,2.0
2008-03-05,9.006,9.006,9.006,,,9.006,0.0,2.0
2008-03-06,8.987,8.987,8.987,,,8.987,0.0,2.0
2008-03-07,8.979,8.979,8.979,,,8.979,0.0,2.0
2008-03-10,0.0,8.944,8.944,,,8.944,0.0,2.0
2008-03-11,9.04,9.04,9.04,,,9.04,0.0,2.0
2008-03-12,9.169,9.169,9.169,,,9.169,11.0,13.0
2008-03-13,0.0,9.561,9.561,,,9.561,0.0,13.0
2008-03-14,9.543,9.543,9.543,,,9.543,0.0,13.0
2008-03-17,9.241,9.241,9.241,,,9.241,0.0,13.0
2008-03-18,9.298,9.298,9.298,,,9.298,0.0,13.0
2008-03-19,9.039,9.039,9.039,,,9.039,0.0,13.0
2008-03-20,8.769,8.769,8.769,,,8.769,0.0,13.0
2008-03-24,8.922,8.922,8.922,,,8.922,0.0,13.0
2008-03-25,9.068,9.068,9.068,,,9.068,0.0,13.0
2008-03-26,9.116,9.116,9.116,,,9.116,0.0,13.0
2008-03-27,9.081,9.081,9.081,,,9.081,0.0,13.0
2008-03-28,8.837,8.837,8.837,,,8.837,0.0,13.0
2008-03-31,8.748,8.748,8.748,,,8.748,0.0,13.0
2008-04-01,8.634,8.634,8.634,,,8.634,0.0,13.0
2008-04-02,8.762,8.762,8.762,,,8.762,0.0,13.0
2008-04-03,8.664,8.664,8.664,,,8.664,0.0,13.0
2008-04-04,8.762,8.762,8.762,,,8.762,0.0,13.0
2008-04-07,8.929,8.929,8.929,,,8.929,0.0,13.0
2008-04-08,8.884,8.884,8.884,,,8.884,0.0,13.0
2008-04-09,8.87,8.87,8.87,,,8.87,0.0,13.0
2008-04-10,8.715,8.715,8.715,,,8.715,0.0,13.0
2008-04-11,8.65,8.65,8.65,,,8.65,0.0,13.0
2008-04-14,8.618,8.618,8.618,,,8.618,0.0,13.0
2008-04-15,8.585,8.585,8.585,,,8.585,0.0,13.0
2008-04-16,8.571,8.571,8.571,,,8.571,0.0,13.0
2008-04-17,8.616,8.616,8.616,,,8.616,0.0,13.0
2008-04-18,8.827,8.827,8.827,,,8.827,0.0,13.0
2008-04-21,8.99,8.99,8.99,,,8.99,3.0,13.0
2008-04-22,9.079,9.079,9.079,,,9.079,0.0,13.0
2008-04-23,9.151,9.151,9.151,,,9.151,0.0,13.0
2008-04-24,9.06,9.06,9.06,,,9.06,0.0,13.0
2008-04-25,9.049,9.049,9.049,,,9.049,1.0,13.0
2008-04-28,9.074,9.074,9.074,,,9.074,0.0,13.0
2008-04-29,8.965,8.965,8.965,,,8.965,0.0,13.0
2008-04-30,8.98,8.98,8.98,,,8.98,0.0,13.0
2008-05-02,9.034,9.034,9.034,,,9.034,0.0,13.0
2008-05-05,9.025,9.025,9.025,,,9.025,0.0,13.0
