Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.51,8.51,8.51,,,8.51,0.0,0.0
2009-10-01,0.0,7.68,7.68,,,7.68,0.0,0.0
2009-10-02,7.758,7.758,7.758,,,7.758,0.0,0.0
2009-10-05,0.0,7.712,7.712,,,7.712,0.0,0.0
2009-10-06,0.0,7.669,7.669,,,7.669,0.0,0.0
2009-10-07,0.0,7.727,7.727,,,7.727,0.0,0.0
2009-10-08,0.0,7.759,7.759,,,7.759,0.0,0.0
2009-10-09,0.0,7.709,7.709,,,7.709,0.0,0.0
2009-10-12,0.0,7.809,7.809,,,7.809,0.0,0.0
2009-10-13,0.0,7.733,7.733,,,7.733,0.0,0.0
2009-10-14,0.0,7.772,7.772,,,7.772,0.0,0.0
2009-10-15,7.837,7.837,7.837,,,7.837,0.0,0.0
2009-10-16,7.97,7.97,7.97,,,7.97,0.0,0.0
2009-10-19,0.0,8.002,8.002,,,8.002,0.0,0.0
2009-10-20,7.991,7.991,7.991,,,7.991,0.0,0.0
2009-10-21,7.937,7.937,7.937,,,7.937,0.0,0.0
2009-10-22,7.889,7.889,7.889,,,7.889,0.0,0.0
2009-10-26,0.0,7.776,7.776,,,7.776,0.0,0.0
2009-10-27,0.0,7.811,7.811,,,7.811,0.0,0.0
2009-10-28,8.007,8.007,8.007,,,8.007,0.0,0.0
2009-10-29,0.0,8.024,8.024,,,8.024,0.0,0.0
2009-10-30,8.063,8.063,8.063,,,8.063,0.0,0.0
2009-11-02,0.0,8.008,8.008,,,8.008,0.0,0.0
2009-11-03,0.0,8.053,8.053,,,8.053,0.0,0.0
2009-11-04,0.0,7.999,7.999,,,7.999,0.0,0.0
2009-11-05,0.0,8.045,8.045,,,8.045,0.0,0.0
2009-11-06,0.0,7.974,7.974,,,7.974,0.0,0.0
2009-11-09,0.0,8.009,8.009,,,8.009,0.0,0.0
2009-11-10,0.0,7.917,7.917,,,7.917,0.0,0.0
2009-11-11,0.0,7.883,7.883,,,7.883,0.0,0.0
2009-11-12,0.0,7.674,7.674,,,7.674,0.0,0.0
2009-11-13,0.0,7.566,7.566,,,7.566,0.0,0.0
2009-11-16,0.0,7.533,7.533,,,7.533,0.0,0.0
2009-11-17,0.0,7.525,7.525,,,7.525,0.0,0.0
2009-11-18,0.0,7.456,7.446,,,7.446,0.0,0.0
2009-11-19,0.0,7.5,7.5,,,7.5,0.0,0.0
2009-11-20,0.0,7.529,7.529,,,7.529,0.0,0.0
2009-11-23,0.0,7.61,7.61,,,7.61,0.0,0.0
2009-11-24,0.0,7.58,7.58,,,7.58,0.0,0.0
2009-11-25,0.0,7.828,7.828,,,7.828,0.0,0.0
2009-11-27,0.0,7.825,7.825,,,7.825,0.0,0.0
2009-11-30,0.0,7.739,7.739,,,7.739,0.0,0.0
2009-12-01,0.0,7.752,7.752,,,7.752,0.0,0.0
2009-12-02,0.0,7.801,7.801,,,7.801,0.0,0.0
2009-12-03,0.0,7.756,7.756,,,7.756,0.0,0.0
2009-12-04,0.0,7.85,7.85,,,7.85,0.0,0.0
2009-12-07,0.0,8.089,8.089,,,8.089,0.0,0.0
2009-12-08,0.0,7.99,7.99,,,7.99,0.0,0.0
2009-12-09,0.0,7.843,7.843,,,7.843,0.0,0.0
2009-12-10,0.0,7.882,7.882,,,7.882,0.0,0.0
2009-12-11,0.0,7.834,7.834,,,7.834,0.0,0.0
2009-12-14,0.0,7.907,7.907,,,7.907,0.0,0.0
2009-12-15,0.0,7.943,7.943,,,7.943,0.0,0.0
2009-12-16,0.0,7.938,7.938,,,7.938,0.0,0.0
2009-12-17,0.0,7.844,7.844,,,7.844,0.0,0.0
2009-12-18,0.0,7.763,7.763,,,7.763,0.0,0.0
2009-12-21,0.0,7.696,7.696,,,7.696,0.0,0.0
2009-12-22,0.0,7.697,7.697,,,7.697,0.0,0.0
2009-12-23,0.0,7.666,7.666,,,7.666,0.0,0.0
2009-12-24,0.0,7.65,7.65,,,7.65,0.0,0.0
2009-12-28,0.0,7.704,7.704,,,7.704,0.0,0.0
2009-12-29,0.0,7.643,7.643,,,7.643,0.0,0.0
2009-12-30,0.0,7.669,7.669,,,7.669,0.0,0.0
2009-12-31,0.0,7.69,7.69,,,7.69,0.0,0.0
2010-01-04,0.0,7.789,7.789,,,7.789,0.0,0.0
2010-01-06,0.0,7.706,7.706,,,7.706,0.0,0.0
2010-01-07,0.0,7.62,7.62,,,7.62,0.0,0.0
2010-01-08,0.0,7.64,7.64,,,7.64,0.0,0.0
2010-01-11,0.0,7.626,7.626,,,7.626,0.0,0.0
2010-01-12,0.0,7.601,7.601,,,7.601,0.0,0.0
2010-01-13,0.0,7.612,7.612,,,7.612,0.0,0.0
2010-01-14,0.0,7.617,7.617,,,7.617,0.0,0.0
2010-01-15,0.0,7.623,7.623,,,7.623,0.0,0.0
2010-01-19,0.0,7.539,7.539,,,7.539,0.0,0.0
2010-01-20,0.0,7.567,7.567,,,7.567,0.0,0.0
2010-01-21,0.0,7.614,7.614,,,7.614,0.0,0.0
2010-01-22,0.0,7.65,7.65,,,7.65,0.0,0.0
2010-01-25,0.0,7.64,7.64,,,7.64,0.0,0.0
2010-01-26,0.0,7.636,7.636,,,7.636,0.0,0.0
2010-01-27,0.0,7.561,7.561,,,7.561,0.0,0.0
2010-01-28,0.0,7.545,7.545,,,7.545,0.0,0.0
2010-01-29,0.0,7.585,7.585,,,7.585,0.0,0.0
2010-02-01,0.0,7.66,7.66,,,7.66,0.0,0.0
2010-02-02,0.0,7.707,7.707,,,7.707,0.0,0.0
2010-02-03,0.0,7.681,7.681,,,7.681,0.0,0.0
2010-02-04,0.0,7.649,7.649,,,7.649,0.0,0.0
2010-02-05,0.0,7.661,7.661,,,7.661,0.0,0.0
2010-02-08,0.0,7.608,7.608,,,7.608,0.0,0.0
2010-02-09,0.0,7.577,7.577,,,7.577,0.0,0.0
2010-02-10,0.0,7.612,7.612,,,7.612,0.0,0.0
2010-02-11,0.0,7.607,7.607,,,7.607,0.0,0.0
2010-02-12,0.0,7.554,7.554,,,7.554,0.0,0.0
2010-02-16,0.0,7.49,7.49,,,7.49,0.0,0.0
2010-02-17,0.0,7.457,7.457,,,7.457,0.0,0.0
2010-02-18,0.0,7.422,7.422,,,7.422,0.0,0.0
2010-02-19,0.0,7.389,7.389,,,7.389,0.0,0.0
2010-02-22,0.0,7.405,7.405,,,7.405,0.0,0.0
2010-02-24,0.0,7.366,7.366,,,7.366,0.0,0.0
2010-02-25,0.0,7.353,7.353,,,7.353,0.0,0.0
2010-02-26,0.0,7.355,7.355,,,7.355,0.0,0.0
2010-03-01,0.0,7.32,7.32,,,7.32,0.0,0.0
2010-03-02,0.0,7.302,7.302,,,7.302,0.0,0.0
2010-03-03,0.0,7.281,7.281,,,7.281,0.0,0.0
2010-03-04,0.0,7.171,7.171,,,7.171,0.0,0.0
2010-03-05,0.0,7.177,7.177,,,7.177,0.0,0.0
2010-03-08,0.0,7.188,7.188,,,7.188,0.0,0.0
2010-03-09,0.0,7.178,7.178,,,7.178,0.0,0.0
2010-03-10,0.0,7.215,7.215,,,7.215,0.0,0.0
2010-03-11,0.0,7.195,7.195,,,7.195,0.0,0.0
2010-03-12,0.0,7.296,7.296,,,7.296,0.0,0.0
2010-03-15,0.0,7.314,7.314,,,7.314,0.0,0.0
2010-03-16,0.0,7.378,7.378,,,7.378,0.0,0.0
2010-03-17,0.0,7.48,7.48,,,7.48,0.0,0.0
2010-03-18,0.0,7.546,7.546,,,7.546,0.0,0.0
2010-03-19,0.0,7.836,7.836,,,7.836,0.0,0.0
2010-03-22,0.0,7.807,7.807,,,7.807,0.0,0.0
2010-03-23,0.0,7.648,7.648,,,7.648,0.0,0.0
2010-03-24,0.0,7.549,7.549,,,7.549,0.0,0.0
2010-03-25,0.0,7.696,7.696,,,7.696,0.0,0.0
2010-03-26,0.0,7.608,7.608,,,7.608,0.0,0.0
2010-03-29,0.0,7.591,7.591,,,7.591,0.0,0.0
2010-03-30,0.0,7.681,7.681,,,7.681,0.0,0.0
2010-03-31,0.0,7.765,7.765,,,7.765,0.0,0.0
2010-04-01,0.0,7.806,7.806,,,7.806,0.0,0.0
2010-04-05,0.0,7.906,7.906,,,7.906,0.0,0.0
2010-04-06,0.0,7.79,7.79,,,7.79,0.0,0.0
2010-04-07,0.0,7.771,7.771,,,7.771,0.0,0.0
2010-04-08,0.0,7.716,7.716,,,7.716,0.0,0.0
2010-04-09,0.0,7.819,7.819,,,7.819,0.0,0.0
2010-04-12,0.0,7.778,7.778,,,7.778,0.0,0.0
2010-04-13,0.0,7.842,7.842,,,7.842,0.0,0.0
2010-04-14,0.0,7.882,7.882,,,7.882,0.0,0.0
2010-04-15,0.0,7.857,7.857,,,7.857,0.0,0.0
2010-04-16,0.0,7.828,7.828,,,7.828,0.0,0.0
2010-04-19,0.0,7.825,7.825,,,7.825,0.0,0.0
2010-04-20,0.0,7.904,7.904,,,7.904,0.0,0.0
2010-04-21,0.0,7.94,7.94,,,7.94,0.0,0.0
2010-04-22,0.0,8.021,8.021,,,8.021,0.0,0.0
2010-04-23,0.0,8.047,8.047,,,8.047,0.0,0.0
2010-04-26,0.0,8.024,8.024,,,8.024,0.0,0.0
2010-04-27,0.0,8.008,8.008,,,8.008,0.0,0.0
2010-04-28,0.0,8.014,8.014,,,8.014,0.0,0.0
2010-04-29,0.0,7.935,7.935,,,7.935,0.0,0.0
2010-04-30,0.0,7.919,7.919,,,7.919,0.0,0.0
2010-05-03,0.0,7.994,7.994,,,7.994,0.0,0.0
2010-05-04,0.0,8.068,8.068,,,8.068,0.0,0.0
2010-05-05,0.0,8.12,8.12,,,8.12,0.0,0.0
2010-05-06,0.0,8.112,8.112,,,8.112,0.0,0.0
