Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2000-09-27,3.49,3.49,3.49,,,3.49,116.0,0.0
2000-09-29,3.523,3.523,3.523,,,3.523,175.0,195.0
2000-10-02,3.623,3.623,3.623,,,3.623,0.0,195.0
2000-10-03,3.637,3.637,3.637,,,3.637,15.0,210.0
2000-10-04,3.654,3.654,3.654,,,3.654,0.0,210.0
2000-10-05,3.687,3.687,3.687,,,3.687,0.0,210.0
2000-10-06,3.657,3.657,3.657,,,3.657,17.0,217.0
2000-10-09,3.698,3.698,3.698,,,3.698,90.0,292.0
2000-10-10,3.69,3.69,3.69,,,3.69,0.0,292.0
2000-10-11,3.845,3.845,3.845,,,3.845,10.0,301.0
2000-10-12,3.909,3.909,3.909,,,3.909,0.0,301.0
2000-10-13,3.93,3.93,3.884,,,3.884,1.0,301.0
2000-10-16,3.843,3.843,3.843,,,3.843,0.0,301.0
2000-10-17,3.84,3.874,3.84,,,3.874,143.0,368.0
2000-10-18,3.86,3.86,3.741,,,3.741,28.0,396.0
2000-10-19,3.632,3.632,3.632,,,3.632,0.0,396.0
2000-10-20,3.666,3.666,3.666,,,3.666,15.0,381.0
2000-10-23,3.67,3.678,3.58,,,3.678,13.0,391.0
2000-10-24,3.588,3.588,3.588,,,3.588,0.0,391.0
2000-10-25,3.55,3.55,3.55,,,3.55,700.0,1076.0
2000-10-26,3.544,3.544,3.544,,,3.544,0.0,1076.0
2000-10-27,3.476,3.476,3.476,,,3.476,0.0,1076.0
2000-10-30,3.455,3.455,3.455,,,3.455,38.0,1079.0
2000-10-31,3.48,3.5,3.48,,,3.5,64.0,1143.0
2000-11-01,3.616,3.616,3.616,,,3.616,440.0,1374.0
2000-11-02,3.679,3.679,3.679,,,3.679,0.0,1374.0
2000-11-03,3.743,3.743,3.743,,,3.743,0.0,1404.0
2000-11-06,3.764,3.764,3.764,,,3.764,0.0,1404.0
2000-11-07,3.82,3.886,3.82,,,3.886,50.0,1454.0
2000-11-08,3.901,3.983,3.901,,,3.983,31.0,1424.0
2000-11-09,3.885,3.885,3.885,,,3.885,94.0,1494.0
2000-11-10,3.79,3.819,3.79,,,3.819,115.0,1494.0
2000-11-13,3.75,3.75,3.733,,,3.733,1.0,1494.0
2000-11-14,3.869,3.869,3.869,,,3.869,0.0,1494.0
2000-11-15,3.889,3.889,3.889,,,3.889,0.0,1494.0
2000-11-16,3.76,3.76,3.76,,,3.76,0.0,1494.0
2000-11-17,3.764,3.764,3.764,,,3.764,0.0,1494.0
2000-11-20,3.729,3.729,3.729,,,3.729,0.0,1494.0
2000-11-21,3.722,3.722,3.722,,,3.722,8.0,1494.0
2000-11-22,3.712,3.712,3.712,,,3.712,0.0,1494.0
2000-11-27,3.802,3.802,3.802,,,3.802,0.0,1494.0
2000-11-28,3.838,3.838,3.838,,,3.838,0.0,1494.0
2000-11-29,3.837,3.837,3.837,,,3.837,0.0,1494.0
2000-11-30,3.909,3.909,3.909,,,3.909,50.0,1469.0
2000-12-01,3.96,3.96,3.96,,,3.96,0.0,1469.0
2000-12-04,4.06,4.06,3.95,,,3.95,1.0,1469.0
2000-12-05,3.839,3.839,3.839,,,3.839,0.0,1469.0
2000-12-06,3.867,3.867,3.867,,,3.867,0.0,1469.0
2000-12-07,3.772,3.772,3.772,,,3.772,0.0,1469.0
2000-12-08,3.828,3.828,3.828,,,3.828,100.0,1469.0
2000-12-11,3.742,3.742,3.742,,,3.742,0.0,1469.0
2000-12-12,3.612,3.612,3.612,,,3.612,0.0,1469.0
2000-12-13,3.594,3.594,3.594,,,3.594,20.0,1449.0
2000-12-14,3.717,3.717,3.717,,,3.717,25.0,1433.0
2000-12-15,3.767,3.767,3.727,,,3.727,100.0,1333.0
2000-12-18,3.71,3.71,3.71,,,3.71,10.0,1333.0
2000-12-19,3.732,3.732,3.732,,,3.732,0.0,1333.0
2000-12-20,3.747,3.747,3.747,,,3.747,2.0,1335.0
2000-12-21,3.792,3.792,3.792,,,3.792,0.0,1335.0
2000-12-22,3.732,3.732,3.732,,,3.732,0.0,1335.0
2000-12-26,3.826,3.826,3.826,,,3.826,0.0,1335.0
2000-12-27,3.822,3.822,3.822,,,3.822,10.0,1341.0
2000-12-28,3.765,3.765,3.765,,,3.765,0.0,1341.0
2000-12-29,3.735,3.735,3.735,,,3.735,0.0,1341.0
2001-01-02,3.7,3.7,3.673,,,3.673,1.0,1341.0
2001-01-03,3.683,3.683,3.683,,,3.683,60.0,1381.0
2001-01-04,3.713,3.713,3.713,,,3.713,12.0,1381.0
