Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.359,8.359,8.359,,,8.359,0.0,0.0
2008-02-20,8.339,8.339,8.339,,,8.339,0.0,0.0
2008-02-21,8.365,8.365,8.365,,,8.365,0.0,0.0
2008-02-22,8.387,8.387,8.387,,,8.387,0.0,0.0
2008-02-25,8.43,8.43,8.43,,,8.43,0.0,0.0
2008-02-26,8.6,8.6,8.6,,,8.6,0.0,0.0
2008-02-27,8.643,8.643,8.643,,,8.643,0.0,0.0
2008-02-28,8.752,8.752,8.752,,,8.752,2.0,2.0
2008-02-29,8.862,8.862,8.862,,,8.862,0.0,2.0
2008-03-03,8.993,8.993,8.993,,,8.993,0.0,2.0
2008-03-05,9.071,9.071,9.071,,,9.071,0.0,2.0
2008-03-06,9.052,9.052,9.052,,,9.052,0.0,2.0
2008-03-07,9.044,9.044,9.044,,,9.044,0.0,2.0
2008-03-10,0.0,9.009,9.009,,,9.009,0.0,2.0
2008-03-11,9.105,9.105,9.105,,,9.105,0.0,2.0
2008-03-12,9.234,9.234,9.234,,,9.234,11.0,13.0
2008-03-13,0.0,9.626,9.626,,,9.626,0.0,13.0
2008-03-14,9.608,9.608,9.608,,,9.608,0.0,13.0
2008-03-17,9.306,9.306,9.306,,,9.306,0.0,13.0
2008-03-18,9.363,9.363,9.363,,,9.363,0.0,13.0
2008-03-19,9.109,9.109,9.109,,,9.109,0.0,13.0
2008-03-20,8.849,8.849,8.849,,,8.849,0.0,13.0
2008-03-24,9.002,9.002,9.002,,,9.002,0.0,13.0
2008-03-25,9.148,9.148,9.148,,,9.148,0.0,13.0
2008-03-26,9.196,9.196,9.196,,,9.196,0.0,13.0
2008-03-27,9.161,9.161,9.161,,,9.161,0.0,13.0
2008-03-28,8.917,8.917,8.917,,,8.917,0.0,13.0
2008-03-31,8.828,8.828,8.828,,,8.828,0.0,13.0
2008-04-01,8.714,8.714,8.714,,,8.714,0.0,13.0
2008-04-02,8.842,8.842,8.842,,,8.842,0.0,13.0
2008-04-03,8.744,8.744,8.744,,,8.744,0.0,13.0
