Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.49,8.49,8.49,,,8.49,0.0,0.0
2008-11-03,8.465,8.465,8.465,,,8.465,0.0,0.0
2008-11-04,8.626,8.626,8.626,,,8.626,0.0,0.0
2008-11-05,8.603,8.603,8.603,,,8.603,0.0,0.0
2008-11-06,8.583,8.583,8.583,,,8.583,0.0,0.0
2008-11-07,0.0,8.534,8.534,,,8.534,0.0,0.0
2008-11-10,8.647,8.647,8.647,,,8.647,0.0,0.0
2008-11-11,0.0,8.511,8.511,,,8.511,0.0,0.0
2008-11-12,0.0,8.421,8.421,,,8.421,0.0,0.0
2008-11-13,0.0,8.43,8.43,,,8.43,0.0,0.0
2008-11-14,8.546,8.546,8.546,,,8.546,0.0,0.0
2008-11-17,0.0,8.656,8.656,,,8.656,0.0,0.0
2008-11-18,0.0,8.59,8.59,,,8.59,0.0,0.0
2008-11-19,0.0,8.536,8.536,,,8.536,0.0,0.0
2008-11-20,0.0,8.337,8.337,,,8.337,0.0,0.0
2008-11-21,0.0,8.36,8.36,,,8.36,0.0,0.0
2008-11-24,0.0,8.48,8.48,,,8.48,0.0,0.0
2008-11-25,0.0,8.348,8.348,,,8.348,0.0,0.0
2008-11-26,0.0,8.552,8.552,,,8.552,0.0,0.0
2008-11-28,0.0,8.43,8.43,,,8.43,0.0,0.0
2008-12-01,0.0,8.434,8.434,,,8.434,0.0,0.0
2008-12-02,0.0,8.303,8.303,,,8.303,0.0,0.0
2008-12-03,0.0,8.29,8.29,,,8.29,0.0,0.0
2008-12-04,0.0,8.202,8.202,,,8.202,0.0,0.0
2008-12-05,0.0,8.042,8.042,,,8.042,0.0,0.0
2008-12-08,0.0,7.991,7.991,,,7.991,0.0,0.0
2008-12-09,0.0,8.061,8.061,,,8.061,0.0,0.0
2008-12-10,0.0,8.173,8.173,,,8.173,0.0,0.0
2008-12-11,0.0,8.142,8.142,,,8.142,0.0,0.0
2008-12-12,0.0,7.976,7.976,,,7.976,0.0,0.0
2008-12-15,0.0,7.996,7.996,,,7.996,0.0,0.0
2008-12-16,0.0,8.024,8.024,,,8.024,0.0,0.0
2008-12-17,0.0,7.983,7.983,,,7.983,0.0,0.0
2008-12-18,0.0,7.876,7.876,,,7.876,0.0,0.0
2008-12-19,0.0,7.717,7.717,,,7.717,0.0,0.0
2008-12-22,0.0,7.597,7.597,,,7.597,0.0,0.0
2008-12-23,0.0,7.56,7.56,,,7.56,0.0,0.0
2008-12-24,0.0,7.559,7.559,,,7.559,0.0,0.0
2008-12-26,0.0,7.51,7.51,,,7.51,0.0,0.0
2008-12-29,0.0,7.507,7.507,,,7.507,0.0,0.0
2008-12-30,0.0,7.403,7.403,,,7.403,0.0,0.0
2008-12-31,0.0,7.43,7.43,,,7.43,0.0,0.0
2009-01-02,0.0,7.579,7.579,,,7.579,0.0,0.0
2009-01-05,0.0,7.655,7.655,,,7.655,0.0,0.0
2009-01-06,0.0,7.723,7.723,,,7.723,0.0,0.0
2009-01-07,0.0,7.709,7.709,,,7.709,0.0,0.0
2009-01-08,0.0,7.674,7.674,,,7.674,0.0,0.0
2009-01-09,0.0,7.693,7.693,,,7.693,0.0,0.0
2009-01-12,0.0,7.762,7.762,,,7.762,0.0,0.0
2009-01-13,0.0,7.742,7.742,,,7.742,0.0,0.0
2009-01-14,0.0,7.683,7.683,,,7.683,0.0,0.0
2009-01-15,0.0,7.55,7.55,,,7.55,0.0,0.0
2009-01-16,0.0,7.542,7.542,,,7.542,0.0,0.0
2009-01-20,0.0,7.556,7.556,,,7.556,0.0,0.0
2009-01-21,0.0,7.563,7.563,,,7.563,0.0,0.0
2009-01-22,0.0,7.614,7.614,,,7.614,0.0,0.0
2009-01-23,0.0,7.6,7.6,,,7.6,0.0,0.0
2009-01-26,0.0,7.713,7.713,,,7.713,0.0,0.0
2009-01-27,0.0,7.766,7.766,,,7.766,0.0,0.0
2009-01-28,0.0,7.74,7.74,,,7.74,0.0,0.0
2009-01-29,0.0,7.779,7.779,,,7.779,0.0,0.0
2009-01-30,7.714,7.714,7.714,,,7.714,0.0,0.0
2009-02-02,7.712,7.712,7.712,,,7.712,0.0,0.0
2009-02-03,7.793,7.793,7.793,,,7.793,0.0,0.0
2009-02-04,7.862,7.862,7.862,,,7.862,0.0,0.0
2009-02-05,7.878,7.878,7.878,,,7.878,0.0,0.0
2009-02-06,7.799,7.799,7.799,,,7.799,0.0,0.0
2009-02-09,0.0,7.839,7.839,,,7.839,0.0,0.0
2009-02-10,0.0,7.745,7.745,,,7.745,0.0,0.0
2009-02-11,0.0,7.732,7.732,,,7.732,0.0,0.0
2009-02-12,0.0,7.694,7.694,,,7.694,0.0,0.0
2009-02-13,0.0,7.704,7.704,,,7.704,0.0,0.0
2009-02-17,0.0,7.602,7.602,,,7.602,0.0,0.0
2009-02-18,0.0,7.477,7.477,,,7.477,0.0,0.0
2009-02-19,0.0,7.389,7.389,,,7.389,0.0,0.0
