Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1996-04-25,1.93,1.93,1.925,,,1.925,25.0,25.0
1996-04-26,1.915,1.918,1.915,,,1.918,205.0,230.0
1996-04-29,1.93,1.93,1.93,,,1.93,0.0,230.0
1996-04-30,1.946,1.946,1.946,,,1.946,0.0,230.0
1996-05-01,1.964,1.964,1.964,,,1.964,35.0,235.0
1996-05-02,1.984,1.984,1.982,,,1.982,15.0,220.0
1996-05-03,2.005,2.005,2.005,,,2.005,0.0,222.0
1996-05-06,2.03,2.03,2.03,,,2.03,30.0,250.0
1996-05-07,2.04,2.04,2.035,,,2.035,60.0,295.0
1996-05-08,2.023,2.023,2.023,,,2.023,15.0,310.0
1996-05-09,2.009,2.009,2.009,,,2.009,25.0,335.0
1996-05-10,2.007,2.007,2.007,,,2.007,10.0,335.0
1996-05-13,2.031,2.031,2.031,,,2.031,30.0,320.0
1996-05-14,2.021,2.021,2.021,,,2.021,25.0,305.0
1996-05-15,2.021,2.021,2.021,,,2.021,0.0,305.0
1996-05-16,2.035,2.039,2.035,,,2.039,4.0,309.0
1996-05-17,2.034,2.034,2.034,,,2.034,10.0,314.0
1996-05-20,2.052,2.052,2.052,,,2.052,0.0,314.0
1996-05-21,2.05,2.052,2.04,,,2.052,75.0,369.0
1996-05-22,2.06,2.06,2.06,,,2.06,4.0,369.0
1996-05-23,2.049,2.049,2.049,,,2.049,0.0,369.0
1996-05-24,2.056,2.056,2.056,,,2.056,1.0,370.0
1996-05-28,2.066,2.066,2.066,,,2.066,30.0,370.0
1996-05-29,2.061,2.061,2.061,,,2.061,0.0,370.0
1996-05-30,2.057,2.057,2.057,,,2.057,0.0,370.0
1996-05-31,2.057,2.057,2.057,,,2.057,0.0,370.0
1996-06-03,2.052,2.052,2.052,,,2.052,0.0,370.0
1996-06-04,2.039,2.039,2.039,,,2.039,0.0,370.0
1996-06-05,2.034,2.034,2.034,,,2.034,0.0,370.0
1996-06-06,2.029,2.029,2.029,,,2.029,0.0,370.0
1996-06-07,2.036,2.036,2.036,,,2.036,0.0,370.0
1996-06-10,2.046,2.046,2.046,,,2.046,68.0,385.0
1996-06-11,2.049,2.049,2.049,,,2.049,0.0,385.0
1996-06-12,2.039,2.039,2.039,,,2.039,0.0,385.0
1996-06-13,2.05,2.05,2.05,,,2.05,0.0,385.0
1996-06-14,2.041,2.041,2.041,,,2.041,5.0,386.0
1996-06-17,2.041,2.041,2.041,,,2.041,0.0,386.0
1996-06-18,2.046,2.046,2.046,,,2.046,0.0,386.0
1996-06-19,2.037,2.037,2.037,,,2.037,0.0,386.0
1996-06-20,2.037,2.037,2.037,,,2.037,0.0,386.0
1996-06-21,2.047,2.047,2.047,,,2.047,5.0,386.0
1996-06-24,2.05,2.05,2.037,,,2.037,4.0,386.0
1996-06-25,2.03,2.03,2.03,,,2.03,0.0,386.0
1996-06-26,2.042,2.042,2.042,,,2.042,0.0,386.0
1996-06-27,2.06,2.072,2.06,,,2.072,0.0,386.0
1996-06-28,2.097,2.097,2.097,,,2.097,0.0,386.0
1996-07-01,2.052,2.052,2.052,,,2.052,20.0,386.0
1996-07-02,2.062,2.062,2.062,,,2.062,0.0,386.0
1996-07-03,2.062,2.062,2.062,,,2.062,0.0,386.0
1996-07-08,2.068,2.068,2.068,,,2.068,0.0,386.0
1996-07-09,2.043,2.043,2.043,,,2.043,0.0,386.0
1996-07-10,2.044,2.044,2.044,,,2.044,0.0,386.0
1996-07-11,2.029,2.029,2.029,,,2.029,0.0,386.0
1996-07-12,2.049,2.049,2.049,,,2.049,9.0,395.0
1996-07-15,2.054,2.054,2.054,,,2.054,0.0,395.0
1996-07-16,2.059,2.059,2.059,,,2.059,0.0,395.0
1996-07-17,2.059,2.059,2.059,,,2.059,15.0,410.0
1996-07-18,2.039,2.039,2.039,,,2.039,0.0,410.0
1996-07-19,2.056,2.056,2.056,,,2.056,0.0,410.0
1996-07-22,2.038,2.038,2.038,,,2.038,0.0,410.0
1996-07-23,2.068,2.068,2.068,,,2.068,0.0,410.0
1996-07-24,2.053,2.053,2.053,,,2.053,0.0,410.0
