Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.629,8.629,8.629,,,8.629,0.0,0.0
2008-02-20,8.609,8.609,8.609,,,8.609,0.0,0.0
2008-02-21,8.645,8.645,8.645,,,8.645,0.0,0.0
2008-02-22,8.667,8.667,8.667,,,8.667,0.0,0.0
2008-02-25,8.71,8.71,8.71,,,8.71,0.0,0.0
2008-02-26,8.88,8.88,8.88,,,8.88,0.0,0.0
2008-02-27,8.928,8.928,8.928,,,8.928,0.0,0.0
2008-02-28,9.037,9.037,9.037,,,9.037,2.0,2.0
2008-02-29,9.147,9.147,9.147,,,9.147,0.0,2.0
2008-03-03,9.278,9.278,9.278,,,9.278,0.0,2.0
2008-03-05,9.356,9.356,9.356,,,9.356,0.0,2.0
2008-03-06,9.337,9.337,9.337,,,9.337,0.0,2.0
2008-03-07,9.329,9.329,9.329,,,9.329,0.0,2.0
2008-03-10,0.0,9.294,9.294,,,9.294,0.0,2.0
2008-03-11,9.39,9.39,9.39,,,9.39,0.0,2.0
2008-03-12,9.519,9.519,9.519,,,9.519,11.0,13.0
2008-03-13,0.0,9.911,9.911,,,9.911,0.0,13.0
2008-03-14,9.893,9.893,9.893,,,9.893,0.0,13.0
2008-03-17,9.596,9.596,9.596,,,9.596,0.0,13.0
2008-03-18,9.653,9.653,9.653,,,9.653,0.0,13.0
2008-03-19,9.399,9.399,9.399,,,9.399,0.0,13.0
2008-03-20,9.139,9.139,9.139,,,9.139,0.0,13.0
2008-03-24,9.292,9.292,9.292,,,9.292,0.0,13.0
2008-03-25,9.438,9.438,9.438,,,9.438,0.0,13.0
2008-03-26,9.486,9.486,9.486,,,9.486,0.0,13.0
2008-03-27,9.451,9.451,9.451,,,9.451,0.0,13.0
2008-03-28,9.207,9.207,9.207,,,9.207,0.0,13.0
2008-03-31,9.118,9.118,9.118,,,9.118,0.0,13.0
2008-04-01,9.004,9.004,9.004,,,9.004,0.0,13.0
2008-04-02,9.132,9.132,9.132,,,9.132,0.0,13.0
2008-04-03,9.034,9.034,9.034,,,9.034,0.0,13.0
2008-04-04,9.132,9.132,9.132,,,9.132,0.0,13.0
2008-04-07,9.299,9.299,9.299,,,9.299,0.0,13.0
2008-04-08,9.254,9.254,9.254,,,9.254,0.0,13.0
2008-04-09,9.225,9.225,9.225,,,9.225,0.0,13.0
2008-04-10,9.07,9.07,9.07,,,9.07,0.0,13.0
2008-04-11,9.005,9.005,9.005,,,9.005,0.0,13.0
2008-04-14,8.973,8.973,8.973,,,8.973,0.0,13.0
2008-04-15,8.94,8.94,8.94,,,8.94,0.0,13.0
2008-04-16,8.926,8.926,8.926,,,8.926,0.0,13.0
2008-04-17,8.971,8.971,8.971,,,8.971,0.0,13.0
