Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-21,8.84,8.84,8.84,,,8.84,0.0,0.0
2009-12-01,0.0,8.127,8.127,,,8.127,0.0,0.0
2009-12-02,0.0,8.176,8.176,,,8.176,0.0,0.0
2009-12-03,0.0,8.131,8.131,,,8.131,0.0,0.0
2009-12-04,0.0,8.225,8.225,,,8.225,0.0,0.0
2009-12-07,0.0,8.464,8.464,,,8.464,0.0,0.0
2009-12-08,0.0,8.365,8.365,,,8.365,0.0,0.0
2009-12-09,0.0,8.218,8.218,,,8.218,0.0,0.0
2009-12-10,0.0,8.257,8.257,,,8.257,0.0,0.0
2009-12-11,0.0,8.209,8.209,,,8.209,0.0,0.0
2009-12-14,0.0,8.282,8.282,,,8.282,0.0,0.0
2009-12-15,0.0,8.318,8.318,,,8.318,0.0,0.0
2009-12-16,0.0,8.313,8.313,,,8.313,0.0,0.0
2009-12-17,0.0,8.219,8.219,,,8.219,0.0,0.0
2009-12-18,0.0,8.138,8.138,,,8.138,0.0,0.0
2009-12-21,0.0,8.071,8.071,,,8.071,0.0,0.0
2009-12-22,0.0,8.072,8.072,,,8.072,0.0,0.0
2009-12-23,0.0,8.041,8.041,,,8.041,0.0,0.0
2009-12-24,0.0,8.025,8.025,,,8.025,0.0,0.0
2009-12-28,0.0,8.079,8.079,,,8.079,0.0,0.0
2009-12-29,0.0,8.018,8.018,,,8.018,0.0,0.0
2009-12-30,0.0,8.044,8.044,,,8.044,0.0,0.0
2009-12-31,0.0,8.065,8.065,,,8.065,0.0,0.0
2010-01-04,0.0,8.164,8.164,,,8.164,0.0,0.0
2010-01-06,0.0,8.076,8.076,,,8.076,0.0,0.0
2010-01-07,0.0,7.99,7.99,,,7.99,0.0,0.0
2010-01-08,0.0,8.01,8.01,,,8.01,0.0,0.0
2010-01-11,0.0,7.996,7.996,,,7.996,0.0,0.0
2010-01-12,0.0,7.971,7.971,,,7.971,0.0,0.0
2010-01-13,0.0,7.982,7.982,,,7.982,0.0,0.0
2010-01-14,0.0,7.987,7.987,,,7.987,0.0,0.0
2010-01-15,0.0,7.993,7.993,,,7.993,0.0,0.0
2010-01-19,0.0,7.909,7.909,,,7.909,0.0,0.0
2010-01-20,0.0,7.937,7.937,,,7.937,0.0,0.0
2010-01-21,0.0,7.984,7.984,,,7.984,0.0,0.0
2010-01-22,0.0,8.02,8.02,,,8.02,0.0,0.0
2010-01-25,0.0,8.01,8.01,,,8.01,0.0,0.0
2010-01-26,0.0,8.006,8.006,,,8.006,0.0,0.0
2010-01-27,0.0,7.931,7.931,,,7.931,0.0,0.0
2010-01-28,0.0,7.915,7.915,,,7.915,0.0,0.0
2010-01-29,0.0,7.955,7.955,,,7.955,0.0,0.0
2010-02-01,0.0,8.03,8.03,,,8.03,0.0,0.0
2010-02-02,0.0,8.077,8.077,,,8.077,0.0,0.0
2010-02-03,0.0,8.051,8.051,,,8.051,0.0,0.0
2010-02-04,0.0,8.019,8.019,,,8.019,0.0,0.0
2010-02-05,0.0,8.031,8.031,,,8.031,0.0,0.0
2010-02-08,0.0,7.978,7.978,,,7.978,0.0,0.0
2010-02-09,0.0,7.947,7.947,,,7.947,0.0,0.0
2010-02-10,0.0,7.982,7.982,,,7.982,0.0,0.0
2010-02-11,0.0,7.977,7.977,,,7.977,0.0,0.0
2010-02-12,0.0,7.924,7.924,,,7.924,0.0,0.0
2010-02-16,0.0,7.86,7.86,,,7.86,0.0,0.0
2010-02-17,0.0,7.827,7.827,,,7.827,0.0,0.0
2010-02-18,0.0,7.792,7.792,,,7.792,0.0,0.0
2010-02-19,0.0,7.759,7.759,,,7.759,0.0,0.0
2010-02-22,0.0,7.775,7.775,,,7.775,0.0,0.0
2010-02-24,0.0,7.736,7.736,,,7.736,0.0,0.0
2010-02-25,0.0,7.723,7.723,,,7.723,0.0,0.0
2010-02-26,0.0,7.725,7.725,,,7.725,0.0,0.0
2010-03-01,0.0,7.69,7.69,,,7.69,0.0,0.0
2010-03-02,0.0,7.672,7.672,,,7.672,0.0,0.0
2010-03-03,0.0,7.651,7.651,,,7.651,0.0,0.0
2010-03-04,0.0,7.541,7.541,,,7.541,0.0,0.0
2010-03-05,0.0,7.547,7.547,,,7.547,0.0,0.0
2010-03-08,0.0,7.558,7.558,,,7.558,0.0,0.0
2010-03-09,0.0,7.548,7.548,,,7.548,0.0,0.0
2010-03-10,0.0,7.585,7.585,,,7.585,0.0,0.0
2010-03-11,0.0,7.565,7.565,,,7.565,0.0,0.0
2010-03-12,0.0,7.666,7.666,,,7.666,0.0,0.0
2010-03-15,0.0,7.684,7.684,,,7.684,0.0,0.0
2010-03-16,0.0,7.748,7.748,,,7.748,0.0,0.0
2010-03-17,0.0,7.85,7.85,,,7.85,0.0,0.0
2010-03-18,0.0,7.916,7.916,,,7.916,0.0,0.0
2010-03-19,0.0,8.206,8.206,,,8.206,0.0,0.0
2010-03-22,0.0,8.177,8.177,,,8.177,0.0,0.0
2010-03-23,0.0,8.018,8.018,,,8.018,0.0,0.0
2010-03-24,0.0,7.919,7.919,,,7.919,0.0,0.0
2010-03-25,0.0,8.066,8.066,,,8.066,0.0,0.0
2010-03-26,0.0,7.978,7.978,,,7.978,0.0,0.0
2010-03-29,0.0,7.961,7.961,,,7.961,0.0,0.0
2010-03-30,0.0,8.051,8.051,,,8.051,0.0,0.0
2010-03-31,0.0,8.135,8.135,,,8.135,0.0,0.0
2010-04-01,0.0,8.176,8.176,,,8.176,0.0,0.0
2010-04-05,0.0,8.276,8.276,,,8.276,0.0,0.0
2010-04-06,0.0,8.16,8.16,,,8.16,0.0,0.0
2010-04-07,0.0,8.141,8.141,,,8.141,0.0,0.0
2010-04-08,0.0,8.086,8.086,,,8.086,0.0,0.0
2010-04-09,0.0,8.189,8.189,,,8.189,0.0,0.0
2010-04-12,0.0,8.148,8.148,,,8.148,0.0,0.0
2010-04-13,0.0,8.212,8.212,,,8.212,0.0,0.0
2010-04-14,0.0,8.252,8.252,,,8.252,0.0,0.0
2010-04-15,0.0,8.227,8.227,,,8.227,0.0,0.0
2010-04-16,0.0,8.198,8.198,,,8.198,0.0,0.0
2010-04-19,0.0,8.195,8.195,,,8.195,0.0,0.0
2010-04-20,0.0,8.274,8.274,,,8.274,0.0,0.0
2010-04-21,0.0,8.31,8.31,,,8.31,0.0,0.0
2010-04-22,0.0,8.391,8.391,,,8.391,0.0,0.0
2010-04-23,0.0,8.417,8.417,,,8.417,0.0,0.0
2010-04-26,0.0,8.394,8.394,,,8.394,0.0,0.0
2010-04-27,0.0,8.378,8.378,,,8.378,0.0,0.0
2010-04-28,0.0,8.384,8.384,,,8.384,0.0,0.0
2010-04-29,0.0,8.305,8.305,,,8.305,0.0,0.0
2010-04-30,0.0,8.289,8.289,,,8.289,0.0,0.0
2010-05-03,0.0,8.364,8.364,,,8.364,0.0,0.0
2010-05-04,0.0,8.438,8.438,,,8.438,0.0,0.0
2010-05-05,0.0,8.49,8.49,,,8.49,0.0,0.0
2010-05-06,0.0,8.482,8.482,,,8.482,0.0,0.0
2010-05-07,0.0,8.499,8.499,,,8.499,0.0,0.0
2010-05-10,0.0,8.529,8.529,,,8.529,0.0,0.0
2010-05-11,0.0,8.546,8.546,,,8.546,0.0,0.0
2010-05-12,0.0,8.586,8.586,,,8.586,0.0,0.0
2010-05-13,0.0,8.528,8.528,,,8.528,0.0,0.0
2010-05-14,0.0,8.421,8.421,,,8.421,0.0,0.0
2010-05-17,0.0,8.383,8.383,,,8.383,0.0,0.0
2010-05-18,0.0,8.318,8.318,,,8.318,0.0,0.0
2010-05-19,0.0,8.228,8.228,,,8.228,0.0,0.0
2010-05-20,0.0,8.193,8.193,,,8.193,0.0,0.0
2010-05-21,0.0,8.109,8.109,,,8.109,0.0,0.0
2010-05-24,0.0,8.083,8.083,,,8.083,0.0,0.0
2010-05-25,0.0,8.11,8.11,,,8.11,0.0,0.0
2010-05-26,0.0,8.08,8.08,,,8.08,0.0,0.0
2010-05-27,0.0,8.048,8.048,,,8.048,0.0,0.0
2010-05-28,0.0,8.013,8.013,,,8.013,0.0,0.0
2010-06-01,0.0,7.886,7.886,,,7.886,0.0,0.0
2010-06-02,0.0,7.9,7.9,,,7.9,0.0,0.0
2010-06-03,0.0,7.88,7.88,,,7.88,0.0,0.0
2010-06-04,0.0,7.814,7.814,,,7.814,0.0,0.0
2010-06-07,0.0,7.822,7.822,,,7.822,0.0,0.0
2010-06-08,0.0,7.782,7.782,,,7.782,0.0,0.0
2010-06-09,0.0,7.791,7.791,,,7.791,0.0,0.0
2010-06-10,0.0,7.858,7.858,,,7.858,0.0,0.0
2010-06-11,0.0,7.823,7.823,,,7.823,0.0,0.0
2010-06-14,0.0,7.73,7.73,,,7.73,0.0,0.0
2010-06-15,0.0,7.736,7.736,,,7.736,0.0,0.0
2010-06-16,0.0,7.859,7.859,,,7.859,0.0,0.0
2010-06-17,0.0,7.943,7.943,,,7.943,0.0,0.0
2010-06-18,0.0,8.022,8.022,,,8.022,0.0,0.0
2010-06-21,0.0,7.99,7.99,,,7.99,0.0,0.0
2010-06-22,0.0,8.007,8.007,,,8.007,0.0,0.0
2010-06-23,0.0,8.063,8.063,,,8.063,0.0,0.0
2010-06-24,0.0,8.073,8.073,,,8.073,0.0,0.0
2010-06-25,0.0,8.073,8.073,,,8.073,0.0,0.0
