Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2006-12-05,7.164,7.164,7.164,,,7.164,1.0,0.0
2006-12-06,7.164,7.164,7.164,,,7.164,0.0,0.0
2006-12-11,7.2,7.2,7.2,,,7.2,2.0,0.0
2006-12-12,7.2,7.2,7.2,,,7.2,0.0,0.0
2006-12-13,7.15,7.15,7.15,,,7.15,0.0,0.0
2006-12-14,7.1,7.1,7.1,,,7.1,0.0,0.0
2006-12-15,7.1,7.1,7.1,,,7.1,0.0,0.0
2006-12-19,7.05,7.05,7.05,,,7.05,0.0,0.0
2006-12-20,7.05,7.05,7.05,,,7.05,0.0,0.0
2006-12-26,7.0,7.05,6.95,,,7.05,5.0,0.0
2006-12-27,7.0,7.05,6.95,,,6.95,1.0,0.0
2006-12-28,6.99,6.99,6.99,,,6.99,1.0,0.0
2006-12-29,7.003,7.003,7.003,,,7.003,0.0,161.0
2007-01-02,7.003,7.003,7.003,,,7.003,0.0,161.0
2007-01-12,7.547,7.547,7.547,,,7.547,0.0,0.0
2007-01-16,7.538,7.538,7.538,,,7.538,0.0,0.0
2007-01-19,7.485,7.485,7.485,,,7.485,0.0,0.0
2007-01-22,7.445,7.445,7.445,,,7.445,0.0,0.0
2007-01-24,7.384,7.384,7.384,,,7.384,0.0,0.0
2007-01-26,7.445,7.445,7.445,,,7.445,0.0,0.0
2007-01-30,7.457,7.457,7.457,,,7.457,0.0,0.0
2007-02-02,7.544,7.544,7.544,,,7.544,0.0,406.0
2007-02-05,7.536,7.536,7.536,,,7.536,0.0,406.0
2007-02-06,7.619,7.619,7.619,,,7.619,0.0,406.0
2007-02-07,7.706,7.706,7.706,,,7.706,0.0,0.0
2007-02-12,7.72,7.72,7.72,,,7.72,0.0,0.0
2007-02-13,7.838,7.838,7.838,,,7.838,0.0,0.0
2007-02-16,7.893,7.893,7.893,,,7.893,0.0,0.0
2007-02-20,7.892,7.892,7.892,,,7.892,0.0,0.0
2007-03-06,8.0,8.0,8.0,,,8.0,0.0,0.0
2007-03-07,8.0,8.0,8.0,,,8.0,0.0,0.0
2007-03-12,7.887,7.887,7.887,,,7.887,0.0,0.0
2007-04-04,8.033,8.033,8.033,,,8.033,0.0,0.0
2007-04-05,8.078,8.078,8.078,,,8.078,0.0,0.0
2007-04-09,8.071,8.071,8.071,,,8.071,0.0,0.0
2007-04-10,8.113,8.113,8.113,,,8.113,0.0,0.0
2007-04-13,8.17,8.17,8.17,,,8.17,1.0,0.0
2007-04-16,8.18,8.18,8.18,,,8.18,1.0,0.0
2007-04-19,8.169,8.169,8.169,,,8.169,0.0,0.0
2007-04-23,8.272,8.272,8.272,,,8.272,0.0,0.0
2007-05-11,8.409,8.409,8.409,,,8.409,0.0,849.0
2007-05-25,8.425,8.425,8.425,,,8.425,0.0,0.0
2007-06-01,8.38,8.38,8.375,,,8.375,0.0,0.0
2007-06-05,8.32,8.325,8.32,,,8.325,40.0,0.0
2007-06-07,8.27,8.27,8.23,,,8.23,40.0,0.0
2007-06-08,8.27,8.27,8.23,,,8.23,40.0,0.0
2007-06-18,8.404,8.404,8.404,,,8.404,0.0,1034.0
2007-06-19,8.404,8.404,8.404,,,8.404,0.0,0.0
2007-06-20,8.35,8.35,8.34,,,8.34,0.0,1032.0
2007-06-21,8.35,8.35,8.34,,,8.34,0.0,1032.0
2007-06-29,8.343,8.343,8.343,,,8.343,0.0,0.0
2007-07-03,8.275,8.275,8.275,,,8.275,2.0,1034.0
2007-07-06,8.128,8.128,8.128,,,8.128,3.0,1042.0
2007-07-13,8.009,8.009,8.009,,,8.009,3.0,1042.0
2007-07-16,8.05,8.05,8.05,,,8.05,12.0,1278.0
2007-07-20,8.15,8.15,8.089,,,8.089,0.0,1280.0
2007-07-27,8.167,8.167,8.167,,,8.167,0.0,1280.0
2007-08-03,8.2,8.218,8.187,,,8.218,0.0,1280.0
2007-08-06,8.2,8.218,8.187,,,8.218,0.0,1235.0
2007-08-10,8.115,8.115,8.115,,,8.115,0.0,1262.0
2007-08-17,8.043,8.043,7.989,,,7.989,0.0,1262.0
2007-08-20,8.043,8.043,7.989,,,7.989,0.0,1265.0
2007-08-21,8.01,8.01,8.01,,,8.01,2.0,1267.0
