Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2008-02-19,8.939,8.939,8.939,,,8.939,0.0,0.0
2008-02-20,8.919,8.919,8.919,,,8.919,0.0,0.0
2008-02-21,8.965,8.965,8.965,,,8.965,0.0,0.0
2008-02-22,8.987,8.987,8.987,,,8.987,0.0,0.0
2008-02-25,9.03,9.03,9.03,,,9.03,0.0,0.0
2008-02-26,9.2,9.2,9.2,,,9.2,0.0,0.0
2008-02-27,9.253,9.253,9.253,,,9.253,0.0,0.0
2008-02-28,9.362,9.362,9.362,,,9.362,2.0,2.0
2008-02-29,9.472,9.472,9.472,,,9.472,0.0,2.0
2008-03-03,9.618,9.618,9.618,,,9.618,0.0,2.0
2008-03-05,9.716,9.716,9.716,,,9.716,0.0,2.0
2008-03-06,9.697,9.697,9.697,,,9.697,0.0,2.0
2008-03-07,9.694,9.694,9.694,,,9.694,0.0,2.0
2008-03-10,0.0,9.659,9.659,,,9.659,0.0,2.0
2008-03-11,9.755,9.755,9.755,,,9.755,0.0,2.0
2008-03-12,9.884,9.884,9.884,,,9.884,11.0,13.0
2008-03-13,0.0,10.276,10.276,,,10.276,0.0,13.0
2008-03-14,10.258,10.258,10.258,,,10.258,0.0,13.0
2008-03-17,9.976,9.976,9.976,,,9.976,0.0,13.0
2008-03-18,10.033,10.033,10.033,,,10.033,0.0,13.0
2008-03-19,9.779,9.779,9.779,,,9.779,0.0,13.0
2008-03-20,9.529,9.529,9.529,,,9.529,0.0,13.0
2008-03-24,9.682,9.682,9.682,,,9.682,0.0,13.0
2008-03-25,9.828,9.828,9.828,,,9.828,0.0,13.0
2008-03-26,9.876,9.876,9.876,,,9.876,0.0,13.0
2008-03-27,9.85,9.85,9.841,,,9.841,0.0,13.0
2008-03-28,9.597,9.597,9.597,,,9.597,1.0,14.0
2008-03-31,9.508,9.508,9.508,,,9.508,0.0,14.0
2008-04-01,9.394,9.394,9.394,,,9.394,0.0,14.0
2008-04-02,9.522,9.522,9.522,,,9.522,0.0,14.0
2008-04-03,9.424,9.424,9.424,,,9.424,0.0,14.0
2008-04-04,9.522,9.522,9.522,,,9.522,0.0,14.0
2008-04-07,9.689,9.689,9.689,,,9.689,0.0,14.0
2008-04-08,9.644,9.644,9.644,,,9.644,0.0,14.0
2008-04-09,9.615,9.615,9.615,,,9.615,0.0,14.0
2008-04-10,9.45,9.45,9.45,,,9.45,0.0,14.0
2008-04-11,9.385,9.385,9.385,,,9.385,0.0,14.0
2008-04-14,9.353,9.353,9.353,,,9.353,0.0,14.0
2008-04-15,9.4,9.4,9.32,,,9.32,0.0,14.0
2008-04-16,9.345,9.345,9.306,,,9.306,1.0,15.0
2008-04-17,9.351,9.351,9.351,,,9.351,2.0,17.0
2008-04-18,9.562,9.562,9.562,,,9.562,0.0,17.0
2008-04-21,9.725,9.725,9.725,,,9.725,3.0,17.0
2008-04-22,9.814,9.814,9.814,,,9.814,0.0,17.0
2008-04-23,9.886,9.886,9.886,,,9.886,0.0,17.0
2008-04-24,9.795,9.795,9.795,,,9.795,0.0,17.0
2008-04-25,9.784,9.784,9.784,,,9.784,1.0,17.0
2008-04-28,9.809,9.809,9.809,,,9.809,0.0,17.0
2008-04-29,9.7,9.7,9.7,,,9.7,0.0,17.0
2008-04-30,9.715,9.715,9.715,,,9.715,0.0,17.0
2008-05-02,9.779,9.779,9.779,,,9.779,0.0,17.0
2008-05-05,9.77,9.77,9.77,,,9.77,0.0,17.0
2008-05-06,9.756,9.756,9.756,,,9.756,0.0,17.0
2008-05-07,9.797,9.797,9.797,,,9.797,500.0,514.0
2008-05-08,9.764,9.764,9.764,,,9.764,0.0,514.0
2008-05-09,9.85,9.85,9.745,,,9.745,0.0,714.0
2008-05-12,9.684,9.684,9.684,,,9.684,232.0,946.0
2008-05-13,9.75,9.75,9.7,,,9.7,0.0,946.0
2008-05-14,9.74,9.74,9.74,,,9.74,35.0,981.0
2008-05-15,9.788,9.788,9.788,,,9.788,0.0,981.0
2008-05-16,9.9,9.9,9.869,,,9.869,200.0,1181.0
2008-05-19,10.236,10.236,10.236,,,10.236,201.0,1381.0
2008-05-20,10.7,10.82,10.55,,,10.812,0.0,1381.0
2008-05-21,10.85,11.084,10.85,,,11.084,258.0,1634.0
2008-05-22,11.1,11.1,11.06,,,11.06,461.0,2089.0
2008-05-23,11.009,11.009,11.009,,,11.009,415.0,2500.0
2008-05-27,10.8,10.986,10.8,,,10.986,0.0,2500.0
