Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2008-02-19,9.004,9.004,9.004,,,9.004,0.0,0.0
2008-02-20,9.004,9.004,9.004,,,9.004,0.0,0.0
2008-02-21,9.065,9.065,9.065,,,9.065,0.0,0.0
2008-02-22,9.087,9.087,9.087,,,9.087,0.0,0.0
2008-02-25,9.13,9.13,9.13,,,9.13,0.0,0.0
2008-02-26,9.3,9.3,9.3,,,9.3,0.0,0.0
2008-02-27,9.403,9.403,9.403,,,9.403,0.0,0.0
2008-02-28,9.512,9.512,9.512,,,9.512,0.0,0.0
2008-02-29,9.632,9.632,9.632,,,9.632,0.0,0.0
2008-03-03,9.818,9.818,9.818,,,9.818,0.0,0.0
2008-03-05,9.966,9.966,9.966,,,9.966,0.0,0.0
2008-03-06,9.947,9.947,9.947,,,9.947,0.0,0.0
2008-03-07,9.959,9.959,9.959,,,9.959,0.0,0.0
2008-03-10,0.0,9.934,9.934,,,9.934,0.0,0.0
2008-03-11,10.05,10.05,10.05,,,10.05,0.0,0.0
2008-03-12,10.179,10.179,10.179,,,10.179,0.0,0.0
2008-03-13,0.0,10.571,10.571,,,10.571,0.0,0.0
2008-03-14,10.563,10.563,10.563,,,10.563,0.0,0.0
2008-03-17,10.351,10.351,10.351,,,10.351,0.0,0.0
2008-03-18,10.408,10.408,10.408,,,10.408,0.0,0.0
2008-03-19,10.194,10.194,10.194,,,10.194,0.0,0.0
2008-03-20,9.984,9.984,9.984,,,9.984,0.0,0.0
2008-03-24,10.117,10.117,10.117,,,10.117,0.0,0.0
2008-03-25,10.223,10.223,10.223,,,10.223,0.0,0.0
2008-03-26,10.271,10.271,10.271,,,10.271,0.0,0.0
2008-03-27,10.236,10.236,10.236,,,10.236,0.0,0.0
2008-03-28,10.012,10.012,10.012,,,10.012,0.0,0.0
2008-03-31,9.923,9.923,9.923,,,9.923,0.0,0.0
2008-04-01,9.809,9.809,9.809,,,9.809,0.0,0.0
2008-04-02,9.937,9.937,9.937,,,9.937,0.0,0.0
2008-04-03,9.839,9.839,9.839,,,9.839,0.0,0.0
2008-04-04,9.937,9.937,9.937,,,9.937,0.0,0.0
2008-04-07,10.084,10.084,10.084,,,10.084,0.0,0.0
2008-04-08,10.039,10.039,10.039,,,10.039,0.0,0.0
2008-04-09,10.01,10.01,10.01,,,10.01,0.0,0.0
2008-04-10,9.84,9.84,9.84,,,9.84,0.0,0.0
2008-04-11,9.785,9.785,9.785,,,9.785,0.0,0.0
2008-04-14,9.753,9.753,9.753,,,9.753,0.0,0.0
2008-04-15,9.69,9.69,9.69,,,9.69,0.0,0.0
2008-04-16,9.626,9.626,9.626,,,9.626,0.0,0.0
2008-04-17,9.596,9.596,9.596,,,9.596,0.0,0.0
2008-04-18,9.807,9.807,9.807,,,9.807,0.0,0.0
