Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-01-04,0.0,2.3271,2.3271,,,2.3271,0.0,0.0
2010-01-06,0.0,2.3612,2.3612,,,2.3612,0.0,0.0
2010-01-07,0.0,2.3489,2.3489,,,2.3489,0.0,0.0
2010-01-08,0.0,2.3439,2.3422,,,2.3422,0.0,0.0
2010-01-11,0.0,2.3417,2.3347,,,2.3347,0.0,0.0
2010-01-12,0.0,2.2912,2.2912,,,2.2912,0.0,0.0
2010-01-13,0.0,2.2634,2.2634,,,2.2634,0.0,0.0
2010-01-14,0.0,2.2609,2.2609,,,2.2609,0.0,0.0
2010-01-15,0.0,2.2365,2.2365,,,2.2365,0.0,0.0
2010-01-19,0.0,2.2406,2.2406,,,2.2406,0.0,0.0
2010-01-20,0.0,2.2161,2.2161,,,2.2161,0.0,0.0
2010-01-21,0.0,2.1694,2.1694,,,2.1694,0.0,0.0
2010-01-22,0.0,2.1329,2.1329,,,2.1329,0.0,0.0
2010-01-25,0.0,2.1504,2.1504,,,2.1504,0.0,0.0
2010-01-26,0.0,2.1334,2.1334,,,2.1334,0.0,0.0
2010-01-27,0.0,2.1085,2.1085,,,2.1085,0.0,0.0
2010-01-28,0.0,2.0991,2.0991,,,2.0991,0.0,0.0
2010-01-29,0.0,2.0859,2.0859,,,2.0859,0.0,0.0
2010-02-01,0.0,2.1199,2.1199,,,2.1199,0.0,0.0
2010-02-02,0.0,2.1882,2.1882,,,2.1882,0.0,0.0
2010-02-03,0.0,2.1921,2.1921,,,2.1921,0.0,0.0
2010-02-04,0.0,2.1037,2.1037,,,2.1037,0.0,0.0
2010-02-05,0.0,2.0504,2.0499,,,2.0499,0.0,0.0
2010-02-08,0.0,2.0615,2.0615,,,2.0615,0.0,0.0
2010-02-09,0.0,2.107,2.107,,,2.107,0.0,0.0
2010-02-10,0.0,2.1173,2.1173,,,2.1173,0.0,0.0
2010-02-11,0.0,2.1359,2.1359,,,2.1359,0.0,0.0
2010-02-12,0.0,2.1143,2.1143,,,2.1143,0.0,0.0
2010-02-16,0.0,2.1699,2.1699,,,2.1699,0.0,0.0
2010-02-17,0.0,2.1778,2.1778,,,2.1778,0.0,0.0
2010-02-18,0.0,2.211,2.211,,,2.211,0.0,0.0
2010-02-19,0.0,2.2017,2.2017,,,2.2017,0.0,0.0
2010-02-22,0.0,2.2106,2.2106,,,2.2106,0.0,0.0
2010-02-24,0.0,2.2001,2.2001,,,2.2001,0.0,0.0
2010-02-25,0.0,2.1526,2.1526,,,2.1526,0.0,0.0
2010-02-26,0.0,2.1921,2.1921,,,2.1921,0.0,0.0
2010-03-01,0.0,2.1709,2.1709,,,2.1709,0.0,0.0
2010-03-02,0.0,2.198,2.198,,,2.198,0.0,0.0
2010-03-03,0.0,2.2223,2.2209,,,2.2209,0.0,0.0
2010-03-04,0.0,2.2136,2.2136,,,2.2136,0.0,0.0
2010-03-05,0.0,2.2487,2.2466,,,2.2487,0.0,0.0
2010-03-08,0.0,2.2599,2.2599,,,2.2599,0.0,0.0
2010-03-09,0.0,2.2397,2.2397,,,2.2397,0.0,0.0
2010-03-10,0.0,2.2529,2.2529,,,2.2529,0.0,0.0
2010-03-11,0.0,2.2477,2.2477,,,2.2477,0.0,0.0
2010-03-12,0.0,2.2225,2.2225,,,2.2225,0.0,0.0
2010-03-15,0.0,2.1875,2.1838,,,2.1838,0.0,0.0
2010-03-16,0.0,2.2202,2.2117,,,2.2117,0.0,0.0
2010-03-17,0.0,2.2397,2.2397,,,2.2397,0.0,0.0
2010-03-18,0.0,2.2267,2.2267,,,2.2267,0.0,0.0
2010-03-19,0.0,2.1881,2.1881,,,2.1881,0.0,0.0
