Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-02-14,0.0,0.0,0.0,,,2.3373,0.0,0.0
2014-02-18,0.0,0.0,0.0,,0.0288,2.3661,0.0,0.0
2014-02-19,,,,,0.0149,2.381,0.0,0.0
2014-02-20,,,,,0.0029,2.3839,0.0,0.0
2014-02-21,,,,,0.0085,2.3754,0.0,0.0
2014-02-24,,,,,0.0081,2.3835,0.0,0.0
2014-02-25,,,,,0.0231,2.3604,0.0,0.0
2014-02-26,,,,,0.0117,2.3721,0.0,0.0
2014-02-27,,,,,0.0061,2.366,0.0,0.0
2014-02-28,,,,,0.01,2.376,0.0,0.0
2014-03-03,,,,,0.0416,2.4176,0.0,0.0
2014-03-04,,,,,0.0484,2.3692,0.0,0.0
2014-03-05,,,,,0.039,2.3302,0.0,0.0
2014-03-06,,,,,0.0141,2.3443,0.0,0.0
2014-03-07,,,,,0.0182,2.3625,0.0,0.0
2014-03-10,,,,,0.0181,2.3444,0.0,0.0
2014-03-11,,,,,0.0095,2.3539,0.0,0.0
2014-03-12,,,,,0.0171,2.3368,0.0,0.0
2014-03-13,,,,,0.0016,2.3384,0.0,0.0
2014-03-14,,,,,0.0231,2.3615,0.0,0.0
2014-03-17,,,,,0.0521,2.3094,0.0,0.0
2014-03-18,,,,,0.0252,2.3346,0.0,0.0
2014-03-19,,,,,0.0154,2.3192,0.0,0.0
2014-03-20,,,,,0.0159,2.3351,0.0,0.0
2014-03-21,,,,,0.0063,2.3288,0.0,0.0
2014-03-24,,,,,0.0014,2.3302,0.0,0.0
2014-03-25,,,,,0.0057,2.3359,0.0,0.0
2014-03-26,,,,,0.0143,2.3502,0.0,0.0
2014-03-27,,,,,0.0113,2.3615,0.0,0.0
2014-03-28,,,,,0.0077,2.3692,0.0,0.0
2014-03-31,,,,,0.0057,2.3635,0.0,0.0
2014-04-01,,,,,0.0345,2.329,0.0,0.0
2014-04-02,,,,,0.0149,2.3141,0.0,0.0
2014-04-03,,,,,0.0325,2.3466,0.0,0.0
2014-04-04,,,,,0.013,2.3596,0.0,0.0
2014-04-07,,,,,0.0026,2.357,0.0,0.0
2014-04-08,,,,,0.0343,2.3913,0.0,0.0
2014-04-09,,,,,0.008,2.3993,0.0,0.0
2014-04-10,,,,,0.0149,2.3844,0.0,0.0
2014-04-11,,,,,0.0056,2.3788,0.0,0.0
2014-04-14,,,,,0.0304,2.4092,0.0,0.0
2014-04-15,,,,,0.0119,2.4211,0.0,0.0
2014-04-16,,,,,0.0121,2.409,0.0,0.0
2014-04-17,,,,,0.0069,2.4021,0.0,0.0
2014-04-21,,,,,0.0027,2.3994,0.0,0.0
2014-04-22,,,,,0.0084,2.391,0.0,0.0
2014-04-23,,,,,0.0008,2.3902,0.0,0.0
2014-04-24,,,,,0.0136,2.4038,0.0,0.0
2014-04-25,,,,,0.0185,2.3853,0.0,0.0
2014-04-28,,,,,0.0208,2.3645,0.0,0.0
2014-04-29,,,,,0.0198,2.3843,0.0,0.0
2014-04-30,,,,,0.0194,2.3649,0.0,0.0
2014-05-01,,,,,0.0025,2.3624,0.0,0.0
2014-05-02,,,,,0.0138,2.3762,0.0,0.0
2014-05-05,,,,,0.0154,2.3608,0.0,0.0
2014-05-06,,,,,0.0146,2.3462,0.0,0.0
2014-05-07,,,,,0.0379,2.3841,0.0,0.0
2014-05-08,,,,,0.0027,2.3814,0.0,0.0
2014-05-09,,,,,0.0113,2.3701,0.0,0.0
2014-05-12,,,,,0.0159,2.386,0.0,0.0
2014-05-13,,,,,0.0122,2.3982,0.0,0.0
2014-05-14,,,,,0.0112,2.4094,0.0,0.0
2014-05-15,,,,,0.0024,2.407,0.0,0.0
2014-05-16,,,,,0.0025,2.4095,0.0,0.0
2014-05-19,,,,,0.0065,2.403,0.0,0.0
2014-05-20,,,,,0.0118,2.4148,0.0,0.0
2014-05-21,,,,,0.0192,2.434,0.0,0.0
2014-05-22,,,,,0.0035,2.4305,0.0,0.0
2014-05-23,,,,,0.0143,2.4448,0.0,0.0
2014-05-27,,,,,0.0104,2.4344,0.0,0.0
2014-05-28,,,,,0.0041,2.4303,0.0,0.0
2014-05-29,,,,,0.0024,2.4327,0.0,0.0
2014-05-30,,,,,0.0177,2.415,0.0,0.0
2014-06-02,,,,,0.0139,2.4011,0.0,0.0
2014-06-03,,,,,0.0005,2.4006,0.0,0.0
2014-06-04,,,,,0.0086,2.392,0.0,0.0
2014-06-05,,,,,0.0133,2.4053,0.0,0.0
2014-06-06,,,,,0.0106,2.3947,0.0,0.0
2014-06-09,,,,,0.0107,2.4054,0.0,0.0
2014-06-10,,,,,0.0045,2.4009,0.0,0.0
2014-06-11,,,,,0.0056,2.4065,0.0,0.0
2014-06-12,,,,,0.0446,2.4511,0.0,0.0
2014-06-13,,,,,0.001,2.4521,0.0,0.0
2014-06-16,,,,,0.0126,2.4647,0.0,0.0
2014-06-17,,,,,0.0172,2.4819,0.0,0.0
2014-06-18,,,,,0.0101,2.492,0.0,0.0
2014-06-19,,,,,0.0077,2.4997,0.0,0.0
2014-06-20,,,,,0.007,2.5067,0.0,0.0
2014-06-23,,,,,0.0007,2.5074,0.0,0.0
2014-06-24,,,,,0.0118,2.5192,0.0,0.0
2014-06-25,,,,,0.0124,2.5068,0.0,0.0
2014-06-26,,,,,0.0158,2.491,0.0,0.0
2014-06-27,,,,,0.0027,2.4883,0.0,0.0
2014-06-30,,,,,0.0144,2.4739,0.0,0.0
2014-07-01,,,,,0.0081,2.482,0.0,0.0
2014-07-02,,,,,0.0115,2.4705,0.0,0.0
2014-07-03,,,,,0.0092,2.4613,0.0,0.0
2014-07-07,,,,,0.0066,2.4547,0.0,0.0
2014-07-08,,,,,0.0123,2.4424,0.0,0.0
2014-07-09,,,,,0.0091,2.4333,0.0,0.0
2014-07-10,,,,,0.0181,2.4514,0.0,0.0
2014-07-11,,,,,0.01,2.4414,0.0,0.0
2014-07-14,,,,,0.0228,2.4642,0.0,0.0
2014-07-15,,,,,0.03,2.4342,0.0,0.0
2014-07-16,,,,,0.0122,2.422,0.0,0.0
2014-07-17,,,,,0.0003,2.4217,0.0,0.0
2014-07-18,,,,,0.0123,2.4094,0.0,0.0
2014-07-21,,,,,0.0276,2.437,0.0,0.0
2014-07-22,,,,,0.0155,2.4215,0.0,0.0
2014-07-23,,,,,0.0093,2.4308,0.0,0.0
2014-07-24,,,,,0.009,2.4218,0.0,0.0
2014-07-25,,,,,0.0236,2.4454,0.0,0.0
2014-07-28,,,,,0.0209,2.4245,0.0,0.0
2014-07-29,,,,,0.0188,2.4433,0.0,0.0
2014-07-30,,,,,0.0229,2.4204,0.0,0.0
2014-07-31,,,,,0.0012,2.4192,0.0,0.0
2014-08-01,,,,,0.001,2.4182,0.0,0.0
2014-08-04,,,,,0.0039,2.4143,0.0,0.0
2014-08-05,,,,,0.0116,2.4027,0.0,0.0
2014-08-06,,,,,0.0112,2.4139,0.0,0.0
2014-08-07,,,,,0.0263,2.4402,0.0,0.0
2014-08-08,,,,,0.0162,2.424,0.0,0.0
2014-08-11,,,,,0.0066,2.4306,0.0,0.0
2014-08-12,,,,,0.0182,2.4124,0.0,0.0
2014-08-13,,,,,0.0204,2.4328,0.0,0.0
2014-08-14,,,,,0.0436,2.3892,0.0,0.0
2014-08-15,,,,,0.0343,2.4235,0.0,0.0
2014-08-18,,,,,0.0257,2.3978,0.0,0.0
2014-08-19,,,,,0.0042,2.402,0.0,0.0
2014-08-20,,,,,0.0084,2.4104,0.0,0.0
2014-08-21,,,,,0.0024,2.4128,0.0,0.0
2014-08-22,,,,,0.0055,2.4073,0.0,0.0
2014-08-25,,,,,0.0068,2.4141,0.0,0.0
2014-08-26,,,,,0.0012,2.4129,0.0,0.0
2014-08-27,,,,,0.0039,2.4168,0.0,0.0
2014-08-28,,,,,0.0105,2.4063,0.0,0.0
2014-08-29,,,,,0.0055,2.4118,0.0,0.0
2014-09-02,,,,,0.035,2.3768,0.0,0.0
2014-09-03,,,,,0.0395,2.4163,0.0,0.0
2014-09-04,,,,,0.0202,2.3961,0.0,0.0
2014-09-05,,,,,0.0092,2.3869,0.0,0.0
2014-09-08,,,,,0.0003,2.3872,0.0,0.0
2014-09-09,,,,,0.0069,2.3803,0.0,0.0
2014-09-10,,,,,0.0005,2.3808,0.0,0.0
2014-09-11,,,,,0.0093,2.3715,0.0,0.0
2014-09-12,,,,,0.0035,2.368,0.0,0.0
2014-09-15,,,,,0.0009,2.3689,0.0,0.0
2014-09-16,,,,,0.0213,2.3902,0.0,0.0
2014-09-17,,,,,0.0022,2.388,0.0,0.0
2014-09-18,,,,,0.0163,2.3717,0.0,0.0
2014-09-19,,,,,0.0159,2.3876,0.0,0.0
2014-09-22,,,,,0.0201,2.3675,0.0,0.0
2014-09-23,,,,,0.0014,2.3661,0.0,0.0
2014-09-24,,,,,0.007,2.3731,0.0,0.0
2014-09-25,,,,,0.0006,2.3725,0.0,0.0
2014-09-26,,,,,0.0123,2.3602,0.0,0.0
2014-09-29,,,,,0.0024,2.3578,0.0,0.0
2014-09-30,,,,,0.0525,2.3053,0.0,0.0
2014-10-01,,,,,0.0056,2.2997,0.0,0.0
2014-10-02,,,,,0.0211,2.2786,0.0,0.0
2014-10-03,,,,,0.023,2.2556,0.0,0.0
2014-10-06,,,,,0.0231,2.2787,0.0,0.0
2014-10-07,,,,,0.0193,2.2594,0.0,0.0
2014-10-08,,,,,0.0089,2.2505,0.0,0.0
2014-10-09,,,,,0.035,2.2155,0.0,0.0
2014-10-10,,,,,0.0211,2.2366,0.0,0.0
2014-10-13,,,,,0.0198,2.2564,0.0,0.0
2014-10-14,,,,,0.0638,2.1926,0.0,0.0
2014-10-15,,,,,0.0362,2.1564,0.0,0.0
2014-10-16,,,,,0.0321,2.1885,0.0,0.0
2014-10-17,,,,,0.0058,2.1943,0.0,0.0
2014-10-20,,,,,0.0214,2.1729,0.0,0.0
2014-10-21,,,,,0.0048,2.1681,0.0,0.0
2014-10-22,,,,,0.0197,2.1484,0.0,0.0
2014-10-23,,,,,0.045,2.1934,0.0,0.0
2014-10-24,,,,,0.0068,2.1866,0.0,0.0
2014-10-27,,,,,0.0007,2.1873,0.0,0.0
2014-10-28,,,,,0.0181,2.2054,2.0,0.0
2014-10-29,,,,,0.0201,2.2255,0.0,2.0
2014-10-30,,,,,0.0218,2.2037,0.0,2.0
2014-10-31,,,,,0.0044,2.1993,0.0,2.0
2014-11-03,,,,,0.0218,2.1775,0.0,2.0
2014-11-04,,,,,0.0328,2.1447,0.0,2.0
2014-11-05,,,,,0.003,2.1417,0.0,2.0
2014-11-06,,2.148,,,0.0066,2.1483,0.0,2.0
2014-11-07,,,,,0.0098,2.1581,0.0,2.0
2014-11-10,,,,,0.0276,2.1305,0.0,2.0
2014-11-11,,,,,0.0035,2.127,0.0,2.0
2014-11-12,,,,,0.0195,2.1075,0.0,2.0
2014-11-13,,,,,0.0868,2.0207,0.0,2.0
2014-11-14,,,,,0.0407,2.0614,0.0,2.0
2014-11-17,,,,,0.0118,2.0496,0.0,2.0
2014-11-18,,,,,0.0109,2.0387,0.0,2.0
2014-11-19,,,,,0.0195,2.0192,0.0,2.0
2014-11-20,,,,,0.0092,2.0284,0.0,2.0
2014-11-21,,,,,0.0381,2.0665,0.0,2.0
2014-11-24,,,,,0.0168,2.0497,0.0,2.0
2014-11-25,,,,,0.0228,2.0269,0.0,2.0
2014-11-26,,,,,0.0099,2.017,0.0,2.0
2014-11-28,,,,,0.1629,1.8541,0.0,2.0
2014-12-01,,,,,0.0627,1.9168,0.0,2.0
2014-12-02,,,,,0.0364,1.8804,0.0,2.0
2014-12-03,,,,,0.0099,1.8903,0.0,2.0
2014-12-04,,,,,0.0102,1.8801,0.0,2.0
2014-12-05,,,,,0.0157,1.8644,0.0,2.0
2014-12-08,,,,,0.0602,1.8042,0.0,2.0
2014-12-09,,,,,0.0061,1.8103,0.0,2.0
2014-12-10,,,,,0.0628,1.7475,0.0,2.0
2014-12-11,,,,,0.0123,1.7352,0.0,2.0
2014-12-12,,,,,0.0304,1.7048,0.0,2.0
2014-12-15,,,,,0.0236,1.6812,0.0,2.0
2014-12-16,,,,,0.0316,1.6496,0.0,2.0
2014-12-17,,,,,0.0233,1.6729,0.0,2.0
2014-12-18,,1.675,,,0.0287,1.6442,0.0,2.0
2014-12-19,,,,,0.0547,1.6989,0.0,2.0
2014-12-22,,,,,0.0086,1.6903,0.0,2.0
2014-12-23,,,,,0.0457,1.736,0.0,2.0
2014-12-24,,,,,0.0206,1.7154,5.0,2.0
2014-12-26,,,,,0.0094,1.706,0.0,7.0
2014-12-29,,,,,0.0257,1.6803,0.0,7.0
2014-12-30,,,,,0.0048,1.6851,0.0,7.0
2014-12-31,,,,,0.0049,1.6802,0.0,7.0
2015-01-02,,,,,0.0235,1.6567,0.0,7.0
2015-01-05,,,,,0.0365,1.6202,0.0,7.0
2015-01-06,,,,,0.0215,1.5987,0.0,7.0
2015-01-07,,,,,0.0045,1.5942,0.0,7.0
2015-01-08,,,,,0.0008,1.5934,0.0,7.0
2015-01-09,,,,,0.0008,1.5942,0.0,7.0
2015-01-12,,,,,0.0386,1.5556,0.0,7.0
2015-01-13,,,,,0.0006,1.5562,0.0,7.0
2015-01-14,,,,,0.0467,1.6029,0.0,7.0
2015-01-15,,,,,0.045,1.5579,0.0,7.0
2015-01-16,,,,,0.0369,1.5948,0.0,7.0
2015-01-20,,,,,0.0492,1.5456,0.0,7.0
2015-01-21,,,,,0.0206,1.5662,0.0,7.0
2015-01-22,,,,,0.014,1.5522,0.0,7.0
2015-01-23,,,,,0.0136,1.5658,0.0,7.0
2015-01-26,,,,,0.0115,1.5543,0.0,7.0
2015-01-27,,,,,0.0371,1.5914,0.0,7.0
2015-01-28,,,,,0.017,1.5744,0.0,7.0
2015-01-29,,,,,0.0148,1.5892,0.0,7.0
2015-01-30,,,,,0.0835,1.6727,0.0,7.0
2015-02-02,,,,,0.036,1.7087,1.0,7.0
2015-02-03,,,,,0.0544,1.7631,0.0,8.0
2015-02-04,1.7,1.7,1.6868,,0.0846,1.6785,7.0,8.0
2015-02-05,,1.7173,,,0.0413,1.7198,1.0,10.0
2015-02-06,,1.7358,,,0.0181,1.7379,0.0,11.0
2015-02-09,,,,,0.0178,1.7557,0.0,11.0
2015-02-10,,,1.7533,,0.0226,1.7331,0.0,11.0
2015-02-11,,,1.717,,0.0177,1.7154,1.0,11.0
2015-02-12,,,,,0.0491,1.7645,0.0,12.0
2015-02-13,,,,,0.0113,1.7758,0.0,12.0
2015-02-17,,,,,0.0009,1.7767,0.0,12.0
2015-02-18,,,1.7417,,0.0424,1.7343,63.0,12.0
2015-02-19,,,,,0.0148,1.7195,0.0,73.0
2015-02-20,,,,,0.0034,1.7161,0.0,73.0
2015-02-23,,,1.7123,,0.0129,1.7032,0.0,73.0
2015-02-24,,1.7094,,,0.0051,1.7083,0.0,73.0
2015-02-25,,1.7547,,,0.0603,1.7686,7.0,73.0
2015-02-26,,,1.7502,,0.0319,1.7367,0.0,78.0
2015-02-27,,1.7553,,,0.037,1.7737,0.0,78.0
