Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-07-27,,,,,0.0,1.6331,0.0,0.0
2015-07-28,,,,,0.0077,1.6408,0.0,0.0
2015-07-29,,,,,0.0057,1.6465,0.0,0.0
2015-07-30,,,,,0.001,1.6455,0.0,0.0
2015-07-31,,,,,0.02,1.6255,0.0,0.0
2015-08-03,,,,,0.0557,1.5698,0.0,0.0
2015-08-04,,,,,0.0126,1.5824,0.0,0.0
2015-08-05,,,,,0.0066,1.5758,0.0,0.0
2015-08-06,,,,,0.0009,1.5767,0.0,0.0
2015-08-07,,,,,0.0087,1.568,0.0,0.0
2015-08-10,,,,,0.0456,1.6136,0.0,0.0
2015-08-11,,,,,0.02,1.5936,0.0,0.0
2015-08-12,,,,,0.0208,1.6144,0.0,0.0
2015-08-13,,,,,0.0049,1.6095,0.0,0.0
2015-08-14,,,,,0.0004,1.6099,0.0,0.0
2015-08-17,,,,,0.0076,1.6023,0.0,0.0
2015-08-18,,,,,0.0051,1.5972,0.0,0.0
2015-08-19,,,,,0.0372,1.56,0.0,0.0
2015-08-20,,,,,0.0217,1.5383,0.0,0.0
2015-08-21,,,,,0.0233,1.515,0.0,0.0
2015-08-24,,,,,0.0589,1.4561,0.0,0.0
2015-08-25,,,,,0.0107,1.4668,0.0,0.0
2015-08-26,,,,,0.0001,1.4669,0.0,0.0
2015-08-27,,,,,0.1039,1.5708,0.0,0.0
2015-08-28,,,,,0.0556,1.6264,0.0,0.0
2015-08-31,,,,,0.0751,1.7015,0.0,0.0
2015-09-01,,,,,0.1003,1.6012,0.0,0.0
2015-09-02,,,,,0.0171,1.6183,0.0,0.0
2015-09-03,,,,,0.0064,1.6119,0.0,0.0
2015-09-04,,,,,0.0254,1.5865,0.0,0.0
2015-09-08,,,,,0.0005,1.587,0.0,0.0
2015-09-09,,,,,0.0327,1.5543,0.0,0.0
2015-09-10,,,,,0.0293,1.5836,0.0,0.0
2015-09-11,,,,,0.0216,1.562,0.0,0.0
2015-09-14,,,,,0.029,1.533,0.0,0.0
2015-09-15,,,,,0.0041,1.5371,0.0,0.0
2015-09-16,,,,,0.0361,1.5732,0.0,0.0
2015-09-17,,,,,0.0121,1.5611,0.0,0.0
2015-09-18,,,,,0.0338,1.5273,0.0,0.0
2015-09-21,,,,,0.0351,1.5624,0.0,0.0
2015-09-22,,,,,0.0153,1.5777,0.0,0.0
2015-09-23,,,,,0.0355,1.5422,0.0,0.0
2015-09-24,,,,,0.005,1.5472,0.0,0.0
2015-09-25,,,,,0.0092,1.5564,0.0,0.0
2015-09-28,,,,,0.0337,1.5227,0.0,0.0
2015-09-29,,,,,0.0123,1.535,0.0,0.0
2015-09-30,,,,,0.002,1.537,0.0,0.0
2015-10-01,,,,,0.0111,1.5259,0.0,0.0
2015-10-02,,,,,0.0037,1.5296,0.0,0.0
2015-10-05,,,,,0.0263,1.5559,0.0,0.0
2015-10-06,,,,,0.0597,1.6156,0.0,0.0
2015-10-07,,,,,0.0133,1.6023,0.0,0.0
2015-10-08,,,,,0.0144,1.6167,0.0,0.0
2015-10-09,,,,,0.0188,1.5979,0.0,0.0
2015-10-12,,,,,0.0476,1.5503,0.0,0.0
2015-10-13,,,,,0.0106,1.5397,0.0,0.0
