Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-01,1.535,1.6143,1.525,,,1.6143,82.0,79.0
2007-02-02,1.636,1.6624,1.636,,,1.6624,82.0,79.0
2007-02-05,1.6449,1.6449,1.6449,,,1.6449,1.0,78.0
2007-02-06,1.6495,1.6495,1.6495,,,1.6495,82.0,78.0
2007-02-09,1.6738,1.6738,1.6738,,,1.6738,82.0,78.0
2007-02-12,1.627,1.627,1.627,,,1.627,75.0,54.0
2007-02-13,1.6581,1.6581,1.6581,,,1.6581,82.0,54.0
2007-02-14,1.6222,1.6222,1.6222,,,1.6222,82.0,54.0
2007-02-16,1.6473,1.6473,1.6473,,,1.6473,82.0,54.0
2007-02-20,1.6286,1.6286,1.6286,,,1.6286,2.0,56.0
2007-02-23,1.7246,1.7246,1.7246,,,1.7246,2.0,56.0
2007-02-26,1.7272,1.7272,1.7272,,,1.7272,2.0,56.0
2007-02-27,1.7236,1.7236,1.7236,,,1.7236,1.0,57.0
2007-02-28,1.7458,1.7458,1.7458,,,1.7458,2.0,57.0
2007-03-01,1.7426,1.7426,1.7426,,,1.7426,1.0,57.0
2007-03-02,1.7178,1.7178,1.7178,,,1.7178,1.0,57.0
2007-03-05,1.6847,1.6847,1.6847,,,1.6847,1.0,57.0
2007-03-06,1.7118,1.7118,1.7118,,,1.7118,1.0,57.0
2007-03-08,1.7413,1.7413,1.7413,,,1.7413,1.0,57.0
2007-03-09,1.7146,1.7146,1.7146,,,1.7146,0.0,57.0
2007-03-16,1.6966,1.6966,1.6966,,,1.6966,0.0,57.0
2007-03-19,1.7046,1.7046,1.7046,,,1.7046,0.0,57.0
2007-03-23,1.7564,1.7564,1.7564,,,1.7564,0.0,57.0
2007-03-26,1.7962,1.7962,1.7962,,,1.7962,0.0,58.0
2007-03-30,1.844,1.844,1.844,,,1.844,0.0,152.0
2007-04-03,1.8342,1.8342,1.8342,,,1.8342,0.0,152.0
2007-04-05,1.8773,1.8773,1.8773,,,1.8773,190.0,152.0
2007-04-10,1.8607,1.8607,1.8607,,,1.8607,190.0,152.0
2007-04-12,1.8897,1.8897,1.8897,,,1.8897,190.0,152.0
2007-04-13,1.885,1.885,1.885,,,1.885,190.0,152.0
2007-04-16,1.8407,1.8407,1.8407,,,1.8407,15.0,157.0
2007-04-17,1.8525,1.8525,1.8061,,,1.8061,72.0,111.0
2007-04-18,1.8223,1.8223,1.8223,,,1.8223,15.0,111.0
2007-04-19,1.8173,1.8173,1.8173,,,1.8173,50.0,111.0
2007-04-20,1.8409,1.8409,1.8409,,,1.8409,129.0,107.0
2007-04-23,1.8749,1.8749,1.8749,,,1.8749,180.0,237.0
