Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-02-01,0.0,0.0,0.0,,,2.4077,0.0,0.0
2012-02-02,0.0,0.0,0.0,,,2.4137,0.0,0.0
2012-02-03,0.0,0.0,0.0,,,2.4612,0.0,0.0
2012-02-06,0.0,0.0,0.0,,,2.4818,0.0,0.0
2012-02-07,0.0,0.0,0.0,,,2.4844,0.0,0.0
2012-02-08,0.0,0.0,0.0,,,2.5083,0.0,0.0
2012-02-09,0.0,0.0,0.0,,,2.5381,0.0,0.0
2012-02-10,0.0,0.0,0.0,,,2.5106,0.0,0.0
2012-02-13,0.0,0.0,0.0,,,2.532,0.0,0.0
2012-02-14,0.0,0.0,0.0,,,2.5208,0.0,0.0
2012-02-15,0.0,0.0,0.0,,,2.5437,0.0,0.0
2012-02-16,0.0,0.0,0.0,,,2.5658,0.0,0.0
2012-02-17,0.0,0.0,0.0,,,2.5565,0.0,0.0
2012-02-21,0.0,0.0,0.0,,,2.598,0.0,0.0
2012-02-22,0.0,0.0,0.0,,,2.5575,0.0,0.0
2012-02-23,0.0,0.0,0.0,,,2.5715,0.0,0.0
2012-02-24,0.0,0.0,0.0,,,2.6054,0.0,0.0
2012-02-27,0.0,0.0,0.0,,,2.5773,0.0,0.0
2012-02-28,0.0,0.0,0.0,,,2.5453,0.0,0.0
2012-02-29,0.0,0.0,0.0,,,2.5617,0.0,0.0
2012-03-01,0.0,0.0,0.0,,,2.6073,0.0,0.0
2012-03-02,0.0,0.0,0.0,,,2.5698,0.0,0.0
2012-03-05,0.0,0.0,0.0,,,2.5856,0.0,0.0
2012-03-06,0.0,0.0,0.0,,,2.5709,0.0,0.0
2012-03-07,0.0,0.0,0.0,,,2.6116,0.0,0.0
2012-03-08,0.0,0.0,0.0,,,2.6427,0.0,0.0
2012-03-09,0.0,0.0,0.0,,,2.6507,0.0,0.0
2012-03-13,0.0,0.0,0.0,,,2.6534,0.0,0.0
2012-03-14,0.0,0.0,0.0,,,2.6394,0.0,0.0
2012-03-15,0.0,0.0,0.0,,,2.604,0.0,0.0
2012-03-16,0.0,0.0,0.0,,,2.6539,0.0,0.0
2012-03-19,0.0,0.0,0.0,,,2.6582,0.0,0.0
2012-03-20,0.0,0.0,0.0,,,2.6349,0.0,0.0
2012-03-21,0.0,0.0,0.0,,,2.6289,0.0,0.0
2012-03-22,0.0,0.0,0.0,,,2.6044,0.0,0.0
2012-03-23,0.0,0.0,0.0,,,2.6414,0.0,0.0
2012-03-26,0.0,0.0,0.0,,,2.6558,0.0,0.0
2012-03-27,0.0,0.0,0.0,,,2.6517,0.0,0.0
2012-03-28,0.0,0.0,0.0,,,2.6297,0.0,0.0
2012-03-29,0.0,0.0,0.0,,,2.5905,0.0,0.0
2012-03-30,0.0,0.0,0.0,,,2.5856,0.0,0.0
2012-04-02,0.0,0.0,0.0,,,2.6566,0.0,0.0
2012-04-03,0.0,0.0,0.0,,,2.6512,0.0,0.0
2012-04-04,0.0,0.0,0.0,,,2.6171,0.0,0.0
2012-04-05,0.0,0.0,0.0,,,2.6395,0.0,0.0
2012-04-09,0.0,0.0,0.0,,,2.6235,0.0,0.0
2012-04-10,0.0,0.0,0.0,,,2.5754,0.0,0.0
2012-04-11,0.0,0.0,0.0,,,2.584,0.0,0.0
2012-04-12,0.0,0.0,0.0,,,2.6125,0.0,0.0
2012-04-13,0.0,0.0,0.0,,,2.608,0.0,0.0
2012-04-16,0.0,0.0,0.0,,,2.5669,0.0,0.0
2012-04-17,0.0,0.0,0.0,,,2.587,0.0,0.0
2012-04-18,0.0,0.0,0.0,,,2.5735,0.0,0.0
2012-04-19,0.0,0.0,0.0,,,2.5717,0.0,0.0
2012-04-20,0.0,0.0,0.0,,,2.5762,0.0,0.0
2012-04-23,0.0,0.0,0.0,,,2.5798,0.0,0.0
2012-04-24,0.0,0.0,0.0,,,2.5694,0.0,0.0
2012-04-25,0.0,0.0,0.0,,,2.5754,0.0,0.0
2012-04-26,0.0,0.0,0.0,,,2.5694,0.0,0.0
2012-04-27,0.0,0.0,0.0,,,2.5718,0.0,0.0
2012-04-30,0.0,0.0,0.0,,,2.572,0.0,0.0
2012-05-01,0.0,0.0,0.0,,,2.575,0.0,0.0
2012-05-02,0.0,0.0,0.0,,,2.55,0.0,0.0
2012-05-03,0.0,0.0,0.0,,,2.5058,0.0,0.0
2012-05-04,0.0,0.0,0.0,,,2.4548,0.0,0.0
2012-05-07,0.0,0.0,0.0,,,2.4519,0.0,0.0
2012-05-08,0.0,0.0,0.0,,,2.4514,0.0,0.0
2012-05-09,0.0,0.0,0.0,,,2.451,0.0,0.0
2012-05-10,0.0,0.0,0.0,,,2.4508,0.0,0.0
2012-05-11,0.0,0.0,0.0,,,2.4383,0.0,0.0
2012-05-14,0.0,0.0,0.0,,,2.4152,0.0,0.0
2012-05-15,0.0,0.0,0.0,,,2.4174,0.0,0.0
2012-05-16,0.0,0.0,0.0,,,2.3879,0.0,0.0
2012-05-17,0.0,0.0,0.0,,,2.3481,0.0,0.0
2012-05-18,0.0,0.0,0.0,,,2.3373,0.0,0.0
2012-05-21,0.0,0.0,0.0,,,2.3696,0.0,0.0
2012-05-22,0.0,0.0,0.0,,,2.3605,0.0,0.0
2012-05-23,0.0,0.0,0.0,,,2.2799,0.0,0.0
2012-05-24,0.0,0.0,0.0,,,2.302,0.0,0.0
2012-05-25,0.0,0.0,0.0,,,2.3215,0.0,0.0
2012-05-29,0.0,0.0,0.0,,,2.3182,0.0,0.0
2012-05-30,0.0,0.0,0.0,,,2.2701,0.0,0.0
2012-05-31,0.0,0.0,0.0,,,2.2439,0.0,0.0
2012-06-01,0.0,0.0,0.0,,,2.1944,0.0,0.0
2012-06-04,0.0,0.0,0.0,,,2.1955,0.0,0.0
2012-06-05,0.0,0.0,0.0,,,2.1991,0.0,0.0
2012-06-06,0.0,0.0,0.0,,,2.2353,0.0,0.0
2012-06-07,0.0,0.0,0.0,,,2.235,0.0,0.0
2012-06-08,0.0,0.0,0.0,,,2.2435,0.0,0.0
2012-06-11,0.0,0.0,0.0,,,2.2098,0.0,0.0
2012-06-12,0.0,0.0,0.0,,,2.208,0.0,0.0
2012-06-13,0.0,0.0,0.0,,,2.1959,0.0,0.0
2012-06-14,0.0,0.0,0.0,,,2.2127,0.0,0.0
2012-06-15,0.0,0.0,0.0,,,2.2142,0.0,0.0
2012-06-18,0.0,0.0,0.0,,,2.1853,0.0,0.0
2012-06-19,0.0,0.0,0.0,,,2.1866,0.0,0.0
2012-06-20,0.0,0.0,0.0,,,2.1481,0.0,0.0
2012-06-21,0.0,0.0,0.0,,,2.1003,0.0,0.0
2012-06-22,0.0,0.0,0.0,,,2.1205,0.0,0.0
2012-06-25,0.0,0.0,0.0,,,2.1237,0.0,0.0
