Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2005-10-03,1.92,1.92,1.9143,,,1.9143,605.0,5161.0
2005-10-04,1.87,1.8858,1.843,,,1.8858,458.0,5284.0
2005-10-05,1.845,1.85,1.8116,,,1.8116,914.0,5609.0
2005-10-06,1.77,1.7727,1.77,,,1.7727,1162.0,5588.0
2005-10-07,1.7981,1.7981,1.7981,,,1.7981,1975.0,6037.0
2005-10-10,1.762,1.7896,1.76,,,1.7896,1880.0,6613.0
2005-10-11,1.818,1.8315,1.795,,,1.8315,1307.0,7248.0
2005-10-12,1.8347,1.8347,1.8347,,,1.8347,585.0,7479.0
2005-10-13,1.78,1.7926,1.78,,,1.7926,943.0,7641.0
2005-10-14,1.71,1.7719,1.685,,,1.7719,1913.0,7514.0
2005-10-17,1.795,1.819,1.795,,,1.819,995.0,7499.0
2005-10-18,1.77,1.77,1.7551,,,1.7551,833.0,7606.0
2005-10-19,1.7575,1.7575,1.695,,,1.7182,1536.0,8239.0
2005-10-20,1.66,1.6693,1.66,,,1.6693,655.0,8260.0
2005-10-21,1.7132,1.7132,1.7132,,,1.7132,1215.0,8446.0
2005-10-24,1.69,1.69,1.678,,,1.6873,295.0,8592.0
2005-10-25,1.7,1.7465,1.7,,,1.7465,715.0,8679.0
2005-10-26,1.71,1.71,1.6811,,,1.6811,876.0,8610.0
2005-10-27,1.695,1.695,1.6825,,,1.6927,1168.0,8513.0
2005-10-28,1.7125,1.7226,1.7125,,,1.7226,489.0,8742.0
2005-10-31,1.693,1.695,1.6596,,,1.6596,1238.0,8883.0
2005-11-01,1.645,1.68,1.645,,,1.676,1453.0,8748.0
2005-11-02,1.675,1.675,1.62,,,1.6495,3120.0,9311.0
2005-11-03,1.666,1.7056,1.666,,,1.7056,1697.0,9469.0
2005-11-04,1.676,1.689,1.676,,,1.6856,778.0,9373.0
2005-11-07,1.6425,1.6555,1.637,,,1.6555,624.0,9419.0
2005-11-08,1.6555,1.6609,1.6325,,,1.6609,1187.0,9635.0
2005-11-09,1.66,1.663,1.635,,,1.6386,896.0,9600.0
2005-11-10,1.615,1.615,1.6,,,1.6108,2996.0,10212.0
2005-11-11,1.6,1.61,1.6,,,1.606,2348.0,10171.0
2005-11-14,1.618,1.618,1.603,,,1.6097,2374.0,11304.0
2005-11-15,1.612,1.613,1.5782,,,1.5782,1628.0,11105.0
2005-11-16,1.575,1.605,1.575,,,1.6047,1279.0,11313.0
2005-11-17,1.612,1.62,1.5828,,,1.5828,647.0,11421.0
