Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.6408,0.0,0.0
2016-12-02,,,,,0.0237,1.6645,0.0,0.0
2016-12-05,,,,,0.0143,1.6788,0.0,0.0
2016-12-06,,,,,0.0235,1.6553,0.0,0.0
2016-12-07,,,,,0.0218,1.6335,0.0,0.0
2016-12-08,,,,,0.0114,1.6221,0.0,0.0
2016-12-09,,,,,0.004,1.6181,0.0,0.0
2016-12-12,,,,,0.0111,1.6292,0.0,0.0
2016-12-13,,,,,0.0108,1.6184,0.0,0.0
2016-12-14,,,,,0.023,1.5954,0.0,0.0
2016-12-15,,,,,0.0009,1.5945,0.0,0.0
2016-12-16,,,,,0.0102,1.6047,0.0,0.0
2016-12-19,,,,,0.0034,1.6081,0.0,0.0
2016-12-20,,,,,0.0255,1.6336,0.0,0.0
2016-12-21,,,,,0.0102,1.6234,0.0,0.0
2016-12-22,,,,,0.001,1.6244,0.0,0.0
2016-12-23,,,,,0.0087,1.6331,0.0,0.0
2016-12-27,,,,,0.0155,1.6486,0.0,0.0
2016-12-28,,,,,0.0025,1.6461,0.0,0.0
2016-12-29,,,,,0.0025,1.6486,0.0,0.0
2016-12-30,,,,,0.0057,1.6543,0.0,0.0
2017-01-03,,,,,0.0311,1.6232,0.0,0.0
2017-01-04,,,,,0.0244,1.6476,0.0,0.0
2017-01-05,,,,,0.0066,1.641,0.0,0.0
2017-01-06,,,,,0.0103,1.6307,0.0,0.0
2017-01-09,,,,,0.0491,1.5816,0.0,0.0
2017-01-10,,,,,0.0184,1.5632,0.0,0.0
2017-01-11,,,,,0.0201,1.5833,0.0,0.0
2017-01-12,,,,,0.0102,1.5935,0.0,0.0
2017-01-13,,,,,0.0028,1.5907,0.0,0.0
2017-01-17,,,,,0.0048,1.5859,0.0,0.0
2017-01-18,,,,,0.0471,1.5388,0.0,0.0
2017-01-19,,,,,0.0033,1.5421,0.0,0.0
2017-01-20,,,,,0.0312,1.5733,0.0,0.0
2017-01-23,,,,,0.0062,1.5671,0.0,0.0
2017-01-24,,,,,0.0089,1.5582,0.0,0.0
2017-01-25,,,,,0.0198,1.5384,0.0,0.0
2017-01-26,,,,,0.014,1.5524,0.0,0.0
2017-01-27,,,,,0.0221,1.5303,0.0,0.0
2017-01-30,,,,,0.0111,1.5192,0.0,0.0
2017-01-31,,,,,0.0038,1.523,0.0,0.0
2017-02-01,,,,,0.0207,1.5437,0.0,0.0
2017-02-02,,,,,0.0113,1.5324,0.0,0.0
2017-02-03,,,,,0.0152,1.5476,0.0,0.0
2017-02-06,,,,,0.0227,1.5249,0.0,0.0
2017-02-07,,,,,0.0147,1.5102,0.0,0.0
2017-02-08,,,,,0.0121,1.5223,0.0,0.0
2017-02-09,,,,,0.0072,1.5295,0.0,0.0
2017-02-10,,,,,0.0105,1.54,0.0,0.0
2017-02-13,,,,,0.0299,1.5101,0.0,0.0
2017-02-14,,,,,0.001,1.5091,0.0,0.0
2017-02-15,,,,,0.0039,1.5052,0.0,0.0
2017-02-16,,,,,0.0069,1.4983,0.0,0.0
2017-02-17,,,,,0.0037,1.4946,0.0,0.0
2017-02-21,,,,,0.0167,1.4779,0.0,0.0
2017-02-22,,,,,0.0033,1.4746,0.0,0.0
2017-02-23,,,,,0.0125,1.4871,0.0,0.0
2017-02-24,,,,,0.0024,1.4847,0.0,0.0
2017-02-27,,,,,0.0045,1.4892,0.0,0.0
2017-02-28,,,,,0.0027,1.4919,0.0,0.0
2017-03-01,,,,,0.0141,1.4778,0.0,0.0
2017-03-02,,,,,0.0193,1.4585,0.0,0.0
2017-03-03,,,,,0.0171,1.4756,0.0,0.0
2017-03-06,,,,,0.0019,1.4737,0.0,0.0
2017-03-07,,,,,0.0009,1.4728,0.0,0.0
2017-03-08,,,,,0.0405,1.4323,0.0,0.0
2017-03-09,,,,,0.0244,1.4079,0.0,0.0
2017-03-10,,,,,0.0236,1.3843,0.0,0.0
2017-03-13,,,,,0.0021,1.3822,0.0,0.0
2017-03-14,,,,,0.0055,1.3767,0.0,0.0
2017-03-15,,,,,0.0068,1.3835,0.0,0.0
2017-03-16,,,,,0.001,1.3825,0.0,0.0
2017-03-17,,,,,0.0013,1.3812,0.0,0.0
2017-03-20,,,,,0.0065,1.3877,0.0,0.0
2017-03-21,,,,,0.0083,1.3794,0.0,0.0
2017-03-22,,,,,0.0024,1.3818,0.0,0.0
2017-03-23,,,,,0.0066,1.3752,0.0,0.0
2017-03-24,,,,,0.0074,1.3826,0.0,0.0
2017-03-27,,,,,0.0061,1.3887,0.0,0.0
2017-03-28,,,,,0.0025,1.3912,0.0,0.0
2017-03-29,,,,,0.019,1.4102,0.0,0.0
2017-03-30,,,,,0.0106,1.4208,0.0,0.0
2017-03-31,,,,,0.0148,1.4356,0.0,0.0
2017-04-03,,,,,0.0018,1.4338,0.0,0.0
2017-04-04,,,,,0.0218,1.4556,0.0,0.0
2017-04-05,,,,,0.0045,1.4601,0.0,0.0
