Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.8405,1.8405,1.8405,,,1.8405,0.0,0.0
2007-02-13,1.8031,1.8031,1.8031,,,1.8031,0.0,0.0
2007-02-14,1.7617,1.7617,1.7617,,,1.7617,0.0,0.0
2007-02-15,1.7524,1.7524,1.7524,,,1.7524,0.0,0.0
2007-02-16,1.7733,1.7733,1.7733,,,1.7733,0.0,0.0
2007-02-19,1.7733,1.7733,1.7733,,,1.7733,0.0,0.0
2007-02-20,1.7551,1.7551,1.7551,,,1.7551,0.0,0.0
2007-02-21,1.7887,1.7887,1.7887,,,1.7887,0.0,0.0
2007-02-22,1.8273,1.8273,1.8273,,,1.8273,0.0,0.0
2007-02-23,1.8576,1.8576,1.8576,,,1.8576,0.0,0.0
2007-02-26,1.8602,1.8602,1.8602,,,1.8602,0.0,0.0
2007-02-27,1.8566,1.8566,1.8566,,,1.8566,0.0,0.0
2007-02-28,1.8768,1.8768,1.8768,,,1.8768,0.0,0.0
2007-03-01,1.8686,1.8686,1.8686,,,1.8686,0.0,0.0
2007-03-02,1.8388,1.8388,1.8388,,,1.8388,0.0,0.0
2007-03-05,1.8062,1.8062,1.8062,,,1.8062,0.0,0.0
2007-03-06,1.8333,1.8333,1.8333,,,1.8333,0.0,0.0
2007-03-07,1.8635,1.8635,1.8635,,,1.8635,0.0,0.0
2007-03-08,1.8628,1.8628,1.8628,,,1.8628,0.0,0.0
2007-03-09,1.8336,1.8336,1.8336,,,1.8336,0.0,0.0
2007-03-12,1.8145,1.8145,1.8145,,,1.8145,0.0,0.0
2007-03-13,1.8183,1.8183,1.8183,,,1.8183,0.0,0.0
2007-03-14,1.8168,1.8168,1.8168,,,1.8168,0.0,0.0
2007-03-15,1.8031,1.8031,1.8031,,,1.8031,0.0,0.0
2007-03-16,1.8176,1.8176,1.8176,,,1.8176,0.0,0.0
2007-03-19,1.8226,1.8226,1.8226,,,1.8226,0.0,0.0
2007-03-20,1.8097,1.8097,1.8097,,,1.8097,0.0,0.0
2007-03-21,1.8138,1.8138,1.8138,,,1.8138,0.0,0.0
2007-03-22,1.858,1.858,1.858,,,1.858,0.0,0.0
2007-03-23,1.8764,1.8764,1.8764,,,1.8764,0.0,0.0
2007-03-26,1.9122,1.9122,1.9122,,,1.9122,0.0,0.0
2007-03-27,1.9124,1.9124,1.9124,,,1.9124,0.0,0.0
2007-03-28,1.9112,1.9112,1.9112,,,1.9112,0.0,0.0
2007-03-29,1.9374,1.9374,1.9374,,,1.9374,0.0,0.0
2007-03-30,1.9335,1.9335,1.9335,,,1.9335,0.0,0.0
2007-04-03,1.9242,1.9242,1.9242,,,1.9242,0.0,0.0
2007-04-05,1.9673,1.9673,1.9673,,,1.9673,0.0,0.0
2007-04-10,1.9457,1.9457,1.9457,,,1.9457,0.0,0.0
2007-04-12,1.9752,1.9752,1.9752,,,1.9752,0.0,0.0
2007-04-13,1.9705,1.9705,1.9705,,,1.9705,0.0,0.0
2007-04-16,1.9262,1.9262,1.9262,,,1.9262,0.0,0.0
2007-04-17,1.8916,1.8916,1.8916,,,1.8916,0.0,0.0
2007-04-18,1.9118,1.9118,1.9118,,,1.9118,0.0,0.0
2007-04-19,1.9068,1.9068,1.9068,,,1.9068,0.0,0.0
2007-04-20,1.9269,1.9269,1.9269,,,1.9269,0.0,0.0
2007-04-23,1.9609,1.9609,1.9609,,,1.9609,0.0,0.0
2007-04-24,1.9326,1.9326,1.9326,,,1.9326,0.0,0.0
2007-04-27,1.9783,1.9783,1.9783,,,1.9783,0.0,0.0
2007-05-02,1.9416,1.9416,1.9416,,,1.9416,0.0,0.0
2007-05-03,1.9361,1.9361,1.9361,,,1.9361,0.0,0.0
2007-05-04,1.9229,1.9229,1.9229,,,1.9229,0.0,0.0
2007-05-09,1.9284,1.9284,1.9284,,,1.9284,0.0,0.0
2007-05-11,1.9506,1.9506,1.9506,,,1.9506,305.0,300.0
2007-05-14,1.9432,1.9432,1.9432,,,1.9432,50.0,325.0
2007-05-16,1.959,1.959,1.959,,,1.959,50.0,325.0
2007-05-17,2.0131,2.0131,2.0131,,,2.0131,50.0,325.0
2007-05-18,1.9942,1.9942,1.9942,,,1.9942,5.0,320.0
2007-05-24,1.9974,1.9974,1.9974,,,1.9974,50.0,320.0
2007-05-25,2.0215,2.0215,2.0215,,,2.0215,50.0,320.0
2007-05-29,1.9379,1.9379,1.9379,,,1.9379,50.0,320.0
2007-06-01,2.0126,2.0126,2.0126,,,2.0126,50.0,320.0
2007-06-05,2.0161,2.0161,2.0161,,,2.0161,50.0,320.0
2007-06-06,2.0299,2.0299,2.0299,,,2.0299,50.0,320.0
2007-06-07,2.0477,2.0477,2.0477,,,2.0477,50.0,320.0
2007-06-08,2.0076,2.0076,2.0076,,,2.0076,50.0,320.0
2007-06-11,2.0276,2.0276,2.0276,,,2.0276,50.0,320.0
2007-06-12,2.0137,2.0137,2.0137,,,2.0137,50.0,320.0
2007-06-15,2.0541,2.0541,2.0541,,,2.0541,50.0,320.0
2007-06-18,2.0648,2.0648,2.0648,,,2.0648,50.0,320.0
2007-06-20,2.0551,2.0551,2.0551,,,2.0551,50.0,320.0
2007-06-22,2.0686,2.0686,2.0686,,,2.0686,50.0,320.0
2007-06-25,2.0694,2.0694,2.0694,,,2.0694,50.0,320.0
2007-06-26,2.0359,2.0359,2.0359,,,2.0359,50.0,320.0
2007-06-27,2.0404,2.0404,2.0404,,,2.0404,50.0,320.0
2007-06-28,2.0411,2.0411,2.0411,,,2.0411,50.0,320.0
2007-06-29,2.0733,2.0733,2.0733,,,2.0733,50.0,320.0
2007-07-02,2.0867,2.0867,2.0867,,,2.0867,50.0,320.0
2007-07-03,2.0889,2.0889,2.0889,,,2.0889,50.0,320.0
2007-07-04,2.0889,2.0889,2.0889,,,2.0889,50.0,320.0
2007-07-05,2.0988,2.0988,2.0988,,,2.0988,50.0,320.0
2007-07-06,2.1106,2.1106,2.1106,,,2.1106,50.0,320.0
2007-07-09,2.1016,2.1016,2.1016,,,2.1016,50.0,320.0
2007-07-10,2.1144,2.1144,2.1144,,,2.1144,50.0,320.0
2007-07-11,2.1023,2.1023,2.1023,,,2.1023,50.0,320.0
2007-07-12,2.1003,2.1003,2.1003,,,2.1003,50.0,320.0
2007-07-13,2.1073,2.1073,2.1073,,,2.1073,50.0,320.0
2007-07-16,2.0482,2.0482,2.0482,,,2.0482,50.0,320.0
2007-07-17,2.0347,2.0347,2.0347,,,2.0347,50.0,320.0
2007-07-18,2.0823,2.0823,2.0823,,,2.0823,50.0,320.0
2007-07-19,2.0864,2.0864,2.0864,,,2.0864,50.0,320.0
