Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-03-31,,,,,0.0,1.7095,0.0,0.0
2015-04-01,,,,,0.0407,1.7502,0.0,0.0
2015-04-02,,,,,0.0425,1.7077,0.0,0.0
2015-04-06,,,,,0.2391,1.9468,0.0,0.0
2015-04-07,,,,,0.0072,1.9396,0.0,0.0
2015-04-08,,,,,0.0579,1.8817,0.0,0.0
2015-04-09,,,,,0.021,1.9027,0.0,0.0
2015-04-10,,,,,0.0242,1.9269,0.0,0.0
2015-04-13,,,,,0.0042,1.9311,0.0,0.0
2015-04-14,,,,,0.0133,1.9444,0.0,0.0
2015-04-15,,,,,0.0656,2.01,0.0,0.0
2015-04-16,,,,,0.001,2.011,0.0,0.0
2015-04-17,,,,,0.0188,1.9922,0.0,0.0
2015-04-20,,,,,0.0075,1.9997,0.0,0.0
2015-04-21,,,,,0.02,1.9797,0.0,0.0
2015-04-22,,,,,0.0177,1.9974,0.0,0.0
2015-04-23,,,,,0.0328,2.0302,0.0,0.0
2015-04-24,,,,,0.0048,2.035,0.0,0.0
2015-04-27,,,,,0.0194,2.0156,0.0,0.0
2015-04-28,,,,,0.0079,2.0077,0.0,0.0
2015-04-29,,,,,0.021,2.0287,0.0,0.0
2015-04-30,,,,,0.0073,2.036,0.0,0.0
2015-05-01,,,,,0.0049,2.0311,0.0,0.0
2015-05-04,,,,,0.0045,2.0356,0.0,0.0
2015-05-05,,,,,0.0181,2.0537,0.0,0.0
2015-05-06,,,,,0.0037,2.05,0.0,0.0
2015-05-07,,,,,0.0336,2.0164,0.0,0.0
2015-05-08,,,,,0.0062,2.0226,0.0,0.0
2015-05-11,,,,,0.0033,2.0193,0.0,0.0
2015-05-12,,,,,0.0358,2.0551,0.0,0.0
2015-05-13,,,,,0.0088,2.0463,0.0,0.0
2015-05-14,,,,,0.0033,2.043,0.0,0.0
2015-05-15,,,,,0.0027,2.0403,0.0,0.0
2015-05-18,,,,,0.0141,2.0262,0.0,0.0
2015-05-19,,,,,0.0434,1.9828,0.0,0.0
2015-05-20,,,,,0.0175,2.0003,0.0,0.0
2015-05-21,,,,,0.0226,2.0229,0.0,0.0
2015-05-22,,,,,0.0252,1.9977,0.0,0.0
2015-05-26,,,,,0.035,1.9627,0.0,0.0
2015-05-27,,,,,0.0288,1.9339,0.0,0.0
2015-05-28,,,,,0.0159,1.9498,0.0,0.0
2015-05-29,,,,,0.0577,2.0075,0.0,0.0
2015-06-01,,,,,0.0174,1.9901,0.0,0.0
2015-06-02,,,,,0.0234,2.0135,0.0,0.0
2015-06-03,,,,,0.0277,1.9858,0.0,0.0
2015-06-04,,,,,0.0365,1.9493,0.0,0.0
2015-06-05,,,,,0.0338,1.9831,0.0,0.0
2015-06-08,,,,,0.0246,1.9585,0.0,0.0
2015-06-09,,,,,0.0413,1.9998,0.0,0.0
2015-06-10,,,,,0.0207,2.0205,0.0,0.0
2015-06-11,,,,,0.0173,2.0032,0.0,0.0
2015-06-12,,,,,0.0326,1.9706,0.0,0.0
2015-06-15,,,,,0.0069,1.9637,0.0,0.0
2015-06-16,,,,,0.0039,1.9676,0.0,0.0
2015-06-17,,,,,0.0024,1.9652,0.0,0.0
2015-06-18,,,,,0.0065,1.9717,0.0,0.0
2015-06-19,,,,,0.0256,1.9461,0.0,0.0
2015-06-22,,,,,0.0141,1.9602,0.0,0.0
2015-06-23,,,,,0.0073,1.9675,0.0,0.0
2015-06-24,,,,,0.0131,1.9544,0.0,0.0
2015-06-25,,,,,0.0114,1.943,0.0,0.0
2015-06-26,,,,,0.0001,1.9431,0.0,0.0
2015-06-29,,,,,0.0159,1.9272,0.0,0.0
2015-06-30,,,,,0.0262,1.9534,0.0,0.0
2015-07-01,,,,,0.0361,1.9173,0.0,0.0
2015-07-02,,,,,0.0002,1.9171,0.0,0.0
2015-07-06,,,,,0.0944,1.8227,0.0,0.0
2015-07-07,,,,,0.0021,1.8248,0.0,0.0
2015-07-08,,,,,0.0089,1.8337,0.0,0.0
2015-07-09,,,,,0.0278,1.8615,0.0,0.0
2015-07-10,,,,,0.0049,1.8664,0.0,0.0
2015-07-13,,,,,0.0138,1.8526,0.0,0.0
2015-07-14,,,,,0.0047,1.8573,0.0,0.0
2015-07-15,,,,,0.033,1.8243,0.0,0.0
2015-07-16,,,,,0.0043,1.82,0.0,0.0
2015-07-17,,,,,0.0083,1.8283,0.0,0.0
2015-07-20,,,,,0.0036,1.8247,0.0,0.0
2015-07-21,,,,,0.0118,1.8365,0.0,0.0
2015-07-22,,,,,0.0224,1.8141,0.0,0.0
2015-07-23,,,,,0.0189,1.7952,0.0,0.0
2015-07-24,,,,,0.0098,1.7854,0.0,0.0
2015-07-27,,,,,0.0102,1.7752,2.0,0.0
2015-07-28,,,,,0.0077,1.7829,0.0,0.0
2015-07-29,,,,,0.0057,1.7886,0.0,0.0
2015-07-30,,,,,0.001,1.7876,0.0,0.0
2015-07-31,,,,,0.02,1.7676,0.0,0.0
2015-08-03,,,,,0.0532,1.7144,0.0,0.0
2015-08-04,,,,,0.0126,1.727,0.0,0.0
2015-08-05,,,,,0.0066,1.7204,0.0,0.0
2015-08-06,,,,,0.0009,1.7213,0.0,0.0
2015-08-07,,,,,0.0087,1.7126,0.0,0.0
2015-08-10,,,,,0.0456,1.7582,0.0,0.0
2015-08-11,,,,,0.02,1.7382,0.0,0.0
2015-08-12,,,,,0.0208,1.759,0.0,0.0
2015-08-13,,,,,0.0049,1.7541,0.0,0.0
2015-08-14,,,,,0.0004,1.7545,0.0,0.0
2015-08-17,,,,,0.0076,1.7469,0.0,0.0
2015-08-18,,,,,0.0051,1.7418,0.0,0.0
2015-08-19,,,,,0.0372,1.7046,0.0,0.0
