Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2009-05-01,0.0,1.9103,1.9103,,,1.9103,0.0,0.0
2009-05-04,0.0,1.9697,1.9697,,,1.9697,0.0,0.0
2009-05-05,0.0,1.955,1.955,,,1.955,0.0,0.0
2009-05-06,0.0,1.9958,1.9958,,,1.9958,0.0,0.0
2009-05-07,1.9791,1.9791,1.9791,,,1.9791,0.0,0.0
2009-05-08,0.0,2.0072,2.0072,,,2.0072,0.0,0.0
2009-05-11,0.0,1.981,1.981,,,1.981,0.0,0.0
2009-05-12,0.0,1.9855,1.9855,,,1.9855,0.0,0.0
2009-05-13,0.0,1.9721,1.9721,,,1.9721,0.0,0.0
2009-05-14,0.0,1.9861,1.9861,,,1.9861,0.0,0.0
2009-05-15,1.9319,1.9319,1.9319,,,1.9319,0.0,0.0
2009-05-18,0.0,1.9865,1.9865,,,1.9865,0.0,0.0
2009-05-19,0.0,1.9847,1.9847,,,1.9847,0.0,0.0
2009-05-20,0.0,2.0085,2.0085,,,2.0085,0.0,0.0
2009-05-21,0.0,2.0055,2.0055,,,2.0055,0.0,0.0
2009-05-22,0.0,2.0335,2.0335,,,2.0335,0.0,0.0
2009-05-26,0.0,2.0468,2.0468,,,2.0468,0.0,0.0
2009-05-27,0.0,2.0624,2.0624,,,2.0624,0.0,0.0
2009-05-28,0.0,2.1022,2.1022,,,2.1022,0.0,0.0
2009-05-29,2.1147,2.1147,2.1147,,,2.1147,0.0,0.0
2009-06-01,0.0,2.1659,2.1659,,,2.1659,0.0,0.0
2009-06-02,0.0,2.1698,2.1698,,,2.1698,0.0,0.0
2009-06-03,0.0,2.1443,2.1443,,,2.1443,0.0,0.0
2009-06-04,0.0,2.1974,2.1974,,,2.1974,0.0,0.0
2009-06-05,0.0,2.187,2.187,,,2.187,0.0,0.0
2009-06-08,0.0,2.1831,2.1831,,,2.1831,0.0,0.0
2009-06-09,0.0,2.2176,2.2176,,,2.2176,0.0,0.0
2009-06-10,0.0,2.2362,2.2362,,,2.2362,0.0,0.0
2009-06-11,0.0,2.2598,2.2598,,,2.2598,0.0,0.0
2009-06-12,0.0,2.2425,2.2425,,,2.2425,0.0,0.0
2009-06-15,2.2333,2.2333,2.2333,,,2.2333,0.0,0.0
2009-06-16,0.0,2.2278,2.2278,,,2.2278,0.0,0.0
2009-06-17,0.0,2.2267,2.2267,,,2.2267,0.0,0.0
2009-06-18,0.0,2.2223,2.2223,,,2.2223,0.0,0.0
2009-06-19,0.0,2.1631,2.1631,,,2.1631,0.0,0.0
2009-06-22,2.1167,2.1167,2.1167,,,2.1167,0.0,0.0
2009-06-23,0.0,2.1611,2.1611,,,2.1611,2.0,2.0
2009-06-24,0.0,2.1451,2.1451,,,2.1451,0.0,2.0
2009-06-25,0.0,2.1722,2.1722,,,2.1722,0.0,2.0
2009-06-26,0.0,2.1429,2.1429,,,2.1429,0.0,2.0
2009-06-29,0.0,2.1948,2.1948,,,2.1948,0.0,2.0
2009-06-30,0.0,2.1622,2.1622,,,2.1622,0.0,2.0
2009-07-01,0.0,2.1383,2.1383,,,2.1383,0.0,2.0
2009-07-02,2.0757,2.0757,2.0757,,,2.0757,0.0,2.0
2009-07-06,0.0,2.018,2.018,,,2.018,0.0,2.0
2009-07-07,2.0029,2.0029,2.0029,,,2.0029,0.0,2.0
2009-07-08,0.0,1.9468,1.9468,,,1.9468,0.0,2.0
2009-07-09,0.0,1.9727,1.9727,,,1.9727,0.0,2.0
2009-07-10,0.0,1.9623,1.9623,,,1.9623,0.0,2.0
2009-07-13,0.0,1.9492,1.9492,,,1.9492,0.0,2.0
2009-07-14,1.9453,1.9453,1.9453,,,1.9453,0.0,2.0
2009-07-15,1.9941,1.9941,1.9941,,,1.9941,0.0,2.0
2009-07-16,0.0,2.0069,2.0069,,,2.0069,0.0,2.0
2009-07-17,0.0,2.0518,2.0518,,,2.0518,0.0,2.0
2009-07-20,0.0,2.0786,2.0786,,,2.0786,0.0,2.0
2009-07-21,0.0,2.0877,2.0877,,,2.0877,0.0,2.0
2009-07-22,2.1039,2.1039,2.1039,,,2.1039,0.0,2.0
2009-07-23,0.0,2.1596,2.1596,,,2.1596,0.0,2.0
2009-07-24,0.0,2.1749,2.1749,,,2.1749,0.0,2.0
2009-07-27,0.0,2.1833,2.1833,,,2.1833,0.0,2.0
2009-07-28,0.0,2.1614,2.1614,,,2.1614,0.0,2.0
2009-07-29,2.1014,2.1014,2.1014,,,2.1014,0.0,2.0
2009-07-30,0.0,2.201,2.201,,,2.201,0.0,2.0
2009-07-31,0.0,2.2325,2.2325,,,2.2325,0.0,2.0
2009-08-03,0.0,2.2868,2.2868,,,2.2868,0.0,2.0
2009-08-04,0.0,2.2755,2.2755,,,2.2755,0.0,2.0
2009-08-05,0.0,2.2848,2.2848,,,2.2848,0.0,2.0
2009-08-06,0.0,2.2949,2.2949,,,2.2949,0.0,2.0
2009-08-07,0.0,2.2528,2.2528,,,2.2528,0.0,2.0
2009-08-10,0.0,2.2631,2.2631,,,2.2631,0.0,2.0
2009-08-11,0.0,2.234,2.234,,,2.234,0.0,2.0
2009-08-12,0.0,2.2299,2.2299,,,2.2299,0.0,2.0
2009-08-13,0.0,2.2346,2.2346,,,2.2346,0.0,2.0
2009-08-14,2.1646,2.1646,2.1646,,,2.1646,0.0,2.0
2009-08-17,2.1664,2.1664,2.1664,,,2.1664,0.0,2.0
2009-08-18,0.0,2.2164,2.2164,,,2.2164,0.0,2.0
2009-08-19,0.0,2.2509,2.2509,,,2.2509,0.0,2.0
2009-08-20,0.0,2.2261,2.2261,,,2.2261,0.0,2.0
2009-08-21,2.248,2.248,2.248,,,2.248,0.0,2.0
2009-08-24,0.0,2.2744,2.2744,,,2.2744,0.0,2.0
2009-08-25,2.2176,2.2176,2.2176,,,2.2176,0.0,2.0
2009-08-26,0.0,2.2042,2.2042,,,2.2042,0.0,2.0
2009-08-27,0.0,2.236,2.236,,,2.236,0.0,2.0
2009-08-28,0.0,2.2368,2.2368,,,2.2368,0.0,2.0
2009-08-31,0.0,2.1539,2.1539,,,2.1539,0.0,2.0
2009-09-01,0.0,2.1127,2.1127,,,2.1127,0.0,2.0
2009-09-02,0.0,2.1222,2.1222,,,2.1222,0.0,2.0
2009-09-03,0.0,2.1095,2.1095,,,2.1095,0.0,2.0
2009-09-04,0.0,2.1003,2.1003,,,2.1003,0.0,2.0
2009-09-08,2.1591,2.1591,2.1591,,,2.1591,0.0,2.0
2009-09-09,0.0,2.1678,2.1678,,,2.1678,0.0,2.0
2009-09-10,0.0,2.1692,2.1692,,,2.1692,0.0,2.0
2009-09-11,0.0,2.1147,2.1147,,,2.1147,0.0,2.0
2009-09-14,0.0,2.1077,2.1077,,,2.1077,0.0,2.0
2009-09-15,0.0,2.1444,2.1444,,,2.1444,0.0,2.0
2009-09-16,0.0,2.1887,2.1887,,,2.1887,0.0,2.0
2009-09-17,0.0,2.1875,2.1875,,,2.1875,0.0,2.0
2009-09-18,2.173,2.173,2.173,,,2.173,0.0,2.0
2009-09-21,0.0,2.1064,2.1064,,,2.1064,0.0,2.0
2009-09-22,0.0,2.1479,2.1479,,,2.1479,0.0,2.0
2009-09-23,0.0,2.0955,2.0955,,,2.0955,0.0,2.0
2009-09-24,2.0289,2.0289,2.0289,,,2.0289,0.0,2.0
2009-09-25,2.0215,2.0215,2.0215,,,2.0215,0.0,2.0
2009-09-28,2.0373,2.0373,2.0373,,,2.0373,0.0,2.0
2009-09-29,0.0,2.0299,2.0299,,,2.0299,0.0,2.0
2009-09-30,0.0,2.1307,2.1307,,,2.1307,0.0,2.0
2009-10-01,0.0,2.1322,2.1322,,,2.1322,0.0,2.0
2009-10-02,2.1075,2.1075,2.1075,,,2.1075,0.0,2.0
2009-10-05,0.0,2.1173,2.1173,,,2.1173,0.0,2.0
2009-10-06,0.0,2.1337,2.1337,,,2.1337,0.0,2.0
2009-10-07,0.0,2.0951,2.0951,,,2.0951,0.0,2.0
2009-10-08,0.0,2.1578,2.1578,,,2.1578,0.0,2.0
