Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-04-30,,,,,0.0,2.035,0.0,0.0
2015-05-01,,,,,0.0049,2.0301,0.0,0.0
2015-05-04,,,,,0.0045,2.0346,0.0,0.0
2015-05-05,,,,,0.0181,2.0527,0.0,0.0
2015-05-06,,,,,0.0037,2.049,0.0,0.0
2015-05-07,,,,,0.0336,2.0154,0.0,0.0
2015-05-08,,,,,0.0062,2.0216,0.0,0.0
2015-05-11,,,,,0.0033,2.0183,0.0,0.0
2015-05-12,,,,,0.0358,2.0541,0.0,0.0
2015-05-13,,,,,0.0088,2.0453,0.0,0.0
2015-05-14,,,,,0.0033,2.042,0.0,0.0
2015-05-15,,,,,0.0027,2.0393,0.0,0.0
2015-05-18,,,,,0.0141,2.0252,0.0,0.0
2015-05-19,,,,,0.0434,1.9818,0.0,0.0
2015-05-20,,,,,0.0175,1.9993,0.0,0.0
2015-05-21,,,,,0.0226,2.0219,0.0,0.0
2015-05-22,,,,,0.0252,1.9967,0.0,0.0
2015-05-26,,,,,0.035,1.9617,0.0,0.0
2015-05-27,,,,,0.0288,1.9329,0.0,0.0
2015-05-28,,,,,0.0159,1.9488,0.0,0.0
2015-05-29,,,,,0.0577,2.0065,0.0,0.0
2015-06-01,,,,,0.0174,1.9891,0.0,0.0
2015-06-02,,,,,0.0234,2.0125,0.0,0.0
2015-06-03,,,,,0.0277,1.9848,0.0,0.0
2015-06-04,,,,,0.0365,1.9483,0.0,0.0
2015-06-05,,,,,0.0338,1.9821,0.0,0.0
2015-06-08,,,,,0.0246,1.9575,0.0,0.0
2015-06-09,,,,,0.0413,1.9988,0.0,0.0
2015-06-10,,,,,0.0207,2.0195,0.0,0.0
2015-06-11,,,,,0.0173,2.0022,0.0,0.0
2015-06-12,,,,,0.0326,1.9696,0.0,0.0
2015-06-15,,,,,0.0069,1.9627,0.0,0.0
2015-06-16,,,,,0.0039,1.9666,0.0,0.0
2015-06-17,,,,,0.0024,1.9642,0.0,0.0
2015-06-18,,,,,0.0065,1.9707,0.0,0.0
2015-06-19,,,,,0.0256,1.9451,0.0,0.0
2015-06-22,,,,,0.0141,1.9592,0.0,0.0
2015-06-23,,,,,0.0073,1.9665,0.0,0.0
2015-06-24,,,,,0.0131,1.9534,0.0,0.0
2015-06-25,,,,,0.0114,1.942,0.0,0.0
2015-06-26,,,,,0.0001,1.9421,0.0,0.0
2015-06-29,,,,,0.0159,1.9262,0.0,0.0
2015-06-30,,,,,0.0262,1.9524,0.0,0.0
2015-07-01,,,,,0.0361,1.9163,0.0,0.0
2015-07-02,,,,,0.0002,1.9161,0.0,0.0
2015-07-06,,,,,0.0944,1.8217,0.0,0.0
2015-07-07,,,,,0.0021,1.8238,0.0,0.0
2015-07-08,,,,,0.0089,1.8327,0.0,0.0
