Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.8295,1.8295,1.8295,,,1.8295,0.0,0.0
2007-02-13,1.8456,1.8456,1.8456,,,1.8456,260.0,235.0
2007-02-14,1.8097,1.8097,1.8097,,,1.8097,0.0,235.0
2007-02-15,1.8014,1.8014,1.8014,,,1.8014,260.0,235.0
2007-02-16,1.8298,1.8298,1.8298,,,1.8298,260.0,235.0
2007-02-19,1.8298,1.8298,1.8298,,,1.8298,260.0,235.0
2007-02-20,1.8076,1.8076,1.8076,,,1.8076,2.0,237.0
2007-02-21,1.8412,1.8412,1.8412,,,1.8412,260.0,237.0
2007-02-22,1.8798,1.8798,1.8798,,,1.8798,2.0,237.0
2007-02-23,1.9056,1.9056,1.9056,,,1.9056,2.0,237.0
2007-02-26,1.9082,1.9082,1.9082,,,1.9082,2.0,237.0
2007-02-27,1.9182,1.9182,1.9046,,,1.9046,3.0,239.0
2007-02-28,1.9248,1.9248,1.9248,,,1.9248,2.0,239.0
2007-03-01,1.9166,1.9166,1.9166,,,1.9166,3.0,239.0
2007-03-02,1.8868,1.8868,1.8868,,,1.8868,3.0,239.0
2007-03-05,1.8542,1.8542,1.8542,,,1.8542,3.0,239.0
2007-03-06,1.8813,1.8813,1.8813,,,1.8813,3.0,239.0
2007-03-07,1.9115,1.9115,1.9115,,,1.9115,3.0,239.0
2007-03-08,1.9108,1.9108,1.9108,,,1.9108,3.0,239.0
2007-03-09,1.8816,1.8816,1.8816,,,1.8816,3.0,239.0
2007-03-12,1.8625,1.8625,1.8625,,,1.8625,3.0,239.0
2007-03-13,1.8713,1.8713,1.8713,,,1.8713,150.0,389.0
2007-03-14,1.8698,1.8698,1.8698,,,1.8698,150.0,389.0
2007-03-15,1.8546,1.8546,1.8546,,,1.8546,0.0,389.0
2007-03-16,1.8691,1.8691,1.8691,,,1.8691,0.0,389.0
2007-03-19,1.8771,1.8771,1.8771,,,1.8771,0.0,389.0
2007-03-20,1.8642,1.8642,1.8642,,,1.8642,0.0,389.0
2007-03-21,1.8683,1.8683,1.8683,,,1.8683,0.0,389.0
2007-03-22,1.9095,1.9095,1.9095,,,1.9095,50.0,439.0
2007-03-23,1.9279,1.9279,1.9279,,,1.9279,5.0,389.0
2007-03-27,1.9704,1.9704,1.9704,,,1.9704,350.0,564.0
2007-03-30,1.9975,1.9975,1.9975,,,1.9975,350.0,685.0
2007-04-03,1.9882,1.9882,1.9882,,,1.9882,350.0,685.0
2007-04-05,2.0313,2.0313,2.0313,,,2.0313,16.0,685.0
2007-04-10,2.0147,2.0147,2.0147,,,2.0147,16.0,685.0
2007-04-11,2.025,2.025,2.005,,,2.0235,475.0,785.0
2007-04-12,2.0135,2.0437,2.0135,,,2.0437,210.0,805.0
2007-04-13,2.039,2.039,2.039,,,2.039,105.0,805.0
2007-04-16,1.9947,1.9947,1.9947,,,1.9947,210.0,805.0
2007-04-17,2.0125,2.0125,1.9601,,,1.9601,206.0,844.0
2007-04-18,1.9525,1.9803,1.9525,,,1.9803,721.0,1367.0
2007-04-19,1.9753,1.9753,1.9753,,,1.9753,467.0,1567.0
2007-04-20,1.9964,1.9964,1.9964,,,1.9964,18.0,1567.0
2007-04-23,2.0304,2.0304,2.0304,,,2.0304,50.0,1567.0
2007-04-24,2.04,2.04,2.0021,,,2.0021,439.0,1843.0
2007-04-25,2.025,2.0417,2.025,,,2.0417,729.0,2362.0
2007-04-26,2.0259,2.0259,2.0259,,,2.0259,140.0,2362.0
2007-04-27,2.0513,2.0513,2.0513,,,2.0513,439.0,2551.0
2007-04-30,2.0329,2.0329,2.0329,,,2.0329,84.0,2596.0
2007-05-02,2.01,2.0201,2.01,,,2.0201,23.0,2596.0
2007-05-03,2.0141,2.0141,2.0141,,,2.0141,93.0,2589.0
2007-05-04,2.0009,2.0009,2.0009,,,2.0009,513.0,2659.0
2007-05-09,1.9925,2.0074,1.981,,,2.0074,263.0,2741.0
2007-05-10,2.02,2.0256,2.0,,,2.0256,227.0,2947.0
2007-05-11,2.0411,2.0411,2.0411,,,2.0411,50.0,3072.0
2007-05-16,2.049,2.049,2.049,,,2.049,75.0,3072.0
2007-05-17,2.07,2.1031,2.07,,,2.1031,2.0,3071.0
2007-05-18,2.0842,2.0842,2.0842,,,2.0842,142.0,3104.0
2007-05-22,2.1,2.1,2.1,,,2.1,29.0,3104.0
2007-05-24,2.094,2.094,2.0874,,,2.0874,54.0,3131.0
2007-05-25,2.1,2.1165,2.095,,,2.1165,395.0,3458.0
2007-05-29,2.0329,2.0329,2.0329,,,2.0329,646.0,3532.0
2007-06-01,2.07,2.0986,2.07,,,2.0986,56.0,3580.0
2007-06-05,2.1021,2.1021,2.1021,,,2.1021,945.0,3923.0
2007-06-06,2.1159,2.1159,2.1159,,,2.1159,268.0,3923.0
2007-06-07,2.1277,2.1277,2.1277,,,2.1277,526.0,4063.0
2007-06-08,2.115,2.115,2.0876,,,2.0876,202.0,4163.0
2007-06-11,2.1076,2.1076,2.1076,,,2.1076,293.0,4163.0
2007-06-12,2.0932,2.0932,2.0932,,,2.0932,85.0,4138.0
2007-06-15,2.1446,2.1446,2.1446,,,2.1446,40.0,4138.0
2007-06-18,2.1575,2.1575,2.1553,,,2.1553,162.0,4178.0
2007-06-20,2.1456,2.1456,2.1456,,,2.1456,287.0,4205.0
2007-06-22,2.1596,2.1596,2.1596,,,2.1596,52.0,4205.0
2007-06-25,2.145,2.1546,2.145,,,2.1504,214.0,4180.0
2007-06-26,2.1169,2.1169,2.1169,,,2.1169,108.0,4180.0
2007-06-27,2.1214,2.1214,2.1214,,,2.1214,100.0,4180.0
2007-06-28,2.1258,2.1258,2.1215,,,2.1221,132.0,4181.0
2007-06-29,2.1553,2.1553,2.1553,,,2.1553,66.0,4128.0
2007-07-02,2.1562,2.1687,2.1562,,,2.1687,76.0,4129.0
2007-07-03,2.1719,2.1719,2.1719,,,2.1719,78.0,4129.0
2007-07-04,2.1719,2.1719,2.1719,,,2.1719,280.0,4129.0
2007-07-05,2.17,2.1848,2.1692,,,2.1848,164.0,4138.0
2007-07-06,2.1986,2.1986,2.1986,,,2.1986,164.0,4138.0
2007-07-09,2.1946,2.1946,2.1946,,,2.1946,564.0,4216.0
2007-07-10,2.2094,2.2094,2.2094,,,2.2094,300.0,4316.0
2007-07-11,2.1963,2.1963,2.1963,,,2.1963,32.0,4319.0
2007-07-12,2.1943,2.1943,2.1943,,,2.1943,2.0,4319.0
2007-07-13,2.18,2.2013,2.177,,,2.2013,44.0,4330.0
2007-07-16,2.1442,2.1442,2.1442,,,2.1442,230.0,4375.0
2007-07-17,2.13,2.1327,2.13,,,2.1327,288.0,4470.0
2007-07-18,2.1823,2.1823,2.1823,,,2.1823,52.0,4470.0
2007-07-19,2.1919,2.1919,2.1919,,,2.1919,100.0,4485.0
2007-07-20,2.1809,2.1809,2.1809,,,2.1809,28.0,4485.0
2007-07-23,2.1549,2.1549,2.1549,,,2.1549,270.0,4510.0
2007-07-24,2.125,2.125,2.125,,,2.125,74.0,4510.0
2007-07-25,2.16,2.16,2.16,,,2.16,70.0,4510.0
2007-07-26,2.1385,2.1385,2.1385,,,2.1385,162.0,4510.0
2007-07-27,2.1636,2.1636,2.1636,,,2.1636,70.0,4510.0
2007-07-30,2.1412,2.1412,2.1412,,,2.1412,302.0,4535.0
2007-07-31,2.1734,2.1734,2.1734,,,2.1734,834.0,4543.0
2007-08-01,2.15,2.1521,2.15,,,2.1521,438.0,4514.0
2007-08-02,2.1567,2.1567,2.1567,,,2.1567,38.0,4504.0
2007-08-03,2.137,2.137,2.137,,,2.137,20.0,4494.0
2007-08-06,2.0549,2.0549,2.0549,,,2.0549,128.0,4504.0
2007-08-07,2.0802,2.0802,2.0802,,,2.0802,358.0,4504.0
2007-08-08,2.081,2.081,2.0807,,,2.0807,4.0,4505.0
2007-08-09,2.0728,2.0728,2.0728,,,2.0728,136.0,4505.0
2007-08-10,2.0733,2.0733,2.0733,,,2.0733,216.0,4528.0
2007-08-13,2.0505,2.0505,2.0505,,,2.0505,30.0,4533.0
2007-08-14,2.0523,2.0673,2.0523,,,2.0673,818.0,4838.0
2007-08-15,2.081,2.0933,2.081,,,2.0933,58.0,4819.0
2007-08-16,2.0483,2.0483,2.0483,,,2.0483,2.0,4820.0
2007-08-17,2.0733,2.0733,2.0733,,,2.0733,90.0,4845.0
2007-08-20,2.03,2.0455,2.03,,,2.0455,914.0,5123.0
2007-08-21,2.034,2.034,2.0132,,,2.0132,890.0,5120.0
2007-08-22,2.0109,2.0109,2.0109,,,2.0109,286.0,5138.0
2007-08-23,2.0263,2.0263,2.0263,,,2.0263,218.0,5138.0
2007-08-24,2.0525,2.0525,2.0525,,,2.0525,428.0,5223.0
2007-08-27,2.0368,2.0735,2.0368,,,2.0735,414.0,5352.0
2007-08-28,2.0529,2.0529,2.0529,,,2.0529,60.0,5352.0
2007-08-29,2.0825,2.0872,2.0825,,,2.0872,588.0,5132.0
2007-08-30,2.0817,2.0817,2.0817,,,2.0817,240.0,5158.0
2007-08-31,2.0876,2.0955,2.0876,,,2.0955,126.0,5158.0
2007-09-03,2.0955,2.0955,2.0955,,,2.0955,34.0,5160.0
2007-09-04,2.108,2.1115,2.108,,,2.1115,1096.0,4973.0
2007-09-05,2.1051,2.1051,2.1051,,,2.1051,396.0,4847.0
2007-09-06,2.1158,2.1173,2.0779,,,2.1122,1446.0,4759.0
2007-09-07,2.1267,2.1267,2.1244,,,2.1244,618.0,4747.0
2007-09-10,2.1306,2.1306,2.1306,,,2.1306,632.0,4794.0
2007-09-11,2.119,2.1349,2.119,,,2.1331,70.0,4692.0
2007-09-12,2.143,2.173,2.1375,,,2.1685,550.0,4684.0
2007-09-13,2.1575,2.1824,2.1575,,,2.1824,38.0,4684.0
2007-09-14,2.1625,2.1625,2.1575,,,2.1594,770.0,4864.0
2007-09-17,2.1763,2.1763,2.1702,,,2.1742,2400.0,5333.0
2007-09-18,2.1876,2.1876,2.1876,,,2.1876,238.0,5071.0
2007-09-19,2.194,2.2021,2.194,,,2.2021,286.0,5103.0
2007-09-20,2.1941,2.2286,2.1933,,,2.2286,358.0,5032.0
2007-09-21,2.2222,2.2309,2.2222,,,2.2309,322.0,5018.0
2007-09-24,2.2243,2.2243,2.2243,,,2.2243,656.0,5008.0
2007-09-25,2.19,2.1929,2.19,,,2.1929,760.0,5007.0
2007-09-26,2.1869,2.1932,2.17,,,2.192,684.0,4989.0
2007-09-27,2.2,2.2513,2.2,,,2.2513,2748.0,5716.0
2007-09-28,2.235,2.2553,2.2206,,,2.2206,842.0,5827.0
2007-10-01,2.2,2.2,2.1775,,,2.1903,421.0,5827.0
2007-10-02,2.1727,2.1879,2.1643,,,2.1878,401.0,5833.0
2007-10-03,2.1869,2.1869,2.1869,,,2.1869,285.0,5820.0
2007-10-04,2.18,2.2307,2.18,,,2.2302,185.0,5762.0
2007-10-05,2.2194,2.235,2.2194,,,2.2328,931.0,5798.0
