Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-05-29,,,,,0.0,2.0045,0.0,0.0
2015-06-01,,,,,0.0174,1.9871,0.0,0.0
2015-06-02,,,,,0.0234,2.0105,0.0,0.0
2015-06-03,,,,,0.0277,1.9828,0.0,0.0
2015-06-04,,,,,0.0365,1.9463,0.0,0.0
2015-06-05,,,,,0.0338,1.9801,0.0,0.0
2015-06-08,,,,,0.0246,1.9555,0.0,0.0
2015-06-09,,,,,0.0413,1.9968,0.0,0.0
2015-06-10,,,,,0.0207,2.0175,0.0,0.0
2015-06-11,,,,,0.0173,2.0002,0.0,0.0
2015-06-12,,,,,0.0326,1.9676,0.0,0.0
2015-06-15,,,,,0.0069,1.9607,0.0,0.0
2015-06-16,,,,,0.0039,1.9646,0.0,0.0
2015-06-17,,,,,0.0024,1.9622,0.0,0.0
2015-06-18,,,,,0.0065,1.9687,0.0,0.0
2015-06-19,,,,,0.0256,1.9431,0.0,0.0
2015-06-22,,,,,0.0141,1.9572,0.0,0.0
2015-06-23,,,,,0.0073,1.9645,0.0,0.0
2015-06-24,,,,,0.0131,1.9514,0.0,0.0
2015-06-25,,,,,0.0114,1.94,0.0,0.0
2015-06-26,,,,,0.0001,1.9401,0.0,0.0
2015-06-29,,,,,0.0159,1.9242,0.0,0.0
2015-06-30,,,,,0.0194,1.9436,0.0,0.0
2015-07-01,,,,,0.0361,1.9075,0.0,0.0
2015-07-02,,,,,0.0002,1.9073,0.0,0.0
2015-07-06,,,,,0.0944,1.8129,0.0,0.0
2015-07-07,,,,,0.0021,1.815,0.0,0.0
2015-07-08,,,,,0.0089,1.8239,0.0,0.0
2015-07-09,,,,,0.0278,1.8517,0.0,0.0
2015-07-10,,,,,0.0049,1.8566,0.0,0.0
2015-07-13,,,,,0.0138,1.8428,0.0,0.0
2015-07-14,,,,,0.0047,1.8475,0.0,0.0
2015-07-15,,,,,0.033,1.8145,0.0,0.0
2015-07-16,,,,,0.0043,1.8102,0.0,0.0
2015-07-17,,,,,0.0083,1.8185,0.0,0.0
2015-07-20,,,,,0.0036,1.8149,0.0,0.0
2015-07-21,,,,,0.0118,1.8267,0.0,0.0
2015-07-22,,,,,0.0224,1.8043,0.0,0.0
2015-07-23,,,,,0.0189,1.7854,0.0,0.0
2015-07-24,,,,,0.0098,1.7756,0.0,0.0
2015-07-27,,,,,0.0102,1.7654,2.0,0.0
2015-07-28,,,,,0.0077,1.7731,0.0,0.0
2015-07-29,,,,,0.0057,1.7788,0.0,0.0
2015-07-30,,,,,0.001,1.7778,0.0,0.0
2015-07-31,,,,,0.02,1.7578,0.0,0.0
2015-08-03,,,,,0.0532,1.7046,0.0,0.0
2015-08-04,,,,,0.0126,1.7172,0.0,0.0
2015-08-05,,,,,0.0066,1.7106,0.0,0.0
2015-08-06,,,,,0.0009,1.7115,0.0,0.0
2015-08-07,,,,,0.0087,1.7028,0.0,0.0
2015-08-10,,,,,0.0456,1.7484,0.0,0.0
2015-08-11,,,,,0.02,1.7284,0.0,0.0
2015-08-12,,,,,0.0208,1.7492,0.0,0.0
2015-08-13,,,,,0.0049,1.7443,0.0,0.0
2015-08-14,,,,,0.0004,1.7447,0.0,0.0
2015-08-17,,,,,0.0076,1.7371,0.0,0.0
2015-08-18,,,,,0.0051,1.732,0.0,0.0
2015-08-19,,,,,0.0372,1.6948,0.0,0.0
2015-08-20,,,,,0.0217,1.6731,0.0,0.0
2015-08-21,,,,,0.0233,1.6498,0.0,0.0
2015-08-24,,,,,0.0589,1.5909,0.0,0.0
2015-08-25,,,,,0.0107,1.6016,0.0,0.0
2015-08-26,,,,,0.0001,1.6017,0.0,0.0
2015-08-27,,,,,0.1039,1.7056,0.0,0.0
2015-08-28,,,,,0.0556,1.7612,0.0,0.0
2015-08-31,,,,,0.0751,1.8363,0.0,0.0
2015-09-01,,,,,0.1003,1.736,0.0,0.0
2015-09-02,,,,,0.0171,1.7531,0.0,0.0
2015-09-03,,,,,0.0052,1.7583,0.0,0.0
2015-09-04,,,,,0.0254,1.7329,0.0,0.0
2015-09-08,,,,,0.0005,1.7334,0.0,0.0
2015-09-09,,,,,0.0327,1.7007,0.0,0.0
2015-09-10,,,,,0.0293,1.73,0.0,0.0
2015-09-11,,,,,0.0216,1.7084,0.0,0.0
2015-09-14,,,,,0.029,1.6794,0.0,0.0
2015-09-15,,,,,0.0041,1.6835,0.0,0.0
2015-09-16,,,,,0.0361,1.7196,0.0,0.0
2015-09-17,,,,,0.0121,1.7075,0.0,0.0
2015-09-18,,,,,0.0338,1.6737,0.0,0.0
2015-09-21,1.66,1.6656,1.66,1.6656,0.0351,1.7088,24.0,0.0
2015-09-22,,,,,0.0153,1.7241,5.0,12.0
2015-09-23,,,,,0.0355,1.6886,0.0,17.0
2015-09-24,,,,,0.005,1.6936,0.0,17.0
2015-09-25,,,,,0.0092,1.7028,0.0,17.0
2015-09-28,,,,,0.0337,1.6691,0.0,17.0
2015-09-29,,,,,0.0123,1.6814,0.0,17.0
2015-09-30,,,,,0.002,1.6834,0.0,17.0
2015-10-01,,,,,0.0111,1.6723,0.0,17.0
2015-10-02,,,,,0.0037,1.676,0.0,17.0
2015-10-05,,,,,0.0263,1.7023,9.0,17.0
2015-10-06,,,,,0.0597,1.762,0.0,26.0
2015-10-07,,,,,0.0133,1.7487,0.0,26.0
2015-10-08,,,,,0.0144,1.7631,0.0,26.0
2015-10-09,,,,,0.0068,1.7563,0.0,26.0
2015-10-12,,,,,0.0476,1.7087,0.0,26.0
2015-10-13,,,,,0.0106,1.6981,0.0,26.0
2015-10-14,,,,,0.0066,1.6915,0.0,26.0
2015-10-15,,,,,0.0015,1.69,0.0,26.0
2015-10-16,,,,,0.0145,1.7045,0.0,26.0
2015-10-19,,,,,0.0425,1.662,0.0,26.0
2015-10-20,,,,,0.0159,1.6779,0.0,26.0
2015-10-21,,,,,0.006,1.6719,0.0,26.0
2015-10-22,,1.6775,,1.6775,0.0088,1.6807,0.0,26.0
2015-10-23,,,,,0.0002,1.6805,0.0,26.0
2015-10-26,,,,,0.0057,1.6748,0.0,26.0
2015-10-27,,1.68,,1.68,0.0113,1.6635,0.0,26.0
2015-10-28,,,,1.68,0.0427,1.7062,0.0,26.0
2015-10-29,,,,,0.0001,1.7063,0.0,26.0
2015-10-30,,,,,0.0131,1.7194,0.0,26.0
2015-11-02,,,,,0.0038,1.7156,0.0,26.0
2015-11-03,,,,,0.0354,1.751,0.0,26.0
2015-11-04,,,,,0.0383,1.7127,0.0,26.0
2015-11-05,,,,,0.0133,1.6994,0.0,26.0
2015-11-06,,,,,0.0139,1.6855,0.0,26.0
2015-11-09,,,,,0.005,1.6905,0.0,26.0
2015-11-10,,,,,0.0032,1.6937,0.0,26.0
2015-11-11,,,,,0.0289,1.6648,0.0,26.0
2015-11-12,,1.68,,1.68,0.0282,1.6366,0.0,26.0
2015-11-13,,,,1.68,0.0086,1.628,0.0,26.0
2015-11-16,,,,,0.0123,1.6403,0.0,26.0
2015-11-17,1.68,1.68,1.68,1.68,0.0099,1.6304,6.0,26.0
2015-11-18,,,,,0.0164,1.6468,0.0,32.0
2015-11-19,,,,,0.0018,1.645,0.0,32.0
2015-11-20,,,,,0.0034,1.6416,0.0,32.0
2015-11-23,,,,,0.0144,1.656,23.0,32.0
2015-11-24,,,,,0.0382,1.6942,0.0,32.0
2015-11-25,,,,,0.0013,1.6929,0.0,32.0
2015-11-27,,,,,0.026,1.6669,0.0,32.0
2015-11-30,,,,,0.0277,1.6392,0.0,32.0
2015-12-01,,,,,0.0275,1.6667,0.0,32.0
2015-12-02,,,,,0.0357,1.631,0.0,32.0
2015-12-03,,,,,0.0158,1.6468,0.0,32.0
2015-12-04,,,,,0.0237,1.6231,0.0,32.0
2015-12-07,1.637,1.637,1.637,1.637,0.0387,1.5844,1.0,32.0
2015-12-08,,,,,0.0078,1.5922,25.0,33.0
2015-12-09,,,,,0.0098,1.602,0.0,33.0
2015-12-10,,,,,0.0081,1.6101,0.0,33.0
2015-12-11,1.61,1.61,1.61,1.61,0.0276,1.5825,12.0,33.0
2015-12-14,,,,,0.0186,1.5639,0.0,38.0
2015-12-15,,,,,0.0027,1.5612,0.0,38.0
2015-12-16,1.5614,1.5614,1.5614,1.5614,0.0161,1.5451,6.0,38.0
2015-12-17,,,,,0.0053,1.5398,0.0,44.0
2015-12-18,,1.54,,1.54,0.0126,1.5272,0.0,44.0
2015-12-21,1.54,1.54,1.54,1.54,0.0141,1.5131,4.0,44.0
2015-12-22,,,,,0.0121,1.501,0.0,48.0
2015-12-23,,,,,0.0261,1.5271,0.0,48.0
2015-12-24,,,,,0.0175,1.5446,0.0,48.0
2015-12-28,,,,,0.0271,1.5175,0.0,48.0
2015-12-29,,,,,0.0192,1.5367,0.0,48.0
2015-12-30,,,,,0.0216,1.5151,0.0,48.0
2015-12-31,,,,,0.0154,1.5305,0.0,48.0
2016-01-04,,1.562,,1.562,0.0031,1.5336,1.0,48.0
2016-01-05,,,,,0.0068,1.5268,0.0,49.0
2016-01-06,,,,,0.0333,1.4935,0.0,49.0
2016-01-07,,,,,0.0274,1.4661,0.0,49.0
2016-01-08,1.47,1.4828,1.4675,1.4675,0.0062,1.4723,23.0,49.0
2016-01-11,,,,,0.0276,1.4447,47.0,66.0
2016-01-12,,,,,0.029,1.4157,0.0,113.0
2016-01-13,,,,,0.0271,1.3886,0.0,113.0
2016-01-14,,,,,0.0087,1.3973,0.0,113.0
2016-01-15,1.3515,1.3515,1.3515,1.3515,0.0509,1.3464,8.0,113.0
2016-01-19,,,,,0.0172,1.3292,13.0,114.0
2016-01-20,,,,,0.0102,1.319,0.0,127.0
2016-01-21,,,,,0.0206,1.3396,0.0,127.0
2016-01-22,,1.3503,,1.3503,0.0586,1.3982,0.0,127.0
2016-01-25,,,,,0.024,1.3742,202.0,127.0
2016-01-26,1.385,1.385,1.385,1.385,0.0264,1.4006,24.0,243.0
2016-01-27,,,,,0.0182,1.4188,51.0,265.0
2016-01-28,,,,,0.0242,1.443,0.0,316.0
2016-01-29,,,,,0.0314,1.4744,0.0,316.0
2016-02-01,,,,,0.0422,1.4322,0.0,316.0
2016-02-02,,,,,0.032,1.4002,15.0,316.0
2016-02-03,,,,,0.0345,1.4347,0.0,331.0
2016-02-04,,,,,0.005,1.4397,0.0,351.0
2016-02-05,,,,,0.0123,1.4274,0.0,371.0
2016-02-08,,,,,0.0138,1.4136,0.0,371.0
2016-02-09,1.3897,1.3897,1.382,1.382,0.0543,1.3593,1.0,371.0
2016-02-10,,,,,0.0031,1.3624,3.0,372.0
2016-02-11,,,,,0.0025,1.3649,0.0,372.0
2016-02-12,,,,,0.068,1.4329,0.0,372.0
2016-02-16,,,1.4113,1.4113,0.0379,1.395,0.0,372.0
2016-02-17,,1.4036,,1.4036,0.0455,1.4405,14.0,372.0
2016-02-18,,,1.4391,1.4391,0.0141,1.4264,6.0,383.0
2016-02-19,,,1.4186,1.4186,0.018,1.4084,0.0,389.0
2016-02-22,,,,,0.0311,1.4395,0.0,389.0
2016-02-23,,,1.4261,1.4261,0.0259,1.4136,10.0,389.0
2016-02-24,,1.4152,,1.4152,0.0272,1.4408,0.0,399.0
2016-02-25,,,1.4326,1.4326,0.0091,1.4499,0.0,399.0
2016-02-26,,,1.4478,1.4478,0.0135,1.4364,0.0,399.0
2016-02-29,,,,,0.0228,1.4592,0.0,399.0
2016-03-01,,,,,0.0041,1.4551,0.0,399.0
2016-03-02,,,,,0.0072,1.4623,0.0,399.0
2016-03-03,,,,,0.0005,1.4628,0.0,399.0
2016-03-04,,,,,0.0278,1.4906,0.0,399.0
2016-03-07,1.533,1.533,1.533,1.533,0.0493,1.5399,4.0,399.0
2016-03-08,,,1.5352,1.5352,0.0182,1.5217,0.0,398.0
2016-03-09,,1.5452,,1.5452,0.0353,1.557,0.0,398.0
2016-03-10,1.5369,1.5388,1.5354,1.5388,0.017,1.54,12.0,398.0
2016-03-11,,,,,0.0048,1.5448,3.0,396.0
2016-03-14,1.5207,1.5226,1.5197,1.5226,0.0222,1.5226,21.0,393.0
2016-03-15,,,1.518,1.518,0.0173,1.5053,1.0,394.0
2016-03-16,,,,,0.0267,1.532,0.0,393.0
2016-03-17,,,,,0.0141,1.5461,0.0,393.0
2016-03-18,,,,,0.0109,1.5352,2.0,393.0
2016-03-21,,,,,0.0172,1.5524,0.0,391.0
2016-03-22,1.5657,1.5657,1.5619,1.5657,0.0131,1.5655,20.0,391.0
2016-03-23,1.549,1.5502,1.5461,1.5461,0.0264,1.5391,29.0,372.0
2016-03-24,,1.5404,1.5366,1.5404,0.0069,1.546,1.0,372.0
2016-03-28,,,,,0.0021,1.5439,0.0,372.0
2016-03-29,1.53,1.5361,1.53,1.536,0.0104,1.5335,57.0,372.0
2016-03-30,1.539,1.5423,1.539,1.539,0.0015,1.535,4.0,372.0
2016-03-31,1.5425,1.5468,1.5425,1.5462,0.0004,1.5346,68.0,372.0
2016-04-01,,,1.5245,1.5245,0.0394,1.4952,1.0,372.0
2016-04-04,,,,,0.0265,1.4687,0.0,375.0
2016-04-05,,,,,0.002,1.4667,0.0,375.0
2016-04-06,,,,,0.0301,1.4968,0.0,375.0
2016-04-07,,,,,0.0144,1.4824,0.0,375.0
2016-04-08,,1.4927,,1.4927,0.0542,1.5366,0.0,375.0
2016-04-11,,,,,0.0282,1.5648,0.0,375.0
2016-04-12,,,,,0.0233,1.5881,0.0,375.0
2016-04-13,,,,,0.0002,1.5879,0.0,375.0
2016-04-14,,,,,0.0048,1.5831,0.0,372.0
2016-04-15,,,1.5761,1.5761,0.0294,1.5537,0.0,372.0
2016-04-18,,,1.5444,1.5444,0.0112,1.5425,0.0,372.0
2016-04-19,,,,,0.0259,1.5684,0.0,372.0
