Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-06-30,,,,,0.0,1.9386,0.0,0.0
2015-07-01,,,,,0.0361,1.9025,0.0,0.0
2015-07-02,,,,,0.0002,1.9023,0.0,0.0
2015-07-06,,,,,0.0944,1.8079,0.0,0.0
2015-07-07,,1.83,,1.83,0.0021,1.81,0.0,0.0
2015-07-08,,,,1.83,0.0089,1.8189,0.0,0.0
2015-07-09,,,,1.83,0.0278,1.8467,0.0,0.0
2015-07-10,,,,,0.0049,1.8516,0.0,0.0
2015-07-13,,,,,0.0138,1.8378,0.0,0.0
2015-07-14,,,,,0.0009,1.8387,0.0,0.0
2015-07-15,,,,,0.033,1.8057,0.0,0.0
2015-07-16,,1.83,,1.83,0.0043,1.8014,0.0,0.0
2015-07-17,,,,1.83,0.0083,1.8097,0.0,0.0
2015-07-20,,1.83,,1.83,0.0036,1.8061,0.0,0.0
2015-07-21,,,,1.83,0.0118,1.8179,0.0,0.0
2015-07-22,,,,1.83,0.0224,1.7955,0.0,0.0
2015-07-23,,,,1.83,0.0189,1.7766,0.0,0.0
2015-07-24,,,,1.83,0.0098,1.7668,0.0,0.0
2015-07-27,1.83,1.83,1.83,1.83,0.0102,1.7566,2.0,0.0
2015-07-28,,,,,0.0077,1.7643,0.0,1.0
2015-07-29,,,,,0.0057,1.77,0.0,1.0
2015-07-30,,,,,0.001,1.769,0.0,1.0
2015-07-31,,,,,0.02,1.749,0.0,1.0
2015-08-03,,,,,0.0532,1.6958,0.0,1.0
2015-08-04,,,,,0.0126,1.7084,0.0,1.0
2015-08-05,,,,,0.0066,1.7018,0.0,1.0
2015-08-06,,,,,0.0009,1.7027,0.0,1.0
2015-08-07,,,,,0.0087,1.694,0.0,1.0
2015-08-10,,,,,0.0456,1.7396,0.0,1.0
2015-08-11,,,,,0.02,1.7196,0.0,1.0
2015-08-12,,,,,0.0208,1.7404,0.0,1.0
2015-08-13,,,,,0.0049,1.7355,0.0,1.0
2015-08-14,,,,,0.0004,1.7359,0.0,1.0
2015-08-17,,,,,0.0076,1.7283,0.0,1.0
2015-08-18,,,,,0.0051,1.7232,0.0,1.0
