Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2008-08-01,3.2658,3.2658,3.2658,,,3.2658,0.0,0.0
2008-08-04,3.1822,3.1822,3.1822,,,3.1822,0.0,0.0
2008-08-05,3.1159,3.1159,3.1159,,,3.1159,0.0,0.0
2008-08-06,3.1003,3.1003,3.1003,,,3.1003,0.0,0.0
2008-08-07,3.1262,3.1262,3.1262,,,3.1262,0.0,0.0
2008-08-08,3.0489,3.0489,3.0489,,,3.0489,0.0,0.0
2008-08-11,3.0331,3.0331,3.0331,,,3.0331,0.0,0.0
2008-08-12,3.0012,3.0012,3.0012,,,3.0012,0.0,0.0
2008-08-13,0.0,3.0698,3.0698,,,3.0698,0.0,0.0
2008-08-14,0.0,3.058,3.058,,,3.058,0.0,0.0
2008-08-15,0.0,3.0387,3.0387,,,3.0387,0.0,0.0
2008-08-18,0.0,2.9967,2.9967,,,2.9967,0.0,0.0
2008-08-19,0.0,3.0399,3.0399,,,3.0399,0.0,0.0
2008-08-20,0.0,3.1025,3.1025,,,3.1025,0.0,0.0
2008-08-21,0.0,3.2458,3.2458,,,3.2458,0.0,0.0
2008-08-22,0.0,3.1051,3.1051,,,3.1051,0.0,0.0
2008-08-25,0.0,3.1284,3.1284,,,3.1284,0.0,0.0
2008-08-26,3.1482,3.1482,3.1482,,,3.1482,0.0,0.0
2008-08-27,0.0,3.1627,3.1627,,,3.1627,0.0,0.0
2008-08-28,0.0,3.1199,3.1199,,,3.1199,0.0,0.0
2008-08-29,0.0,3.1057,3.1057,,,3.1057,0.0,0.0
2008-09-02,0.0,3.0171,3.0171,,,3.0171,0.0,0.0
2008-09-03,0.0,3.0107,3.0107,,,3.0107,0.0,0.0
2008-09-04,0.0,2.9778,2.9778,,,2.9778,0.0,0.0
2008-09-05,0.0,2.9435,2.9435,,,2.9435,0.0,0.0
2008-09-08,0.0,2.9372,2.9372,,,2.9372,0.0,0.0
2008-09-09,0.0,2.8625,2.8625,,,2.8625,0.0,0.0
2008-09-10,0.0,2.8365,2.8365,,,2.8365,0.0,0.0
2008-09-11,0.0,2.8047,2.8047,,,2.8047,0.0,0.0
2008-09-12,0.0,2.819,2.819,,,2.819,0.0,0.0
2008-09-15,0.0,2.6958,2.6958,,,2.6958,0.0,0.0
2008-09-16,0.0,2.5622,2.5622,,,2.5622,0.0,0.0
2008-09-17,0.0,2.6734,2.6734,,,2.6734,0.0,0.0
2008-09-18,0.0,2.7108,2.7108,,,2.7108,0.0,0.0
2008-09-19,0.0,2.8132,2.8132,,,2.8132,0.0,0.0
2008-09-22,0.0,2.9688,2.9688,,,2.9688,0.0,0.0
2008-09-23,0.0,2.8816,2.8816,,,2.8816,0.0,0.0
2008-09-24,0.0,2.858,2.858,,,2.858,0.0,0.0
2008-09-25,0.0,2.9229,2.9229,,,2.9229,0.0,0.0
2008-09-26,0.0,2.8925,2.8925,,,2.8925,0.0,0.0
2008-09-29,0.0,2.6664,2.6664,,,2.6664,0.0,0.0
2008-09-30,0.0,2.7785,2.7785,,,2.7785,0.0,0.0
2008-10-01,0.0,2.6988,2.6988,,,2.6988,0.0,0.0
2008-10-02,0.0,2.5998,2.5998,,,2.5998,0.0,0.0
2008-10-03,0.0,2.5816,2.5816,,,2.5816,0.0,0.0
2008-10-06,0.0,2.4399,2.4399,,,2.4399,0.0,0.0
2008-10-07,0.0,2.4756,2.4756,,,2.4756,0.0,0.0
2008-10-08,0.0,2.4511,2.4511,,,2.4511,0.0,0.0
2008-10-09,0.0,2.4359,2.4359,,,2.4359,0.0,0.0
2008-10-10,0.0,2.2317,2.2317,,,2.2317,0.0,0.0
2008-10-13,0.0,2.3158,2.3158,,,2.3158,0.0,0.0
2008-10-14,0.0,2.27,2.27,,,2.27,0.0,0.0
2008-10-15,0.0,2.1649,2.1649,,,2.1649,0.0,0.0
2008-10-16,0.0,2.0563,2.0563,,,2.0563,0.0,0.0
2008-10-17,0.0,2.0983,2.0983,,,2.0983,0.0,0.0
2008-10-20,0.0,2.1514,2.1514,,,2.1514,0.0,0.0
2008-10-21,0.0,2.1381,2.1381,,,2.1381,0.0,0.0
2008-10-22,0.0,2.0306,2.0306,,,2.0306,0.0,0.0
2008-10-23,0.0,2.0441,2.0441,,,2.0441,0.0,0.0
2008-10-24,1.9534,1.9534,1.9534,,,1.9534,0.0,0.0
2008-10-27,0.0,1.9245,1.9245,,,1.9245,0.0,0.0
2008-10-28,1.9107,1.9107,1.9107,,,1.9107,0.0,0.0
2008-10-30,2.0107,2.0107,2.0107,,,2.0107,0.0,0.0
2008-10-31,2.0816,2.0816,2.0816,,,2.0816,0.0,0.0
2008-11-03,1.9907,1.9907,1.9907,,,1.9907,0.0,0.0
2008-11-04,2.1714,2.1714,2.1714,,,2.1714,0.0,0.0
2008-11-05,2.0801,2.0801,2.0801,,,2.0801,0.0,0.0
2008-11-06,2.0047,2.0047,2.0047,,,2.0047,0.0,0.0
2008-11-07,0.0,2.0147,2.0147,,,2.0147,0.0,0.0
2008-11-10,2.0341,2.0341,2.0341,,,2.0341,0.0,0.0
2008-11-11,0.0,1.9621,1.9621,,,1.9621,0.0,0.0
2008-11-12,0.0,1.8803,1.8803,,,1.8803,0.0,0.0
2008-11-13,0.0,1.9186,1.9186,,,1.9186,0.0,0.0
2008-11-14,1.8733,1.8733,1.8733,,,1.8733,0.0,0.0
2008-11-17,0.0,1.8173,1.8173,,,1.8173,0.0,0.0
2008-11-18,0.0,1.7885,1.7885,,,1.7885,0.0,0.0
2008-11-19,0.0,1.7797,1.7797,,,1.7797,0.0,0.0
2008-11-20,0.0,1.6941,1.6941,,,1.6941,0.0,0.0
2008-11-21,0.0,1.7409,1.7409,,,1.7409,0.0,0.0
2008-11-24,0.0,1.8222,1.8222,,,1.8222,0.0,0.0
2008-11-25,0.0,1.7781,1.7781,,,1.7781,0.0,0.0
2008-11-26,0.0,1.8545,1.8545,,,1.8545,0.0,0.0
2008-11-28,0.0,1.8603,1.8603,,,1.8603,0.0,0.0
2008-12-01,0.0,1.7604,1.7604,,,1.7604,0.0,0.0
2008-12-02,0.0,1.7169,1.7169,,,1.7169,0.0,0.0
2008-12-03,0.0,1.7212,1.7212,,,1.7212,0.0,0.0
2008-12-04,0.0,1.6642,1.6642,,,1.6642,0.0,0.0
2008-12-05,0.0,1.6044,1.6044,,,1.6044,0.0,0.0
2008-12-08,0.0,1.6795,1.6795,,,1.6795,0.0,0.0
2008-12-09,0.0,1.6306,1.6306,,,1.6306,0.0,0.0
2008-12-10,0.0,1.6279,1.6279,,,1.6279,0.0,0.0
2008-12-11,0.0,1.7123,1.7123,,,1.7123,0.0,0.0
2008-12-12,0.0,1.6939,1.6939,,,1.6939,0.0,0.0
2008-12-15,0.0,1.6631,1.6631,,,1.6631,0.0,0.0
2008-12-16,0.0,1.6589,1.6589,,,1.6589,0.0,0.0
2008-12-17,0.0,1.6317,1.6317,,,1.6317,0.0,0.0
2008-12-18,0.0,1.5766,1.5766,,,1.5766,0.0,0.0
2008-12-19,0.0,1.596,1.596,,,1.596,0.0,0.0
2008-12-22,0.0,1.5229,1.5229,,,1.5229,0.0,0.0
2008-12-23,0.0,1.5117,1.5117,,,1.5117,0.0,0.0
2008-12-24,0.0,1.4424,1.4424,,,1.4424,0.0,0.0
2008-12-26,0.0,1.4922,1.4922,,,1.4922,0.0,0.0
2008-12-29,0.0,1.5402,1.5402,,,1.5402,0.0,0.0
2008-12-30,0.0,1.5585,1.5585,,,1.5585,0.0,0.0
2008-12-31,0.0,1.6762,1.6762,,,1.6762,0.0,0.0
2009-01-02,0.0,1.7107,1.7107,,,1.7107,0.0,0.0
2009-01-05,0.0,1.7631,1.7631,,,1.7631,0.0,0.0
2009-01-06,0.0,1.7729,1.7729,,,1.7729,0.0,0.0
2009-01-07,0.0,1.6641,1.6641,,,1.6641,0.0,0.0
