Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-08-01,,,,,0.0,2.5294,0.0,0.0
2014-08-04,,,,,0.0039,2.5255,0.0,0.0
2014-08-05,,,,,0.0116,2.5139,0.0,0.0
2014-08-06,,,,,0.0112,2.5251,0.0,0.0
2014-08-07,,,,,0.0263,2.5514,0.0,0.0
2014-08-08,,,,,0.0162,2.5352,0.0,0.0
2014-08-11,,,,,0.0066,2.5418,0.0,0.0
2014-08-12,,,,,0.0182,2.5236,0.0,0.0
2014-08-13,,,,,0.0204,2.544,0.0,0.0
2014-08-14,,,,,0.0436,2.5004,0.0,0.0
2014-08-15,,,,,0.0343,2.5347,0.0,0.0
2014-08-18,,,,,0.0257,2.509,0.0,0.0
2014-08-19,,,,,0.0042,2.5132,0.0,0.0
2014-08-20,,,,,0.0084,2.5216,0.0,0.0
2014-08-21,,,,,0.0024,2.524,0.0,0.0
2014-08-22,,,,,0.0055,2.5185,0.0,0.0
2014-08-25,,,,,0.0068,2.5253,0.0,0.0
2014-08-26,,,,,0.0012,2.5241,0.0,0.0
2014-08-27,,,,,0.0039,2.528,0.0,0.0
2014-08-28,,,,,0.0105,2.5175,0.0,0.0
2014-08-29,,,,,0.0055,2.523,0.0,0.0
2014-09-02,,,,,0.035,2.488,0.0,0.0
2014-09-03,,,,,0.0395,2.5275,0.0,0.0
2014-09-04,,,,,0.0202,2.5073,0.0,0.0
2014-09-05,,,,,0.0092,2.4981,0.0,0.0
2014-09-08,,,,,0.0003,2.4984,0.0,0.0
2014-09-09,,,,,0.0069,2.4915,0.0,0.0
2014-09-10,,,,,0.0005,2.492,0.0,0.0
2014-09-11,,,,,0.0093,2.4827,0.0,0.0
2014-09-12,,,,,0.0035,2.4792,0.0,0.0
2014-09-15,,,,,0.0009,2.4801,0.0,0.0
2014-09-16,,,,,0.0213,2.5014,0.0,0.0
2014-09-17,,,,,0.0022,2.4992,0.0,0.0
2014-09-18,,,,,0.0163,2.4829,0.0,0.0
2014-09-19,,,,,0.0159,2.4988,0.0,0.0
2014-09-22,,,,,0.0201,2.4787,0.0,0.0
2014-09-23,,,,,0.0014,2.4773,0.0,0.0
2014-09-24,,,,,0.007,2.4843,0.0,0.0
2014-09-25,,,,,0.0006,2.4837,0.0,0.0
