Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2010-09-01,0.0,2.1839,2.1839,,,2.1839,0.0,0.0
2010-09-02,0.0,2.2003,2.2003,,,2.2003,0.0,0.0
2010-09-03,0.0,2.1961,2.1961,,,2.1961,0.0,0.0
2010-09-07,0.0,2.2081,2.2081,,,2.2081,0.0,0.0
2010-09-09,0.0,2.2017,2.2017,,,2.2017,0.0,0.0
2010-09-10,0.0,2.2158,2.2151,,,2.2151,0.0,0.0
2010-09-13,0.0,2.2231,2.2231,,,2.2231,0.0,0.0
2010-09-14,0.0,2.2228,2.2228,,,2.2228,0.0,0.0
2010-09-15,0.0,2.226,2.226,,,2.226,0.0,0.0
2010-09-16,0.0,2.1974,2.1974,,,2.1974,0.0,0.0
2010-09-17,0.0,2.1986,2.1986,,,2.1986,0.0,0.0
2010-09-20,0.0,2.2222,2.2222,,,2.2222,0.0,0.0
2010-09-21,0.0,2.1952,2.1952,,,2.1952,0.0,0.0
2010-09-22,0.0,2.1885,2.1885,,,2.1885,0.0,0.0
2010-09-23,0.0,2.1913,2.1913,,,2.1913,0.0,0.0
2010-09-24,0.0,2.2101,2.2101,,,2.2101,0.0,0.0
2010-09-27,0.0,2.2047,2.2047,,,2.2047,0.0,0.0
2010-09-29,0.0,2.2442,2.2442,,,2.2442,0.0,0.0
2010-09-30,0.0,2.2765,2.2765,,,2.2765,0.0,0.0
2010-10-01,0.0,2.2979,2.2979,,,2.2979,0.0,0.0
2010-10-04,0.0,2.287,2.2865,,,2.2865,0.0,0.0
2010-10-05,0.0,2.3223,2.3223,,,2.3223,0.0,0.0
2010-10-06,0.0,2.3248,2.3248,,,2.3248,0.0,0.0
2010-10-07,0.0,2.2924,2.2924,,,2.2924,0.0,0.0
2010-10-08,0.0,2.3072,2.3072,,,2.3072,0.0,0.0
2010-10-11,0.0,2.2994,2.2993,,,2.2994,0.0,0.0
2010-10-12,0.0,2.288,2.288,,,2.288,0.0,0.0
2010-10-13,0.0,2.3125,2.3125,,,2.3125,0.0,0.0
2010-10-14,0.0,2.2997,2.2997,,,2.2997,0.0,0.0
2010-10-15,0.0,2.2648,2.2648,,,2.2648,0.0,0.0
2010-10-18,0.0,2.3086,2.3086,,,2.3086,0.0,0.0
2010-10-19,0.0,2.2273,2.2273,,,2.2273,0.0,0.0
2010-10-20,0.0,2.2732,2.2732,,,2.2732,0.0,0.0
2010-10-21,0.0,2.235,2.235,,,2.235,0.0,0.0
