Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2012-09-04,0.0,0.0,0.0,,,2.541,0.0,0.0
2012-09-05,0.0,0.0,0.0,,,2.5343,0.0,0.0
2012-09-06,0.0,0.0,0.0,,,2.543,0.0,0.0
2012-09-07,0.0,0.0,0.0,,,2.5584,0.0,0.0
2012-09-10,0.0,0.0,0.0,,,2.5676,0.0,0.0
2012-09-11,0.0,0.0,0.0,,,2.5803,0.0,0.0
2012-09-12,0.0,0.0,0.0,,,2.5942,0.0,0.0
2012-09-13,0.0,0.0,0.0,,,2.6071,0.0,0.0
2012-09-14,0.0,0.0,0.0,,,2.6215,0.0,0.0
2012-09-17,0.0,0.0,0.0,,,2.561,0.0,0.0
2012-09-18,0.0,0.0,0.0,,,2.492,0.0,0.0
2012-09-19,0.0,0.0,0.0,,,2.4078,0.0,0.0
2012-09-20,0.0,0.0,0.0,,,2.4266,0.0,0.0
2012-09-21,0.0,0.0,0.0,,,2.4612,0.0,0.0
2012-09-24,0.0,0.0,0.0,,,2.4257,0.0,0.0
2012-09-25,0.0,0.0,0.0,,,2.4397,0.0,0.0
2012-09-26,0.0,0.0,0.0,,,2.4279,0.0,0.0
2012-09-27,0.0,0.0,0.0,,,2.4682,0.0,0.0
2012-09-28,0.0,0.0,0.0,,,2.4827,0.0,0.0
2012-10-01,0.0,0.0,0.0,,,2.4812,0.0,0.0
2012-10-02,0.0,0.0,0.0,,,2.4674,0.0,0.0
2012-10-03,0.0,0.0,0.0,,,2.3915,0.0,0.0
2012-10-04,0.0,0.0,0.0,,,2.4791,0.0,0.0
2012-10-05,0.0,0.0,0.0,,,2.4637,0.0,0.0
2012-10-08,0.0,0.0,0.0,,,2.442,0.0,0.0
2012-10-09,0.0,0.0,0.0,,,2.4902,0.0,0.0
2012-10-10,0.0,0.0,0.0,,,2.483,0.0,0.0
2012-10-11,0.0,0.0,0.0,,,2.5241,0.0,0.0
2012-10-12,0.0,0.0,0.0,,,2.5107,0.0,0.0
2012-10-15,0.0,0.0,0.0,,,2.516,0.0,0.0
2012-10-16,0.0,0.0,0.0,,,2.5184,0.0,0.0
2012-10-17,0.0,0.0,0.0,,,2.5206,0.0,0.0
2012-10-18,0.0,0.0,0.0,,,2.5015,0.0,0.0
2012-10-19,0.0,0.0,0.0,,,2.4434,0.0,0.0
2012-10-22,0.0,0.0,0.0,,,2.4228,0.0,0.0
2012-10-23,0.0,0.0,0.0,,,2.3883,0.0,0.0
2012-10-24,0.0,0.0,0.0,,,2.3819,0.0,0.0
2012-10-25,0.0,0.0,0.0,,,2.3985,0.0,0.0
2012-10-26,0.0,0.0,0.0,,,2.4246,0.0,0.0
2012-10-29,0.0,0.0,0.0,,,2.4143,0.0,0.0
2012-10-30,0.0,0.0,0.0,,,2.4002,0.0,0.0
2012-10-31,0.0,0.0,0.0,,,2.3945,0.0,0.0
2012-11-01,0.0,0.0,0.0,,,2.4168,0.0,0.0
2012-11-02,0.0,0.0,0.0,,,2.3634,0.0,0.0
2012-11-05,0.0,0.0,0.0,,,2.4025,0.0,0.0
2012-11-06,0.0,0.0,0.0,,,2.4691,0.0,0.0
2012-11-07,0.0,0.0,0.0,,,2.3761,0.0,0.0
2012-11-08,0.0,0.0,0.0,,,2.3891,0.0,0.0
2012-11-09,0.0,0.0,0.0,,,2.4353,0.0,0.0
2012-11-12,0.0,0.0,0.0,,,2.424,0.0,0.0
2012-11-13,0.0,0.0,0.0,,,2.4215,0.0,0.0
2012-11-14,0.0,0.0,0.0,,,2.4347,0.0,0.0
2012-11-15,0.0,0.0,0.0,,,2.4254,0.0,0.0
2012-11-16,0.0,0.0,0.0,,,2.4417,0.0,0.0
2012-11-19,0.0,0.0,0.0,,,2.4961,0.0,0.0
2012-11-20,0.0,0.0,0.0,,,2.4655,0.0,0.0
2012-11-21,0.0,0.0,0.0,,,2.5044,0.0,0.0
2012-11-23,0.0,0.0,0.0,,,2.5127,0.0,0.0
2012-11-26,0.0,0.0,0.0,,,2.5053,0.0,0.0
2012-11-27,0.0,0.0,0.0,,,2.4908,0.0,0.0
2012-11-28,0.0,0.0,0.0,,,2.4832,0.0,0.0
2012-11-29,0.0,0.0,0.0,,,2.5041,0.0,0.0
2012-11-30,0.0,0.0,0.0,,,2.5124,0.0,0.0
2012-12-03,0.0,0.0,0.0,,,2.5034,0.0,0.0
2012-12-04,0.0,0.0,0.0,,,2.4858,0.0,0.0
2012-12-05,0.0,0.0,0.0,,,2.4586,0.0,0.0
2012-12-06,0.0,0.0,0.0,,,2.4205,0.0,0.0
2012-12-07,0.0,0.0,0.0,,,2.4205,0.0,0.0
2012-12-10,0.0,0.0,0.0,,,2.4188,0.0,0.0
2012-12-11,0.0,0.0,0.0,,,2.4205,0.0,0.0
2012-12-12,0.0,0.0,0.0,,,2.443,0.0,0.0
2012-12-13,0.0,0.0,0.0,,,2.406,0.0,0.0
2012-12-14,0.0,0.0,0.0,,,2.446,0.0,0.0
2012-12-17,0.0,0.0,0.0,,,2.4285,0.0,0.0
2012-12-18,0.0,0.0,0.0,,,2.4465,0.0,0.0
2012-12-19,0.0,0.0,0.0,,,2.4776,0.0,0.0
2012-12-20,0.0,0.0,0.0,,,2.4689,0.0,0.0
2012-12-21,0.0,0.0,0.0,,,2.4444,0.0,0.0
2012-12-24,0.0,0.0,0.0,,,2.4427,0.0,0.0
2012-12-26,0.0,0.0,0.0,,,2.4829,0.0,0.0
2012-12-27,0.0,0.0,0.0,,,2.4834,0.0,0.0
2012-12-28,0.0,0.0,0.0,,,2.4712,0.0,0.0
2012-12-31,0.0,0.0,0.0,,,2.4779,0.0,0.0
2013-01-02,0.0,0.0,0.0,,,2.492,0.0,0.0
2013-01-03,0.0,0.0,0.0,,,2.4871,0.0,0.0
2013-01-04,0.0,0.0,0.0,,,2.4797,0.0,0.0
2013-01-07,0.0,0.0,0.0,,,2.4851,0.0,0.0
2013-01-08,0.0,0.0,0.0,,,2.5124,0.0,0.0
2013-01-09,0.0,0.0,0.0,,,2.5092,0.0,0.0
2013-01-10,0.0,0.0,0.0,,,2.508,0.0,0.0
2013-01-11,0.0,0.0,0.0,,,2.4845,0.0,0.0
2013-01-14,0.0,0.0,0.0,,,2.516,0.0,0.0
2013-01-15,0.0,0.0,0.0,,,2.4826,0.0,0.0
2013-01-16,0.0,0.0,0.0,,,2.4908,0.0,0.0
2013-01-17,0.0,0.0,0.0,,,2.5191,0.0,0.0
2013-01-18,0.0,0.0,0.0,,,2.5342,0.0,0.0
2013-01-22,0.0,0.0,0.0,,,2.5393,0.0,0.0
2013-01-23,0.0,0.0,0.0,,,2.5406,0.0,0.0
2013-01-24,0.0,0.0,0.0,,,2.5547,0.0,0.0
2013-01-25,0.0,0.0,0.0,,,2.5462,0.0,0.0
2013-01-28,0.0,0.0,0.0,,,2.5544,0.0,0.0
2013-01-29,0.0,0.0,0.0,,,2.5718,0.0,0.0
2013-01-30,0.0,0.0,0.0,,,2.5715,0.0,0.0
2013-01-31,0.0,0.0,0.0,,,2.5886,0.0,0.0
2013-02-01,0.0,0.0,0.0,,,2.6063,0.0,0.0
2013-02-04,0.0,0.0,0.0,,,2.5731,0.0,0.0
2013-02-05,0.0,0.0,0.0,,,2.5932,0.0,0.0
2013-02-06,0.0,0.0,0.0,,,2.6008,0.0,0.0
2013-02-07,0.0,0.0,0.0,,,2.6067,0.0,0.0
2013-02-08,0.0,0.0,0.0,,,2.6361,0.0,0.0
2013-02-11,0.0,0.0,0.0,,,2.6246,0.0,0.0
2013-02-12,0.0,0.0,0.0,,,2.6377,0.0,0.0
2013-02-13,0.0,0.0,0.0,,,2.6395,0.0,0.0
2013-02-14,0.0,0.0,0.0,,,2.6383,0.0,0.0
2013-02-15,0.0,0.0,0.0,,,2.6357,0.0,0.0
2013-02-19,0.0,0.0,0.0,,,2.6307,0.0,0.0
2013-02-20,0.0,0.0,0.0,,,2.5954,0.0,0.0
2013-02-21,0.0,0.0,0.0,,,2.5493,0.0,0.0
2013-02-22,0.0,0.0,0.0,,,2.5597,0.0,0.0
2013-02-25,0.0,0.0,0.0,,,2.5619,0.0,0.0
2013-02-26,0.0,0.0,0.0,,,2.5234,0.0,0.0
2013-02-27,0.0,0.0,0.0,,,2.5023,0.0,0.0
2013-02-28,0.0,0.0,0.0,,,2.4897,0.0,0.0
2013-03-01,0.0,0.0,0.0,,,2.4764,0.0,0.0
2013-03-04,0.0,0.0,0.0,,,2.4729,0.0,0.0
2013-03-05,0.0,0.0,0.0,,,2.5257,0.0,0.0
2013-03-06,0.0,0.0,0.0,,,2.5297,0.0,0.0
2013-03-07,0.0,0.0,0.0,,,2.5492,0.0,0.0
2013-03-08,0.0,0.0,0.0,,,2.5917,0.0,0.0
2013-03-11,0.0,0.0,0.0,,,2.5924,0.0,0.0
2013-03-12,0.0,0.0,0.0,,,2.5907,0.0,0.0
2013-03-13,0.0,0.0,0.0,,,2.5857,0.0,0.0
2013-03-14,0.0,0.0,0.0,,,2.5957,0.0,0.0
2013-03-15,0.0,0.0,0.0,,,2.613,0.0,0.0
2013-03-18,0.0,0.0,0.0,,,2.5908,0.0,0.0
2013-03-19,0.0,0.0,0.0,,,2.539,0.0,0.0
2013-03-20,0.0,0.0,0.0,,,2.5633,0.0,0.0
2013-03-21,0.0,0.0,0.0,,,2.5451,0.0,0.0
2013-03-22,0.0,0.0,0.0,,,2.5502,0.0,0.0
2013-03-25,0.0,0.0,0.0,,,2.5666,0.0,0.0
2013-03-26,0.0,0.0,0.0,,,2.6031,0.0,0.0
2013-03-27,0.0,0.0,0.0,,,2.6208,0.0,0.0
2013-03-28,0.0,0.0,0.0,,,2.6336,0.0,0.0
2013-04-01,0.0,0.0,0.0,,,2.6348,0.0,0.0
2013-04-02,0.0,0.0,0.0,,,2.6339,0.0,0.0
2013-04-03,0.0,0.0,0.0,,,2.565,0.0,0.0
2013-04-04,0.0,0.0,0.0,,,2.5708,0.0,0.0
2013-04-05,0.0,0.0,0.0,,,2.5306,0.0,0.0
2013-04-08,0.0,0.0,0.0,,,2.5486,0.0,0.0
2013-04-09,0.0,0.0,0.0,,,2.5777,0.0,0.0
