Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.7225,1.7225,1.7225,,,1.7225,0.0,0.0
2007-02-13,1.7206,1.7206,1.7206,,,1.7206,0.0,0.0
2007-02-14,1.6822,1.6822,1.6822,,,1.6822,0.0,0.0
2007-02-15,1.6749,1.6749,1.6749,,,1.6749,0.0,0.0
2007-02-16,1.7033,1.7033,1.7033,,,1.7033,0.0,0.0
2007-02-19,1.7033,1.7033,1.7033,,,1.7033,0.0,0.0
2007-02-20,1.6811,1.6811,1.6811,,,1.6811,0.0,0.0
2007-02-21,1.7147,1.7147,1.7147,,,1.7147,0.0,0.0
2007-02-22,1.7533,1.7533,1.7533,,,1.7533,0.0,0.0
2007-02-23,1.7836,1.7836,1.7836,,,1.7836,0.0,0.0
2007-02-26,1.7862,1.7862,1.7862,,,1.7862,0.0,0.0
2007-02-27,1.7826,1.7826,1.7826,,,1.7826,0.0,0.0
2007-02-28,1.8028,1.8028,1.8028,,,1.8028,0.0,0.0
2007-03-01,1.7946,1.7946,1.7946,,,1.7946,0.0,0.0
2007-03-02,1.7648,1.7648,1.7648,,,1.7648,0.0,0.0
2007-03-05,1.7322,1.7322,1.7322,,,1.7322,0.0,0.0
2007-03-06,1.7593,1.7593,1.7593,,,1.7593,0.0,0.0
2007-03-07,1.7895,1.7895,1.7895,,,1.7895,0.0,0.0
2007-03-08,1.7888,1.7888,1.7888,,,1.7888,0.0,0.0
2007-03-09,1.7596,1.7596,1.7596,,,1.7596,0.0,0.0
2007-03-12,1.7405,1.7405,1.7405,,,1.7405,0.0,0.0
2007-03-13,1.7443,1.7443,1.7443,,,1.7443,0.0,0.0
2007-03-14,1.7428,1.7428,1.7428,,,1.7428,0.0,0.0
2007-03-15,1.7276,1.7276,1.7276,,,1.7276,0.0,0.0
2007-03-16,1.7421,1.7421,1.7421,,,1.7421,0.0,0.0
2007-03-19,1.7491,1.7491,1.7491,,,1.7491,0.0,0.0
2007-03-20,1.7362,1.7362,1.7362,,,1.7362,0.0,0.0
2007-03-21,1.7403,1.7403,1.7403,,,1.7403,0.0,0.0
2007-03-22,1.7815,1.7815,1.7815,,,1.7815,0.0,0.0
2007-03-23,1.7999,1.7999,1.7999,,,1.7999,0.0,0.0
2007-03-26,1.8367,1.8367,1.8367,,,1.8367,0.0,0.0
2007-03-27,1.8384,1.8384,1.8384,,,1.8384,0.0,0.0
2007-03-28,1.8372,1.8372,1.8372,,,1.8372,0.0,0.0
2007-03-29,1.8644,1.8644,1.8644,,,1.8644,0.0,0.0
2007-03-30,1.8605,1.8605,1.8605,,,1.8605,0.0,0.0
2007-04-02,1.8668,1.8668,1.8668,,,1.8668,0.0,0.0
2007-04-03,1.8512,1.8512,1.8512,,,1.8512,0.0,0.0
2007-04-04,1.8809,1.8809,1.8809,,,1.8809,0.0,0.0
2007-04-05,1.8943,1.8943,1.8943,,,1.8943,0.0,0.0
2007-04-09,1.8528,1.8528,1.8528,,,1.8528,0.0,0.0
2007-04-10,1.8727,1.8727,1.8727,,,1.8727,0.0,0.0
2007-04-11,1.8815,1.8815,1.8815,,,1.8815,0.0,0.0
2007-04-12,1.9022,1.9022,1.9022,,,1.9022,0.0,0.0
2007-04-13,1.8975,1.8975,1.8975,,,1.8975,0.0,0.0
2007-04-16,1.8532,1.8532,1.8532,,,1.8532,0.0,0.0
2007-04-17,1.8186,1.8186,1.8186,,,1.8186,0.0,0.0
2007-04-18,1.8388,1.8388,1.8388,,,1.8388,0.0,0.0
2007-04-19,1.8338,1.8338,1.8338,,,1.8338,0.0,0.0
2007-04-20,1.8539,1.8539,1.8539,,,1.8539,0.0,0.0
2007-04-23,1.8879,1.8879,1.8879,,,1.8879,0.0,0.0
2007-04-24,1.8596,1.8596,1.8596,,,1.8596,0.0,0.0
2007-04-25,1.8967,1.8967,1.8967,,,1.8967,25.0,25.0
2007-04-26,1.8809,1.8809,1.8809,,,1.8809,0.0,25.0
2007-04-27,1.9063,1.9063,1.9063,,,1.9063,0.0,25.0
2007-04-30,1.8874,1.8874,1.8874,,,1.8874,19.0,44.0
2007-05-01,1.8817,1.8817,1.8817,,,1.8817,2.0,46.0
2007-05-02,1.8696,1.8696,1.8696,,,1.8696,19.0,46.0
2007-05-03,1.8641,1.8641,1.8641,,,1.8641,2.0,46.0
2007-05-04,1.8509,1.8509,1.8509,,,1.8509,22.0,53.0
2007-05-09,1.8564,1.8564,1.8564,,,1.8564,44.0,57.0
2007-05-11,1.8721,1.8721,1.8721,,,1.8721,40.0,59.0
2007-05-16,1.88,1.88,1.88,,,1.88,44.0,59.0
2007-05-17,1.9341,1.9341,1.9341,,,1.9341,26.0,56.0
2007-05-18,1.9152,1.9152,1.9152,,,1.9152,4.0,67.0
2007-05-24,1.9184,1.9184,1.9184,,,1.9184,15.0,67.0
2007-05-25,1.945,1.945,1.945,,,1.945,125.0,82.0
2007-05-29,1.8614,1.8614,1.8614,,,1.8614,16.0,110.0
2007-06-01,1.9306,1.9306,1.9306,,,1.9306,16.0,110.0
2007-06-05,1.9341,1.9341,1.9341,,,1.9341,6.0,110.0
2007-06-06,1.9479,1.9479,1.9479,,,1.9479,6.0,107.0
2007-06-07,1.9637,1.9637,1.9637,,,1.9637,6.0,107.0
2007-06-08,1.9236,1.9236,1.9236,,,1.9236,6.0,107.0
2007-06-11,1.9436,1.9436,1.9436,,,1.9436,6.0,107.0
2007-06-12,1.9297,1.9297,1.9297,,,1.9297,6.0,107.0
2007-06-15,1.9791,1.9791,1.9791,,,1.9791,6.0,107.0
2007-06-18,1.9898,1.9898,1.9898,,,1.9898,15.0,119.0
2007-06-20,1.9776,1.9776,1.9776,,,1.9776,9.0,134.0
2007-06-22,1.9911,1.9911,1.9911,,,1.9911,12.0,138.0
2007-06-25,1.9819,1.9819,1.9819,,,1.9819,10.0,143.0
2007-06-26,1.9484,1.9484,1.9484,,,1.9484,11.0,143.0
2007-06-27,1.9529,1.9529,1.9529,,,1.9529,10.0,143.0
2007-06-28,1.9536,1.9536,1.9536,,,1.9536,11.0,143.0
2007-06-29,1.9858,1.9858,1.9858,,,1.9858,11.0,143.0
2007-07-02,1.9992,1.9992,1.9992,,,1.9992,11.0,143.0
2007-07-03,2.0014,2.0014,2.0014,,,2.0014,11.0,143.0
2007-07-04,2.0014,2.0014,2.0014,,,2.0014,11.0,143.0
2007-07-05,2.0113,2.0113,2.0113,,,2.0113,30.0,156.0
2007-07-06,2.0231,2.0231,2.0231,,,2.0231,30.0,156.0
2007-07-09,2.0141,2.0141,2.0141,,,2.0141,30.0,156.0
2007-07-10,2.0269,2.0269,2.0269,,,2.0269,30.0,156.0
2007-07-11,2.0158,2.0158,2.0158,,,2.0158,18.0,156.0
2007-07-12,2.0138,2.0138,2.0138,,,2.0138,2.0,157.0
2007-07-13,2.0208,2.0208,2.0208,,,2.0208,2.0,157.0
2007-07-16,1.9617,1.9617,1.9617,,,1.9617,12.0,157.0
2007-07-17,1.9497,1.9497,1.9497,,,1.9497,2.0,157.0
2007-07-18,1.9993,1.9993,1.9993,,,1.9993,20.0,167.0
2007-07-19,2.0064,2.0064,2.0064,,,2.0064,2.0,167.0
2007-07-20,1.9954,1.9954,1.9954,,,1.9954,8.0,167.0
2007-07-23,1.9694,1.9694,1.9694,,,1.9694,2.0,167.0
2007-07-24,1.9405,1.9405,1.9405,,,1.9405,228.0,225.0
2007-07-25,1.9755,1.9755,1.9755,,,1.9755,115.0,225.0
2007-07-26,1.954,1.954,1.954,,,1.954,228.0,225.0
2007-07-27,1.9786,1.9786,1.9786,,,1.9786,228.0,225.0
2007-07-30,1.9552,1.9552,1.9552,,,1.9552,228.0,225.0
