Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2011-10-03,0.0,0.0,0.0,,,2.2039,0.0,0.0
2011-10-04,0.0,0.0,0.0,,,2.1666,0.0,0.0
2011-10-05,0.0,0.0,0.0,,,2.244,0.0,0.0
2011-10-06,0.0,0.0,0.0,,,2.3015,0.0,0.0
2011-10-07,0.0,0.0,0.0,,,2.2897,0.0,0.0
2011-10-10,0.0,0.0,0.0,,,2.3343,0.0,0.0
2011-10-11,0.0,0.0,0.0,,,2.3579,0.0,0.0
2011-10-12,0.0,0.0,0.0,,,2.3616,0.0,0.0
2011-10-13,0.0,0.0,0.0,,,2.3443,0.0,0.0
2011-10-14,0.0,0.0,0.0,,,2.381,0.0,0.0
2011-10-18,0.0,0.0,0.0,,,2.3984,0.0,0.0
2011-10-20,0.0,0.0,0.0,,,2.352,0.0,0.0
2011-10-21,0.0,0.0,0.0,,,2.3499,0.0,0.0
2011-10-24,0.0,0.0,0.0,,,2.3824,0.0,0.0
2011-10-25,0.0,0.0,0.0,,,2.3697,0.0,0.0
2011-10-26,0.0,0.0,0.0,,,2.3422,0.0,0.0
2011-10-27,0.0,0.0,0.0,,,2.4257,0.0,0.0
2011-10-28,0.0,0.0,0.0,,,2.3836,0.0,0.0
2011-10-31,0.0,0.0,0.0,,,2.3643,0.0,0.0
2011-11-01,0.0,0.0,0.0,,,2.3438,0.0,0.0
2011-11-02,0.0,0.0,0.0,,,2.3448,0.0,0.0
2011-11-03,0.0,0.0,0.0,,,2.3758,0.0,0.0
2011-11-04,0.0,0.0,0.0,,,2.402,0.0,0.0
2011-11-07,0.0,0.0,0.0,,,2.4491,0.0,0.0
2011-11-08,0.0,0.0,0.0,,,2.4349,0.0,0.0
2011-11-09,0.0,0.0,0.0,,,2.3818,0.0,0.0
2011-11-10,0.0,0.0,0.0,,,2.3711,0.0,0.0
2011-11-11,0.0,0.0,0.0,,,2.3564,0.0,0.0
2011-11-14,0.0,0.0,0.0,,,2.3049,0.0,0.0
2011-11-15,0.0,0.0,0.0,,,2.338,0.0,0.0
2011-11-16,0.0,0.0,0.0,,,2.3477,0.0,0.0
2011-11-17,0.0,0.0,0.0,,,2.2588,0.0,0.0
2011-11-18,0.0,0.0,0.0,,,2.2501,0.0,0.0
2011-11-21,0.0,0.0,0.0,,,2.2545,0.0,0.0
2011-11-22,0.0,0.0,0.0,,,2.3025,0.0,0.0
2011-11-23,0.0,0.0,0.0,,,2.2632,0.0,0.0
2011-11-25,0.0,0.0,0.0,,,2.2242,0.0,0.0
2011-11-28,0.0,0.0,0.0,,,2.2734,0.0,0.0
2011-11-29,0.0,0.0,0.0,,,2.2977,0.0,0.0
2011-11-30,0.0,0.0,0.0,,,2.3181,0.0,0.0
2011-12-01,0.0,0.0,0.0,,,2.3251,0.0,0.0
2011-12-02,0.0,0.0,0.0,,,2.3611,0.0,0.0
2011-12-05,0.0,0.0,0.0,,,2.3528,0.0,0.0
2011-12-06,0.0,0.0,0.0,,,2.3772,0.0,0.0
2011-12-07,0.0,0.0,0.0,,,2.3487,0.0,0.0
2011-12-08,0.0,0.0,0.0,,,2.3301,0.0,0.0
2011-12-09,0.0,0.0,0.0,,,2.3523,0.0,0.0
2011-12-12,0.0,0.0,0.0,,,2.3178,0.0,0.0
2011-12-13,0.0,0.0,0.0,,,2.3632,0.0,0.0
2011-12-14,0.0,0.0,0.0,,,2.2512,0.0,0.0
2011-12-15,0.0,0.0,0.0,,,2.2318,0.0,0.0
2011-12-16,0.0,0.0,0.0,,,2.231,0.0,0.0
2011-12-19,0.0,0.0,0.0,,,2.2272,0.0,0.0
2011-12-20,0.0,0.0,0.0,,,2.3022,0.0,0.0
2011-12-21,0.0,0.0,0.0,,,2.3257,0.0,0.0
2011-12-22,0.0,0.0,0.0,,,2.3112,0.0,0.0
2011-12-23,0.0,0.0,0.0,,,2.3341,0.0,0.0
2011-12-27,0.0,0.0,0.0,,,2.3419,0.0,0.0
2011-12-28,0.0,0.0,0.0,,,2.3072,0.0,0.0
2011-12-29,0.0,0.0,0.0,,,2.3242,0.0,0.0
2011-12-30,0.0,0.0,0.0,,,2.2989,0.0,0.0
2012-01-03,0.0,0.0,0.0,,,2.3913,0.0,0.0
2012-01-04,0.0,0.0,0.0,,,2.4437,0.0,0.0
2012-01-05,0.0,0.0,0.0,,,2.4159,0.0,0.0
2012-01-06,0.0,0.0,0.0,,,2.4386,0.0,0.0
2012-01-09,0.0,0.0,0.0,,,2.4202,0.0,0.0
2012-01-10,0.0,0.0,0.0,,,2.4203,0.0,0.0
2012-01-11,0.0,0.0,0.0,,,2.4058,0.0,0.0
2012-01-12,0.0,0.0,0.0,,,2.3673,0.0,0.0
2012-01-13,0.0,0.0,0.0,,,2.3662,0.0,0.0
2012-01-17,0.0,0.0,0.0,,,2.4031,0.0,0.0
2012-01-18,0.0,0.0,0.0,,,2.4026,0.0,0.0
2012-01-19,0.0,0.0,0.0,,,2.4134,0.0,0.0
2012-01-20,0.0,0.0,0.0,,,2.3823,0.0,0.0
2012-01-23,0.0,0.0,0.0,,,2.3937,0.0,0.0
2012-01-24,0.0,0.0,0.0,,,2.3962,0.0,0.0
