Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-12-01,,,,,0.0,1.6791,0.0,0.0
2016-12-02,,,,,0.0237,1.7028,0.0,0.0
2016-12-05,,,,,0.0143,1.7171,0.0,0.0
2016-12-06,,,,,0.0235,1.6936,0.0,0.0
2016-12-07,,,,,0.0218,1.6718,0.0,0.0
2016-12-08,,,,,0.0114,1.6604,0.0,0.0
2016-12-09,,,,,0.004,1.6564,0.0,0.0
2016-12-12,,,,,0.0111,1.6675,0.0,0.0
2016-12-13,,,,,0.0108,1.6567,0.0,0.0
2016-12-14,,,,,0.023,1.6337,0.0,0.0
2016-12-15,,,,,0.0009,1.6328,0.0,0.0
2016-12-16,,,,,0.0102,1.643,0.0,0.0
2016-12-19,,,,,0.0034,1.6464,0.0,0.0
2016-12-20,,,,,0.0255,1.6719,0.0,0.0
2016-12-21,,,,,0.0102,1.6617,0.0,0.0
2016-12-22,,,,,0.001,1.6627,0.0,0.0
2016-12-23,,,,,0.0087,1.6714,0.0,0.0
2016-12-27,,,,,0.0155,1.6869,0.0,0.0
2016-12-28,,,,,0.0025,1.6844,0.0,0.0
2016-12-29,,,,,0.0025,1.6869,0.0,0.0
2016-12-30,,,,,0.0057,1.6926,0.0,0.0
2017-01-03,,,,,0.0311,1.6615,0.0,0.0
2017-01-04,,,,,0.0244,1.6859,0.0,0.0
2017-01-05,,,,,0.0066,1.6793,0.0,0.0
2017-01-06,,,,,0.0103,1.669,0.0,0.0
2017-01-09,,,,,0.0491,1.6199,0.0,0.0
2017-01-10,,,,,0.0184,1.6015,0.0,0.0
2017-01-11,,,,,0.0201,1.6216,0.0,0.0
2017-01-12,,,,,0.0102,1.6318,0.0,0.0
2017-01-13,,,,,0.0028,1.629,0.0,0.0
2017-01-17,,,,,0.0048,1.6242,0.0,0.0
2017-01-18,,,,,0.0471,1.5771,0.0,0.0
2017-01-19,,,,,0.0033,1.5804,0.0,0.0
2017-01-20,,,,,0.0312,1.6116,0.0,0.0
2017-01-23,,,,,0.0062,1.6054,0.0,0.0
2017-01-24,,,,,0.0337,1.5717,0.0,0.0
2017-01-25,,,,,0.0198,1.5519,0.0,0.0
2017-01-26,,,,,0.014,1.5659,0.0,0.0
2017-01-27,,,,,0.0221,1.5438,0.0,0.0
2017-01-30,,,,,0.0111,1.5327,0.0,0.0
2017-01-31,,,,,0.0038,1.5365,0.0,0.0
2017-02-01,,,,,0.0207,1.5572,0.0,0.0
2017-02-02,,,,,0.0113,1.5459,0.0,0.0
2017-02-03,,,,,0.0152,1.5611,0.0,0.0
2017-02-06,,,,,0.0227,1.5384,0.0,0.0
2017-02-07,,,,,0.0147,1.5237,0.0,0.0
2017-02-08,,,,,0.0121,1.5358,0.0,0.0
2017-02-09,,,,,0.0072,1.543,0.0,0.0
2017-02-10,,,,,0.0105,1.5535,0.0,0.0
2017-02-13,,,,,0.0299,1.5236,0.0,0.0
2017-02-14,,,,,0.001,1.5226,0.0,0.0
2017-02-15,,,,,0.0039,1.5187,0.0,0.0
2017-02-16,,,,,0.0069,1.5118,0.0,0.0
2017-02-17,,,,,0.0037,1.5081,0.0,0.0
2017-02-21,,,,,0.0167,1.4914,0.0,0.0
2017-02-22,,,,,0.0033,1.4881,0.0,0.0
2017-02-23,,,,,0.0125,1.5006,0.0,0.0
2017-02-24,,,,,0.0024,1.4982,0.0,0.0
2017-02-27,,,,,0.0045,1.5027,0.0,0.0
2017-02-28,,,,,0.0027,1.5054,0.0,0.0
2017-03-01,,,,,0.0141,1.4913,0.0,0.0
2017-03-02,,,,,0.0193,1.472,0.0,0.0
2017-03-03,,,,,0.0171,1.4891,0.0,0.0
2017-03-06,,,,,0.0019,1.4872,0.0,0.0
2017-03-07,,,,,0.0009,1.4863,0.0,0.0
2017-03-08,,,,,0.0405,1.4458,0.0,0.0
2017-03-09,,,,,0.0244,1.4214,0.0,0.0
2017-03-10,,,,,0.0236,1.3978,0.0,0.0
2017-03-13,,,,,0.0021,1.3957,0.0,0.0
2017-03-14,,,,,0.0055,1.3902,0.0,0.0
2017-03-15,,,,,0.0068,1.397,0.0,0.0
2017-03-16,,,,,0.001,1.396,0.0,0.0
2017-03-17,,,,,0.0013,1.3947,0.0,0.0
2017-03-20,,,,,0.0065,1.4012,0.0,0.0
2017-03-21,,,,,0.0083,1.3929,0.0,0.0
2017-03-22,,,,,0.0024,1.3953,0.0,0.0
2017-03-23,,,,,0.0066,1.3887,0.0,0.0
2017-03-24,,,,,0.0074,1.3961,0.0,0.0
2017-03-27,,,,,0.0061,1.4022,0.0,0.0
2017-03-28,,,,,0.0025,1.4047,0.0,0.0
2017-03-29,,,,,0.019,1.4237,0.0,0.0
2017-03-30,,,,,0.0106,1.4343,0.0,0.0
2017-03-31,,,,,0.0148,1.4491,0.0,0.0
2017-04-03,,,,,0.0018,1.4473,0.0,0.0
2017-04-04,,,,,0.0218,1.4691,0.0,0.0
2017-04-05,,,,,0.0045,1.4736,0.0,0.0
