Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2009-11-04,0.0,2.3428,2.3428,,,2.3428,0.0,0.0
2009-11-05,0.0,2.3122,2.3122,,,2.3122,0.0,0.0
2009-11-06,0.0,2.2558,2.2558,,,2.2558,0.0,0.0
2009-11-09,0.0,2.3027,2.3027,,,2.3027,0.0,0.0
2009-11-10,0.0,2.2905,2.2905,,,2.2905,0.0,0.0
2009-11-11,0.0,2.3006,2.3006,,,2.3006,0.0,0.0
2009-11-12,0.0,2.2582,2.2577,,,2.2577,0.0,0.0
2009-11-13,0.0,2.24,2.24,,,2.24,0.0,0.0
2009-11-16,0.0,2.3069,2.3069,,,2.3069,0.0,0.0
2009-11-17,0.0,2.3199,2.3199,,,2.3199,0.0,0.0
2009-11-18,0.0,2.3272,2.3272,,,2.3272,0.0,0.0
2009-11-19,0.0,2.2866,2.2866,,,2.2866,0.0,0.0
2009-11-20,0.0,2.28,2.28,,,2.28,0.0,0.0
2009-11-23,0.0,2.2946,2.2946,,,2.2946,0.0,0.0
2009-11-24,0.0,2.2665,2.2665,,,2.2665,0.0,0.0
2009-11-25,0.0,2.3299,2.3299,,,2.3299,0.0,0.0
2009-11-27,0.0,2.2803,2.2803,,,2.2803,0.0,0.0
2009-11-30,0.0,2.291,2.291,,,2.291,0.0,0.0
2009-12-01,0.0,2.3143,2.3143,,,2.3143,0.0,0.0
2009-12-02,0.0,2.2835,2.2835,,,2.2835,0.0,0.0
2009-12-03,0.0,2.2946,2.2946,,,2.2946,0.0,0.0
2009-12-04,0.0,2.2766,2.2766,,,2.2766,0.0,0.0
2009-12-07,0.0,2.2472,2.2472,,,2.2472,0.0,0.0
2009-12-08,0.0,2.224,2.2235,,,2.2235,0.0,0.0
2009-12-09,0.0,2.1561,2.1561,,,2.1561,0.0,0.0
2009-12-10,0.0,2.1462,2.1462,,,2.1462,0.0,0.0
2009-12-11,0.0,2.1491,2.1491,,,2.1491,0.0,0.0
2009-12-14,0.0,2.1419,2.1419,,,2.1419,0.0,0.0
2009-12-15,0.0,2.1475,2.1475,,,2.1475,0.0,0.0
2009-12-16,0.0,2.172,2.172,,,2.172,0.0,0.0
2009-12-17,0.0,2.1546,2.1546,,,2.1546,0.0,0.0
2009-12-18,0.0,2.1769,2.1769,,,2.1769,0.0,0.0
2009-12-21,0.0,2.1547,2.1547,,,2.1547,0.0,0.0
2009-12-22,0.0,2.1663,2.1663,,,2.1663,0.0,0.0
2009-12-23,0.0,2.2199,2.2199,,,2.2199,0.0,0.0
2009-12-24,0.0,2.2442,2.2442,,,2.2442,0.0,0.0
2009-12-28,0.0,2.2725,2.2725,,,2.2725,0.0,0.0
2009-12-29,0.0,2.2652,2.2652,,,2.2652,0.0,0.0
2009-12-30,0.0,2.2819,2.2819,,,2.2819,0.0,0.0
2009-12-31,0.0,2.2758,2.2758,,,2.2758,0.0,0.0
2010-01-04,0.0,2.3172,2.3172,,,2.3172,0.0,0.0
2010-01-06,0.0,2.3513,2.3513,,,2.3513,0.0,0.0
2010-01-07,0.0,2.339,2.339,,,2.339,0.0,0.0
2010-01-08,0.0,2.336,2.3343,,,2.3343,0.0,0.0
2010-01-11,0.0,2.3338,2.3268,,,2.3268,0.0,0.0
2010-01-12,0.0,2.2833,2.2833,,,2.2833,0.0,0.0
2010-01-13,0.0,2.256,2.256,,,2.256,0.0,0.0
2010-01-14,0.0,2.2535,2.2535,,,2.2535,0.0,0.0
2010-01-15,0.0,2.2291,2.2291,,,2.2291,0.0,0.0
2010-01-19,0.0,2.2332,2.2332,,,2.2332,0.0,0.0
2010-01-20,0.0,2.2087,2.2087,,,2.2087,0.0,0.0
2010-01-21,0.0,2.162,2.162,,,2.162,0.0,0.0
2010-01-22,0.0,2.1255,2.1255,,,2.1255,0.0,0.0
2010-01-25,0.0,2.143,2.143,,,2.143,0.0,0.0
2010-01-26,0.0,2.126,2.126,,,2.126,0.0,0.0
2010-01-27,0.0,2.1011,2.1011,,,2.1011,0.0,0.0
2010-01-28,0.0,2.0917,2.0917,,,2.0917,0.0,0.0
2010-01-29,0.0,2.0785,2.0785,,,2.0785,0.0,0.0
2010-02-01,0.0,2.1125,2.1125,,,2.1125,0.0,0.0
2010-02-02,0.0,2.1808,2.1808,,,2.1808,0.0,0.0
2010-02-03,0.0,2.1847,2.1847,,,2.1847,0.0,0.0
2010-02-04,0.0,2.0963,2.0963,,,2.0963,0.0,0.0
2010-02-05,0.0,2.043,2.0425,,,2.0425,0.0,0.0
2010-02-08,0.0,2.0541,2.0541,,,2.0541,0.0,0.0
2010-02-09,0.0,2.0996,2.0996,,,2.0996,0.0,0.0
2010-02-10,0.0,2.1099,2.1099,,,2.1099,0.0,0.0
2010-02-11,0.0,2.1285,2.1285,,,2.1285,0.0,0.0
2010-02-12,0.0,2.1069,2.1069,,,2.1069,0.0,0.0
2010-02-16,0.0,2.1625,2.1625,,,2.1625,0.0,0.0
