Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2015-11-30,,,,,0.0,1.5446,0.0,0.0
2015-12-01,,,,,0.0275,1.5721,0.0,0.0
2015-12-02,,,,,0.0357,1.5364,0.0,0.0
2015-12-03,,,,,0.0158,1.5522,0.0,0.0
2015-12-04,,,,,0.0237,1.5285,0.0,0.0
2015-12-07,,,,,0.0387,1.4898,0.0,0.0
2015-12-08,,,,,0.0078,1.4976,0.0,0.0
2015-12-09,,,,,0.0068,1.5044,0.0,0.0
2015-12-10,,,,,0.0054,1.5098,0.0,0.0
2015-12-11,,,,,0.0331,1.4767,0.0,0.0
2015-12-14,,,,,0.0246,1.4521,0.0,0.0
2015-12-15,,,,,0.0092,1.4429,0.0,0.0
2015-12-16,,,,,0.0191,1.4238,0.0,0.0
2015-12-17,,,,,0.0095,1.4143,0.0,0.0
2015-12-18,,,,,0.0126,1.4017,0.0,0.0
2015-12-21,,,,,0.015,1.3867,0.0,0.0
2015-12-22,,,,,0.0121,1.3746,0.0,0.0
2015-12-23,,,,,0.0266,1.4012,0.0,0.0
2015-12-24,,,,,0.0175,1.4187,0.0,0.0
2015-12-28,,,,,0.0271,1.3916,0.0,0.0
2015-12-29,,,,,0.0192,1.4108,0.0,0.0
2015-12-30,,,,,0.0221,1.3887,0.0,0.0
2015-12-31,,,,,0.0123,1.401,0.0,0.0
2016-01-04,,,,,0.0031,1.4041,0.0,0.0
2016-01-05,,,,,0.0068,1.3973,0.0,0.0
2016-01-06,,,,,0.0304,1.3669,0.0,0.0
2016-01-07,,,,,0.0334,1.3335,0.0,0.0
2016-01-08,,,,,0.0032,1.3303,0.0,0.0
2016-01-11,,,,,0.0395,1.2908,0.0,0.0
2016-01-12,,,,,0.0295,1.2613,0.0,0.0
2016-01-13,,,,,0.0271,1.2342,0.0,0.0
2016-01-14,,,,,0.0077,1.2419,0.0,0.0
2016-01-15,,,,,0.0519,1.19,0.0,0.0
2016-01-19,,,,,0.0198,1.1702,0.0,0.0
2016-01-20,,,,,0.0102,1.16,0.0,0.0
2016-01-21,,,,,0.0206,1.1806,0.0,0.0
2016-01-22,,,,,0.0586,1.2392,0.0,0.0
2016-01-25,,,,,0.0302,1.209,0.0,0.0
2016-01-26,,,,,0.0249,1.2339,0.0,0.0
2016-01-27,,,,,0.0182,1.2521,0.0,0.0
2016-01-28,,,,,0.0182,1.2703,0.0,0.0
2016-01-29,,,,,0.0314,1.3017,0.0,0.0
2016-02-01,,,,,0.047,1.2547,0.0,0.0
2016-02-02,,,,,0.032,1.2227,0.0,0.0
2016-02-03,,,,,0.033,1.2557,0.0,0.0
2016-02-04,,,,,0.002,1.2577,0.0,0.0
2016-02-05,,,,,0.0115,1.2462,0.0,0.0
2016-02-08,,,,,0.0076,1.2386,0.0,0.0
2016-02-09,,,,,0.0543,1.1843,0.0,0.0
2016-02-10,,,,,0.0014,1.1829,0.0,0.0
2016-02-11,,,,,0.0025,1.1854,0.0,0.0
2016-02-12,,,,,0.064,1.2494,0.0,0.0
