Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2005-10-03,1.6953,1.6953,1.6953,,,1.6953,0.0,0.0
2005-10-04,1.6643,1.6643,1.6643,,,1.6643,0.0,0.0
2005-10-05,1.62,1.62,1.62,,,1.62,0.0,0.0
2005-10-06,1.585,1.585,1.585,,,1.585,0.0,0.0
2005-10-07,1.62,1.62,1.62,,,1.62,0.0,0.0
2005-10-10,1.61,1.61,1.61,,,1.61,0.0,0.0
2005-10-11,1.65,1.65,1.65,,,1.65,0.0,0.0
2005-10-12,1.65,1.65,1.65,,,1.65,0.0,0.0
2005-10-13,1.6031,1.6031,1.6031,,,1.6031,0.0,0.0
2005-10-14,1.585,1.585,1.585,,,1.585,0.0,0.0
2005-10-17,1.6375,1.6375,1.6375,,,1.6375,0.0,0.0
2005-10-18,1.5705,1.5705,1.5705,,,1.5705,0.0,0.0
2005-10-19,1.5742,1.5742,1.5742,,,1.5742,0.0,0.0
2005-10-20,1.54,1.54,1.54,,,1.54,0.0,0.0
2005-10-21,1.61,1.61,1.61,,,1.61,0.0,0.0
2005-10-24,1.6338,1.6338,1.6338,,,1.6338,0.0,0.0
2005-10-25,1.672,1.672,1.672,,,1.672,0.0,0.0
2005-10-26,1.67,1.67,1.6196,,,1.6196,13.0,10.0
2005-10-27,1.6297,1.6297,1.6297,,,1.6297,3.0,10.0
2005-10-28,1.6536,1.6536,1.6536,,,1.6536,0.0,11.0
2005-10-31,1.5996,1.5996,1.5996,,,1.5996,35.0,45.0
2005-11-01,1.6205,1.6205,1.6205,,,1.6205,0.0,45.0
2005-11-02,1.6075,1.6075,1.6075,,,1.6075,0.0,45.0
2005-11-03,1.6611,1.6611,1.6611,,,1.6611,0.0,45.0
2005-11-04,1.6416,1.6416,1.6416,,,1.6416,0.0,45.0
2005-11-07,1.6165,1.6165,1.6165,,,1.6165,0.0,45.0
2005-11-08,1.6269,1.6269,1.6269,,,1.6269,0.0,45.0
2005-11-09,1.5986,1.5986,1.5986,,,1.5986,5.0,90.0
2005-11-10,1.59,1.59,1.5783,,,1.5783,10.0,100.0
2005-11-11,1.578,1.578,1.5715,,,1.5715,1.0,61.0
2005-11-14,1.5742,1.5742,1.5742,,,1.5742,0.0,73.0
