Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-28,,,,,0.0,1.8273,0.0,0.0
2014-12-01,,1.8807,,,0.0627,1.89,0.0,0.0
2014-12-02,,1.899,,,0.0364,1.8536,0.0,0.0
2014-12-03,,1.87,,,0.0099,1.8635,0.0,0.0
2014-12-04,,,,,0.0084,1.8551,0.0,0.0
2014-12-05,,,,,0.0157,1.8394,0.0,0.0
2014-12-08,,,,,0.0602,1.7792,0.0,0.0
2014-12-09,,,,,0.0061,1.7853,0.0,0.0
2014-12-10,,,,,0.0628,1.7225,0.0,0.0
2014-12-11,,,,,0.0123,1.7102,0.0,0.0
2014-12-12,,,,,0.0304,1.6798,0.0,0.0
2014-12-15,,,,,0.0236,1.6562,0.0,0.0
2014-12-16,,,,,0.0316,1.6246,0.0,0.0
2014-12-17,,,,,0.0233,1.6479,0.0,0.0
2014-12-18,,,,,0.0287,1.6192,0.0,0.0
2014-12-19,,,,,0.0547,1.6739,0.0,0.0
2014-12-22,,,,,0.0086,1.6653,0.0,0.0
2014-12-23,,,,,0.0457,1.711,0.0,0.0
2014-12-24,,,,,0.0206,1.6904,0.0,0.0
2014-12-26,,,,,0.0094,1.681,0.0,0.0
2014-12-29,,,,,0.0257,1.6553,0.0,0.0
2014-12-30,,,,,0.0048,1.6601,0.0,0.0
2014-12-31,,,,,0.0049,1.6552,0.0,0.0
2015-01-02,,,,,0.0235,1.6317,0.0,0.0
2015-01-05,,,,,0.0365,1.5952,0.0,0.0
2015-01-06,,,,,0.0215,1.5737,0.0,0.0
2015-01-07,,,,,0.0045,1.5692,0.0,0.0
2015-01-08,,,,,0.0008,1.5684,0.0,0.0
2015-01-09,,,,,0.0008,1.5692,0.0,0.0
2015-01-12,,,,,0.0386,1.5306,0.0,0.0
2015-01-13,,,,,0.0006,1.5312,0.0,0.0
2015-01-14,,,,,0.0467,1.5779,0.0,0.0
2015-01-15,,,,,0.045,1.5329,0.0,0.0
2015-01-16,,,,,0.0369,1.5698,0.0,0.0
2015-01-20,,,,,0.0492,1.5206,0.0,0.0
2015-01-21,,,,,0.0206,1.5412,0.0,0.0
2015-01-22,,,,,0.014,1.5272,0.0,0.0
2015-01-23,,,,,0.0136,1.5408,0.0,0.0
2015-01-26,,,,,0.0115,1.5293,0.0,0.0
2015-01-27,,,,,0.0371,1.5664,0.0,0.0
2015-01-28,,,,,0.017,1.5494,0.0,0.0
2015-01-29,,,,,0.0148,1.5642,0.0,0.0
2015-01-30,,,,,0.0835,1.6477,0.0,0.0
2015-02-02,,,,,0.036,1.6837,0.0,0.0
2015-02-03,,,,,0.0566,1.7403,0.0,0.0
2015-02-04,,,,,0.0843,1.656,0.0,0.0
2015-02-05,,,,,0.0413,1.6973,0.0,0.0
2015-02-06,,,,,0.0181,1.7154,0.0,0.0
2015-02-09,,,,,0.0178,1.7332,0.0,0.0
2015-02-10,,,,,0.0226,1.7106,0.0,0.0
2015-02-11,,,,,0.0177,1.6929,0.0,0.0
2015-02-12,,,,,0.0491,1.742,0.0,0.0
2015-02-13,,,,,0.0113,1.7533,0.0,0.0
2015-02-17,,,,,0.0009,1.7542,0.0,0.0
2015-02-18,,,,,0.0424,1.7118,0.0,0.0
2015-02-19,,,,,0.0148,1.697,0.0,0.0
2015-02-20,,,,,0.0034,1.6936,0.0,0.0
2015-02-23,,,,,0.0129,1.6807,0.0,0.0
2015-02-24,,,,,0.0228,1.7035,0.0,0.0
2015-02-25,,,,,0.0603,1.7638,0.0,0.0
2015-02-26,,,,,0.0319,1.7319,0.0,0.0
2015-02-27,,,,,0.037,1.7689,0.0,0.0
2015-03-02,,,,,0.0523,1.7166,0.0,0.0
2015-03-03,,,,,0.0386,1.7552,0.0,0.0
2015-03-04,,,,,0.022,1.7332,0.0,0.0
2015-03-05,,,,,0.0283,1.7049,0.0,0.0
2015-03-06,,,,,0.0152,1.6897,0.0,0.0
2015-03-09,,,,,0.0159,1.6738,0.0,0.0
2015-03-10,,1.679,,,0.008,1.6658,0.0,0.0
2015-03-11,,1.686,,,0.0204,1.6862,0.0,0.0
2015-03-12,,1.689,,,0.0025,1.6837,0.0,0.0
2015-03-13,,1.692,,,0.0014,1.6851,0.0,0.0
2015-03-16,1.691,1.691,1.689,,0.0021,1.683,5.0,0.0
2015-03-17,,,,,0.0096,1.6734,0.0,3.0
2015-03-18,,,,,0.0538,1.7272,0.0,3.0
2015-03-19,,,,,0.032,1.6952,0.0,3.0
2015-03-20,,,,,0.0181,1.7133,0.0,3.0
2015-03-23,,,,,0.0084,1.7217,0.0,3.0
2015-03-24,,,,,0.0238,1.6979,200.0,3.0
2015-03-25,,,,,0.0239,1.7218,19.0,203.0
2015-03-26,,,,,0.0257,1.7475,150.0,203.0
2015-03-27,,,1.6881,,0.0536,1.6939,119.0,350.0
2015-03-30,,,,,0.0129,1.7068,0.0,350.0
2015-03-31,,,1.6871,,0.0168,1.69,0.0,350.0
2015-04-01,,,,,0.0407,1.7307,0.0,350.0
2015-04-02,,,,,0.0425,1.6882,0.0,350.0
2015-04-06,,,,,0.0531,1.7413,2.0,350.0
2015-04-07,,,,,0.0072,1.7341,0.0,348.0
2015-04-08,,,,,0.0584,1.6757,0.0,348.0
2015-04-09,,,,,0.021,1.6967,0.0,348.0
2015-04-10,,,,,0.0242,1.7209,0.0,348.0
2015-04-13,,,,,0.0042,1.7251,0.0,348.0
2015-04-14,,,,,0.0133,1.7384,0.0,348.0
2015-04-15,,,,,0.0656,1.804,0.0,348.0
2015-04-16,,,,,0.001,1.805,0.0,348.0
2015-04-17,,,,,0.0188,1.7862,0.0,348.0
2015-04-20,,,,,0.0075,1.7937,0.0,348.0
2015-04-21,,,,,0.02,1.7737,0.0,348.0
2015-04-22,,,,,0.0177,1.7914,0.0,348.0
2015-04-23,,,,,0.0328,1.8242,0.0,348.0
2015-04-24,,,,,0.0048,1.829,0.0,348.0
2015-04-27,,,,,0.0194,1.8096,0.0,348.0
2015-04-28,,,,,0.0079,1.8017,0.0,348.0
2015-04-29,,,,,0.021,1.8227,0.0,348.0
2015-04-30,,,,,0.0073,1.83,0.0,348.0
2015-05-01,,,1.8105,,0.0049,1.8251,31.0,348.0
2015-05-04,,,,,0.0045,1.8296,0.0,348.0
2015-05-05,,,,,0.0181,1.8477,0.0,348.0
2015-05-06,,,,,0.0037,1.844,0.0,348.0
2015-05-07,,,1.8362,,0.0336,1.8104,0.0,348.0
2015-05-08,,,,,0.0062,1.8166,0.0,348.0
2015-05-11,,,1.8139,,0.0033,1.8133,100.0,348.0
2015-05-12,,,,,0.0358,1.8491,0.0,448.0
2015-05-13,,,1.8377,,0.0088,1.8403,0.0,448.0
2015-05-14,,,1.8331,,0.0033,1.837,0.0,448.0
2015-05-15,,,1.8296,,0.0027,1.8343,0.0,448.0
2015-05-18,,,1.8296,,0.0141,1.8202,0.0,448.0
2015-05-19,,,1.8103,,0.0434,1.7768,300.0,448.0
2015-05-20,,,,,0.0175,1.7943,0.0,748.0
2015-05-21,,,,,0.0226,1.8169,0.0,748.0
2015-05-22,,,1.7936,,0.0252,1.7917,0.0,748.0
2015-05-26,,,,,0.035,1.7567,0.0,748.0
2015-05-27,,1.7578,,,0.0288,1.7279,0.0,748.0
2015-05-28,,1.7376,,,0.0159,1.7438,0.0,748.0
2015-05-29,,,,,0.0577,1.8015,0.0,748.0
2015-06-01,,,1.7855,,0.0174,1.7841,0.0,748.0
2015-06-02,,,1.7774,,0.0234,1.8075,0.0,748.0
2015-06-03,,,,,0.0277,1.7798,0.0,748.0
2015-06-04,,,1.7533,,0.0365,1.7433,0.0,748.0
2015-06-05,,,,,0.0338,1.7771,0.0,748.0
2015-06-08,,,1.7646,,0.0246,1.7525,0.0,748.0
2015-06-09,,,,,0.0413,1.7938,50.0,748.0
2015-06-10,,,,,0.0207,1.8145,100.0,748.0
2015-06-11,,,1.7911,,0.0173,1.7972,0.0,648.0
2015-06-12,,,1.7812,,0.0326,1.7646,0.0,648.0
2015-06-15,1.7457,1.7669,1.7442,,0.0069,1.7577,72.0,648.0
2015-06-16,1.7626,1.7659,1.7626,,0.0039,1.7616,1.0,661.0
2015-06-17,,1.7861,,,0.0024,1.7592,0.0,662.0
