Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
1977-08-22,101.781,102.125,101.781,102.031,,102.031,139.0,85.0
1977-08-23,102.031,102.406,102.0,102.406,,102.406,144.0,132.0
1977-08-24,102.375,102.375,102.281,102.281,,102.281,23.0,133.0
1977-08-25,102.312,102.688,102.312,102.656,,102.656,63.0,126.0
1977-08-26,102.594,103.25,102.531,102.719,,102.719,123.0,148.0
1977-08-29,103.156,103.156,102.75,102.781,,102.781,38.0,146.0
1977-08-30,102.719,102.812,102.406,102.719,,102.719,36.0,148.0
1977-08-31,102.75,102.75,102.594,102.719,,102.719,48.0,140.0
1977-09-01,102.594,102.719,102.531,102.656,,102.656,116.0,144.0
1977-09-02,102.875,103.031,102.781,103.0,,103.0,129.0,157.0
1977-09-06,103.062,103.094,102.906,102.969,,102.969,86.0,193.0
1977-09-07,102.688,102.812,102.688,102.781,,102.781,49.0,219.0
1977-09-08,102.719,102.812,102.625,102.812,,102.812,16.0,216.0
1977-09-09,102.406,102.688,102.219,102.219,,102.219,105.0,251.0
1977-09-12,102.25,102.312,102.219,102.281,,102.281,26.0,270.0
1977-09-13,102.281,102.656,102.25,102.656,,102.656,35.0,266.0
1977-09-14,102.688,102.844,102.594,102.688,,102.688,27.0,256.0
1977-09-15,102.812,102.906,102.625,102.75,,102.75,87.0,234.0
1977-09-16,102.938,102.938,102.688,102.781,,102.781,64.0,239.0
1977-09-19,102.875,102.875,102.812,102.812,,102.812,29.0,229.0
1977-09-20,102.688,102.719,102.625,102.625,,102.625,45.0,217.0
1977-09-21,102.594,102.812,102.594,102.812,,102.812,31.0,199.0
1977-09-22,102.656,102.656,102.438,102.438,,102.438,90.0,184.0
1977-09-23,102.344,102.562,102.344,102.562,,102.562,20.0,179.0
1977-09-26,102.438,102.438,102.344,102.344,,102.344,18.0,167.0
1977-09-27,102.469,102.656,102.375,102.656,,102.656,37.0,160.0
1977-09-28,102.812,102.812,102.531,102.594,,102.594,21.0,162.0
1977-09-29,102.531,102.625,102.531,102.594,,102.594,2.0,160.0
1977-09-30,102.625,102.625,102.469,102.531,,102.531,39.0,160.0
1977-10-03,102.312,102.344,102.25,102.281,,102.281,14.0,165.0
1977-10-04,102.406,102.406,102.344,102.406,,102.406,24.0,165.0
1977-10-05,102.562,102.562,102.281,102.406,,102.406,39.0,181.0
1977-10-06,102.281,102.312,102.25,102.25,,102.25,33.0,182.0
1977-10-07,102.156,102.188,102.0,102.0,,102.0,65.0,182.0
1977-10-10,101.969,101.969,101.875,101.875,,101.875,9.0,171.0
1977-10-11,101.75,101.75,101.406,101.531,,101.531,39.0,180.0
1977-10-12,101.406,101.5,101.188,101.281,,101.281,16.0,181.0
1977-10-13,101.188,101.531,101.156,101.219,,101.219,37.0,182.0
1977-10-14,101.219,101.531,101.219,101.5,,101.5,40.0,202.0
1977-10-17,101.438,101.438,101.281,101.375,,101.375,30.0,193.0
1977-10-18,101.375,101.406,101.188,101.281,,101.281,108.0,187.0
1977-10-19,101.312,101.531,101.281,101.438,,101.438,40.0,217.0
1977-10-20,101.469,101.594,101.438,101.562,,101.562,57.0,217.0
1977-10-21,101.344,101.5,101.344,101.406,,101.406,39.0,223.0
1977-10-24,101.5,101.75,101.438,101.469,,101.469,79.0,226.0
1977-10-25,101.375,101.375,101.219,101.25,,101.25,38.0,213.0
1977-10-26,101.25,101.25,101.156,101.219,,101.219,50.0,227.0
1977-10-27,101.25,101.281,101.188,101.188,,101.188,221.0,314.0
1977-10-28,101.062,101.25,101.062,101.188,,101.188,96.0,318.0
1977-10-31,101.25,101.25,100.75,100.75,,100.75,18.0,313.0
1977-11-01,100.562,100.625,100.344,100.344,,100.344,98.0,338.0
1977-11-02,100.219,100.438,100.156,100.312,,100.312,116.0,398.0
1977-11-03,100.344,100.469,100.281,100.344,,100.344,48.0,417.0
1977-11-04,100.688,100.688,100.562,100.625,,100.625,92.0,418.0
1977-11-07,100.719,100.938,100.719,100.906,,100.906,73.0,423.0
