Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1996-07-05,103.125,103.125,103.125,,,103.125,0.0,0.0
1996-07-08,103.188,103.188,103.188,,,103.188,0.0,0.0
1996-07-09,103.688,103.688,103.688,,,103.688,0.0,1.0
1996-07-10,104.188,104.188,104.188,,,104.188,0.0,1.0
1996-07-11,104.469,104.469,104.469,,,104.469,0.0,1.0
1996-07-12,105.0,105.0,105.0,,,105.0,0.0,1.0
1996-07-15,104.469,104.469,104.469,,,104.469,0.0,1.0
1996-07-16,105.156,105.156,105.156,,,105.156,0.0,1.0
1996-07-17,105.031,105.031,105.031,,,105.031,0.0,1.0
1996-07-18,106.375,106.375,106.375,,,106.375,0.0,1.0
1996-07-19,105.75,105.75,105.75,,,105.75,0.0,1.0
1996-07-22,105.25,105.25,105.25,,,105.25,0.0,1.0
1996-07-23,105.781,105.781,105.781,,,105.781,0.0,1.0
1996-07-24,104.875,104.875,104.875,,,104.875,0.0,1.0
1996-07-25,105.125,105.125,105.125,,,105.125,0.0,1.0
1996-07-26,105.25,105.25,105.25,,,105.25,0.0,1.0
1996-07-29,104.438,104.438,104.438,,,104.438,0.0,1.0
1996-07-30,105.062,105.062,105.062,,,105.062,0.0,1.0
1996-07-31,105.75,105.75,105.75,,,105.75,0.0,1.0
1996-08-01,107.281,107.281,107.281,,,107.281,0.0,1.0
1996-08-02,108.344,108.344,108.344,,,108.344,0.0,1.0
1996-08-05,108.25,108.25,108.25,,,108.25,0.0,1.0
1996-08-06,108.094,108.094,108.094,,,108.094,0.0,1.0
1996-08-07,107.938,107.938,107.938,,,107.938,0.0,1.0
1996-08-08,107.781,107.781,107.781,,,107.781,0.0,1.0
1996-08-09,108.562,108.562,108.562,,,108.562,0.0,1.0
1996-08-12,108.562,108.562,108.562,,,108.562,0.0,1.0
1996-08-13,107.406,107.406,107.406,,,107.406,0.0,1.0
1996-08-14,107.469,107.469,107.469,,,107.469,0.0,1.0
1996-08-15,107.156,107.156,107.156,,,107.156,0.0,1.0
1996-08-16,107.75,107.75,107.75,,,107.75,0.0,1.0
1996-08-19,107.406,107.406,107.406,,,107.406,0.0,1.0
1996-08-20,107.375,107.375,107.375,,,107.375,0.0,1.0
1996-08-21,107.125,107.125,107.125,,,107.125,0.0,1.0
1996-08-22,106.938,106.938,106.938,,,106.938,0.0,1.0
1996-08-23,105.906,105.906,105.906,,,105.906,0.0,1.0
1996-08-26,105.0,105.0,105.0,,,105.0,0.0,1.0
1996-08-27,105.469,105.469,105.469,,,105.469,0.0,1.0
1996-08-28,105.312,105.312,105.312,,,105.312,0.0,1.0
1996-08-29,104.719,104.719,104.719,,,104.719,0.0,1.0
1996-08-30,103.969,103.969,103.969,,,103.969,0.0,1.0
1996-09-03,104.594,104.594,104.594,,,104.594,0.0,1.0
1996-09-04,104.188,104.188,104.188,,,104.188,0.0,1.0
1996-09-05,103.656,103.656,103.656,,,103.656,0.0,1.0
1996-09-06,104.0,104.0,104.0,,,104.0,0.0,1.0
1996-09-09,104.438,104.438,104.438,,,104.438,0.0,1.0
1996-09-10,103.844,103.844,103.844,,,103.844,0.0,1.0
1996-09-11,103.969,103.969,103.969,,,103.969,0.0,1.0
1996-09-12,104.438,104.438,104.438,,,104.438,0.0,1.0
1996-09-13,105.781,105.781,105.781,,,105.781,0.0,1.0
1996-09-16,105.844,105.844,105.844,,,105.844,0.0,1.0
1996-09-17,105.188,105.188,105.188,,,105.188,0.0,1.0
1996-09-18,105.125,105.125,105.125,,,105.125,0.0,1.0
1996-09-19,104.688,104.688,104.688,,,104.688,0.0,1.0
1996-09-20,104.781,104.781,104.781,,,104.781,0.0,1.0
1996-09-23,105.125,105.125,105.125,,,105.125,0.0,1.0
