Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-06-19,,,,,,150.28125,0.0,0.0
2015-06-22,,,,,2.1875,148.09375,0.0,0.0
2015-06-23,,,,,1.96875,146.125,0.0,0.0
2015-06-24,,,,,1.03125,147.15625,0.0,0.0
2015-06-25,,,,,0.28125,146.875,0.0,0.0
2015-06-26,,,,,2.0,144.875,0.0,0.0
2015-06-29,,,,,3.34375,148.21875,0.0,0.0
2015-06-30,,,,,0.0625,148.15625,0.0,0.0
2015-07-01,,,,,2.0,146.15625,0.0,0.0
2015-07-02,,,,,0.34375,146.5,0.0,0.0
2015-07-06,,,,,2.875,149.375,0.0,0.0
2015-07-07,,,,,1.4375,150.8125,0.0,0.0
2015-07-08,,,,,0.625,151.4375,0.0,0.0
2015-07-09,,,,,2.40625,149.03125,0.0,0.0
2015-07-10,,,,,2.5,146.53125,0.0,0.0
2015-07-13,,,,,0.09375,146.625,0.0,0.0
2015-07-14,,,,,0.375,147.0,0.0,0.0
2015-07-15,,,,,1.34375,148.34375,0.0,0.0
2015-07-16,,,,,0.5,148.84375,0.0,0.0
2015-07-17,,,,,0.75,149.59375,0.0,0.0
2015-07-20,,,,,0.375,149.21875,0.0,0.0
2015-07-21,,,,,0.59375,149.8125,0.0,0.0
2015-07-22,,,,,0.875,150.6875,0.0,0.0
2015-07-23,,,,,1.28125,151.96875,0.0,0.0
2015-07-24,,,,,0.09375,152.0625,0.0,0.0
2015-07-27,,,,,0.59375,152.65625,0.0,0.0
2015-07-28,,,,,0.28125,152.375,0.0,0.0
2015-07-29,,,,,0.5,151.875,0.0,0.0
2015-07-30,,,,,0.75,152.625,0.0,0.0
2015-07-31,,,,,0.75,153.375,0.0,0.0
2015-08-03,,153.59375,,153.59375,1.65625,155.03125,0.0,0.0
2015-08-04,,,,,0.6875,154.34375,0.0,0.0
2015-08-05,,,153.875,153.875,1.21875,153.125,0.0,0.0
2015-08-06,,,,,1.0625,154.1875,0.0,0.0
2015-08-07,,155.5625,,155.5625,1.5,155.6875,0.0,0.0
2015-08-10,,,155.125,155.125,1.75,153.9375,0.0,0.0
2015-08-11,,154.625,,154.625,2.03125,155.96875,0.0,0.0
2015-08-12,,,,,0.1875,155.78125,0.0,0.0
2015-08-13,,,155.5625,155.5625,0.71875,155.0625,0.0,0.0
2015-08-14,,,,,0.21875,155.28125,0.0,0.0
2015-08-17,,,,,0.96875,156.25,0.0,0.0
2015-08-18,,,155.8125,155.8125,1.40625,154.84375,0.0,0.0
2015-08-19,,,,,1.09375,155.9375,0.0,0.0
2015-08-20,,,,,1.28125,157.21875,0.0,0.0
2015-08-21,,,,,0.0625,157.28125,0.0,0.0
2015-08-24,,,,,0.75,158.03125,0.0,0.0
2015-08-25,,,,,3.15625,154.875,0.0,0.0
2015-08-26,,,154.5,154.5,1.6875,153.1875,0.0,0.0
2015-08-27,,,,,0.8125,154.0,0.0,0.0
2015-08-28,,,,,0.15625,153.84375,0.0,1.0
2015-08-31,,,,,0.59375,153.25,0.0,1.0
2015-09-01,,,,,,153.25,0.0,1.0
2015-09-02,,,,,0.625,152.625,0.0,1.0
2015-09-03,,,,,0.46875,153.09375,0.0,1.0
2015-09-04,,,,,1.34375,154.4375,0.0,1.0
2015-09-08,,,,,1.875,152.5625,0.0,1.0
2015-09-09,,,,,0.71875,153.28125,0.0,1.0
2015-09-10,,,,,0.875,152.40625,0.0,1.0
2015-09-11,,,,,1.03125,153.4375,0.0,1.0
2015-09-14,,,,,0.15625,153.59375,0.0,1.0
2015-09-15,,,152.8125,152.8125,2.5625,151.03125,0.0,1.0
2015-09-16,,,,,0.59375,150.4375,0.0,1.0
2015-09-17,,,,,1.3125,151.75,0.0,1.0
2015-09-18,,152.0,,152.0,2.625,154.375,0.0,1.0
2015-09-21,,,153.59375,153.59375,2.25,152.125,0.0,1.0
2015-09-22,154.15625,154.15625,154.15625,154.15625,2.25,154.375,1.0,1.0
2015-09-23,154.15625,154.15625,153.625,154.09375,0.125,154.25,2.0,2.0
2015-09-24,155.625,155.625,155.5,155.59375,1.0625,155.3125,4.0,3.0
2015-09-25,155.53125,155.53125,154.15625,154.15625,1.25,154.0625,1.0,7.0
