Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2016-06-22,,,,,1.0,165.34375,0.0,0.0
2016-06-23,,,,,1.625,163.71875,0.0,0.0
2016-06-24,,,,,3.6875,167.40625,0.0,0.0
2016-06-27,,,,,3.1875,170.59375,0.0,0.0
2016-06-28,,,,,0.0625,170.53125,0.0,0.0
2016-06-29,,,,,0.09375,170.4375,0.0,0.0
2016-06-30,,,,,0.6875,169.75,0.0,0.0
2016-07-01,,,,,1.28125,171.03125,0.0,0.0
2016-07-05,,,,,2.59375,173.625,0.0,0.0
2016-07-06,,,,,0.34375,173.28125,0.0,0.0
2016-07-07,,,,,0.375,173.65625,0.0,0.0
2016-07-08,,,,,0.6875,174.34375,0.0,0.0
2016-07-11,,,,,1.25,173.09375,0.0,0.0
2016-07-12,,,,,1.875,171.21875,0.0,0.0
2016-07-13,,,,,1.15625,172.375,0.0,0.0
2016-07-14,,,,,1.96875,170.40625,0.0,0.0
2016-07-15,,,,,1.34375,169.0625,0.0,0.0
2016-07-18,,,,,0.0625,169.0,0.0,0.0
2016-07-19,,,,,0.65625,169.65625,0.0,0.0
2016-07-20,,,,,0.75,168.90625,0.0,0.0
2016-07-21,,,,,,168.90625,0.0,0.0
2016-07-22,,,,,0.15625,169.0625,0.0,0.0
2016-07-25,,,,,0.09375,168.96875,0.0,0.0
2016-07-26,,,,,0.3125,169.28125,0.0,0.0
2016-07-27,,169.53125,,169.53125,1.34375,170.625,0.0,0.0
2016-07-28,,,,,0.125,170.75,0.0,0.0
2016-07-29,,,,,1.09375,171.84375,0.0,0.0
2016-08-01,,,,,0.8125,171.03125,0.0,0.0
2016-08-02,,,170.65625,170.65625,1.25,169.78125,0.0,0.0
2016-08-03,,,,,0.1875,169.59375,0.0,0.0
2016-08-04,,,,,0.96875,170.5625,0.0,0.0
2016-08-05,,,,,1.59375,168.96875,0.0,0.0
2016-08-08,,,,,0.09375,169.0625,0.0,0.0
2016-08-09,,,,,1.0625,170.125,0.0,0.0
2016-08-10,,,,,0.75,170.875,0.0,0.0
2016-08-11,,,170.75,170.75,1.6875,169.1875,0.0,0.0
2016-08-12,,,,,1.1875,170.375,0.0,0.0
2016-08-15,,,,,1.21875,169.15625,0.0,0.0
2016-08-16,,,,,0.65625,168.5,0.0,0.0
2016-08-17,,,,,0.5,169.0,0.0,0.0
2016-08-18,,,,,0.3125,169.3125,0.0,0.0
2016-08-19,,,,,0.8125,168.5,0.0,0.0
2016-08-22,,,,,1.28125,169.78125,0.0,0.0
2016-08-23,,,,,0.09375,169.875,0.0,0.0
2016-08-24,,,,,0.1875,169.6875,0.0,0.0
2016-08-25,,,,,0.5625,169.125,0.0,0.0
2016-08-26,,,,,1.40625,167.71875,0.0,0.0
2016-08-29,,167.75,,167.75,1.8125,169.53125,0.0,0.0
2016-08-30,,,,,0.34375,169.1875,0.0,0.0
2016-08-31,,,,,0.0625,169.25,0.0,0.0
2016-09-01,,,,,0.09375,169.34375,0.0,0.0
2016-09-02,,,169.125,169.125,0.96875,168.375,0.0,0.0
2016-09-06,,,,,1.15625,169.53125,0.0,0.0
2016-09-07,,,,,0.0625,169.59375,0.0,0.0
2016-09-08,,,168.15625,168.15625,2.28125,167.3125,0.0,0.0
2016-09-09,,,166.5,166.5,1.59375,165.71875,0.0,0.0
2016-09-12,,,,,0.0625,165.65625,0.0,0.0
2016-09-13,,,164.0,164.0,1.5,164.15625,2.0,0.0
2016-09-14,,,,,0.59375,164.75,0.0,1.0
2016-09-15,,,164.625,164.625,0.46875,164.28125,0.0,1.0
2016-09-16,163.9375,164.5625,163.9375,164.5625,0.25,164.53125,4.0,1.0
2016-09-19,,,,,0.0625,164.59375,0.0,3.0
2016-09-20,165.25,166.0,165.0625,165.0625,0.28125,164.875,3.0,3.0
2016-09-21,,165.125,164.46875,165.125,0.59375,165.46875,0.0,5.0
2016-09-22,,166.3125,,166.3125,0.90625,166.375,0.0,5.0
