Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-09-21,,,,,,152.125,0.0,0.0
2015-09-22,,,,,2.25,154.375,0.0,0.0
2015-09-23,,,,,0.125,154.25,0.0,0.0
2015-09-24,,,,,1.0625,155.3125,0.0,0.0
2015-09-25,,,,,1.25,154.0625,0.0,0.0
2015-09-28,,,,,2.09375,156.15625,0.0,0.0
2015-09-29,,,,,0.34375,156.5,0.0,0.0
2015-09-30,,,,,0.5625,155.9375,0.0,0.0
2015-10-01,,,,,0.46875,156.40625,0.0,0.0
2015-10-02,,,,,0.90625,157.3125,0.0,0.0
2015-10-05,,,,,1.5625,155.75,0.0,0.0
2015-10-06,,,,,0.5625,156.3125,0.0,0.0
2015-10-07,,,,,0.125,156.1875,0.0,0.0
2015-10-08,,,,,1.21875,154.96875,0.0,0.0
2015-10-09,,,,,0.53125,155.5,0.0,0.0
2015-10-12,,,,,0.90625,156.40625,0.0,0.0
2015-10-13,,,,,,156.40625,0.0,0.0
2015-10-14,,,,,1.75,158.15625,0.0,0.0
2015-10-15,,,,,0.875,157.28125,0.0,0.0
2015-10-16,,,,,0.21875,157.5,0.0,0.0
2015-10-19,,,,,0.5625,156.9375,0.0,0.0
2015-10-20,,,,,1.09375,155.84375,0.0,0.0
2015-10-21,,,,,1.125,156.96875,0.0,0.0
2015-10-22,,,,,,156.96875,0.0,0.0
2015-10-23,,,,,1.25,155.71875,0.0,0.0
2015-10-26,,,,,0.84375,156.5625,0.0,0.0
2015-10-27,,,,,0.53125,157.09375,0.0,0.0
2015-10-28,,,,,0.375,156.71875,0.0,0.0
2015-10-29,,,,,2.28125,154.4375,0.0,0.0
2015-10-30,,,,,0.65625,155.09375,0.0,0.0
2015-11-02,,,,,0.6875,154.40625,0.0,0.0
2015-11-03,,,,,1.125,153.28125,0.0,0.0
2015-11-04,,,,,0.03125,153.3125,0.0,0.0
2015-11-05,,,,,0.5625,152.75,0.0,0.0
2015-11-06,,,,,1.75,151.0,0.0,0.0
2015-11-09,,,,,0.21875,150.78125,0.0,0.0
2015-11-10,,,,,0.5,151.28125,0.0,0.0
2015-11-11,,,,,0.59375,150.6875,0.0,0.0
2015-11-12,,,,,0.84375,151.53125,0.0,0.0
2015-11-13,,,,,0.53125,152.0625,0.0,0.0
2015-11-16,,,,,0.15625,151.90625,0.0,0.0
2015-11-17,,,,,0.59375,152.5,0.0,0.0
2015-11-18,,,,,0.03125,152.46875,0.0,0.0
2015-11-19,,,,,0.84375,153.3125,0.0,0.0
2015-11-20,,,,,0.25,153.0625,0.0,0.0
2015-11-23,,,,,0.53125,153.59375,0.0,0.0
2015-11-24,,,,,0.03125,153.625,0.0,0.0
2015-11-25,,,,,0.25,153.875,0.0,0.0
2015-11-27,,,,,0.03125,153.84375,0.0,0.0
2015-11-30,,,,,0.15625,154.0,0.0,0.0
2015-12-01,,155.65625,,155.65625,1.84375,155.84375,0.0,0.0
