Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2001-11-01,109.0,109.0,107.875,,,107.875,2.0,0.0
2001-11-02,106.344,106.344,106.344,,,106.344,0.0,0.0
2001-11-05,107.094,107.094,107.094,,,107.094,0.0,0.0
2001-11-06,107.094,107.094,107.094,,,107.094,0.0,0.0
2001-11-07,108.25,108.25,108.25,,,108.25,0.0,0.0
2001-11-08,107.281,107.281,107.281,,,107.281,0.0,0.0
2001-11-09,107.219,107.219,107.219,,,107.219,0.0,0.0
2001-11-13,106.594,106.594,106.594,,,106.594,0.0,0.0
2001-11-14,105.406,105.406,105.406,,,105.406,0.0,0.0
2001-11-15,103.188,103.188,103.188,,,103.188,0.0,0.0
2001-11-16,101.812,101.812,101.812,,,101.812,0.0,0.0
2001-11-19,103.156,103.156,103.156,,,103.156,0.0,0.0
2001-11-20,101.844,101.844,101.844,,,101.844,0.0,0.0
2001-11-21,100.844,100.844,100.844,,,100.844,0.0,0.0
2001-11-23,100.406,100.406,100.406,,,100.406,0.0,0.0
2001-11-26,100.312,100.312,100.312,,,100.312,1.0,1.0
2001-11-27,100.562,100.562,100.562,,,100.562,0.0,0.0
2001-11-28,100.562,100.562,100.562,,,100.562,0.0,0.0
2001-11-29,101.844,101.844,101.844,,,101.844,0.0,1.0
2001-11-30,101.594,101.594,101.594,,,101.594,0.0,0.0
2001-12-03,102.0,102.0,102.0,,,102.0,0.0,0.0
2001-12-04,102.906,102.906,102.906,,,102.906,0.0,0.0
2001-12-05,100.531,100.531,100.531,,,100.531,0.0,0.0
2001-12-06,99.4688,99.4688,99.4688,,,99.4688,0.0,0.0
2001-12-07,97.3125,97.3125,97.3125,,,97.3125,0.0,0.0
2001-12-10,97.7812,97.7812,97.7812,,,97.7812,0.0,0.0
2001-12-11,98.1875,98.1875,98.1875,,,98.1875,0.0,0.0
2001-12-12,99.1875,99.1875,99.1875,,,99.1875,0.0,0.0
2001-12-13,98.25,98.25,98.25,,,98.25,0.0,0.0
2001-12-14,97.5312,97.5312,97.5312,,,97.5312,0.0,1.0
2001-12-17,97.1562,97.1562,97.1562,,,97.1562,50.0,50.0
2001-12-18,98.375,98.375,98.375,,,98.375,0.0,50.0
2001-12-19,99.3125,99.3125,99.3125,,,99.3125,0.0,50.0
2001-12-20,99.25,99.25,99.25,,,99.25,0.0,50.0
2001-12-21,98.9375,98.9375,98.9375,,,98.9375,0.0,50.0
2001-12-24,98.5312,98.5312,98.5312,,,98.5312,0.0,50.0
2001-12-26,98.1562,98.1562,98.1562,,,98.1562,0.0,50.0
2001-12-27,98.75,98.75,98.75,,,98.75,0.0,50.0
2001-12-28,98.2812,98.2812,98.2812,,,98.2812,20.0,65.0
2001-12-31,99.3125,99.3125,99.3125,,,99.3125,0.0,65.0
2002-01-02,97.875,97.875,97.875,,,97.875,0.0,65.0
2002-01-03,98.25,98.25,98.25,,,98.25,71.0,52.0
2002-01-04,97.9688,97.9688,97.9688,,,97.9688,0.0,52.0
2002-01-07,99.1875,99.1875,99.1875,,,99.1875,0.0,52.0
2002-01-08,99.125,99.125,99.125,,,99.125,0.0,52.0
2002-01-09,99.25,99.25,99.25,,,99.25,0.0,52.0
2002-01-10,100.562,100.562,100.562,,,100.562,0.0,52.0
2002-01-11,101.125,101.125,101.125,,,101.125,5.0,52.0
2002-01-14,100.938,100.938,100.938,,,100.938,0.0,52.0
2002-01-15,101.562,101.562,101.562,,,101.562,0.0,52.0
2002-01-16,101.438,101.438,101.438,,,101.438,12.0,59.0
2002-01-17,100.5,100.719,100.5,,,100.719,1.0,59.0
2002-01-18,101.344,101.344,101.344,,,101.344,0.0,59.0
2002-01-22,101.219,101.219,101.219,,,101.219,0.0,60.0
2002-01-23,99.9375,99.9375,99.9375,,,99.9375,30.0,60.0
2002-01-24,100.469,100.469,100.0,,,100.0,86.0,129.0
2002-01-25,99.9062,99.9062,99.9062,,,99.9062,10.0,139.0
2002-01-28,99.5938,100.062,99.5938,,,100.062,1.0,140.0
2002-01-29,101.0,101.0,101.0,,,101.0,0.0,140.0
2002-01-30,101.0,101.0,101.0,,,101.0,0.0,140.0
2002-01-31,100.688,100.688,100.688,,,100.688,0.0,140.0
2002-02-01,101.156,101.156,101.156,,,101.156,50.0,190.0
2002-02-04,102.0,102.0,101.938,,,101.938,23.0,213.0
2002-02-05,101.844,101.844,101.844,,,101.844,50.0,203.0
2002-02-06,101.438,101.438,101.438,,,101.438,0.0,203.0
2002-02-07,101.062,101.062,101.062,,,101.062,1320.0,1261.0
2002-02-08,101.594,101.594,101.594,,,101.594,1371.0,2233.0
2002-02-11,101.312,101.312,101.312,,,101.312,1000.0,3233.0
2002-02-12,100.562,100.562,100.562,,,100.562,1204.0,4193.0
2002-02-13,100.469,100.469,100.469,,,100.469,4910.0,7138.0
2002-02-14,101.125,101.125,101.125,,,101.125,200.0,7163.0
2002-02-15,101.969,101.969,101.969,,,101.969,166.0,7173.0
2002-02-19,101.531,101.656,101.531,,,101.656,414.0,7163.0
2002-02-20,102.125,102.125,101.656,,,101.688,2807.0,9770.0
2002-02-21,101.688,101.969,101.688,,,101.969,10180.0,16622.0
2002-02-22,102.625,102.688,102.406,,,102.438,9697.0,22726.0
2002-02-25,102.312,102.312,102.094,,,102.25,1987.0,24264.0
2002-02-26,102.0,102.406,101.406,,,101.438,4097.0,26244.0
2002-02-27,102.094,102.219,101.75,,,102.219,5981.0,29190.0
2002-02-28,102.188,102.188,101.656,,,101.812,216.0,29277.0
2002-03-01,101.594,101.594,100.688,,,100.75,107.0,29203.0
2002-03-04,100.531,100.656,100.094,,,100.656,89.0,29203.0
2002-03-05,100.469,100.875,100.312,,,100.844,87.0,29201.0
2002-03-06,100.844,100.844,100.281,,,100.281,542.0,29203.0
2002-03-07,99.4375,100.0,98.6562,,,98.6562,985.0,29472.0
2002-03-08,98.5312,98.5312,97.875,,,97.875,1922.0,29589.0
2002-03-11,97.8438,97.8438,97.8438,,,97.8438,86.0,29616.0
2002-03-12,97.9062,98.4062,97.8125,,,97.875,299.0,29778.0
2002-03-13,97.9688,98.2188,97.5625,,,98.0938,856.0,29766.0
2002-03-14,97.25,97.5312,96.7812,,,96.7812,210.0,29778.0
2002-03-15,96.2188,97.7812,96.2188,,,97.5312,299.0,29783.0
2002-03-18,98.1875,98.2188,97.5,,,98.0625,127.0,29854.0
2002-03-19,97.875,98.4375,97.5,,,97.7188,34.0,29844.0
2002-03-20,98.2188,98.2188,96.8125,,,96.9062,1565.0,30408.0
2002-03-21,97.0625,97.375,96.5312,,,97.3438,154.0,30529.0
2002-03-22,97.125,97.3438,96.7812,,,97.0938,239.0,30653.0
2002-03-25,96.6562,97.25,96.625,,,97.2188,223.0,30656.0
2002-03-26,97.2812,98.1875,96.9375,,,97.9375,278.0,30659.0
2002-03-27,97.9688,98.2188,97.8125,,,97.9688,65.0,30700.0
2002-03-28,97.9062,97.9062,96.6875,,,97.125,380.0,30469.0
2002-04-01,97.4688,97.6875,97.0,,,97.2188,238.0,30696.0
2002-04-02,97.6562,98.25,96.9062,,,98.1562,4202.0,31727.0
2002-04-03,98.0938,98.75,97.8438,,,98.75,808.0,31833.0
2002-04-04,98.7188,99.25,98.7188,,,98.875,1280.0,31959.0
2002-04-05,99.375,99.6562,98.75,,,99.5312,2388.0,32985.0
2002-04-08,99.25,99.4062,99.0,,,99.1562,155.0,32962.0
2002-04-09,98.9062,99.4375,98.9062,,,99.4375,171.0,32844.0
2002-04-10,99.5,99.6562,98.9688,,,99.1875,1051.0,32789.0
2002-04-11,98.9062,99.875,98.9062,,,99.5312,1116.0,33250.0
2002-04-12,99.7812,100.031,99.1875,,,99.875,2938.0,32791.0
2002-04-15,100.219,100.375,99.9062,,,100.219,2312.0,32874.0
2002-04-16,99.75,99.9062,99.2188,,,99.8125,2135.0,33737.0
2002-04-17,99.3125,99.4062,98.7812,,,98.9375,3218.0,35600.0
2002-04-18,98.625,100.0,98.5938,,,99.1562,5336.0,38380.0
2002-04-19,99.5625,99.5625,98.9375,,,99.4375,462.0,38532.0
2002-04-22,99.5312,99.6562,99.4062,,,99.625,526.0,38898.0
2002-04-23,99.9688,100.0,99.625,,,99.8125,699.0,39143.0
2002-04-24,100.344,100.688,99.8438,,,100.625,2765.0,40156.0
2002-04-25,100.625,101.094,100.5,,,100.688,3580.0,40979.0
2002-04-26,100.688,101.156,100.406,,,101.094,1552.0,41326.0
2002-04-29,101.094,101.125,100.688,,,100.844,3120.0,43156.0
2002-04-30,100.906,101.25,100.656,,,101.188,1041.0,43747.0
2002-05-01,101.219,101.938,101.156,,,101.562,5251.0,45631.0
2002-05-02,101.562,101.562,100.969,,,101.031,4004.0,47574.0
2002-05-03,101.219,101.812,101.0,,,101.562,2461.0,48216.0
2002-05-06,101.469,101.656,101.406,,,101.469,4323.0,47149.0
2002-05-07,101.469,101.688,101.188,,,101.438,8900.0,46632.0
2002-05-08,101.219,101.219,99.875,,,99.9688,6688.0,48672.0
2002-05-09,100.188,100.438,99.6562,,,100.375,7828.0,50210.0
2002-05-10,100.312,100.906,100.0,,,100.906,3330.0,49151.0
2002-05-13,100.625,100.75,99.6875,,,99.875,2362.0,49592.0
2002-05-14,99.0312,99.8125,98.6875,,,98.9688,6881.0,49351.0
2002-05-15,99.0312,99.4062,98.8125,,,99.2188,9208.0,49208.0
2002-05-16,99.1875,99.8125,99.1875,,,99.6875,7614.0,48592.0
2002-05-17,99.5312,99.5312,98.7812,,,99.0312,6239.0,50138.0
2002-05-20,99.1875,99.6875,99.1875,,,99.6562,23911.0,51068.0
2002-05-21,99.4688,100.188,99.375,,,100.094,12705.0,57250.0
2002-05-22,100.188,100.75,100.188,,,100.656,24937.0,65199.0
2002-05-23,100.344,101.406,100.062,,,100.156,51198.0,93645.0
2002-05-24,100.219,100.656,100.062,,,100.375,40338.0,111948.0
2002-05-28,100.062,100.688,99.875,,,100.344,107921.0,163982.0
2002-05-29,100.312,101.031,100.25,,,100.875,124043.0,230341.0
2002-05-30,100.312,101.469,100.312,,,101.281,79591.0,264069.0
2002-05-31,101.406,101.688,100.594,,,101.125,241086.0,300358.0
2002-06-03,101.0,101.531,100.438,,,101.188,173059.0,317172.0
2002-06-04,101.469,101.969,101.094,,,101.344,211161.0,328105.0
2002-06-05,101.125,101.281,100.656,,,100.844,191097.0,336653.0
2002-06-06,100.781,101.625,100.469,,,101.344,236931.0,358200.0
2002-06-07,101.469,101.906,100.562,,,100.781,279825.0,372607.0
2002-06-10,100.625,101.375,100.594,,,101.188,172278.0,374695.0
2002-06-11,101.219,101.938,100.75,,,101.812,186662.0,382035.0
2002-06-12,101.844,102.312,101.594,,,102.188,211049.0,388002.0
2002-06-13,102.062,102.938,101.844,,,102.562,233785.0,388483.0
2002-06-14,102.656,104.156,102.656,,,103.875,251121.0,393728.0
2002-06-17,103.875,104.031,103.031,,,103.125,185169.0,396857.0
2002-06-18,103.281,103.938,103.0,,,103.219,196161.0,403128.0
2002-06-19,103.469,104.469,103.438,,,104.344,213497.0,399569.0
2002-06-20,104.375,104.5,103.281,,,103.312,243530.0,398659.0
2002-06-21,103.719,104.219,103.375,,,104.125,141972.0,404990.0
2002-06-24,104.062,104.656,103.094,,,103.25,237751.0,403504.0
2002-06-25,103.25,103.5,102.594,,,103.188,245810.0,403555.0
2002-06-26,104.125,105.5,103.812,,,104.219,319827.0,402888.0
2002-06-27,103.938,104.188,102.594,,,102.906,310749.0,404539.0
2002-06-28,102.719,103.312,102.438,,,102.781,190159.0,399837.0
2002-07-01,102.938,103.375,102.25,,,102.938,163857.0,406801.0
2002-07-02,103.344,103.969,103.062,,,103.719,203530.0,396541.0
2002-07-03,103.844,103.969,103.469,,,103.719,134151.0,392620.0
2002-07-05,103.562,103.594,102.594,,,102.656,97464.0,391765.0
2002-07-08,102.656,103.344,102.625,,,103.0,129772.0,389030.0
2002-07-09,103.125,104.094,102.719,,,103.812,226106.0,395571.0
2002-07-10,103.938,105.156,103.562,,,104.781,273290.0,392945.0
2002-07-11,104.844,105.938,104.656,,,105.094,360555.0,395550.0
2002-07-12,104.656,105.656,104.5,,,105.25,210932.0,392802.0
2002-07-15,105.438,105.75,104.5,,,104.844,205507.0,393415.0
2002-07-16,104.562,105.125,103.594,,,103.781,295643.0,399022.0
2002-07-17,103.938,104.312,103.219,,,104.219,268541.0,392493.0
2002-07-18,104.094,104.781,103.688,,,104.562,232240.0,390098.0
2002-07-19,104.562,105.594,104.531,,,105.156,204765.0,392131.0
2002-07-22,105.594,106.406,105.281,,,106.125,264745.0,396026.0
2002-07-23,106.25,106.562,105.438,,,106.219,262167.0,400449.0
2002-07-24,106.281,107.812,105.219,,,105.938,380257.0,397320.0
2002-07-25,105.5,106.469,105.312,,,106.188,287697.0,399251.0
2002-07-26,106.094,106.594,105.594,,,105.906,178453.0,402807.0
2002-07-29,105.688,105.875,104.281,,,104.594,221327.0,405386.0
2002-07-30,104.594,105.188,104.312,,,104.688,230562.0,401638.0
2002-07-31,104.594,106.219,104.531,,,105.938,258188.0,406280.0
2002-08-01,105.906,106.438,105.656,,,106.25,181542.0,401972.0
2002-08-02,106.375,107.875,106.312,,,107.719,252918.0,407643.0
2002-08-05,107.406,108.312,107.375,,,107.938,201608.0,400581.0
2002-08-06,108.156,108.281,106.719,,,106.844,185182.0,395507.0
2002-08-07,107.0,107.844,106.844,,,107.531,209790.0,393067.0
2002-08-08,107.375,107.469,106.719,,,107.031,181376.0,391310.0
2002-08-09,107.281,108.812,107.062,,,108.625,246917.0,397542.0
2002-08-12,108.75,109.719,108.5,,,109.312,192414.0,391260.0
2002-08-13,109.312,110.656,109.125,,,110.25,241831.0,400977.0
2002-08-14,110.656,112.375,110.469,,,111.188,406245.0,412132.0
2002-08-15,110.562,111.125,109.531,,,110.062,276047.0,388988.0
2002-08-16,110.0,110.438,108.406,,,108.562,252795.0,377887.0
2002-08-19,108.656,109.031,108.25,,,108.906,191434.0,367019.0
2002-08-20,109.0,110.281,108.844,,,110.062,215854.0,374096.0
2002-08-21,110.156,110.25,109.094,,,109.781,206940.0,361894.0
2002-08-22,109.562,109.688,108.625,,,108.844,192050.0,361448.0
2002-08-23,108.688,110.156,108.625,,,109.938,179730.0,368640.0
2002-08-26,109.75,110.281,109.375,,,110.125,135969.0,332064.0
2002-08-27,109.938,110.375,108.938,,,109.094,249438.0,281600.0
2002-08-28,109.156,110.062,109.156,,,109.875,269321.0,223853.0
2002-08-29,109.938,111.031,109.781,,,110.562,128306.0,162528.0
2002-08-30,110.562,111.062,110.469,,,110.875,51388.0,133657.0
2002-09-03,111.0,112.906,111.0,,,112.719,40233.0,114584.0
2002-09-04,112.812,113.375,112.469,,,112.938,34901.0,93703.0
2002-09-05,112.75,113.531,112.5,,,113.406,33814.0,79141.0
2002-09-06,113.094,113.188,111.719,,,111.812,10686.0,73501.0
2002-09-09,112.0,112.438,111.688,,,111.812,23936.0,62939.0
2002-09-10,111.719,112.656,111.188,,,112.406,28951.0,42496.0
2002-09-11,112.031,112.031,111.062,,,111.688,4514.0,40601.0
2002-09-12,111.656,112.781,111.656,,,112.719,18436.0,30673.0
2002-09-13,112.812,113.812,112.812,,,113.625,7458.0,29107.0
2002-09-16,113.125,114.094,113.125,,,113.938,10198.0,28600.0
2002-09-17,113.438,114.281,112.906,,,114.062,10680.0,25509.0
2002-09-18,114.0,114.562,113.875,,,113.938,10078.0,16324.0
2002-09-19,114.0,114.719,114.0,,,114.25,5081.0,12937.0
