Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
1983-05-11,75.625,75.625,75.625,,,75.625,40.0,160.0
1983-05-12,75.0938,75.0938,75.0938,,,75.0938,0.0,160.0
1983-05-13,75.2188,75.2188,75.2188,,,75.2188,0.0,160.0
1983-05-16,74.2812,74.2812,74.2812,,,74.2812,0.0,160.0
1983-05-17,74.1562,74.1875,74.0,,,74.0,5.0,165.0
1983-05-18,73.875,73.875,73.875,,,73.875,0.0,165.0
1983-05-19,73.8125,73.8125,73.125,,,73.125,2.0,165.0
1983-05-20,73.25,73.25,72.875,,,72.9062,30.0,177.0
1983-05-23,72.875,72.875,72.875,,,72.875,0.0,177.0
1983-05-24,72.8125,73.2812,72.7188,,,73.2812,19.0,158.0
1983-05-25,73.2812,73.2812,73.1562,,,73.1562,14.0,144.0
1983-05-26,72.8438,72.8438,72.8438,,,72.8438,0.0,144.0
1983-05-27,72.8438,72.8438,72.8438,,,72.8438,0.0,144.0
1983-05-31,72.1562,72.1562,71.6875,,,71.6875,1.0,145.0
1983-06-01,72.0,72.0,72.0,,,72.0,0.0,145.0
1983-06-02,72.0312,72.0312,72.0312,,,72.0312,0.0,145.0
1983-06-03,72.0938,72.0938,71.9375,,,72.0312,16.0,155.0
1983-06-06,72.1875,72.5,72.1875,,,72.5,68.0,200.0
1983-06-07,72.2188,72.2188,72.2188,,,72.2188,0.0,200.0
1983-06-08,71.875,71.875,71.875,,,71.875,0.0,200.0
1983-06-09,72.125,72.25,72.125,,,72.25,35.0,200.0
1983-06-10,72.125,72.125,72.125,,,72.125,37.0,217.0
1983-06-13,72.625,73.0938,72.625,,,73.0,2.0,216.0
1983-06-14,72.75,72.75,72.75,,,72.75,0.0,216.0
1983-06-15,72.75,73.125,72.75,,,73.125,2.0,216.0
1983-06-16,73.4062,73.6562,73.4062,,,73.6562,1.0,216.0
1983-06-17,73.6562,73.6562,73.1875,,,73.375,258.0,216.0
1983-06-20,73.1562,73.1875,72.7812,,,72.9688,26.0,215.0
1983-06-21,72.875,73.0312,72.875,,,73.0312,1.0,216.0
1983-06-22,72.75,72.75,72.75,,,72.75,2.0,216.0
1983-06-23,72.6562,72.6562,72.6562,,,72.6562,0.0,216.0
1983-06-24,72.125,72.125,71.7188,,,71.7188,3.0,217.0
1983-06-27,71.0625,71.0625,71.0625,,,71.0625,0.0,217.0
1983-06-28,71.1875,71.1875,71.1875,,,71.1875,0.0,217.0
1983-06-29,71.3125,71.5938,71.3125,,,71.5938,4.0,219.0
1983-06-30,71.875,71.875,71.7812,,,71.8438,2.0,220.0
1983-07-01,71.9062,71.9062,71.9062,,,71.9062,0.0,220.0
1983-07-05,70.5938,70.5938,70.5938,,,70.5938,1.0,221.0
1983-07-06,70.8125,70.8125,70.8125,,,70.8125,0.0,221.0
1983-07-07,70.0625,70.3438,70.0625,,,70.2188,1.0,221.0
1983-07-08,69.7188,69.7188,69.7188,,,69.7188,0.0,221.0
1983-07-11,70.2812,70.3125,70.0938,,,70.0938,1.0,220.0
1983-07-12,70.0,70.0,69.3438,,,69.3438,4.0,222.0
1983-07-13,69.375,69.375,69.3125,,,69.3125,2.0,224.0
1983-07-14,69.9062,70.0,69.4688,,,69.5312,3.0,224.0
1983-07-15,69.4688,69.4688,69.4688,,,69.4688,0.0,224.0
1983-07-18,69.75,70.125,69.6562,,,70.125,1.0,224.0
1983-07-19,70.1562,70.375,70.125,,,70.25,11.0,219.0
1983-07-20,70.75,70.75,70.5312,,,70.5312,2.0,219.0
1983-07-21,70.5,70.5,70.125,,,70.125,1.0,219.0
1983-07-22,69.3125,69.3125,69.3125,,,69.3125,0.0,219.0
1983-07-25,69.625,69.875,69.625,,,69.875,1.0,220.0
1983-07-26,69.625,69.6875,69.1562,,,69.2188,84.0,287.0
1983-07-27,69.0938,69.4062,68.875,,,68.875,22.0,287.0
1983-07-28,68.2812,68.3438,67.75,,,67.75,2.0,287.0
1983-07-29,67.7188,67.7188,66.4688,,,67.3438,46.0,330.0
1983-08-01,67.2188,67.4688,67.0312,,,67.4375,1.0,330.0
1983-08-02,67.7188,67.7188,67.5,,,67.6875,2.0,330.0
1983-08-03,67.5625,67.7812,67.3438,,,67.4062,127.0,222.0
1983-08-04,66.7188,66.7188,66.0938,,,66.4688,15.0,212.0
1983-08-05,66.375,66.5938,66.375,,,66.375,1.0,212.0
1983-08-08,66.125,66.25,65.7188,,,66.0312,2.0,211.0
1983-08-09,66.375,66.4062,66.3438,,,66.3438,1.0,211.0
1983-08-10,66.1875,66.1875,66.1875,,,66.1875,0.0,211.0
1983-08-11,66.7812,66.7812,66.4688,,,66.6562,49.0,172.0
1983-08-12,67.3125,67.3125,67.3125,,,67.3125,0.0,172.0
1983-08-15,68.0312,68.3438,68.0,,,68.3125,5.0,177.0
1983-08-16,68.4062,68.6562,68.3438,,,68.4375,0.0,177.0
1983-08-17,69.0,69.0938,69.0,,,69.0938,0.0,177.0
1983-08-18,68.7188,68.7188,68.7188,,,68.7188,0.0,177.0
1983-08-19,68.0,68.0,68.0,,,68.0,20.0,197.0
1983-08-22,69.5938,69.5938,69.5938,,,69.5938,0.0,192.0
1983-08-23,69.3438,69.375,69.0625,,,69.25,12.0,192.0
1983-08-24,69.4375,69.4375,69.4375,,,69.4375,0.0,192.0
1983-08-25,69.0312,69.0312,68.9062,,,68.9688,3.0,191.0
1983-08-26,68.6875,69.0938,68.6875,,,69.0938,1.0,191.0
1983-08-29,67.7188,67.7188,67.7188,,,67.7188,0.0,191.0
1983-08-30,67.2812,67.2812,67.2812,,,67.2812,0.0,191.0
1983-08-31,67.0938,67.1875,66.7812,,,66.9688,26.0,216.0
1983-09-01,67.125,67.125,67.125,,,67.125,0.0,191.0
1983-09-02,67.0,67.0,67.0,,,67.0,0.0,191.0
1983-09-06,67.8125,67.8125,67.8125,,,67.8125,0.0,191.0
1983-09-07,68.5312,68.5312,68.5312,,,68.5312,0.0,191.0
1983-09-08,68.5312,68.5312,68.3438,,,68.3438,1.0,191.0
1983-09-09,68.625,68.6562,68.5938,,,68.625,1.0,192.0
1983-09-12,69.3125,69.3125,69.3125,,,69.3125,0.0,192.0
1983-09-13,69.0312,69.0312,69.0312,,,69.0312,0.0,192.0
1983-09-14,68.7812,68.8125,68.3438,,,68.3438,2.0,192.0
1983-09-15,67.9688,67.9688,67.9688,,,67.9688,0.0,192.0
1983-09-16,68.9062,68.9062,68.9062,,,68.9062,0.0,192.0
1983-09-19,68.9062,68.9062,68.9062,,,68.9062,0.0,192.0
1983-09-20,69.2812,69.2812,69.2812,,,69.2812,0.0,192.0
1983-09-21,69.5312,69.5938,69.0625,,,69.0938,1.0,191.0
1983-09-22,69.2812,69.4375,69.1875,,,69.375,65.0,185.0
1983-09-23,70.0625,70.1562,70.0625,,,70.125,1.0,186.0
1983-09-26,70.3438,70.4375,70.1875,,,70.4375,3.0,183.0
1983-09-27,70.2188,70.2188,70.2188,,,70.2188,0.0,183.0
1983-09-28,70.4062,70.4062,70.0,,,70.0,58.0,241.0
1983-09-29,69.7812,70.0312,69.7812,,,70.0312,2.0,243.0
1983-09-30,70.2188,70.2188,70.2188,,,70.2188,0.0,243.0
1983-10-03,70.0625,70.0625,70.0625,,,70.0625,0.0,243.0
1983-10-04,70.1875,70.3125,70.0312,,,70.0312,1.0,244.0
1983-10-05,70.75,70.75,70.75,,,70.75,0.0,244.0
1983-10-06,70.7812,70.7812,70.7812,,,70.7812,0.0,244.0
1983-10-07,70.4688,70.4688,70.4688,,,70.4688,0.0,244.0
1983-10-10,70.0312,70.0312,70.0312,,,70.0312,0.0,244.0
1983-10-11,69.625,69.625,69.0938,,,69.0938,110.0,298.0
1983-10-12,68.9375,69.0625,68.8438,,,68.875,1.0,298.0
1983-10-13,69.0,69.0,68.5,,,68.5938,78.0,246.0
1983-10-14,68.9062,68.9688,68.9062,,,68.9688,10.0,251.0
1983-10-17,69.3125,69.375,69.125,,,69.125,1.0,251.0
1983-10-18,69.2188,69.2188,68.7188,,,68.7188,25.0,276.0
1983-10-19,68.9375,69.125,68.9375,,,69.0938,1.0,276.0
1983-10-20,69.1562,69.3125,68.875,,,69.3125,32.0,298.0
1983-10-21,69.5938,69.7188,69.5625,,,69.6562,10.0,308.0
