Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-02-24,65.12,65.12,65.12,65.12,,,0.0,0.0,0.0,0.0,0.0
2006-02-27,64.03,64.03,64.03,64.03,-1.09,,0.0,0.0,0.0,0.0,0.0
2006-02-28,64.83,64.83,64.83,64.83,0.8,,0.0,0.0,0.0,0.0,0.0
2006-03-01,65.15,65.15,65.15,65.15,0.32,,0.0,0.0,0.0,0.0,0.0
2006-03-02,66.23,66.23,66.23,66.23,1.08,,0.0,0.0,0.0,0.0,0.0
2006-03-03,66.28,66.28,66.28,66.28,0.05,,0.0,0.0,0.0,0.0,0.0
2006-03-06,64.67,64.67,64.67,64.67,-1.61,,0.0,0.0,0.0,0.0,0.0
2006-03-07,63.4,63.4,63.4,63.4,-1.27,,0.0,0.0,0.0,0.0,0.0
2006-03-08,62.51,62.51,62.51,62.51,-0.89,,0.0,0.0,0.0,0.0,0.0
2006-03-09,63.09,63.09,63.09,63.09,0.58,,0.0,0.0,0.0,0.0,0.0
2006-03-10,62.52,62.52,62.52,62.52,-0.57,,0.0,0.0,0.0,0.0,0.0
2006-03-13,63.87,63.87,63.87,63.87,1.35,,0.0,0.0,0.0,0.0,0.0
2006-03-14,65.19,65.19,65.19,65.19,1.32,,0.0,0.0,0.0,0.0,0.0
2006-03-15,63.88,63.88,63.88,63.88,-1.31,,0.0,0.0,0.0,0.0,0.0
2006-03-16,65.0,65.0,65.0,65.0,1.12,,0.0,0.0,0.0,0.0,0.0
2006-03-17,64.05,64.05,64.05,64.05,-0.95,,0.0,1834.0,0.0,0.0,0.0
2006-03-20,62.51,62.51,62.51,62.51,-1.54,,0.0,0.0,0.0,0.0,0.0
2006-03-21,63.36,63.36,63.36,63.36,0.85,,0.0,0.0,0.0,0.0,0.0
2006-03-22,62.67,62.67,62.67,62.67,-0.69,,0.0,0.0,0.0,0.0,0.0
2006-03-23,63.85,63.85,63.85,63.85,1.18,,0.0,0.0,0.0,0.0,0.0
2006-03-24,63.61,63.61,63.61,63.61,-0.24,,0.0,0.0,0.0,0.0,0.0
2006-03-27,63.69,63.69,63.69,63.69,0.08,,0.0,0.0,0.0,0.0,0.0
2006-03-28,64.46,64.46,64.46,64.46,0.77,,0.0,0.0,0.0,0.0,0.0
2006-03-29,64.75,64.75,64.75,64.75,0.29,,0.0,0.0,0.0,0.0,0.0
2006-03-30,65.46,65.46,65.46,65.46,0.71,,0.0,0.0,0.0,0.0,0.0
2006-03-31,64.98,64.98,64.98,64.98,-0.48,,0.0,0.0,0.0,0.0,0.0
2006-04-03,65.47,65.47,65.47,65.47,0.49,,0.0,0.0,0.0,0.0,0.0
2006-04-04,65.34,65.34,65.34,65.34,-0.13,,0.0,0.0,0.0,0.0,0.0
2006-04-05,65.69,65.69,65.69,65.69,0.35,,0.0,0.0,0.0,0.0,0.0
2006-04-06,65.98,65.98,65.98,65.98,0.29,,0.0,0.0,0.0,0.0,0.0
2006-04-07,65.97,65.97,65.97,65.97,-0.01,,0.0,0.0,0.0,0.0,0.0
2006-04-10,66.94,66.94,66.94,66.94,0.97,,0.0,0.0,0.0,0.0,0.0
2006-04-11,67.06,67.06,67.06,67.06,0.12,,0.0,0.0,0.0,0.0,0.0
2006-04-12,66.87,66.87,66.87,66.87,-0.19,,0.0,0.0,0.0,0.0,0.0
2006-04-13,67.33,67.33,67.33,67.33,0.46,,0.0,4234.0,0.0,0.0,0.0
2006-04-17,67.92,67.92,67.92,67.92,0.59,,0.0,0.0,0.0,0.0,0.0
2006-04-18,68.01,68.01,68.01,68.01,0.09,,0.0,0.0,0.0,0.0,0.0
2006-04-19,68.66,68.66,68.66,68.66,0.65,,0.0,0.0,0.0,0.0,0.0
2006-04-20,68.47,68.47,68.47,68.47,-0.19,,0.0,0.0,0.0,0.0,0.0
2006-04-21,69.99,69.99,69.99,69.99,1.52,,0.0,0.0,0.0,0.0,0.0
2006-04-24,69.47,69.47,69.47,69.47,-0.52,,0.0,0.0,0.0,0.0,0.0
2006-04-25,69.92,69.92,69.92,69.92,0.45,,0.0,0.0,0.0,0.0,0.0
2006-04-26,69.33,69.33,69.33,69.33,-0.59,,0.0,0.0,0.0,0.0,0.0
2006-04-27,68.71,68.71,68.71,68.71,-0.62,,0.0,0.0,0.0,0.0,0.0
2006-04-28,69.14,69.14,69.14,69.14,0.43,,0.0,0.0,0.0,0.0,0.0
2006-05-01,70.17,70.17,70.17,70.17,1.03,,0.0,0.0,0.0,0.0,0.0
2006-05-02,70.0,70.0,70.0,70.0,-0.17,,0.0,0.0,0.0,0.0,0.0
2006-05-03,68.44,68.44,68.44,68.44,-1.56,,0.0,0.0,0.0,0.0,0.0
2006-05-04,67.57,67.57,67.57,67.57,-0.87,,0.0,0.0,0.0,0.0,0.0
2006-05-05,68.59,68.59,68.59,68.59,1.02,,0.0,0.0,0.0,0.0,0.0
2006-05-08,68.71,68.71,68.71,68.71,0.12,,0.0,0.0,0.0,0.0,0.0
2006-05-09,69.77,69.77,69.77,69.77,1.06,,0.0,0.0,0.0,0.0,0.0
2006-05-10,70.8,70.8,70.8,70.8,1.03,,0.0,0.0,0.0,0.0,0.0
2006-05-11,71.21,71.21,71.21,71.21,0.41,,0.0,0.0,0.0,0.0,0.0
2006-05-12,70.06,70.06,70.06,70.06,-1.15,,0.0,0.0,0.0,0.0,0.0
