Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2013-06-17,90.78,90.78,90.78,90.78,-0.28,,,0.0,,,
2013-06-18,90.66,90.66,90.66,90.66,-0.12,,,0.0,,,
2013-06-19,90.46,90.46,90.46,90.46,-0.2,,,0.0,,,
2013-06-20,88.14,88.14,88.14,88.14,-2.32,,,0.0,,,
2013-06-21,87.43,87.43,87.43,87.43,-0.71,,,0.0,,,
2013-06-24,88.26,88.26,88.26,88.26,0.83,,,0.0,,,
2013-06-25,88.67,88.67,88.67,88.67,0.41,,,0.0,,,
2013-06-26,88.9,88.9,88.9,88.9,0.23,,,0.0,,,
2013-06-27,88.94,88.94,88.94,88.94,0.04,,,0.0,,,
2013-06-28,88.27,88.27,88.27,88.27,-0.67,,,0.0,,,
2013-07-01,87.67,87.67,87.67,87.67,-0.6,,,0.0,,,
2013-07-02,88.31,88.31,88.31,88.31,0.64,,,0.0,,,
2013-07-03,88.2,88.2,88.2,88.2,-0.11,,,0.0,,,
2013-07-04,88.14,88.14,88.14,88.14,-0.06,,,0.0,,,
2013-07-05,87.91,87.91,87.91,87.91,-0.23,,,0.0,,,
2013-07-08,88.09,88.09,88.09,88.09,0.18,,,0.0,,,
2013-07-09,88.23,88.23,88.23,88.23,0.14,,,0.0,,,
2013-07-10,88.79,88.79,88.79,88.79,0.56,,,0.0,,,
2013-07-11,89.27,89.27,89.27,89.27,0.48,,,0.0,,,
2013-07-12,88.89,88.89,88.89,88.89,-0.38,,,0.0,,,
2013-07-15,88.56,88.56,88.56,88.56,-0.33,,,0.0,,,
2013-07-16,88.37,88.37,88.37,88.37,-0.19,,,0.0,,,
2013-07-17,88.38,88.38,88.38,88.38,0.01,,,0.0,,,
2013-07-18,88.34,88.34,88.34,88.34,-0.04,,,0.0,,,
2013-07-19,88.35,88.35,88.35,88.35,0.01,,,0.0,,,
2013-07-22,88.5,88.5,88.5,88.5,0.15,,,0.0,,,
2013-07-23,89.03,89.03,89.03,89.03,0.53,,,0.0,,,
2013-07-24,89.17,89.17,89.17,89.17,0.14,,,0.0,,,
2013-07-25,89.66,89.66,89.66,89.66,0.49,,,0.0,,,
2013-07-26,90.47,90.47,90.47,90.47,0.81,,,0.0,,,
2013-07-29,90.38,90.38,90.38,90.38,-0.09,,,0.0,,,
2013-07-30,90.45,90.45,90.45,90.45,0.07,,,0.0,,,
2013-07-31,90.35,90.35,90.35,90.35,-0.1,,,0.0,,,
2013-08-01,89.93,89.93,89.93,89.93,-0.42,,,0.0,,,
2013-08-02,89.98,89.98,89.98,89.98,0.05,,,0.0,,,
2013-08-05,90.29,90.29,90.29,90.29,0.31,,,0.0,,,
2013-08-06,90.1,90.1,90.1,90.1,-0.19,,,0.0,,,
