Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-02-24,64.04,64.04,64.04,64.04,,,0.0,0.0,0.0,0.0,0.0
2006-02-27,63.19,63.19,63.19,63.19,-0.85,,0.0,0.0,0.0,0.0,0.0
2006-02-28,63.99,63.99,63.99,63.99,0.8,,0.0,0.0,0.0,0.0,0.0
2006-03-01,64.36,64.36,64.36,64.36,0.37,,0.0,0.0,0.0,0.0,0.0
2006-03-02,65.39,65.39,65.39,65.39,1.03,,0.0,0.0,0.0,0.0,0.0
2006-03-03,65.44,65.44,65.44,65.44,0.05,,0.0,0.0,0.0,0.0,0.0
2006-03-06,63.83,63.83,63.83,63.83,-1.61,,0.0,0.0,0.0,0.0,0.0
2006-03-07,62.56,62.56,62.56,62.56,-1.27,,0.0,0.0,0.0,0.0,0.0
2006-03-08,61.67,61.67,61.67,61.67,-0.89,,0.0,0.0,0.0,0.0,0.0
2006-03-09,62.41,62.41,62.41,62.41,0.74,,0.0,0.0,0.0,0.0,0.0
2006-03-10,61.84,61.84,61.84,61.84,-0.57,,0.0,0.0,0.0,0.0,0.0
2006-03-13,63.19,63.19,63.19,63.19,1.35,,0.0,0.0,0.0,0.0,0.0
2006-03-14,64.51,64.51,64.51,64.51,1.32,,0.0,0.0,0.0,0.0,0.0
2006-03-15,62.98,62.98,62.98,62.98,-1.53,,0.0,0.0,0.0,0.0,0.0
2006-03-16,64.1,64.1,64.1,64.1,1.12,,0.0,0.0,0.0,0.0,0.0
2006-03-17,63.15,63.15,63.15,63.15,-0.95,,0.0,0.0,0.0,0.0,0.0
2006-03-20,61.61,61.61,61.61,61.61,-1.54,,0.0,0.0,0.0,0.0,0.0
2006-03-21,62.46,62.46,62.46,62.46,0.85,,0.0,0.0,0.0,0.0,0.0
2006-03-22,61.77,61.77,61.77,61.77,-0.69,,0.0,0.0,0.0,0.0,0.0
2006-03-23,62.95,62.95,62.95,62.95,1.18,,0.0,0.0,0.0,0.0,0.0
2006-03-24,62.64,62.64,62.64,62.64,-0.31,,0.0,0.0,0.0,0.0,0.0
2006-03-27,62.72,62.72,62.72,62.72,0.08,,0.0,0.0,0.0,0.0,0.0
2006-03-28,63.46,63.46,63.46,63.46,0.74,,0.0,0.0,0.0,0.0,0.0
2006-03-29,63.73,63.73,63.73,63.73,0.27,,0.0,0.0,0.0,0.0,0.0
2006-03-30,64.44,64.44,64.44,64.44,0.71,,0.0,0.0,0.0,0.0,0.0
2006-03-31,63.96,63.96,63.96,63.96,-0.48,,0.0,0.0,0.0,0.0,0.0
2006-04-03,64.39,64.39,64.39,64.39,0.43,,0.0,0.0,0.0,0.0,0.0
2006-04-04,64.26,64.26,64.26,64.26,-0.13,,0.0,0.0,0.0,0.0,0.0
2006-04-05,64.61,64.61,64.61,64.61,0.35,,0.0,0.0,0.0,0.0,0.0
2006-04-06,64.9,64.9,64.9,64.9,0.29,,0.0,0.0,0.0,0.0,0.0
2006-04-07,64.89,64.89,64.89,64.89,-0.01,,0.0,0.0,0.0,0.0,0.0
2006-04-10,65.81,65.81,65.81,65.81,0.92,,0.0,0.0,0.0,0.0,0.0
2006-04-11,65.9,65.9,65.9,65.9,0.09,,0.0,0.0,0.0,0.0,0.0
2006-04-12,65.83,65.83,65.83,65.83,-0.07,,0.0,0.0,0.0,0.0,0.0
2006-04-13,66.29,66.29,66.29,66.29,0.46,,0.0,0.0,0.0,0.0,0.0
2006-04-17,66.84,66.84,66.84,66.84,0.55,,0.0,0.0,0.0,0.0,0.0
2006-04-18,66.83,66.83,66.83,66.83,-0.01,,0.0,0.0,0.0,0.0,0.0
2006-04-19,67.48,67.48,67.48,67.48,0.65,,0.0,0.0,0.0,0.0,0.0
2006-04-20,67.33,67.33,67.33,67.33,-0.15,,0.0,0.0,0.0,0.0,0.0
2006-04-21,68.85,68.85,68.85,68.85,1.52,,0.0,0.0,0.0,0.0,0.0
2006-04-24,68.29,68.29,68.29,68.29,-0.56,,0.0,0.0,0.0,0.0,0.0
2006-04-25,68.76,68.76,68.76,68.76,0.47,,0.0,0.0,0.0,0.0,0.0
