Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2010-11-16,89.71,89.71,89.71,89.71,89.71,,,0.0,,,
2010-11-17,88.02,88.02,88.02,88.02,-1.69,,,0.0,,,
2010-11-18,89.29,89.29,89.29,89.29,1.27,,,0.0,,,
2010-11-19,88.49,88.49,88.49,88.49,-0.8,,,0.0,,,
2010-11-22,88.2,88.2,88.2,88.2,-0.29,,,0.0,,,
2010-11-23,87.78,87.78,87.78,87.78,-0.42,,,0.0,,,
2010-11-24,89.97,89.97,89.97,89.97,2.19,,,0.0,,,
2010-11-25,90.33,90.33,90.33,90.33,0.36,,,0.0,,,
2010-11-26,89.81,89.81,89.81,89.81,-0.52,,,0.0,,,
2010-11-29,91.33,91.33,91.33,91.33,1.52,,,0.0,,,
2010-11-30,89.57,89.57,89.57,89.57,-1.76,,,0.0,,,
2010-12-01,91.46,91.46,91.46,91.46,1.89,,,0.0,,,
2010-12-02,91.34,91.34,91.34,91.34,-0.12,,,0.0,,,
2010-12-03,89.56,89.56,89.56,89.56,-1.78,,,0.0,,,
2010-12-06,88.49,88.49,88.49,88.49,-1.07,,,0.0,,,
2010-12-07,90.53,90.53,90.53,90.53,2.04,,,0.0,,,
2010-12-08,91.63,91.63,91.63,91.63,1.1,,,0.0,,,
2010-12-09,91.55,91.55,91.55,91.55,-0.08,,,0.0,,,
2010-12-10,90.99,90.99,90.99,90.99,-0.56,,,0.0,,,
2010-12-13,91.35,91.35,91.35,91.35,0.36,,,0.0,,,
2010-12-14,91.82,91.82,91.82,91.82,0.47,,,0.0,,,
2010-12-15,92.5,92.5,92.5,92.5,0.68,,,0.0,,,
2010-12-16,92.16,92.16,92.16,92.16,-0.34,,,0.0,,,
2010-12-17,92.23,92.23,92.23,92.23,0.07,,,0.0,,,
2010-12-20,93.06,93.06,93.06,93.06,0.83,,,0.0,,,
2010-12-21,93.06,93.06,93.06,93.06,0.0,,,0.0,,,
2010-12-22,93.17,93.17,93.17,93.17,0.11,,,0.0,,,
2010-12-23,93.63,93.63,93.63,93.63,0.46,,,0.0,,,
2010-12-24,93.02,93.02,93.02,93.02,-0.61,,,0.0,,,
2010-12-27,93.37,93.37,93.37,93.37,0.35,,,0.0,,,
2010-12-28,93.8,93.8,93.8,93.8,0.43,,,0.0,,,
2010-12-29,93.81,93.81,93.81,93.81,0.01,,,0.0,,,
2010-12-30,93.21,93.21,93.21,93.21,-0.6,,,0.0,,,
2010-12-31,94.45,94.45,94.45,94.45,1.24,,,0.0,,,
2011-01-03,94.05,94.05,94.05,94.05,-0.4,,,0.0,,,
2011-01-04,93.18,93.18,93.18,93.18,-0.87,,,0.0,,,
2011-01-05,94.92,94.92,94.92,94.92,1.74,,,0.0,,,
2011-01-06,94.7,94.7,94.7,94.7,-0.22,,,0.0,,,
2011-01-07,93.08,93.08,93.08,93.08,-1.62,,,0.0,,,
2011-01-10,94.65,94.65,94.65,94.65,1.57,,,0.0,,,
2011-01-11,95.86,95.86,95.86,95.86,1.21,,,0.0,,,
2011-01-12,95.9,95.9,95.9,95.9,0.04,,,0.0,,,
2011-01-13,96.04,96.04,96.04,96.04,0.14,,,0.0,,,
2011-01-14,96.95,96.95,96.95,96.95,0.91,,,0.0,,,
2011-01-17,96.21,96.21,96.21,96.21,-0.74,,,0.0,,,
2011-01-18,97.06,97.06,97.06,97.06,0.85,,,0.0,,,
2011-01-19,96.98,96.98,96.98,96.98,-0.08,,,0.0,,,
2011-01-20,96.53,96.53,96.53,96.53,-0.45,,,0.0,,,
2011-01-21,97.52,97.52,97.52,97.52,0.99,,,0.0,,,
2011-01-24,96.95,96.95,96.95,96.95,-0.57,,,0.0,,,
2011-01-25,96.42,96.42,96.42,96.42,-0.53,,,0.0,,,
2011-01-26,98.45,98.45,98.45,98.45,2.03,,,0.0,,,
2011-01-27,98.21,98.21,98.21,98.21,-0.24,,,0.0,,,
2011-01-28,99.08,99.08,99.08,99.08,0.87,,,0.0,,,
2011-01-31,100.09,100.09,100.09,100.09,1.01,,,0.0,,,
2011-02-01,100.85,100.85,100.85,100.85,0.76,,,0.0,,,
2011-02-02,101.96,101.96,101.96,101.96,1.11,,,0.0,,,
2011-02-03,102.56,102.56,102.56,102.56,0.6,,,0.0,,,
2011-02-04,101.4,101.4,101.4,101.4,-1.16,,,0.0,,,
2011-02-07,101.59,101.59,101.59,101.59,0.19,,,0.0,,,
2011-02-08,102.39,102.39,102.39,102.39,0.8,,,0.0,,,
