Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1998-02-16,16.55,16.55,16.55,16.55,,,0.0,0.0,,,
1998-02-17,16.71,16.71,16.71,16.71,,,0.0,0.0,,,
1998-02-18,17.32,17.32,17.32,17.32,,,0.0,0.0,,,
1998-02-19,16.97,16.97,16.97,16.97,,,0.0,0.0,,,
1998-02-20,16.95,16.95,16.95,16.95,,,0.0,0.0,,,
1998-02-23,16.64,16.64,16.64,16.64,,,0.0,0.0,,,
1998-02-24,16.61,16.61,16.61,16.61,,,0.0,0.0,,,
1998-02-25,16.67,16.67,16.67,16.67,,,0.0,0.0,,,
1998-02-26,16.46,16.46,16.46,16.46,,,0.0,0.0,,,
1998-02-27,16.61,16.61,16.61,16.61,,,0.0,0.0,,,
1998-03-02,16.57,16.57,16.57,16.57,,,0.0,0.0,,,
1998-03-03,16.63,16.63,16.63,16.63,,,0.0,0.0,,,
1998-03-04,16.61,16.61,16.61,16.61,,,0.0,0.0,,,
1998-03-05,16.61,16.61,16.61,16.61,,,0.0,0.0,,,
1998-03-06,16.44,16.44,16.44,16.44,,,0.0,0.0,,,
1998-03-09,16.43,16.43,16.43,16.43,,,0.0,0.0,,,
1998-03-10,16.52,16.52,16.29,16.29,,,50.0,50.0,,,
1998-03-11,16.3,16.3,16.3,16.3,,,0.0,50.0,,,
1998-03-12,16.25,16.25,16.25,16.25,,,0.0,50.0,,,
1998-03-13,16.12,16.12,16.12,16.12,,,0.0,50.0,,,
1998-03-16,15.79,15.79,15.79,15.79,,,0.0,50.0,,,
1998-03-17,15.87,15.87,15.87,15.87,,,0.0,50.0,,,
1998-03-18,16.45,16.45,16.45,16.45,,,0.0,50.0,,,
1998-03-19,16.07,16.07,16.07,16.07,,,0.0,50.0,,,
1998-03-20,16.1,16.1,16.1,16.1,,,0.0,50.0,,,
1998-03-23,16.84,16.84,16.84,16.84,,,0.0,50.0,,,
1998-03-24,16.39,16.39,16.39,16.39,,,0.0,50.0,,,
1998-03-25,16.7,16.7,16.7,16.7,,,0.0,50.0,,,
1998-03-26,16.58,16.58,16.58,16.58,,,0.0,50.0,,,
1998-03-27,16.69,16.69,16.69,16.69,,,0.0,50.0,,,
1998-03-30,16.33,16.33,16.33,16.33,,,0.0,50.0,,,
1998-03-31,16.24,16.24,16.24,16.24,,,0.0,50.0,,,
1998-04-01,16.01,16.01,16.01,16.01,,,0.0,50.0,,,
1998-04-02,16.28,16.28,16.28,16.28,,,0.0,50.0,,,
1998-04-03,16.34,16.34,16.34,16.34,,,0.0,50.0,,,
1998-04-06,16.18,16.18,16.18,16.18,,,0.0,50.0,,,
1998-04-07,16.09,16.09,16.09,16.09,,,0.0,50.0,,,
1998-04-08,16.19,16.19,16.19,16.19,,,0.0,50.0,,,
1998-04-09,16.15,16.15,16.15,16.15,,,0.0,50.0,,,
1998-04-14,15.91,15.91,15.91,15.91,,,0.0,50.0,,,
1998-04-15,16.12,16.12,16.12,16.12,,,0.0,50.0,,,
1998-04-16,16.27,16.27,16.27,16.27,,,0.0,50.0,,,
1998-04-17,15.97,15.97,15.97,15.97,,,0.0,50.0,,,
1998-04-20,16.1,16.1,16.1,16.1,,,0.0,50.0,,,
1998-04-21,16.16,16.16,16.16,16.16,,,0.0,50.0,,,
1998-04-22,15.99,15.99,15.99,15.99,,,0.0,50.0,,,
1998-04-23,16.05,16.05,16.05,16.05,,,0.0,50.0,,,
1998-04-24,16.1,16.1,16.1,16.1,,,0.0,50.0,,,
1998-04-27,16.29,16.29,16.29,16.29,,,0.0,50.0,,,
1998-04-28,16.5,16.5,16.5,16.5,,,0.0,50.0,,,
1998-04-29,16.41,16.41,16.41,16.41,,,0.0,50.0,,,
1998-04-30,16.53,16.53,16.53,16.53,,,0.0,50.0,,,
1998-05-01,16.88,16.88,16.88,16.88,,,0.0,50.0,,,
1998-05-05,16.63,16.63,16.63,16.63,,,0.0,50.0,,,
1998-05-06,16.56,16.56,16.56,16.56,,,0.0,50.0,,,
1998-05-07,16.63,16.63,16.63,16.63,,,0.0,50.0,,,
1998-05-08,16.42,16.42,16.42,16.42,,,0.0,50.0,,,
1998-05-11,16.39,16.39,16.39,16.39,,,0.0,50.0,,,
1998-05-12,16.39,16.39,16.39,16.39,,,0.0,50.0,,,
1998-05-13,16.3,16.3,16.3,16.3,,,0.0,50.0,,,
1998-05-14,16.37,16.37,16.37,16.37,,,0.0,50.0,,,
1998-05-15,16.23,16.23,16.23,16.23,,,0.0,50.0,,,
1998-05-18,16.3,16.3,16.3,16.3,,,0.0,50.0,,,
1998-05-19,16.41,16.41,16.41,16.41,,,0.0,50.0,,,
1998-05-20,16.13,16.13,16.13,16.13,,,0.0,50.0,,,
1998-05-21,16.33,16.33,16.33,16.33,,,0.0,50.0,,,
1998-05-22,16.32,16.32,16.32,16.32,,,0.0,50.0,,,
1998-05-26,16.39,16.39,16.39,16.39,,,0.0,50.0,,,
1998-05-27,16.38,16.38,16.38,16.38,,,0.0,50.0,,,
1998-05-28,16.44,16.44,16.44,16.44,,,0.0,50.0,,,
1998-05-29,16.51,16.51,16.51,16.51,,,0.0,50.0,,,
1998-06-01,16.66,16.66,16.66,16.66,,,0.0,50.0,,,
1998-06-02,16.71,16.71,16.71,16.71,,,0.0,50.0,,,
1998-06-03,16.62,16.62,16.62,16.62,,,0.0,50.0,,,
1998-06-04,16.68,16.68,16.68,16.68,,,0.0,50.0,,,
1998-06-05,16.93,16.93,16.93,16.93,,,0.0,50.0,,,
1998-06-08,16.72,16.72,16.72,16.72,,,0.0,50.0,,,
1998-06-09,16.5,16.5,16.5,16.5,,,0.0,50.0,,,
1998-06-10,16.75,16.75,16.75,16.75,,,0.0,50.0,,,
1998-06-11,16.23,16.23,16.23,16.23,,,0.0,50.0,,,
1998-06-12,16.56,16.56,16.56,16.56,,,0.0,50.0,,,
1998-06-15,16.21,16.21,16.21,16.21,,,0.0,50.0,,,
1998-06-16,16.36,16.36,16.36,16.36,,,0.0,50.0,,,
1998-06-17,16.49,16.49,16.49,16.49,,,0.0,50.0,,,
1998-06-18,16.3,16.3,16.3,16.3,,,0.0,50.0,,,
1998-06-19,16.37,16.37,16.37,16.37,,,0.0,50.0,,,
1998-06-22,16.42,16.42,16.42,16.42,,,0.0,50.0,,,
1998-06-23,16.59,16.59,16.59,16.59,,,0.0,50.0,,,
1998-06-24,16.39,16.39,16.39,16.39,,,0.0,50.0,,,
1998-06-25,16.49,16.49,16.49,16.49,,,0.0,50.0,,,
1998-06-26,16.47,16.47,16.47,16.47,,,0.0,50.0,,,
1998-06-29,16.49,16.49,16.49,16.49,,,0.0,50.0,,,
1998-06-30,16.49,16.49,16.49,16.49,,,0.0,50.0,,,
1998-07-01,16.44,16.44,16.44,16.44,,,0.0,50.0,,,
1998-07-02,16.29,16.29,16.29,16.29,,,0.0,50.0,,,
1998-07-03,16.16,16.16,16.16,16.16,,,0.0,50.0,,,
1998-07-06,16.06,16.06,16.06,16.06,,,0.0,50.0,,,
1998-07-07,16.08,16.08,16.08,16.08,,,0.0,50.0,,,
1998-07-08,16.01,16.01,16.01,16.01,,,0.0,50.0,,,
1998-07-09,15.96,15.96,15.96,15.96,,,0.0,50.0,,,
1998-07-10,15.92,15.92,15.92,15.92,,,0.0,50.0,,,
1998-07-13,15.89,15.89,15.89,15.89,,,0.0,50.0,,,
1998-07-14,15.95,15.95,15.95,15.95,,,0.0,50.0,,,
1998-07-15,16.05,16.05,16.05,16.05,,,0.0,50.0,,,
1998-07-16,15.79,15.79,15.79,15.79,,,0.0,50.0,,,
1998-07-17,15.75,15.75,15.75,15.75,,,0.0,50.0,,,
1998-07-20,15.46,15.46,15.46,15.46,,,0.0,50.0,,,
1998-07-21,15.95,15.95,15.95,15.95,,,0.0,50.0,,,
1998-07-22,15.78,15.78,15.78,15.78,,,0.0,50.0,,,
1998-07-23,15.64,15.64,15.64,15.64,,,0.0,50.0,,,
1998-07-24,15.77,15.77,15.77,15.77,,,0.0,50.0,,,
1998-07-27,15.9,15.9,15.9,15.9,,,0.0,50.0,,,
1998-07-28,15.82,15.82,15.82,15.82,,,0.0,50.0,,,
1998-07-29,15.75,15.75,15.75,15.75,,,0.0,50.0,,,
1998-07-30,15.65,15.65,15.65,15.65,,,0.0,50.0,,,
1998-07-31,15.63,15.63,15.63,15.63,,,0.0,50.0,,,
1998-08-03,15.32,15.32,15.32,15.32,,,0.0,50.0,,,
1998-08-04,15.42,15.42,15.42,15.42,,,0.0,50.0,,,
1998-08-05,15.37,15.37,15.37,15.37,,,0.0,50.0,,,
1998-08-06,15.74,15.74,15.74,15.74,,,0.0,50.0,,,
1998-08-07,15.37,15.37,15.37,15.37,,,0.0,50.0,,,
1998-08-10,15.02,15.02,15.02,15.02,,,0.0,50.0,,,
1998-08-11,14.99,14.99,14.99,14.99,,,0.0,50.0,,,
1998-08-12,15.05,15.05,15.05,15.05,,,0.0,50.0,,,
1998-08-13,15.22,15.22,15.22,15.22,,,0.0,50.0,,,
1998-08-14,15.2,15.2,15.2,15.2,,,0.0,50.0,,,
1998-08-17,15.06,15.06,15.06,15.06,,,0.0,50.0,,,
1998-08-18,14.9,14.9,14.9,14.9,,,0.0,50.0,,,
1998-08-19,15.0,15.0,15.0,15.0,,,0.0,50.0,,,
1998-08-20,15.27,15.27,15.27,15.27,,,0.0,50.0,,,
1998-08-21,15.04,15.04,15.04,15.04,,,0.0,50.0,,,
1998-08-24,15.23,15.23,15.23,15.23,,,0.0,50.0,,,
1998-08-25,15.26,15.26,15.26,15.26,,,0.0,50.0,,,
1998-08-26,15.17,15.17,15.17,15.17,,,0.0,50.0,,,
1998-08-27,15.05,15.05,15.05,15.05,,,0.0,50.0,,,
1998-08-28,15.31,15.31,15.31,15.31,,,0.0,50.0,,,
1998-09-01,15.37,15.37,15.37,15.37,,,0.0,50.0,,,
1998-09-02,15.26,15.26,15.26,15.26,,,0.0,50.0,,,
1998-09-03,15.94,15.94,15.94,15.94,,,0.0,50.0,,,
1998-09-04,15.72,15.72,15.72,15.72,,,0.0,50.0,,,
1998-09-07,15.57,15.57,15.57,15.57,,,0.0,50.0,,,
1998-09-08,15.57,15.57,15.57,15.57,,,0.0,50.0,,,
1998-09-09,15.47,15.47,15.47,15.47,,,0.0,50.0,,,
1998-09-10,15.68,15.68,15.68,15.68,,,0.0,50.0,,,
1998-09-11,15.49,15.49,15.49,15.49,,,0.0,50.0,,,
1998-09-14,15.41,15.41,15.41,15.41,,,0.0,50.0,,,
1998-09-15,15.48,15.48,15.48,15.48,,,0.0,50.0,,,
1998-09-16,15.4,15.4,15.4,15.4,,,0.0,50.0,,,
1998-09-17,15.46,15.46,15.46,15.46,,,0.0,50.0,,,
1998-09-18,15.92,15.92,15.92,15.92,,,0.0,50.0,,,
1998-09-21,16.03,16.03,16.03,16.03,,,0.0,50.0,,,
1998-09-22,16.16,16.16,16.16,16.16,,,0.0,50.0,,,
1998-09-23,16.0,16.0,16.0,16.0,,,0.0,50.0,,,
1998-09-24,16.11,16.11,16.11,16.11,,,0.0,50.0,,,
1998-09-25,16.07,16.07,16.07,16.07,,,0.0,50.0,,,
1998-09-28,15.92,15.92,15.92,15.92,,,0.0,50.0,,,
1998-09-29,16.13,16.13,16.13,16.13,,,0.0,50.0,,,
1998-09-30,16.15,16.15,16.15,16.15,,,0.0,50.0,,,
1998-10-01,15.78,15.78,15.78,15.78,,,0.0,50.0,,,
1998-10-02,15.95,15.95,15.95,15.95,,,0.0,50.0,,,
1998-10-05,15.81,15.81,15.81,15.81,,,0.0,50.0,,,
1998-10-06,15.92,15.92,15.92,15.92,,,0.0,50.0,,,
1998-10-07,15.71,15.71,15.71,15.71,,,0.0,50.0,,,
1998-10-08,15.6,15.6,15.34,15.34,,,250.0,300.0,,,
1998-10-09,15.48,15.48,15.48,15.48,,,0.0,300.0,,,
1998-10-12,15.22,15.22,15.22,15.22,,,0.0,300.0,,,
1998-10-13,15.35,15.35,15.12,15.12,,,100.0,300.0,,,
1998-10-14,15.27,15.27,15.2,15.2,,,300.0,600.0,,,
1998-10-15,15.16,15.16,15.16,15.16,,,0.0,600.0,,,
1998-10-16,15.22,15.22,15.22,15.22,,,0.0,600.0,,,
1998-10-19,14.68,14.68,14.68,14.68,,,0.0,600.0,,,
1998-10-20,14.75,14.75,14.75,14.75,,,0.0,600.0,,,
1998-10-21,15.03,15.03,15.03,15.03,,,0.0,600.0,,,
1998-10-22,14.89,14.89,14.89,14.89,,,0.0,600.0,,,
1998-10-23,14.89,14.89,14.89,14.89,,,0.0,600.0,,,
1998-10-26,15.06,15.06,15.06,15.06,,,0.0,600.0,,,
1998-10-27,14.93,14.93,14.93,14.93,,,0.0,600.0,,,
1998-10-28,15.22,15.22,15.22,15.22,,,0.0,600.0,,,
1998-10-29,15.16,15.16,15.16,15.16,,,0.0,600.0,,,
1998-10-30,14.95,15.27,14.95,15.27,,,50.0,600.0,,,
1998-11-02,15.06,15.06,15.06,15.06,,,0.0,600.0,,,
1998-11-03,15.06,15.06,15.06,15.06,,,0.0,600.0,,,
1998-11-04,14.99,14.99,14.99,14.99,,,0.0,600.0,,,
1998-11-05,14.78,14.78,14.78,14.78,,,0.0,600.0,,,
1998-11-06,14.79,14.79,14.79,14.79,,,0.0,600.0,,,
1998-11-09,14.52,14.52,14.52,14.52,,,0.0,600.0,,,
1998-11-10,14.69,14.69,14.69,14.69,,,0.0,600.0,,,
1998-11-11,14.75,14.75,14.75,14.75,,,0.0,600.0,,,
1998-11-12,14.91,14.94,14.9,14.94,,,585.0,1185.0,,,
1998-11-13,14.56,14.56,14.56,14.56,,,0.0,1185.0,,,
1998-11-16,14.41,14.41,14.41,14.41,,,0.0,1185.0,,,
1998-11-17,14.26,14.26,14.26,14.26,,,0.0,1185.0,,,
1998-11-18,14.51,14.51,14.51,14.51,,,0.0,1185.0,,,
1998-11-19,14.58,14.58,14.58,14.58,,,0.0,1185.0,,,
1998-11-20,14.74,14.74,14.74,14.74,,,0.0,1185.0,,,
1998-11-23,14.5,14.5,14.5,14.5,,,0.0,1185.0,,,
1998-11-24,14.21,14.21,14.21,14.21,,,0.0,1185.0,,,
