Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-11-16,62.79,62.79,62.79,62.79,,,0.0,0.0,0.0,0.0,0.0
2006-11-17,63.7,63.7,63.7,63.7,0.91,,0.0,0.0,0.0,0.0,0.0
2006-11-20,64.07,64.07,64.07,64.07,0.37,,0.0,0.0,0.0,0.0,0.0
2006-11-21,65.49,65.49,65.49,65.49,1.42,,0.0,0.0,0.0,0.0,0.0
2006-11-22,65.27,65.27,65.27,65.27,-0.22,,0.0,0.0,0.0,0.0,0.0
2006-11-23,65.43,65.43,65.43,65.43,0.16,,0.0,0.0,0.0,0.0,0.0
2006-11-24,65.92,65.92,65.92,65.92,0.49,,0.0,0.0,0.0,0.0,0.0
2006-11-27,65.49,65.49,65.49,65.49,-0.43,,0.0,0.0,0.0,0.0,0.0
2006-11-28,65.7,65.7,65.7,65.7,0.21,,0.0,0.0,0.0,0.0,0.0
2006-11-29,65.97,65.97,65.97,65.97,0.27,,0.0,0.0,0.0,0.0,0.0
2006-11-30,66.5,66.5,66.5,66.5,0.53,,0.0,0.0,0.0,0.0,0.0
2006-12-01,66.95,66.95,66.95,66.95,0.45,,0.0,0.0,0.0,0.0,0.0
2006-12-04,66.65,66.65,66.65,66.65,-0.3,,0.0,0.0,0.0,0.0,0.0
2006-12-05,66.34,66.34,66.34,66.34,-0.31,,0.0,0.0,0.0,0.0,0.0
2006-12-06,65.8,65.8,65.8,65.8,-0.54,,0.0,0.0,0.0,0.0,0.0
2006-12-07,65.22,65.22,65.22,65.22,-0.58,,0.0,0.0,0.0,0.0,0.0
2006-12-08,64.8,64.8,64.8,64.8,-0.42,,0.0,0.0,0.0,0.0,0.0
2006-12-11,64.59,64.59,64.59,64.59,-0.21,,0.0,0.0,0.0,0.0,0.0
2006-12-12,64.77,64.77,64.77,64.77,0.18,,0.0,0.0,0.0,0.0,0.0
2006-12-13,64.9,64.9,64.9,64.9,0.13,,0.0,0.0,0.0,0.0,0.0
2006-12-14,65.79,65.79,65.79,65.79,0.89,,0.0,0.0,0.0,0.0,0.0
2006-12-15,65.71,65.71,65.71,65.71,-0.08,,0.0,0.0,0.0,0.0,0.0
2006-12-18,64.74,64.74,64.74,64.74,-0.97,,0.0,0.0,0.0,0.0,0.0
2006-12-19,65.19,65.19,65.19,65.19,0.45,,0.0,0.0,0.0,0.0,0.0
2006-12-20,66.06,66.06,66.06,66.06,0.87,,0.0,0.0,0.0,0.0,0.0
2006-12-21,65.88,65.88,65.88,65.88,-0.18,,0.0,0.0,0.0,0.0,0.0
2006-12-22,65.68,65.68,65.68,65.68,-0.2,,0.0,0.0,0.0,0.0,0.0
2006-12-26,64.54,64.54,64.54,64.54,-1.14,,0.0,0.0,0.0,0.0,0.0
2006-12-27,64.27,64.27,64.27,64.27,-0.27,,0.0,0.0,0.0,0.0,0.0
