Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2002-03-15,22.46,22.46,22.46,22.46,,,0.0,0.0,,,
2002-03-18,22.93,22.93,22.93,22.93,,,3.0,3.0,,,
2002-03-19,22.88,22.88,22.88,22.88,,,0.0,3.0,,,
2002-03-20,22.83,22.83,22.83,22.83,,,0.0,0.0,,,
2002-03-21,23.46,23.46,23.46,23.46,,,0.0,0.0,,,
2002-03-22,23.19,23.19,23.19,23.19,,,0.0,0.0,,,
2002-03-25,23.05,23.05,23.05,23.05,,,0.0,0.0,,,
2002-03-26,23.25,23.25,23.25,23.25,,,0.0,0.0,,,
2002-03-27,23.38,23.38,23.38,23.38,,,0.0,0.0,,,
2002-03-28,23.64,23.64,23.64,23.64,,,0.0,0.0,,,
2002-04-02,24.56,24.56,24.56,24.56,,,0.0,0.0,,,
2002-04-03,24.15,24.15,24.15,24.15,,,0.0,0.0,,,
2002-04-04,23.87,23.87,23.87,23.87,,,0.0,0.0,,,
2002-04-05,23.08,23.08,23.08,23.08,,,0.0,0.0,,,
2002-04-08,23.4,23.4,23.4,23.4,,,0.0,0.0,,,
2002-04-09,22.81,22.81,22.81,22.81,,,0.0,0.0,,,
2002-04-10,22.86,22.86,22.86,22.86,,,0.0,0.0,,,
2002-04-11,22.5,22.5,22.5,22.5,,,0.0,0.0,,,
2002-04-12,21.63,21.63,21.63,21.63,,,0.0,0.0,,,
2002-04-15,22.32,22.32,22.32,22.32,,,0.0,0.0,,,
2002-04-16,22.52,22.52,22.52,22.52,,,0.0,0.0,,,
2002-04-17,23.03,23.03,23.03,23.03,,,0.0,0.0,,,
2002-04-18,23.15,23.15,23.15,23.15,,,0.0,0.0,,,
2002-04-19,23.03,23.32,23.03,23.32,,,300.0,300.0,,,
2002-04-22,23.6,23.6,23.6,23.6,,,0.0,300.0,,,
2002-04-23,23.48,23.48,23.48,23.48,,,0.0,300.0,,,
2002-04-24,23.44,23.44,23.44,23.44,,,0.0,300.0,,,
2002-04-25,23.64,23.64,23.64,23.64,,,0.0,300.0,,,
2002-04-26,23.84,23.84,23.84,23.84,,,0.0,300.0,,,
2002-04-29,23.7,24.04,23.67,24.04,,,200.0,500.0,,,
2002-04-30,23.95,24.01,23.81,24.01,,,10.0,500.0,,,
2002-05-01,23.63,23.63,23.63,23.63,,,0.0,500.0,,,
2002-05-02,23.31,23.31,23.31,23.31,,,0.0,500.0,,,
2002-05-03,23.7,23.7,23.7,23.7,,,0.0,500.0,,,
2002-05-07,23.66,23.66,23.66,23.66,,,0.0,500.0,,,
2002-05-08,24.2,24.2,24.2,24.2,,,0.0,500.0,,,
2002-05-09,24.06,24.06,24.06,24.06,,,0.0,500.0,,,
2002-05-10,24.38,24.38,24.38,24.38,,,0.0,500.0,,,
2002-05-13,24.61,24.61,24.61,24.61,,,0.0,500.0,,,
2002-05-14,24.68,24.91,24.68,24.91,,,313.0,800.0,,,
2002-05-15,24.11,24.11,24.11,24.11,,,0.0,800.0,,,
2002-05-16,24.32,24.32,24.32,24.32,,,0.0,800.0,,,
2002-05-17,24.43,24.43,24.36,24.36,,,3.0,803.0,,,
2002-05-20,24.36,24.36,24.36,24.36,,,0.0,800.0,,,
2002-05-21,23.96,23.96,23.96,23.96,,,0.0,800.0,,,
2002-05-22,23.98,23.98,23.98,23.98,,,0.0,800.0,,,
2002-05-23,24.26,24.26,23.87,23.87,,,10.0,800.0,,,
2002-05-24,23.9,23.9,23.85,23.85,,,10.0,800.0,,,
2002-05-27,23.75,23.75,23.58,23.58,,,5.0,800.0,,,
2002-05-28,23.46,23.46,23.46,23.46,,,0.0,800.0,,,
2002-05-29,23.24,23.78,23.24,23.78,,,10.0,800.0,,,
2002-05-30,23.4,23.4,23.01,23.01,,,150.0,950.0,,,
2002-05-31,23.01,23.01,23.01,23.01,,,0.0,950.0,,,
