Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2003-11-24,,,,,,,0.0,1300.0,0.0,0.0,0.0
2004-03-17,30.12,30.12,30.12,30.12,,,0.0,0.0,0.0,0.0,0.0
2004-03-18,29.77,29.77,29.77,29.77,-0.35,,0.0,0.0,0.0,0.0,0.0
2004-03-19,30.02,30.02,30.02,30.02,0.25,,0.0,0.0,0.0,0.0,0.0
2004-03-22,29.76,29.76,29.76,29.76,-0.26,,0.0,125.0,0.0,0.0,0.0
2004-03-23,30.1,30.1,30.1,30.1,0.34,,0.0,125.0,0.0,0.0,0.0
2004-03-24,30.12,30.12,30.12,29.91,-0.19,,120.0,245.0,0.0,0.0,0.0
2004-03-25,29.09,29.09,29.09,29.09,-0.82,,0.0,245.0,0.0,0.0,0.0
2004-03-26,29.11,29.11,29.11,29.11,0.02,,0.0,245.0,0.0,0.0,0.0
2004-03-29,28.93,28.93,28.93,28.93,-0.18,,0.0,620.0,0.0,0.0,0.0
2004-03-30,29.3,29.3,29.3,29.3,0.37,,0.0,620.0,0.0,0.0,0.0
2004-03-31,28.91,28.91,28.91,28.91,-0.39,,0.0,620.0,0.0,0.0,0.0
2004-04-01,28.82,28.82,28.82,28.82,-0.09,,0.0,620.0,0.0,0.0,0.0
2004-04-02,27.95,27.95,27.95,27.95,-0.87,,0.0,620.0,0.0,0.0,0.0
2004-04-05,28.35,28.35,28.35,28.35,0.4,,0.0,2720.0,0.0,0.0,0.0
2004-04-06,28.81,28.81,28.81,28.81,0.46,,0.0,3770.0,0.0,0.0,0.0
2004-04-07,29.31,29.31,29.31,29.31,0.5,,0.0,3770.0,0.0,0.0,0.0
2004-04-08,29.91,29.91,29.91,29.91,0.6,,0.0,3770.0,0.0,0.0,0.0
2004-04-13,30.13,30.13,30.13,30.13,0.22,,0.0,3770.0,0.0,0.0,0.0
2004-04-14,30.44,30.44,30.44,30.44,0.31,,0.0,3770.0,0.0,0.0,0.0
2004-04-15,30.53,30.53,30.53,30.53,0.09,,0.0,3770.0,0.0,0.0,0.0
2004-04-16,30.49,30.49,30.49,30.49,-0.04,,0.0,3770.0,0.0,0.0,0.0
2004-04-19,30.29,30.29,30.29,30.29,-0.2,,0.0,4070.0,0.0,0.0,0.0
2004-04-20,29.94,29.94,29.94,29.94,-0.35,,0.0,4070.0,0.0,0.0,0.0
2004-04-21,29.61,29.61,29.61,29.61,-0.33,,0.0,4070.0,0.0,0.0,0.0
2004-04-22,30.2,30.2,30.2,30.2,0.59,,0.0,4070.0,0.0,0.0,0.0
2004-04-23,30.03,30.03,30.03,30.03,-0.17,,0.0,4845.0,0.0,0.0,0.0
2004-04-26,30.27,30.27,30.27,30.27,0.24,,0.0,4945.0,0.0,0.0,0.0
2004-04-27,30.81,30.81,30.81,30.81,0.54,,0.0,4945.0,0.0,0.0,0.0
2004-04-28,30.68,30.68,30.68,30.68,-0.13,,0.0,4995.0,0.0,0.0,0.0
2004-04-29,30.8,30.8,30.8,30.8,0.12,,0.0,4995.0,0.0,0.0,0.0
2004-04-30,30.87,30.87,30.87,30.87,0.07,,0.0,14132.0,0.0,0.0,0.0
2004-05-04,31.72,31.72,31.72,31.72,0.85,,0.0,5145.0,0.0,0.0,0.0
2004-05-05,32.1,32.1,32.1,32.1,0.38,,0.0,5145.0,0.0,0.0,0.0
2004-05-06,31.92,31.92,31.92,31.92,-0.18,,0.0,5145.0,0.0,0.0,0.0
2004-05-07,32.43,32.43,32.43,32.43,0.51,,0.0,5445.0,0.0,0.0,0.0
2004-05-10,31.9,31.9,31.9,31.9,-0.53,,0.0,5045.0,0.0,0.0,0.0
2004-05-11,32.59,32.59,32.59,32.59,0.69,,0.0,5045.0,0.0,0.0,0.0
2004-05-12,32.97,32.97,32.97,32.97,0.38,,0.0,6395.0,0.0,0.0,0.0
2004-05-13,33.35,33.35,33.35,33.35,0.38,,0.0,7395.0,0.0,0.0,0.0
2004-05-14,33.39,33.39,33.39,33.39,0.04,,0.0,6395.0,0.0,0.0,0.0
2004-05-17,33.58,33.58,33.58,33.58,0.19,,0.0,6395.0,0.0,0.0,0.0
2004-05-18,33.0,33.0,33.0,33.0,-0.58,,0.0,6395.0,0.0,0.0,0.0
2004-05-19,33.61,33.61,33.61,33.61,0.61,,0.0,6395.0,0.0,0.0,0.0
2004-05-20,33.14,33.14,33.14,33.14,-0.47,,0.0,6395.0,0.0,0.0,0.0
2004-05-21,32.7,32.7,32.7,32.7,-0.44,,0.0,6295.0,0.0,0.0,0.0
2004-05-24,33.96,33.96,33.96,33.96,1.26,,0.0,6295.0,0.0,0.0,0.0
2004-05-25,33.42,33.42,33.42,33.42,-0.54,,0.0,6995.0,0.0,0.0,0.0
2004-05-26,33.28,33.28,33.28,33.28,-0.14,,0.0,6995.0,0.0,0.0,0.0
2004-05-27,32.59,32.59,32.59,32.59,-0.69,,0.0,6895.0,0.0,0.0,0.0
2004-05-28,33.1,33.1,33.1,33.1,0.51,,0.0,6895.0,0.0,0.0,0.0
2004-06-01,34.95,34.95,34.95,34.95,1.85,,0.0,6895.0,0.0,0.0,0.0
2004-06-02,33.33,33.33,33.33,33.33,-1.62,,0.0,6895.0,0.0,0.0,0.0
2004-06-03,33.15,33.15,33.15,33.15,-0.18,,0.0,6945.0,0.0,0.0,0.0
2004-06-04,32.96,32.96,32.96,32.96,-0.19,,0.0,7005.0,0.0,0.0,0.0
2004-06-07,33.34,33.34,33.34,33.34,0.38,,0.0,7155.0,0.0,0.0,0.0
2004-06-08,32.81,32.81,32.81,32.81,-0.53,,0.0,7255.0,0.0,0.0,0.0
2004-06-09,33.31,33.31,33.31,33.31,0.5,,0.0,7280.0,0.0,0.0,0.0
2004-06-10,33.57,33.57,33.57,33.57,0.26,,0.0,7280.0,0.0,0.0,0.0
2004-06-11,33.17,33.17,33.17,33.17,-0.4,,0.0,8380.0,0.0,0.0,0.0
2004-06-14,33.4,33.4,33.4,33.4,0.23,,0.0,7030.0,0.0,0.0,0.0
2004-06-15,33.07,33.07,33.07,33.07,-0.33,,0.0,7030.0,0.0,0.0,0.0
2004-06-16,33.17,33.17,33.17,33.17,0.1,,0.0,6880.0,0.0,0.0,0.0
2004-06-17,33.86,33.86,33.86,33.86,0.69,,0.0,7530.0,0.0,0.0,0.0
2004-06-18,33.84,33.84,33.84,33.84,-0.02,,0.0,7430.0,0.0,0.0,0.0
2004-06-21,33.12,33.12,33.12,33.12,-0.72,,0.0,7430.0,0.0,0.0,0.0
2004-06-22,33.2,33.2,33.2,33.46,0.34,,50.0,7480.0,0.0,0.0,0.0
2004-06-23,33.06,33.06,33.06,33.06,-0.4,,0.0,7480.0,0.0,0.0,0.0
2004-06-24,33.39,33.39,33.39,33.39,0.33,,0.0,7280.0,0.0,0.0,0.0
2004-06-25,33.39,33.39,33.39,33.39,0.0,,0.0,7380.0,0.0,0.0,0.0
2004-06-28,32.65,32.65,32.65,32.65,-0.74,,0.0,7380.0,0.0,0.0,0.0
2004-06-29,32.23,32.23,32.23,32.23,-0.42,,0.0,6605.0,0.0,0.0,0.0
2004-06-30,33.36,33.36,33.36,33.36,1.13,,0.0,6475.0,0.0,0.0,0.0
2004-07-01,34.34,34.34,34.34,34.34,0.98,,0.0,6475.0,0.0,0.0,0.0
2004-07-02,34.19,34.19,34.19,34.19,-0.15,,0.0,6475.0,0.0,0.0,0.0
2004-07-05,34.31,34.31,34.31,34.31,0.12,,0.0,6650.0,0.0,0.0,0.0
2004-07-06,34.88,34.88,34.88,34.88,0.57,,0.0,6750.0,0.0,0.0,0.0
2004-07-07,34.35,34.35,34.35,34.35,-0.53,,0.0,6575.0,0.0,0.0,0.0
2004-07-08,34.89,34.89,34.89,34.89,0.54,,0.0,6675.0,0.0,0.0,0.0
2004-07-09,34.49,34.49,34.49,34.49,-0.4,,0.0,6675.0,0.0,0.0,0.0
2004-07-12,34.29,34.29,34.29,34.29,-0.2,,0.0,6675.0,0.0,0.0,0.0
2004-07-13,34.21,34.21,34.21,34.21,-0.08,,0.0,6730.0,0.0,0.0,0.0
2004-07-14,35.36,35.36,35.36,35.36,1.15,,0.0,6430.0,0.0,0.0,0.0
2004-07-15,34.94,34.94,34.94,34.94,-0.42,,0.0,6430.0,0.0,0.0,0.0
2004-07-16,35.5,35.5,35.5,35.5,0.56,,0.0,6430.0,0.0,0.0,0.0
2004-07-19,35.3,35.3,35.3,35.3,-0.2,,0.0,6081.0,0.0,0.0,0.0
2004-07-20,34.68,34.68,34.68,34.68,-0.62,,0.0,6081.0,0.0,0.0,0.0
2004-07-21,34.73,34.73,34.73,34.73,0.05,,0.0,6081.0,0.0,0.0,0.0
2004-07-22,35.61,35.61,35.61,35.61,0.88,,0.0,6306.0,0.0,0.0,0.0
2004-07-23,35.83,35.83,35.83,35.83,0.22,,0.0,6306.0,0.0,0.0,0.0
2004-07-26,35.61,35.61,35.61,35.61,-0.22,,0.0,6306.0,0.0,0.0,0.0
2004-07-27,35.92,35.92,35.92,35.92,0.31,,0.0,6306.0,0.0,0.0,0.0
2004-07-28,36.75,36.75,36.75,36.75,0.83,,0.0,6306.0,0.0,0.0,0.0
2004-07-29,36.53,36.53,36.53,36.53,-0.22,,0.0,6322.0,0.0,0.0,0.0
2004-07-30,37.24,37.24,37.24,37.24,0.71,,0.0,6369.0,0.0,0.0,0.0
2004-08-02,37.26,37.26,37.26,37.26,0.02,,0.0,6444.0,0.0,0.0,0.0
2004-08-03,37.59,37.59,37.59,37.59,0.33,,0.0,6444.0,0.0,0.0,0.0
2004-08-04,36.65,36.65,36.65,36.65,-0.94,,0.0,6444.0,0.0,0.0,0.0
2004-08-05,37.7,37.7,37.7,37.7,1.05,,0.0,6444.0,0.0,0.0,0.0
2004-08-06,37.61,37.61,37.61,37.61,-0.09,,0.0,6394.0,0.0,0.0,0.0
2004-08-09,38.38,38.38,38.38,38.38,0.77,,0.0,6394.0,0.0,0.0,0.0
2004-08-10,38.13,38.13,38.13,38.13,-0.25,,0.0,7999.0,0.0,0.0,0.0
2004-08-11,38.26,38.26,38.26,38.26,0.13,,0.0,9949.0,0.0,0.0,0.0
2004-08-12,38.94,38.94,38.94,38.94,0.68,,0.0,9849.0,0.0,0.0,0.0
2004-08-13,40.17,40.17,40.17,40.17,1.23,,0.0,10949.0,0.0,0.0,0.0
2004-08-16,40.01,40.01,40.01,40.01,-0.16,,0.0,11649.0,0.0,0.0,0.0
2004-08-17,40.43,40.43,40.43,40.43,0.42,,0.0,11649.0,0.0,0.0,0.0
2004-08-18,40.45,40.45,40.45,40.45,0.02,,0.0,11699.0,0.0,0.0,0.0
2004-08-19,41.61,41.61,41.61,41.61,1.16,,0.0,11699.0,0.0,0.0,0.0
2004-08-20,40.95,40.95,40.95,40.95,-0.66,,0.0,11599.0,0.0,0.0,0.0
2004-08-23,40.62,40.62,40.62,40.62,-0.33,,0.0,11399.0,0.0,0.0,0.0
2004-08-24,39.98,39.98,39.98,39.98,-0.64,,0.0,11227.0,0.0,0.0,0.0
2004-08-25,38.49,38.49,38.49,38.49,-1.49,,0.0,10902.0,0.0,0.0,0.0
2004-08-26,38.26,38.26,38.26,38.26,-0.23,,0.0,11009.0,0.0,0.0,0.0
2004-08-27,38.72,38.72,38.72,38.72,0.46,,0.0,11259.0,0.0,0.0,0.0
2004-08-31,38.13,38.13,38.13,38.13,-0.59,,0.0,11860.0,0.0,0.0,0.0
2004-09-01,39.54,39.54,39.54,39.54,1.41,,0.0,11231.0,0.0,0.0,0.0
2004-09-02,39.63,39.63,39.63,39.63,0.09,,0.0,11431.0,0.0,0.0,0.0
2004-09-03,39.35,39.35,39.35,39.35,-0.28,,0.0,11262.0,0.0,0.0,0.0
2004-09-06,38.9,38.9,38.9,38.9,-0.45,,0.0,11462.0,0.0,0.0,0.0
2004-09-07,38.89,38.89,38.89,38.89,-0.01,,0.0,11462.0,0.0,0.0,0.0
2004-09-08,38.53,38.53,38.53,38.53,-0.36,,0.0,12345.0,0.0,0.0,0.0
2004-09-09,39.97,39.97,39.97,39.97,1.44,,0.0,12387.0,0.0,0.0,0.0
2004-09-10,38.0,38.0,38.0,38.0,-1.97,,0.0,13137.0,0.0,0.0,0.0
2004-09-13,38.79,38.79,38.79,38.79,0.79,,0.0,13087.0,0.0,0.0,0.0
2004-09-14,39.01,39.03,39.01,39.02,0.23,,90.0,13095.0,0.0,0.0,0.0
2004-09-15,38.29,38.29,38.29,38.29,-0.73,,0.0,13495.0,0.0,0.0,0.0
2004-09-16,38.56,38.56,38.56,38.56,0.27,,0.0,13597.0,0.0,0.0,0.0
2004-09-17,39.88,39.88,39.88,39.88,1.32,,0.0,13595.0,0.0,0.0,0.0
2004-09-20,40.24,40.24,40.24,40.24,0.36,,0.0,13795.0,0.0,0.0,0.0
2004-09-21,40.67,40.67,40.67,40.67,0.43,,0.0,13365.0,0.0,0.0,0.0
2004-09-22,41.87,41.87,41.87,41.87,1.2,,0.0,14034.0,0.0,0.0,0.0
2004-09-23,41.87,41.87,41.87,41.87,0.0,,0.0,13732.0,0.0,0.0,0.0
2004-09-24,42.14,42.14,42.14,42.14,0.27,,0.0,14482.0,0.0,0.0,0.0
2004-09-27,42.71,42.71,42.71,42.71,0.57,,0.0,13582.0,0.0,0.0,0.0
2004-09-28,43.14,43.14,43.14,43.14,0.43,,0.0,13887.0,0.0,0.0,0.0
2004-09-29,43.1,43.1,43.1,43.0,-0.14,,262.0,14287.0,0.0,0.0,0.0
2004-09-30,42.74,42.74,42.74,43.12,0.12,,26.0,14974.0,0.0,0.0,0.0
2004-10-01,43.72,43.72,43.72,43.72,0.6,,0.0,14918.0,0.0,0.0,0.0
2004-10-04,43.39,43.39,43.39,43.39,-0.33,,0.0,14854.0,0.0,0.0,0.0
2004-10-05,43.83,43.83,43.83,44.32,0.93,,250.0,14968.0,0.0,0.0,0.0
2004-10-06,45.1,45.1,45.1,45.1,0.78,,0.0,14870.0,0.0,0.0,0.0
2004-10-07,45.47,45.47,45.47,45.77,0.67,,200.0,14518.0,0.0,0.0,0.0
2004-10-08,46.42,46.42,46.42,46.42,0.65,,0.0,14308.0,0.0,0.0,0.0
2004-10-11,47.2,47.2,47.2,47.2,0.78,,0.0,14383.0,0.0,0.0,0.0
