Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1999-04-19,14.78,14.78,14.78,14.78,,,0.0,0.0,,,
1999-04-20,14.49,14.49,14.49,14.49,,,0.0,0.0,,,
1999-04-21,14.65,14.65,14.65,14.65,,,0.0,0.0,,,
1999-04-22,14.84,14.84,14.84,14.84,,,0.0,0.0,,,
1999-04-23,14.68,14.68,14.68,14.68,,,0.0,0.0,,,
1999-04-26,14.6,14.6,14.6,14.6,,,0.0,0.0,,,
1999-04-27,14.77,14.77,14.77,14.77,,,0.0,0.0,,,
1999-04-28,15.05,15.05,15.05,15.05,,,0.0,0.0,,,
1999-04-29,15.06,15.06,15.06,15.06,,,0.0,0.0,,,
1999-04-30,15.22,15.22,15.22,15.22,,,0.0,0.0,,,
1999-05-04,15.5,15.5,15.5,15.5,,,0.0,0.0,,,
1999-05-05,15.88,15.88,15.88,15.88,,,0.0,0.0,,,
1999-05-06,15.56,15.56,15.56,15.56,,,0.0,0.0,,,
1999-05-07,15.49,15.49,15.49,15.49,,,0.0,0.0,,,
1999-05-10,15.84,15.84,15.84,15.84,,,0.0,0.0,,,
1999-05-11,15.8,15.8,15.8,15.8,,,0.0,0.0,,,
1999-05-12,15.53,15.53,15.53,15.53,,,0.0,0.0,,,
1999-05-13,15.68,15.68,15.68,15.68,,,0.0,0.0,,,
1999-05-14,15.84,15.84,15.77,15.77,,,14.0,14.0,,,
1999-05-17,15.64,15.64,15.64,15.64,,,0.0,14.0,,,
1999-05-18,15.28,15.28,15.28,15.28,,,0.0,14.0,,,
1999-05-19,15.1,15.1,15.1,15.1,,,0.0,14.0,,,
1999-05-20,15.14,15.14,15.14,15.14,,,0.0,14.0,,,
1999-05-21,15.28,15.28,15.28,15.28,,,0.0,14.0,,,
1999-05-24,15.14,15.14,15.14,15.14,,,0.0,14.0,,,
1999-05-25,15.25,15.25,15.25,15.25,,,0.0,14.0,,,
1999-05-26,15.26,15.26,15.26,15.26,,,0.0,14.0,,,
1999-05-27,15.18,15.18,15.18,15.18,,,0.0,14.0,,,
1999-05-28,15.15,15.15,15.15,15.15,,,0.0,14.0,,,
1999-06-01,14.69,14.69,14.69,14.69,,,0.0,14.0,,,
1999-06-02,14.88,14.88,14.81,14.81,,,17.0,31.0,,,
1999-06-03,14.88,14.88,14.88,14.88,,,0.0,31.0,,,
1999-06-04,15.12,15.31,15.12,15.31,,,267.0,281.0,,,
1999-06-07,15.71,15.71,15.71,15.71,,,0.0,281.0,,,
1999-06-08,15.53,15.53,15.53,15.53,,,0.0,281.0,,,
1999-06-09,15.67,15.67,15.67,15.67,,,0.0,281.0,,,
1999-06-10,15.65,15.65,15.65,15.65,,,0.0,281.0,,,
1999-06-11,16.06,16.06,16.06,16.06,,,0.0,281.0,,,
1999-06-14,16.06,16.06,16.06,16.06,,,0.0,281.0,,,
1999-06-15,16.25,16.25,16.25,16.25,,,0.0,281.0,,,
1999-06-16,16.03,16.03,16.03,16.03,,,0.0,281.0,,,
1999-06-17,16.09,16.45,16.09,16.45,,,15.0,281.0,,,
1999-06-18,16.29,16.29,16.28,16.28,,,45.0,326.0,,,
1999-06-21,16.29,16.29,16.29,16.29,,,0.0,281.0,,,
1999-06-22,16.08,16.08,16.08,16.08,,,0.0,281.0,,,
1999-06-23,16.28,16.38,16.28,16.38,,,2.0,281.0,,,
1999-06-24,16.29,16.29,16.29,16.29,,,0.0,281.0,,,
1999-06-25,16.42,16.42,16.42,16.42,,,0.0,281.0,,,
1999-06-28,16.31,16.31,16.31,16.31,,,0.0,281.0,,,
1999-06-29,16.32,16.52,16.32,16.52,,,2.0,281.0,,,
1999-06-30,16.65,16.92,16.65,16.92,,,5.0,286.0,,,
1999-07-01,16.94,16.94,16.89,16.89,,,1000.0,1269.0,,,
1999-07-02,16.9,17.01,16.9,17.01,,,3.0,0.0,,,
1999-07-05,17.23,17.23,17.23,17.23,,,0.0,1269.0,,,
1999-07-06,17.14,17.14,17.05,17.05,,,44.0,1269.0,,,
1999-07-07,17.01,17.24,17.01,17.24,,,3.0,1269.0,,,
1999-07-08,17.53,17.53,17.37,17.37,,,0.0,1269.0,,,
1999-07-09,17.55,17.55,17.55,17.55,,,1.0,1269.0,,,
1999-07-12,17.63,17.63,17.63,17.63,,,0.0,1269.0,,,
1999-07-13,17.55,17.81,17.55,17.81,,,335.0,1594.0,,,
1999-07-14,18.03,18.03,17.72,17.76,,,48.0,1404.0,,,
1999-07-15,17.57,17.91,17.57,17.91,,,2.0,1404.0,,,
1999-07-16,17.92,17.92,17.92,17.92,,,16.0,1404.0,,,
1999-07-19,17.77,17.77,17.77,17.77,,,0.0,1404.0,,,
1999-07-20,17.62,17.62,17.41,17.41,,,50.0,1454.0,,,
1999-07-21,17.29,17.29,17.29,17.29,,,0.0,1454.0,,,
1999-07-22,17.38,17.47,17.38,17.47,,,16.0,1454.0,,,
1999-07-23,17.52,17.91,17.52,17.91,,,7.0,1454.0,,,
1999-07-26,17.8,17.85,17.8,17.85,,,100.0,1554.0,,,
1999-07-27,17.74,17.75,17.62,17.75,,,110.0,1554.0,,,
1999-07-28,17.85,17.9,17.8,17.86,,,130.0,1674.0,,,
1999-07-29,18.11,18.11,18.11,18.11,,,0.0,1674.0,,,
1999-07-30,17.72,17.72,17.72,17.72,,,0.0,1674.0,,,
1999-08-02,17.83,17.87,17.73,17.87,,,2.0,1676.0,,,
1999-08-03,17.88,17.88,17.88,17.88,,,0.0,1674.0,,,
1999-08-04,17.8,18.1,17.8,18.1,,,9.0,1683.0,,,
1999-08-05,17.98,18.09,17.98,18.09,,,2.0,1683.0,,,
1999-08-06,18.16,18.18,18.16,18.18,,,200.0,1683.0,,,
1999-08-09,18.18,18.41,18.18,18.41,,,9.0,1683.0,,,
1999-08-10,18.41,18.41,18.34,18.38,,,112.0,1792.0,,,
1999-08-11,18.24,18.42,18.2,18.39,,,360.0,2071.0,,,
1999-08-12,18.34,18.34,18.3,18.31,,,380.0,2387.0,,,
1999-08-13,18.3,18.41,18.3,18.41,,,291.0,2378.0,,,
1999-08-16,18.38,18.38,18.38,18.38,,,0.0,2378.0,,,
1999-08-17,18.41,18.7,18.41,18.68,,,130.0,2408.0,,,
1999-08-18,18.64,18.65,18.52,18.52,,,1380.0,2288.0,,,
1999-08-19,18.52,18.79,18.52,18.65,,,1085.0,2053.0,,,
1999-08-20,18.8,18.8,18.7,18.7,,,110.0,2063.0,,,
1999-08-23,18.86,18.86,18.71,18.73,,,786.0,2484.0,,,
1999-08-24,18.68,18.68,18.46,18.54,,,101.0,2525.0,,,
1999-08-25,18.4,18.4,18.06,18.06,,,75.0,2573.0,,,
1999-08-26,18.1,18.41,18.03,18.41,,,382.0,2223.0,,,
1999-08-27,18.56,18.56,18.33,18.53,,,47.0,2243.0,,,
1999-08-31,18.7,18.89,18.64,18.89,,,2438.0,2905.0,,,
1999-09-01,18.7,18.98,18.68,18.68,,,544.0,3415.0,,,
1999-09-02,18.66,18.66,18.48,18.48,,,168.0,3455.0,,,
1999-09-03,18.61,18.67,18.59,18.67,,,15.0,3455.0,,,
1999-09-06,18.75,18.86,18.75,18.86,,,137.0,3568.0,,,
1999-09-07,18.92,19.2,18.87,19.19,,,1442.0,3749.0,,,
1999-09-08,19.08,19.33,19.05,19.33,,,1392.0,4119.0,,,
1999-09-09,19.4,19.66,19.4,19.66,,,237.0,4172.0,,,
1999-09-10,19.57,19.87,19.57,19.87,,,219.0,4242.0,,,
1999-09-13,19.72,19.8,19.6,19.8,,,389.0,4489.0,,,
1999-09-14,19.69,19.72,19.64,19.64,,,392.0,4265.0,,,
1999-09-15,19.75,19.75,19.5,19.5,,,100.0,4265.0,,,
1999-09-16,19.66,19.8,19.45,19.45,,,539.0,4780.0,,,
1999-09-17,19.5,19.74,19.5,19.74,,,12.0,4768.0,,,
1999-09-20,19.76,19.76,19.68,19.68,,,263.0,4768.0,,,
1999-09-21,19.68,19.82,19.68,19.73,,,281.0,4716.0,,,
1999-09-22,19.8,19.86,19.69,19.86,,,330.0,4776.0,,,
1999-09-23,20.0,20.37,20.0,20.32,,,851.0,4786.0,,,
1999-09-24,20.27,20.33,20.27,20.33,,,59.0,4751.0,,,
1999-09-27,20.28,20.34,20.28,20.34,,,12.0,4751.0,,,
1999-09-28,20.35,20.35,20.29,20.34,,,659.0,4724.0,,,
1999-09-29,20.47,20.7,20.43,20.43,,,408.0,4634.0,,,
1999-09-30,20.27,20.41,20.27,20.38,,,72.0,4634.0,,,
1999-10-01,20.5,20.54,20.48,20.48,,,515.0,4899.0,,,
1999-10-04,20.37,20.38,20.25,20.31,,,363.0,4686.0,,,
1999-10-05,20.2,20.52,20.2,20.52,,,619.0,5171.0,,,
1999-10-06,20.34,20.4,20.09,20.26,,,1637.0,6736.0,,,
1999-10-07,19.85,19.93,19.79,19.79,,,324.0,6486.0,,,
1999-10-08,19.27,19.27,18.94,19.11,,,2014.0,7631.0,,,
1999-10-11,19.2,19.32,18.75,19.32,,,1862.0,7478.0,,,
1999-10-12,19.7,20.16,19.57,20.16,,,1654.0,8600.0,,,
1999-10-13,20.23,20.3,20.0,20.3,,,255.0,8835.0,,,
1999-10-14,20.22,20.22,19.88,19.88,,,250.0,8485.0,,,
1999-10-15,19.54,20.42,19.54,20.42,,,95.0,8485.0,,,
1999-10-18,20.25,20.31,20.15,20.18,,,1818.0,8491.0,,,
1999-10-19,20.07,20.36,20.07,20.08,,,1153.0,8607.0,,,
1999-10-20,20.16,20.21,20.03,20.13,,,644.0,8639.0,,,
1999-10-21,20.2,20.38,20.2,20.24,,,305.0,8618.0,,,
1999-10-22,20.44,20.78,20.44,20.78,,,1023.0,9159.0,,,
1999-10-25,21.09,21.09,20.75,20.75,,,157.0,9127.0,,,
1999-10-26,20.65,20.94,20.65,20.74,,,1038.0,9232.0,,,
1999-10-27,20.84,20.84,20.56,20.56,,,1511.0,9051.0,,,
1999-10-28,20.47,20.47,19.82,19.82,,,873.0,8755.0,,,
1999-10-29,19.86,20.02,19.8,19.98,,,1106.0,8637.0,,,
1999-11-01,20.27,20.42,20.0,20.42,,,691.0,8427.0,,,
