Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
1996-05-17,16.18,16.18,16.1,16.1,,,100.0,100.0,,,
1996-05-20,16.81,16.81,16.81,16.81,,,0.0,100.0,,,
1996-05-21,16.47,16.47,16.47,16.47,,,0.0,100.0,,,
1996-05-22,16.67,16.67,16.67,16.67,,,0.0,100.0,,,
1996-05-23,16.51,16.51,16.51,16.51,,,0.0,100.0,,,
1996-05-24,16.47,16.47,16.47,16.47,,,0.0,100.0,,,
1996-05-28,16.52,16.52,16.52,16.52,,,0.0,100.0,,,
1996-05-29,16.52,16.52,16.52,16.52,,,0.0,100.0,,,
1996-05-30,16.4,16.4,16.3,16.3,,,200.0,300.0,,,
1996-05-31,16.25,16.3,16.14,16.14,,,226.0,526.0,,,
1996-06-03,16.15,16.18,16.14,16.18,,,500.0,1026.0,,,
1996-06-04,16.3,16.41,16.27,16.41,,,650.0,1676.0,,,
1996-06-05,16.34,16.34,16.13,16.13,,,175.0,1776.0,,,
1996-06-06,16.05,16.26,16.05,16.26,,,50.0,1726.0,,,
1996-06-07,16.39,16.39,16.39,16.39,,,0.0,1726.0,,,
1996-06-10,16.46,16.46,16.46,16.46,,,0.0,1726.0,,,
1996-06-11,16.32,16.32,16.32,16.32,,,0.0,1726.0,,,
1996-06-12,16.29,16.29,16.29,16.29,,,0.0,1726.0,,,
1996-06-13,16.31,16.31,16.22,16.22,,,700.0,2052.0,,,
1996-06-14,16.47,16.47,16.47,16.47,,,0.0,1852.0,,,
1996-06-17,16.92,16.92,16.92,16.92,,,0.0,1852.0,,,
1996-06-18,16.56,16.56,16.56,16.56,,,0.0,1852.0,,,
1996-06-19,16.28,16.28,16.28,16.28,,,0.0,1852.0,,,
1996-06-20,16.45,16.45,16.45,16.45,,,0.0,1852.0,,,
1996-06-21,16.47,16.5,16.42,16.42,,,625.0,2252.0,,,
1996-06-24,16.39,16.54,16.39,16.54,,,20.0,2152.0,,,
1996-06-25,16.32,16.35,16.32,16.35,,,150.0,2252.0,,,
