Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2004-05-17,28.64,28.64,28.64,28.64,,,0.0,0.0,0.0,0.0,0.0
2004-05-18,28.34,28.34,28.34,28.34,-0.3,,0.0,0.0,0.0,0.0,0.0
2004-05-19,28.54,28.54,28.54,28.54,0.2,,0.0,0.0,0.0,0.0,0.0
2004-05-20,28.11,28.11,28.11,28.11,-0.43,,0.0,50.0,0.0,0.0,0.0
2004-05-21,28.12,28.12,28.12,28.12,0.01,,0.0,50.0,0.0,0.0,0.0
2004-05-24,29.06,29.06,29.06,29.06,0.94,,0.0,215.0,0.0,0.0,0.0
2004-05-25,28.57,28.57,28.57,28.57,-0.49,,0.0,215.0,0.0,0.0,0.0
2004-05-26,28.57,28.57,28.57,28.57,0.0,,0.0,215.0,0.0,0.0,0.0
2004-05-27,28.16,28.16,28.16,28.16,-0.41,,0.0,215.0,0.0,0.0,0.0
2004-05-28,28.69,28.69,28.69,28.69,0.53,,0.0,215.0,0.0,0.0,0.0
2004-06-01,29.95,29.95,29.95,29.95,1.26,,0.0,390.0,0.0,0.0,0.0
2004-06-02,28.64,28.64,28.64,28.64,-1.31,,0.0,390.0,0.0,0.0,0.0
2004-06-03,28.95,28.95,28.95,28.95,0.31,,0.0,390.0,0.0,0.0,0.0
2004-06-04,28.87,28.87,28.87,28.87,-0.08,,0.0,390.0,0.0,0.0,0.0
2004-06-07,29.23,29.23,29.23,29.23,0.36,,0.0,390.0,0.0,0.0,0.0
2004-06-08,29.03,29.03,29.03,29.03,-0.2,,0.0,390.0,0.0,0.0,0.0
2004-06-09,29.72,29.72,29.72,29.72,0.69,,0.0,390.0,0.0,0.0,0.0
2004-06-10,29.26,29.26,29.26,29.26,-0.46,,0.0,390.0,0.0,0.0,0.0
2004-06-11,28.89,28.89,28.89,28.89,-0.37,,0.0,390.0,0.0,0.0,0.0
2004-06-14,29.26,29.26,29.26,29.26,0.37,,0.0,390.0,0.0,0.0,0.0
2004-06-15,29.17,29.17,29.17,29.17,-0.09,,0.0,15636.0,0.0,0.0,0.0
2004-06-16,29.18,29.18,29.18,29.18,0.01,,0.0,390.0,0.0,0.0,0.0
2004-06-17,29.29,29.29,29.29,29.29,0.11,,0.0,390.0,0.0,0.0,0.0
2004-06-18,29.18,29.18,29.18,29.18,-0.11,,0.0,390.0,0.0,0.0,0.0
2004-06-21,28.81,28.81,28.81,28.81,-0.37,,0.0,390.0,0.0,0.0,0.0
2004-06-22,29.24,29.24,29.24,29.24,0.43,,0.0,390.0,0.0,0.0,0.0
2004-06-23,29.17,29.17,29.17,29.17,-0.07,,0.0,390.0,0.0,0.0,0.0
2004-06-24,29.11,29.11,29.11,29.11,-0.06,,0.0,390.0,0.0,0.0,0.0
2004-06-25,29.36,29.36,29.36,29.36,0.25,,0.0,390.0,0.0,0.0,0.0
2004-06-28,29.23,29.23,29.23,29.23,-0.13,,0.0,390.0,0.0,0.0,0.0
2004-06-29,28.96,28.96,28.96,28.96,-0.27,,0.0,390.0,0.0,0.0,0.0
2004-06-30,29.74,29.74,29.74,29.74,0.78,,0.0,390.0,0.0,0.0,0.0
2004-07-01,30.06,30.06,30.06,30.06,0.32,,0.0,390.0,0.0,0.0,0.0
2004-07-02,30.04,30.04,30.04,30.04,-0.02,,0.0,390.0,0.0,0.0,0.0
2004-07-05,29.96,29.96,29.96,29.96,-0.08,,0.0,390.0,0.0,0.0,0.0
2004-07-06,30.18,30.18,30.18,30.18,0.22,,0.0,390.0,0.0,0.0,0.0
2004-07-07,30.12,30.12,30.12,30.12,-0.06,,0.0,390.0,0.0,0.0,0.0
2004-07-08,30.53,30.53,30.53,30.53,0.41,,0.0,390.0,0.0,0.0,0.0
2004-07-09,30.18,30.18,30.18,30.18,-0.35,,0.0,390.0,0.0,0.0,0.0
2004-07-12,30.04,30.04,30.04,30.04,-0.14,,0.0,390.0,0.0,0.0,0.0
2004-07-13,30.07,30.07,30.07,30.07,0.03,,0.0,390.0,0.0,0.0,0.0
2004-07-14,30.75,30.75,30.75,30.75,0.68,,0.0,390.0,0.0,0.0,0.0
2004-07-15,30.59,30.59,30.59,30.59,-0.16,,0.0,18960.0,0.0,0.0,0.0
2004-07-16,31.23,31.23,31.23,31.23,0.64,,0.0,390.0,0.0,0.0,0.0
2004-07-19,31.13,31.13,31.13,31.13,-0.1,,0.0,390.0,0.0,0.0,0.0
2004-07-20,30.66,30.66,30.66,30.66,-0.47,,0.0,390.0,0.0,0.0,0.0
