Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
2002-06-14,23.73,23.73,23.73,23.73,,,0.0,0.0,,,
2002-06-17,23.66,23.66,23.66,23.66,,,0.0,0.0,,,
2002-06-18,23.39,23.39,23.39,23.39,,,0.0,0.0,,,
2002-06-19,23.13,23.13,23.13,23.13,,,0.0,0.0,,,
2002-06-20,23.63,23.63,23.63,23.63,,,0.0,0.0,,,
2002-06-21,23.46,23.46,23.46,23.46,,,0.0,0.0,,,
2002-06-24,23.84,23.84,23.84,23.84,,,0.0,0.0,,,
2002-06-25,23.5,23.5,23.5,23.5,,,0.0,0.0,,,
2002-06-26,23.51,23.51,23.51,23.51,,,0.0,0.0,,,
2002-06-27,23.62,23.62,23.62,23.62,,,0.0,0.0,,,
2002-06-28,23.57,23.57,23.57,23.57,,,0.0,0.0,,,
2002-07-01,23.6,23.6,23.6,23.6,,,0.0,0.0,,,
2002-07-02,23.62,23.62,23.62,23.62,,,0.0,0.0,,,
2002-07-03,23.55,23.55,23.55,23.55,,,0.0,0.0,,,
2002-07-04,23.39,23.39,23.39,23.39,,,0.0,0.0,,,
2002-07-05,23.6,23.6,23.6,23.6,,,0.0,0.0,,,
2002-07-08,23.32,23.32,23.32,23.32,,,0.0,0.0,,,
2002-07-09,23.46,23.46,23.46,23.46,,,0.0,0.0,,,
2002-07-10,23.92,23.92,23.92,23.92,,,0.0,0.0,,,
2002-07-11,23.8,23.88,23.8,23.88,,,65.0,65.0,,,
2002-07-12,24.07,24.07,24.07,24.07,,,0.0,65.0,,,
2002-07-15,23.77,23.77,23.77,23.77,,,0.0,65.0,,,
2002-07-16,24.31,24.31,24.31,24.31,,,0.0,65.0,,,
2002-07-17,24.33,24.33,24.33,24.33,,,0.0,65.0,,,
2002-07-18,24.18,24.18,24.18,24.18,,,0.0,65.0,,,
2002-07-19,24.27,24.27,24.27,24.27,,,0.0,65.0,,,
2002-07-22,23.73,23.73,23.73,23.73,,,0.0,65.0,,,
2002-07-23,23.45,23.45,23.45,23.45,,,0.0,65.0,,,
2002-07-24,23.73,23.73,23.73,23.73,,,0.0,65.0,,,
2002-07-25,23.69,23.69,23.69,23.69,,,0.0,65.0,,,
2002-07-26,23.52,23.52,23.52,23.52,,,0.0,65.0,,,
2002-07-29,23.68,23.68,23.68,23.68,,,0.0,65.0,,,
2002-07-30,23.91,23.91,23.91,23.91,,,0.0,65.0,,,
2002-07-31,23.7,23.7,23.7,23.7,,,0.0,65.0,,,
2002-08-01,23.49,23.49,23.49,23.49,,,0.0,65.0,,,
2002-08-02,23.4,23.75,23.4,23.75,,,250.0,315.0,,,
2002-08-05,23.61,23.61,23.61,23.61,,,0.0,315.0,,,
2002-08-06,23.94,23.94,23.94,23.94,,,0.0,315.0,,,
2002-08-07,23.66,23.66,23.66,23.66,,,0.0,315.0,,,
2002-08-08,23.79,23.79,23.79,23.79,,,0.0,315.0,,,
2002-08-09,23.81,23.9,23.81,23.9,,,200.0,385.0,,,
2002-08-12,24.19,24.19,24.19,24.19,,,0.0,385.0,,,
2002-08-13,24.0,24.0,24.0,24.0,,,0.0,385.0,,,
2002-08-14,24.12,24.12,24.12,24.12,,,0.0,385.0,,,
2002-08-15,24.62,24.62,24.62,24.62,,,0.0,385.0,,,
2002-08-16,24.42,24.42,24.42,24.42,,,0.0,385.0,,,
2002-08-19,24.41,24.41,24.41,24.41,,,0.0,385.0,,,
2002-08-20,24.48,24.48,24.48,24.48,,,0.0,385.0,,,
2002-08-21,24.55,24.64,24.55,24.64,,,400.0,785.0,,,
2002-08-22,24.55,24.55,24.55,24.55,,,0.0,785.0,,,
2002-08-23,24.72,24.75,24.72,24.75,,,100.0,885.0,,,
2002-08-27,25.21,25.21,24.79,24.79,,,100.0,985.0,,,
2002-08-28,24.89,24.89,24.89,24.89,,,0.0,985.0,,,
2002-08-29,25.17,25.17,25.17,25.17,,,0.0,985.0,,,
2002-08-30,25.1,25.1,25.1,25.1,,,0.0,985.0,,,
2002-09-02,25.14,25.14,25.14,25.14,,,0.0,985.0,,,
2002-09-03,24.83,24.83,24.55,24.55,,,250.0,1235.0,,,
2002-09-04,24.81,24.81,24.81,24.81,,,0.0,1235.0,,,
2002-09-05,25.0,25.24,25.0,25.24,,,664.0,1849.0,,,
2002-09-06,25.29,25.29,25.29,25.29,,,0.0,1749.0,,,
2002-09-09,25.54,25.54,25.5,25.5,,,50.0,1749.0,,,
2002-09-10,25.47,25.7,25.35,25.35,,,408.0,1974.0,,,
2002-09-11,25.32,25.32,25.32,25.32,,,0.0,1974.0,,,
2002-09-12,24.77,24.77,24.77,24.77,,,0.0,1974.0,,,
2002-09-13,25.24,25.24,25.24,25.24,,,0.0,1974.0,,,
2002-09-16,25.17,25.21,25.17,25.21,,,250.0,2124.0,,,
2002-09-17,24.96,25.0,24.8,24.85,,,900.0,2580.0,,,
2002-09-18,24.82,24.95,24.82,24.83,,,594.0,3152.0,,,
2002-09-19,24.8,24.89,24.8,24.84,,,331.0,3321.0,,,
2002-09-20,24.84,24.96,24.74,24.74,,,1555.0,4601.0,,,
2002-09-23,24.88,24.88,24.88,24.88,,,0.0,4601.0,,,
2002-09-24,24.94,24.94,24.69,24.69,,,446.0,4947.0,,,
2002-09-25,24.68,24.68,24.68,24.68,,,0.0,4947.0,,,
2002-09-26,24.82,24.82,24.82,24.82,,,0.0,4947.0,,,
2002-09-27,24.81,24.85,24.71,24.71,,,750.0,5697.0,,,
2002-09-30,24.7,24.7,24.7,24.7,,,0.0,5697.0,,,
2002-10-01,24.81,24.81,24.81,24.81,,,0.0,5697.0,,,
2002-10-02,24.97,24.97,24.84,24.84,,,75.0,5747.0,,,
2002-10-03,24.97,24.97,24.72,24.75,,,215.0,5740.0,,,
2002-10-04,24.92,25.05,24.79,24.79,,,300.0,5904.0,,,
2002-10-07,24.96,24.96,24.96,24.96,,,200.0,5904.0,,,
2002-10-08,24.8,24.91,24.8,24.91,,,450.0,6220.0,,,
2002-10-09,24.98,24.98,24.92,24.92,,,43.0,6190.0,,,
2002-10-10,24.89,24.89,24.89,24.89,,,0.0,6190.0,,,
2002-10-11,24.91,24.99,24.91,24.99,,,400.0,6470.0,,,
2002-10-14,25.34,25.34,25.08,25.08,,,900.0,7354.0,,,
2002-10-15,25.18,25.18,24.98,25.0,,,1081.0,6868.0,,,
