Date,Open,High,Low,Settle,Change,Wave,Volume,Open Interest,EFP Volume,EFS Volume,Block Volume
2006-02-24,65.55,65.55,65.55,65.55,,,0.0,0.0,0.0,0.0,0.0
2006-02-27,64.44,64.44,64.44,64.44,-1.11,,0.0,0.0,0.0,0.0,0.0
2006-02-28,65.22,65.22,65.22,65.22,0.78,,0.0,0.0,0.0,0.0,0.0
2006-03-01,65.54,65.54,65.54,65.54,0.32,,0.0,0.0,0.0,0.0,0.0
2006-03-02,66.64,66.64,66.64,66.64,1.1,,0.0,0.0,0.0,0.0,0.0
2006-03-03,66.69,66.69,66.69,66.69,0.05,,0.0,0.0,0.0,0.0,0.0
2006-03-06,65.12,65.12,65.12,65.12,-1.57,,0.0,0.0,0.0,0.0,0.0
2006-03-07,63.84,63.84,63.84,63.84,-1.28,,0.0,0.0,0.0,0.0,0.0
2006-03-08,62.95,62.95,62.95,62.95,-0.89,,0.0,0.0,0.0,0.0,0.0
2006-03-09,63.51,63.51,63.51,63.51,0.56,,0.0,0.0,0.0,0.0,0.0
2006-03-10,62.94,62.94,62.94,62.94,-0.57,,0.0,0.0,0.0,0.0,0.0
2006-03-13,64.29,64.29,64.29,64.29,1.35,,0.0,0.0,0.0,0.0,0.0
2006-03-14,65.62,65.62,65.62,65.62,1.33,,0.0,0.0,0.0,0.0,0.0
2006-03-15,64.33,64.33,64.33,64.33,-1.29,,0.0,0.0,0.0,0.0,0.0
2006-03-16,65.45,65.45,65.45,65.45,1.12,,0.0,0.0,0.0,0.0,0.0
2006-03-17,64.5,64.5,64.5,64.5,-0.95,,0.0,0.0,0.0,0.0,0.0
2006-03-20,62.96,62.96,62.96,62.96,-1.54,,0.0,0.0,0.0,0.0,0.0
2006-03-21,63.81,63.81,63.81,63.81,0.85,,0.0,0.0,0.0,0.0,0.0
2006-03-22,63.12,63.12,63.12,63.12,-0.69,,0.0,0.0,0.0,0.0,0.0
2006-03-23,64.3,64.3,64.3,64.3,1.18,,0.0,0.0,0.0,0.0,0.0
2006-03-24,64.09,64.09,64.09,64.09,-0.21,,0.0,0.0,0.0,0.0,0.0
2006-03-27,64.17,64.17,64.17,64.17,0.08,,0.0,0.0,0.0,0.0,0.0
2006-03-28,64.94,64.94,64.94,64.94,0.77,,0.0,0.0,0.0,0.0,0.0
2006-03-29,65.23,65.23,65.23,65.23,0.29,,0.0,0.0,0.0,0.0,0.0
2006-03-30,65.94,65.94,65.94,65.94,0.71,,0.0,0.0,0.0,0.0,0.0
2006-03-31,65.46,65.46,65.46,65.46,-0.48,,0.0,0.0,0.0,0.0,0.0
2006-04-03,66.02,66.02,66.02,66.02,0.56,,0.0,0.0,0.0,0.0,0.0
2006-04-04,65.89,65.89,65.89,65.89,-0.13,,0.0,0.0,0.0,0.0,0.0
2006-04-05,66.24,66.24,66.24,66.24,0.35,,0.0,0.0,0.0,0.0,0.0
2006-04-06,66.46,66.46,66.46,66.46,0.22,,0.0,0.0,0.0,0.0,0.0
2006-04-07,66.45,66.45,66.45,66.45,-0.01,,0.0,0.0,0.0,0.0,0.0
2006-04-10,67.46,67.46,67.46,67.46,1.01,,0.0,0.0,0.0,0.0,0.0
2006-04-11,67.58,67.58,67.58,67.58,0.12,,0.0,0.0,0.0,0.0,0.0
2006-04-12,67.45,67.45,67.45,67.45,-0.13,,0.0,0.0,0.0,0.0,0.0
2006-04-13,67.86,67.86,67.86,67.86,0.41,,0.0,0.0,0.0,0.0,0.0
2006-04-17,68.48,68.48,68.48,68.48,0.62,,0.0,0.0,0.0,0.0,0.0
2006-04-18,68.65,68.65,68.65,68.65,0.17,,0.0,0.0,0.0,0.0,0.0
2006-04-19,69.3,69.3,69.3,69.3,0.65,,0.0,0.0,0.0,0.0,0.0
2006-04-20,69.07,69.07,69.07,69.07,-0.23,,0.0,0.0,0.0,0.0,0.0
2006-04-21,70.59,70.59,70.59,70.59,1.52,,0.0,0.0,0.0,0.0,0.0
2006-04-24,70.17,70.17,70.17,70.17,-0.42,,0.0,0.0,0.0,0.0,0.0
2006-04-25,70.52,70.52,70.52,70.52,0.35,,0.0,0.0,0.0,0.0,0.0
2006-04-26,69.97,69.97,69.97,69.97,-0.55,,0.0,0.0,0.0,0.0,0.0
2006-04-27,69.35,69.35,69.35,69.35,-0.62,,0.0,0.0,0.0,0.0,0.0
2006-04-28,69.79,69.79,69.79,69.79,0.44,,0.0,0.0,0.0,0.0,0.0
2006-05-01,70.86,70.86,70.86,70.86,1.07,,0.0,0.0,0.0,0.0,0.0
2006-05-02,70.69,70.69,70.69,70.69,-0.17,,0.0,0.0,0.0,0.0,0.0
2006-05-03,69.25,69.25,69.25,69.25,-1.44,,0.0,0.0,0.0,0.0,0.0
2006-05-04,68.3,68.3,68.3,68.3,-0.95,,0.0,0.0,0.0,0.0,0.0
2006-05-05,69.24,69.24,69.24,69.24,0.94,,0.0,0.0,0.0,0.0,0.0
2006-05-08,69.31,69.31,69.31,69.31,0.07,,0.0,0.0,0.0,0.0,0.0
2006-05-09,70.36,70.36,70.36,70.36,1.05,,0.0,0.0,0.0,0.0,0.0
2006-05-10,71.39,71.39,71.39,71.39,1.03,,0.0,0.0,0.0,0.0,0.0
2006-05-11,71.8,71.8,71.8,71.8,0.41,,0.0,0.0,0.0,0.0,0.0
2006-05-12,70.65,70.65,70.65,70.65,-1.15,,0.0,0.0,0.0,0.0,0.0
2006-05-15,69.42,69.42,69.42,69.42,-1.23,,0.0,0.0,0.0,0.0,0.0
2006-05-16,69.36,69.36,69.36,69.36,-0.06,,0.0,0.0,0.0,0.0,0.0
2006-05-17,68.98,68.98,68.98,68.98,-0.38,,0.0,0.0,0.0,0.0,0.0
2006-05-18,69.87,69.87,69.87,69.87,0.89,,0.0,0.0,0.0,0.0,0.0
2006-05-19,68.89,68.89,68.89,68.89,-0.98,,0.0,0.0,0.0,0.0,0.0
2006-05-22,69.36,69.36,69.36,69.36,0.47,,0.0,0.0,0.0,0.0,0.0
2006-05-23,69.76,69.76,69.76,69.76,0.4,,0.0,0.0,0.0,0.0,0.0
2006-05-24,68.26,68.26,68.26,68.26,-1.5,,0.0,0.0,0.0,0.0,0.0
2006-05-25,69.03,69.03,69.03,69.03,0.77,,0.0,0.0,0.0,0.0,0.0
2006-05-26,68.91,68.91,68.91,68.91,-0.12,,0.0,0.0,0.0,0.0,0.0
2006-05-30,68.83,68.83,68.83,68.83,-0.08,,0.0,0.0,0.0,0.0,0.0
2006-05-31,68.69,68.69,68.69,68.69,-0.14,,0.0,0.0,0.0,0.0,0.0
2006-06-01,68.02,68.02,68.02,68.02,-0.67,,0.0,0.0,0.0,0.0,0.0
2006-06-02,69.02,69.02,69.02,69.02,1.0,,0.0,0.0,0.0,0.0,0.0
2006-06-05,69.47,69.47,69.47,69.47,0.45,,0.0,0.0,0.0,0.0,0.0
2006-06-06,69.69,69.69,69.69,69.69,0.22,,0.0,0.0,0.0,0.0,0.0
2006-06-07,69.13,69.13,69.13,69.13,-0.56,,0.0,0.0,0.0,0.0,0.0
2006-06-08,69.01,69.01,69.01,69.01,-0.12,,0.0,0.0,0.0,0.0,0.0
2006-06-09,69.3,69.3,69.3,69.3,0.29,,0.0,0.0,0.0,0.0,0.0
2006-06-12,68.18,68.18,68.18,68.18,-1.12,,0.0,0.0,0.0,0.0,0.0
2006-06-13,66.32,66.32,66.32,66.32,-1.86,,0.0,0.0,0.0,0.0,0.0
2006-06-14,66.57,66.57,66.57,66.57,0.25,,0.0,0.0,0.0,0.0,0.0
2006-06-15,66.38,66.38,66.38,66.38,-0.19,,0.0,0.0,0.0,0.0,0.0
2006-06-16,67.29,67.29,67.29,67.29,0.91,,0.0,0.0,0.0,0.0,0.0
2006-06-19,66.91,66.91,66.91,66.91,-0.38,,0.0,0.0,0.0,0.0,0.0
2006-06-20,66.84,66.84,66.84,66.84,-0.07,,0.0,0.0,0.0,0.0,0.0
2006-06-21,67.41,67.41,67.41,67.41,0.57,,0.0,0.0,0.0,0.0,0.0
2006-06-22,67.87,67.87,67.87,67.87,0.46,,0.0,0.0,0.0,0.0,0.0
2006-06-23,67.94,67.94,67.94,67.94,0.07,,0.0,0.0,0.0,0.0,0.0
2006-06-26,69.01,69.01,69.01,69.01,1.07,,0.0,0.0,0.0,0.0,0.0
2006-06-27,69.05,69.05,69.05,69.05,0.04,,0.0,0.0,0.0,0.0,0.0
2006-06-28,69.39,69.39,69.39,69.39,0.34,,0.0,0.0,0.0,0.0,0.0
2006-06-29,70.35,70.35,70.35,70.35,0.96,,0.0,0.0,0.0,0.0,0.0
2006-06-30,71.05,71.05,71.05,71.05,0.7,,0.0,0.0,0.0,0.0,0.0
2006-07-03,70.92,70.92,70.92,70.92,-0.13,,0.0,0.0,0.0,0.0,0.0
2006-07-04,70.58,70.58,70.58,70.58,-0.34,,0.0,0.0,0.0,0.0,0.0
2006-07-05,72.32,72.32,72.32,72.32,1.74,,0.0,0.0,0.0,0.0,0.0
2006-07-06,72.46,72.46,72.46,72.46,0.14,,0.0,0.0,0.0,0.0,0.0
2006-07-07,72.42,72.42,72.42,72.42,-0.04,,0.0,0.0,0.0,0.0,0.0
2006-07-10,72.04,72.04,72.04,72.04,-0.38,,0.0,0.0,0.0,0.0,0.0
2006-07-11,72.37,72.37,72.37,72.37,0.33,,0.0,0.0,0.0,0.0,0.0
2006-07-12,73.07,73.07,73.07,73.07,0.7,,0.0,0.0,0.0,0.0,0.0
2006-07-13,74.23,74.23,74.23,74.23,1.16,,0.0,0.0,0.0,0.0,0.0
2006-07-14,74.43,74.43,74.43,74.43,0.2,,0.0,0.0,0.0,0.0,0.0
2006-07-17,73.46,73.46,73.46,73.46,-0.97,,0.0,0.0,0.0,0.0,0.0
2006-07-18,72.15,72.15,72.15,72.15,-1.31,,0.0,0.0,0.0,0.0,0.0
2006-07-19,72.49,72.49,72.49,72.49,0.34,,0.0,0.0,0.0,0.0,0.0
